position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Lu Novidades e Presentes,ChIJkZQ4AMOPpgARh76fk6T1HzU,0xa68fc300389491:0x351ff5a4939fbe87,3828048295488372359,/g/11b5k784ml,4.9,97,Loja de Presentes,Loja de Presentes,gift_shop,"R. Gonçalves, 129 - São João Batista, Belo Horizonte - MG, 31510-350, Brasil",-19.8155328,-43.9652013,+55 31 98526-2875,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:30; domingo: Fechado; segunda-feira: 09:00–19:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np9RYXqUwIzPTane3T8VAZoVdg4PcH4EVxVLzYbxDTVhg1u_avhDZGGfq6EAGirT8DiGamyhHO0vco2m6QKVZm9KHjmMPyG96KIm-0O2qkTCJREGeTlVz8jTcSTpfqQf618NG64iTWFwnyR=w122-h92-k-no,https://serpapi.com/images/url/0uizKnicBcHhcoIgAADgJyKTPE52tx9eGja3ZY6x5Z_OMQRLQMMyfcc9QG-z73v8qWHo3JPntWq1kNbKVlyduHBrBmGGBbfak50D3AHnRWusAtPh4vDdf47bOaeVESsasqi07FcGOU-DhN3Z63z4uceUKelfj9VNxSUhdY-SiDQXGsYNqfSk0t3yxi3UaJ-xUuMsPem3fCIYZVsNljvYn-n6pUiIoC2bwxPlH7Sr-32N_PCdoKChX5vRTMXz6EMIFIbgDIz9Bx4hRwM,https://serpapi.com/search.json?data_id=0xa68fc300389491%3A0x351ff5a4939fbe87&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa68fc300389491%3A0x351ff5a4939fbe87&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkZQ4AMOPpgARh76fk6T1HzU,"Secretário, MG",lojas_presentes,2025-07-29T04:02:01.077316,COMPLETA
2,Objeteria,ChIJrWqhtTSYpgARYKkTziNEhE4,0xa69834b5a16aad:0x4e844423ce13a960,5657721952456124768,/g/1q5bssw04,4.9,129,Loja de presentes,Loja de presentes,novelty_store,"R. dos Aimorés, 207 - Funcionários, Belo Horizonte - MG, 30140-070, Brasil",-19.931371199999997,-43.9264808,+55 31 99563-6142,https://instagram.com/loja_objeteria?igshid=YmMyMTA2M2Y=,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHtG7XiBIYCp7Ackwds4C6QA0DzGceKBvynZa9PNhMrJo5UOT7OuED9xyNMYzBekRD4e3yQ0q9ETBMWLq_nAA2lK_qOBvr_p68EK9BSctX6q9qAduO31XHL0crAzWJT_Y3bK14vpW7bexi7Dds0ASmPPuRzxxUQZJ58OQ2hdGEDerDeNBJEe66WuzJ1sLZwa4MSViE=w122-h92-k-no,https://serpapi.com/images/url/51cD-HicBcFJboMwAABA9dDnENZAqNSDHSNSdgIpywUlYAGCYBazPrWv6czfx2dFaT99sWxbiaeSkLLF84THnHQUd_SUkzdb9hPTj2TbWWAVEqpuVFfiGv4k114BebMWk3SVfcChQ8-xCZe9S5-q51T2aJDzww0Vd9aQuu2OnRwQN3ckYXH3uUHVQmhH1pB1AAitmQ0uXMasly-aqcIgp7E8qAMoZlfk45vF5SM4IiPMEvFl8tLSR8oLb7WCiokDwdvz5vuxbQ8_Nc4X1xeqQtcQHhF2oKFhWY7mw-AnK12fkh381tr3ygsCU6kC0zAd-QfV81hJ,https://serpapi.com/search.json?data_id=0xa69834b5a16aad%3A0x4e844423ce13a960&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69834b5a16aad%3A0x4e844423ce13a960&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJrWqhtTSYpgARYKkTziNEhE4,"Secretário, MG",lojas_presentes,2025-07-29T04:02:01.077316,COMPLETA
3,"Mabel Presentes BH | Cestas, Lembranças, Presentes e Mimos personalizados",ChIJ39vZNaWFpgARvu2nrN-vqaA,0xa685a535d9dbdf:0xa0a9afdfaca7edbe,11576977692341824958,/g/11ydkj0tjq,5,17,Loja de presentes,Loja de presentes,novelty_store,"Rua dos Borges, 1019 - Jardim Vitoria, Belo Horizonte - MG, 31975-270, Brasil",-19.845205099999998,-43.884222,+55 31 97171-7696,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–20:00; quarta-feira: 08:30–20:00; quinta-feira: 08:30–20:00; sexta-feira: 08:30–20:00; sábado: 08:30–20:00; domingo: 08:30–13:00; segunda-feira: 08:30–20:00,,,,,,,"""Melhor loja, tudo que eu precisei eu encontrei.""",https://lh3.googleusercontent.com/p/AF1QipNNlPnYZa-mb4M1n2OhdoYpWP5MYudfQz86wk9d=w92-h92-k-no,https://serpapi.com/images/url/uGKO9nicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng55cTkBcZlaibm2Tia5hn5J-Rkh9ZEB5g6htZmpIWWGVhVp5tmWJbbmmkmwHE2bp5-QCMVyFA,https://serpapi.com/search.json?data_id=0xa685a535d9dbdf%3A0xa0a9afdfaca7edbe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa685a535d9dbdf%3A0xa0a9afdfaca7edbe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ39vZNaWFpgARvu2nrN-vqaA,"Secretário, MG",lojas_presentes,2025-07-29T04:02:01.077316,COMPLETA
4,"Meu, tudo meu! Presentes Criativos",ChIJD2ii5rKVpgARpXpX11tylw0,0xa695b2e6a2680f:0xd97725bd7577aa5,979377182756797093,/g/11fhqrw2k6,5,31,Loja de presentes,"Loja de presentes, Fabricante de artigos de papelaria",novelty_store,"R. Trinta e Dois, 141 - Oitis, Contagem - MG, 32141-128, Brasil",-19.9042042,-44.037617499999996,+55 31 98572-4880,http://www.meutudomeu.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–16:00; quarta-feira: 09:00–16:00; quinta-feira: 09:00–16:00; sexta-feira: 09:00–16:00; sábado: Fechado; domingo: Fechado; segunda-feira: 09:00–16:00,,,,"Cartão de crédito, Cartão de débito",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipNIcuG1qsAs_cbcX7rnATBFtSyTo4xEVvo5A7I3=w92-h92-k-no,https://serpapi.com/images/url/Lo2Q93icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng55lc6m5YWOxYHJ-clBxhXpTnGOLkVhJcGZJvUuEaVpZv6mjuaWxbbmmkmwHE2bp5-QCUwCE2,https://serpapi.com/search.json?data_id=0xa695b2e6a2680f%3A0xd97725bd7577aa5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa695b2e6a2680f%3A0xd97725bd7577aa5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJD2ii5rKVpgARpXpX11tylw0,"Secretário, MG",lojas_presentes,2025-07-29T04:02:01.077316,COMPLETA
5,Mundo de ANNA: Presente Delivery em Belo Horizonte MG,ChIJ63zDEfWZpgAR839x46mkzQ4,0xa699f511c37ceb:0xecda4a9e3717ff3,1066689736328970227,/g/11h05d565,4.8,77,Loja de Presentes,"Loja de Presentes, Loja de acessórios de moda, Floricultura, Joalheria, Delivery, Perfumaria",gift_shop,"R. Bueno Brandão, 200 A - Santa Tereza, Belo Horizonte - MG, 31010-060, Brasil",-19.916002,-43.926469,+55 31 99797-2070,http://www.instagram.com/ummundodepresentes,Fechado ⋅ Abre às 13:00,Fechado ⋅ Abre às 13:00,terça-feira: 13:00–17:00; quarta-feira: 13:00–17:00; quinta-feira: 13:00–17:00; sexta-feira: 13:00–17:00; sábado: 10:00–13:00; domingo: Fechado; segunda-feira: 13:00–17:00,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrh2IzURvr2oJw5W5mSaRniepZzyicqFg5xx8U-I65nVCRzQ-J0T8S3O0o0mx-4FNifsk3C9Y-NZYwYacRb_EcNoeoWPWIbIu0mgcyivxUO3f6N8LfqYSkl_sdTbdwkupnThRk=w122-h92-k-no,https://serpapi.com/images/url/LA9ju3icBcFRjoIwEADQE41gEQOb-GGIJhiDbgEJ_hippSWFDlIQ5Hxewtv43vcj-741f5ZVS2chEEXNB8M7hrrnul8wbCzRGmAGjLUNfLnSnSThnNJXR_AwupnbxHeqK95e53fFnnvhTpOXQrh29SWg8z8c7MSLnZONdjPBah9VpVFO4OcQXfMxvzNa3HYsQo7ZOQuLcLAbwd7Va0pPTrmOvGP5zGNV38wjKR6jGlqdSKo245IQkD4BBRp_u69FfA,https://serpapi.com/search.json?data_id=0xa699f511c37ceb%3A0xecda4a9e3717ff3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699f511c37ceb%3A0xecda4a9e3717ff3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ63zDEfWZpgAR839x46mkzQ4,"Secretário, MG",lojas_presentes,2025-07-29T04:02:01.077316,COMPLETA
6,Cria Criatura,ChIJ4fOjdOOZpgAR6vJ0Si_Hduw,0xa699e374a3f3e1:0xec76c72f4a74f2ea,17039025246129418986,/g/11fzwnz8gv,4.6,183,Loja de presentes,Loja de presentes,novelty_store,"Rua Grão Mogol 333 loja 21 Carmo, Sion, Belo Horizonte - MG, 30310-010, Brasil",-19.9428427,-43.932495599999996,+55 31 98506-2020,http://www.criacriatura.com.br/,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–18:00; quarta-feira: 10:00–18:00; quinta-feira: 10:00–18:00; sexta-feira: 10:00–18:00; sábado: Fechado; domingo: Fechado; segunda-feira: 10:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNMMHELHN2qUnT-24EOGX75d7aRhCjEU1uPQYPi=w139-h92-k-no,https://serpapi.com/images/url/CQIC1nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5-vr4erj4WdUGJoXomtk4urvHmFummKeGJThnOUaalgaEBgZkGlbbmhsqZthaaSbrZuXDwB7fiAY,https://serpapi.com/search.json?data_id=0xa699e374a3f3e1%3A0xec76c72f4a74f2ea&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699e374a3f3e1%3A0xec76c72f4a74f2ea&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4fOjdOOZpgAR6vJ0Si_Hduw,"Secretário, MG",lojas_presentes,2025-07-29T04:02:01.077316,COMPLETA
7,Multipresentes-Utilidades e Presentes em BH,ChIJhw0XLuyZpgAR9A-IkqQrDpc,0xa699ec2e170d87:0x970e2ba492880ff4,10884685335234088948,/g/1thgcpk1,4.9,19,Loja de Presentes,Loja de Presentes,gift_shop,"Rua dos Otoni, 909 - Loja 23 - Centro, Belo Horizonte - MG, 30150-270, Brasil",-19.925705,-43.928818,+55 31 98661-2965,https://www.multipresentesbh.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: Fechado; domingo: Fechado; segunda-feira: 09:00–18:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito",,,"""Funcionárias atenciosas, loja com produtos diferenciados.""",https://lh3.googleusercontent.com/p/AF1QipMTlYa4TvociSKKHx3OCu2Z6dLr90j34H2SEC89=w80-h106-k-no,https://serpapi.com/images/url/_Ynr7HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5ITmWgSUpafnBns7e1RYezvXGoUZZbiU2RpkGVs4mEU7OpsYWlbbmGgm2FoYKabrZuXDwCXzCA9,https://serpapi.com/search.json?data_id=0xa699ec2e170d87%3A0x970e2ba492880ff4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699ec2e170d87%3A0x970e2ba492880ff4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhw0XLuyZpgAR9A-IkqQrDpc,"Secretário, MG",lojas_presentes,2025-07-29T04:02:01.077316,COMPLETA
8,La Bella Presentes,ChIJu7esNeOZpgARWE903usZSwU,0xa699e335acb7bb:0x54b19ebde744f58,381427094283112280,/g/11bx2g4ym9,4.3,37,Loja de Presentes,Loja de Presentes,gift_shop,"R. São Paulo, 700 - Centro, Belo Horizonte - MG, 30170-131, Brasil",-19.9196335,-43.940281399999996,,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""O preço dos produtos está entre o barato e o moderado.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npoE1FhEcKQ2vxO0my3Atcx-2xgsSGZGJldX-uN0V9zKVIYKf1nvxXy02bQN16yBNWIAhqJCRqqC1l0_99mwHw6flt4QSAwgiH-Jic0ZCYZP70x1YOE-YkO09mGvj3XZNHBkxo=w80-h106-k-no,https://serpapi.com/images/url/W9t2AHicBcHRToMwFADQL7rjFha0Jj4wgjBIQFwygRcTK2snpQXbQfH7_An_Zuf8_wlrJ_PkeVIEO641l_3N9D9MK9sru2N69PhkgBkwXhRTsVeTTsiLSFhR-4urcNyCyDIHvuPmlHZpLr8auJV4pr_F-dgWF6IW12zof9YlCbdD-X6MxJzHb_McE4kflI5rtoYXaff1KVr5NYP8yrCL2-71AR1pqwTaoUI6pst30HRldhicfl4fEQTBEAZQ-g47w0L4,https://serpapi.com/search.json?data_id=0xa699e335acb7bb%3A0x54b19ebde744f58&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699e335acb7bb%3A0x54b19ebde744f58&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu7esNeOZpgARWE903usZSwU,"Secretário, MG",lojas_presentes,2025-07-29T04:02:01.077316,COMPLETA
9,Arte em Comemorar | Cestas e Presentes Personalizados em BH,ChIJkb72lt6XpgAR7mNnvlTaBg8,0xa697de96f6be91:0xf06da54be6763ee,1082792817935737838,/g/11nmlv7bzw,4.9,150,Loja de cestas de presente,"Loja de cestas de presente, Chocolateria, Loja de chocolates, Doceria, Loja de presentes, Confeitaria",gift_basket_store,"R. Pedra Bonita, 695 - Prado, Belo Horizonte - MG, 30411-216, Brasil",-19.929520999999998,-43.965076599999996,+55 31 3653-3109,https://arteemcomemorar.com.br/,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: 07:00–13:00; domingo: Fechado; segunda-feira: 07:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqq2WNa65byiSubnmYP-RD_u4dAXeayfB2kqvnUk_Ae2LiBz4lT7kB86ZKb21b9nsIAPfISDyOi5F2gdPmFTWT3SPv9CGUTcdMY4XSVSJRx3KotJBWsTX6wrS-OsqKWAJQ6fZOI=w80-h142-k-no,https://serpapi.com/images/url/XEi9uHicBcH_EoEwAADgJ5pYE7nzx-K4CsVG8Y9TrR9XbbJV8n4ewtv4vt83V-opF5pW5fooEyKrWCvZKxZcMa5Gsai17ClBLIHU8MrMEW8aGBwexjQaCtJGvL764LS-tyjBIXsMqQXLpuPn8o4Z3BXWB1V0Vlpz4-ZGcBKZXNrYT22yHrxiuoFZ4tcbGlCd-J252p5pnOyvKCQX4pzeuiuUYwWShkb_IsCTjRtg52ikN89e9vMxyCcIghJw8QezR0O4,https://serpapi.com/search.json?data_id=0xa697de96f6be91%3A0xf06da54be6763ee&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa697de96f6be91%3A0xf06da54be6763ee&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkb72lt6XpgAR7mNnvlTaBg8,"Secretário, MG",lojas_presentes,2025-07-29T04:02:01.077316,COMPLETA
10,Lembrei. Presentes Criativos,ChIJdy6AgOiXpgAR5KOJAns4LeU,0xa697e880802e77:0xe52d387b0289a3e4,16513917509612184548,/g/11q1pnlsk2,4.9,10,Loja de presentes,"Loja de presentes, Decorador de interiores",novelty_store,"Av. Professor Mário Werneck, 1360 - Buritis, Belo Horizonte - MG, 30455-610, Brasil",-19.9682434,-43.9652069,+55 31 97148-9266,https://www.instagram.com/lembreibh/,Fechado ⋅ Abre às 09:30,Fechado ⋅ Abre às 09:30,terça-feira: 09:30–21:30; quarta-feira: 09:30–21:30; quinta-feira: 09:30–21:30; sexta-feira: 09:30–21:30; sábado: 09:30–21:30; domingo: 11:00–17:00; segunda-feira: 09:30–21:30,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipN1bZS71f5pZfEWmmTy7V2pneqIEElsOQfB7dhW=w80-h106-k-no,https://serpapi.com/images/url/gzmu_XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ5gUFWxumGZaEJXmGp6bG1JpHmZUkJda6OnqmlPsH5jmZJ6SEW5bbmGgm2FoYKabrZuXDwCkkSFB,https://serpapi.com/search.json?data_id=0xa697e880802e77%3A0xe52d387b0289a3e4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa697e880802e77%3A0xe52d387b0289a3e4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdy6AgOiXpgAR5KOJAns4LeU,"Secretário, MG",lojas_presentes,2025-07-29T04:02:01.077316,COMPLETA
