position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,São Rafael Presentes,ChIJAQAAwM2ZpgARDzO4UlwU2Vw,0xa699cdc0000001:0x5cd9145c52b8330f,6690401108192932623,/g/1tcwxz65,4.8,32,Loja de Presentes,Loja de Presentes,gift_shop,"R. Pres. Antônio Carlos, 556 - Carmo da Cachoeira, MG, 37225-000, Brasil",-21.461634,-45.222401999999995,+55 35 3225-1118,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–16:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Muitas opções de produtos.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HrO_1lBHwOewD_h9K3MdRA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=127.068695&pitch=0&thumbfov=100,https://serpapi.com/images/url/E_CTwnicHc1tCsIgGADg2_gvP4rWFrxE0Y9BxKALDOfeVHBT1GYdp2N1m6ILPM_nbXIOac9YyhExLxZLsE90aRUk1d5rhzLYRJWf2CJYNo9pmKV1hyBnb0doY9cLd2pLh-Xcm-ayuY63I1FDr5zFOUNCGZWhuvzE6EeqQyIFak4MNGvykgXEekd5VVfNlgSblQFO_s3dLyA4_wKa6jl8,https://serpapi.com/search.json?data_id=0xa699cdc0000001%3A0x5cd9145c52b8330f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699cdc0000001%3A0x5cd9145c52b8330f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAQAAwM2ZpgARDzO4UlwU2Vw,"Senhora do Carmo, MG",lojas_presentes,2025-07-29T04:10:54.735487,COMPLETA
2,Mix Presentes e Utilidades,ChIJmQudye3TtZQRZp5V52120wc,0x94b5d3edc99d0b99:0x7d3766de7559e66,563924592756104806,/g/11c4_tsp4n,4.6,29,Loja de presentes,Loja de presentes,novelty_store,"R. Cel José Bento, 107 - Centro, Carmo do Rio Claro - MG, 37150-000, Brasil",-20.9696134,-46.121139299999996,+55 35 99878-0603,https://www.cliqueiachei.com.br/telefone/carmo-do-rio-claro/mg/mix-presentes-e-utilidades-,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrGAkR9-7fiu0kx9UGhVXWU_Izyn6HdUlY2FKD-CCE_1yArvb-Dy4TtGjtHqE_FTgNdrJsGzQuAQ0MtLWv6P69SwPq2qxFDr-zya6FBEOQ27XsmqQH4RslbpOZUL3aFZZ7aMktSAw=w163-h92-k-no,https://serpapi.com/images/url/5CcRG3icBcFbcoIwFADQFV1RYMKkM35EINBWq6j44IdBpKQFE0iCCBt0De7Gc15PpnWjPgyjZtakFKKsi04VMhdcF1xPcnEzykZBrkAZxMXM5jIg1RaD8_vXTasHjgN2OB3j9HMcOAqvcX026bcHruuns4HI-wW8wd7r4F-HrZ_SfflzlV8qGKOORNOVXh7vaIPwrt-0ZvugnoRxyBBd-OvIdE7q1kahvVX1pVkn8dLKaJI42arSO9LP-xmygGETKuDiDSqpRNI,https://serpapi.com/search.json?data_id=0x94b5d3edc99d0b99%3A0x7d3766de7559e66&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b5d3edc99d0b99%3A0x7d3766de7559e66&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmQudye3TtZQRZp5V52120wc,"Senhora do Carmo, MG",lojas_presentes,2025-07-29T04:10:54.735487,COMPLETA
3,Loja da Mi,ChIJw_H3V_NIy5QRDNJGw7CAMRg,0x94cb48f357f7f1c3:0x183180b0c346d20c,1743316027447890444,/g/11f32wsjt1,5,8,Loja de eletrônicos,Loja de eletrônicos,electronics_store,"R. Carmo do Rio Verde, 176, Carmo de Minas - MG, 37472-000, Brasil",-22.124605199999998,-45.1300423,+55 35 99198-5664,,Fechado ⋅ Abre às 09:30,Fechado ⋅ Abre às 09:30,terça-feira: 09:30–18:30; quarta-feira: 09:30–18:30; quinta-feira: 09:30–18:30; sexta-feira: 09:30–18:30; sábado: 09:30–18:30; domingo: Fechado; segunda-feira: 09:30–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lz1pcZv5wvnRwlquJa4aeQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=165.24957&pitch=0&thumbfov=100,https://serpapi.com/images/url/J1mG9nicHc1LDsIgEADQ27CTj2nVmhD37nTpxkzpWEgojIWCehqv5W00XuC9z9vmTGkvRMozYi4OK7kH-rQi4GOMo0cgl7iJkyhKZLtMfQDnDwQhukH7lyJzKW0t4Vz9fTlCA3hipr8a7zBknRBmY_lYf-IcBz5SYlXvJLO6W7MnVK02LV83Xbtl5LKxWrL_cotFKym_xhU6ag,https://serpapi.com/search.json?data_id=0x94cb48f357f7f1c3%3A0x183180b0c346d20c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb48f357f7f1c3%3A0x183180b0c346d20c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJw_H3V_NIy5QRDNJGw7CAMRg,"Senhora do Carmo, MG",lojas_presentes,2025-07-29T04:10:54.735487,COMPLETA
4,Andrey Presentes,ChIJk-JAQwtIy5QR1_Tm_OGb-G4,0x94cb480b4340e293:0x6ef89be1fce6f4d7,7996312533309256919,/g/1tcvc_yq,4.6,9,Loja de Presentes,Loja de Presentes,gift_shop,"R. Cel. Antônio Ribeiro, 08, Carmo de Minas - MG, 37472-000, Brasil",-22.1227137,-45.131310899999995,+55 35 3334-1385,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–18:00; domingo: Fechado; segunda-feira: 08:30–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqYooEiokGhFH0OkxaeQbol-4UO-zOlCwBJ0qrd1EHz1GdOpISEYdbz3MhF2WDFYVwtei9tvY8Zq7oZ2RlowU9T452zRZVqRDZeLZ3UdwvuzCwCzQq7tUzJCWzpGoN8bjL-ivDn5w=w80-h106-k-no,https://serpapi.com/images/url/PSvuxXicBcFbcoIwFADQFUWeKnSmHxoe6tgyouiQP4EMQWIuMZF0ssGuobvpOX-_TOtJfTgOZ8GiB-g5fSv6akFoKvSihafTTwq1Cilng2MWClkDpAOMOct2bjH-3OmpAY7CqkC24NhsD658dV66s17eFdP-nNZdY4Mvlvm3JKuvRtMh1nMdEbkG4pccTBVfwqVvS3KVZULokQRVZ-a3xQbbk1zryh7wzU45fEfN44iGORFL82kiFzHPXaERCfgHn1lGPw,https://serpapi.com/search.json?data_id=0x94cb480b4340e293%3A0x6ef89be1fce6f4d7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb480b4340e293%3A0x6ef89be1fce6f4d7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJk-JAQwtIy5QR1_Tm_OGb-G4,"Senhora do Carmo, MG",lojas_presentes,2025-07-29T04:10:54.735487,COMPLETA
5,Loja Nossa Senhora do Carmo,ChIJR4w5yTmXpgAREPkdoWQ5E8I,0xa69739c9398c47:0xc2133964a11df910,13984584372278130960,/g/1tngrj7g,4.3,7,Loja de presentes,"Loja de presentes, Armarinho, Papelaria",novelty_store,"R. Padre Eustáquio, 1327 - Carlos Prates, Belo Horizonte - MG, 30710-580, Brasil",-19.9126425,-43.965575199999996,+55 31 2526-4604,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–13:00; domingo: Fechado; segunda-feira: 07:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHatSkwYapkmSIaNDEuD4KiE5iX2jP6YL7IclojQJ3CwUIMYi1cPz0EhZDlWjFNNIXs1xuKm51_a9X2WJBG5eADmKCN735teny3wKidFyxqZI4GXUl3vohylaSh7Gfqo0n0C1U_hqTMXTBX0Ltp3NPuUHj9qKlrJw4OzufUbLEYd1lH3KCZ61l0hEC91Rvh4aBJJhc=w122-h92-k-no,https://serpapi.com/images/url/adzS6HicDc3bckNAAADQ6UM_R1hLjM70IS5xWVGpmCwvGUUsliUI8qn9mvb8wPl9eyfT1I8fPE8J3JWMlbSYx-KRsW4qummXsZYv-5HrH2zd-IOXSwax0ylsljjtmzZ0Ut8wZ0NClSlXWKyDfewpTkZZfXahvkTOKa5AFrwEkyQGvdZH33fwCNYZtTK4pSoWr65mycXBaJHuK1D-Xze4oCo_buuQOJKFIwqfjGw0DYli3QcmdIIOohsZLid80bDgTT30gzmya3VA9OEu0tdrvkc_nhnngNoQ6ckeUIGYugq-n0RKNdcl2ecCRJEjqsg1XMf-AC-HWKk,https://serpapi.com/search.json?data_id=0xa69739c9398c47%3A0xc2133964a11df910&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69739c9398c47%3A0xc2133964a11df910&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJR4w5yTmXpgAREPkdoWQ5E8I,"Senhora do Carmo, MG",lojas_presentes,2025-07-29T04:10:54.735487,COMPLETA
6,Chorão Presentes filial,ChIJx6NFdmUPrpQRdmkVRAxzibU,0x94ae0f657645a3c7:0xb589730c44156976,13081113089193372022,/g/11dzdbv4ss,5,1,Loja de presentes,Loja de presentes,novelty_store,"Av. Dr. Aristídes de Melo, 302-312 - Central, Carmo do Paranaíba - MG, 38840-000, Brasil",-18.9999522,-46.312202899999996,+55 38513005,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noPTFoneIS0tFAw07dLKb2EPHeGPjqth8y1B-kpAjM5WmpsfjSottIQvxnshug8uLR1ivLFKBL2d1TdM1SaoiH-OVD35s87ikNH8GmnZpBA7xVrj-Y8AJX1vn0o7d9e1tbzDj5aPA=w80-h106-k-no,https://serpapi.com/images/url/MgpuN3icBcFBcoIwFADQE0USlRI74yKoiIqVFkZbdwopIUh-NB-0vWDP0Nv43v-fQrTu1fMuajSoAKqL7Jy8FWBQGhwU0HqVdaRwxHliNlFjA2kegZGrjGIk7jQok815uEhjuUz1FRX_YSFprNBb_9Ba960zQFy99w_jVFfxLvlgdZ9EmzAZliwvtyw7QR2T3X4-8h0P6uYt5svWHG0ogsf-pskXF-tP1hsKQTmRDM-_c-2fUjG9c0oUoy-kIQaeTltElA,https://serpapi.com/search.json?data_id=0x94ae0f657645a3c7%3A0xb589730c44156976&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ae0f657645a3c7%3A0xb589730c44156976&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJx6NFdmUPrpQRdmkVRAxzibU,"Senhora do Carmo, MG",lojas_presentes,2025-07-29T04:10:54.735487,COMPLETA
7,Bem Barato Presentes,ChIJ30TRAg0PrpQRuY9dkdVmgCE,0x94ae0f0d02d144df:0x218066d5915d8fb9,2414042467723481017,/g/11g2qd4mvx,4.4,7,Loja,Loja,store,"R. Atanásio dos Santos, 107 - Juscelino Kubitschek (JK), Carmo do Paranaíba - MG, 38840-000, Brasil",-19.001917799999998,-46.311230099999996,+55 34 99961-8944,https://www.facebook.com/bembarato.bembararto?ref=bookmarks,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipPyEwsIuEW4Oe26IlLgx4swOmQ1ckvrbbxVmELe=w80-h106-k-no,https://serpapi.com/images/url/Tq-o6HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUOlaXuxZ6hpu4p9qZOaZ45NeYVJc7p8baJicXVaUlFQRluvqk2pbbmGgm2FoYKabrZuXDwC-dCH_,https://serpapi.com/search.json?data_id=0x94ae0f0d02d144df%3A0x218066d5915d8fb9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ae0f0d02d144df%3A0x218066d5915d8fb9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ30TRAg0PrpQRuY9dkdVmgCE,"Senhora do Carmo, MG",lojas_presentes,2025-07-29T04:10:54.735487,COMPLETA
8,Stock Presentes,ChIJsYb_umYPrpQR0NpbeFyLLCA,0x94ae0f66baff86b1:0x202c8b5c785bdad0,2318381137461500624,/g/11dylzn64t,5,3,Loja de Brinquedos,"Loja de Brinquedos, Loja de artigos domésticos",toy_store,"Avenida Doutor Aristides Ferreira de Melo, Nº: 385 - Centro, Carmo do Paranaíba - MG, 38840-000, Brasil",-18.9995376,-46.312839499999995,+55 34 3195-0115,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:30; quarta-feira: 09:00–17:30; quinta-feira: 09:00–17:30; sexta-feira: 09:00–17:30; sábado: 08:30–14:00; domingo: Fechado; segunda-feira: 09:00–17:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqq2S9DHMFtoJA0g3rXPMM0Mua49AToFQSrOOHcbOSmOWGb9D9DfYSOMvGgcxaSHyRkp3B2v-X4E_ObLZf3f5OVu4g20xpsAXFuGLniDDU8AesqTnCkkJ0BWl6kUZFxuZlu2VP_1Q=w122-h92-k-no,https://serpapi.com/images/url/VfanNHicBcFdboIwAADgE1WwsGVd4kO1A2JsqtYfxguBBspSbIG2iif0DN5m3_d-dc4N9jsI-i5aSGNk33jbTMJo12i3EOYWyMECYYEN8AZ1sR5HyBHJaOLMFocymvI9pSH1VYzwySQHPjGWiZrxG7umNSKItL-c0XsqxVzx7HlUQ7SGd5DHPyWrd0UbtR_s4mMJw3mwOE98utN_hJy_cGPHk94otQ3X1_5TnYtk9kXv4WVfLg-rxxJC0CEIFNDmH9D9RAQ,https://serpapi.com/search.json?data_id=0x94ae0f66baff86b1%3A0x202c8b5c785bdad0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ae0f66baff86b1%3A0x202c8b5c785bdad0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJsYb_umYPrpQR0NpbeFyLLCA,"Senhora do Carmo, MG",lojas_presentes,2025-07-29T04:10:54.735487,COMPLETA
9,Mimos e Cheiros Presentes,ChIJ2fingXG-pgARVtYGtbXTsVk,0xa6be7181a7f8d9:0x59b1d3b5b506d656,6463179717633037910,/g/11cly516nq,5,54,Loja de presentes,Loja de presentes,novelty_store,"R. Risolêta Fernandes, 290 - Barreiro, Belo Horizonte - MG, 30640-620, Brasil",-19.9820438,-44.0272284,+55 31 2526-9316,http://www.instagram.com/mimosecheiros/,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–17:30; quarta-feira: 10:00–17:30; quinta-feira: 10:00–17:30; sexta-feira: 10:00–17:30; sábado: 10:00–12:00; domingo: Fechado; segunda-feira: 10:00–17:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,"""Sou de Curitiba , fiquei apaixonada pela loja e pelo atendimento!""",https://lh3.googleusercontent.com/p/AF1QipMQfEIMBkeShtRCK3jydq9tRbiOw7ov0Zg2cY5I=w122-h92-k-no,https://serpapi.com/images/url/kNJzEXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5jm6unrlJ0anFES5OxtnFWZUmhZEpSU6V9unl9mEJVulBxp6mlbbmhkpJthaaSbrZuXDwCwcyFr,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2fingXG-pgARVtYGtbXTsVk,"Senhora do Carmo, MG",lojas_presentes,2025-07-29T04:10:54.735487,COMPLETA
10,Freire Presentes,ChIJfxXeXIrTtZQRfVOns4gnqq8,0x94b5d38a5cde157f:0xafaa2788b3a7537d,12657973170761323389,/g/11f5vdptxp,5,4,Loja de presentes,"Loja de presentes, Loja de variedades",novelty_store,"R. Cap. Pedro Augusto Corrêa, 70 - Centro, Carmo do Rio Claro - MG, 37150-000, Brasil",-20.9712353,-46.122163799999996,+55 35 3561-2699,https://www.cliqueiachei.com.br/telefone/carmo-do-rio-claro/mg/freire-presentes,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–13:00; domingo: Fechado; segunda-feira: 08:30–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipNnCkrY5-ebqUoCmXjAYDZOwABzHt_M5YvCrpc8=w122-h92-k-no,https://serpapi.com/images/url/GgUuVHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-ecXRRpqpuaVBia75wbkeUY6RLlX-7oVOVREu9rGlnmXFSQbGFbbmhkpJthaaSbrZuXDwC2USGj,https://serpapi.com/search.json?data_id=0x94b5d38a5cde157f%3A0xafaa2788b3a7537d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b5d38a5cde157f%3A0xafaa2788b3a7537d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfxXeXIrTtZQRfVOns4gnqq8,"Senhora do Carmo, MG",lojas_presentes,2025-07-29T04:10:54.735487,COMPLETA
