position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,R&A presentes personalizados,ChIJRa39iwYzogAR6oTaJfS1sJM,0xa233068bfdad45:0x93b0b5f425da84ea,10642205979688207594,/g/11xnfgrl1q,5,2,Loja de presentes,Loja de presentes,novelty_store,"R. Cel. Ferrão, 181 - Sra. dos Remédios, MG, 36275-000, Brasil",-21.0278925,-43.5837886,+55 32 99999-6783,https://www.instagram.com/atelie_dos_momentos?igsh=MW82djhxeW9kdndhNg==,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–17:00; domingo: Fechado; segunda-feira: 09:00–17:00,,,,Cartão de crédito,"Entrega, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipOQs6PTsCh7nS313kuijOe7IAcXGO7sqTBU2JY=w80-h177-k-no,https://serpapi.com/images/url/QtAcenicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH1hsFhBS7JxhnhdsbGicXZqZ5Z9q7umYHOHub15cGOIUauQVaVtuYaCbYWhurputm5cPAHikIGs,https://serpapi.com/search.json?data_id=0xa233068bfdad45%3A0x93b0b5f425da84ea&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa233068bfdad45%3A0x93b0b5f425da84ea&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRa39iwYzogAR6oTaJfS1sJM,"Senhora dos Remédios, MG",lojas_presentes,2025-07-29T04:14:04.412829,COMPLETA
2,Malu Acessórios,ChIJuR512jgzogARNcQPcu778m4,0xa23338da751eb9:0x6ef2fbee720fc435,7994729290070475829,/g/11vbxnbzp9,5,1,Loja de presentes,Loja de presentes,novelty_store,"R. dos Expedicionários, 02B - Sra. dos Remédios, MG, 36275-000, Brasil",-21.0293489,-43.579521,+55 32 98420-6230,https://maluacessorios.webloja.app/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–16:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito","Entrega, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMGnqWzcTKWzl7kknslRqBTWDtHM2wNerCAnnzf=w80-h106-k-no,https://serpapi.com/images/url/unixPHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng655XGF6VHOIdXpVjnp2dV5wTVOgUEu5S4uFrVO6XWuTsmJdXlWZbbmGgm2FoYKabrZuXDwDP5iJe,https://serpapi.com/search.json?data_id=0xa23338da751eb9%3A0x6ef2fbee720fc435&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa23338da751eb9%3A0x6ef2fbee720fc435&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJuR512jgzogARNcQPcu778m4,"Senhora dos Remédios, MG",lojas_presentes,2025-07-29T04:14:04.412829,COMPLETA
3,Papelaria Namorada,ChIJpeK0eRMzogARXrtbsartnN4,0xa2331379b4e2a5:0xde9cedaab15bbb5e,16040957290162666334,/g/1tdbm6x1,4.8,5,Papelaria,Papelaria,stationery_store,"R. Padre José Rocha, 47 - Sra. dos Remédios, MG, 36275-000, Brasil",-21.0290335,-43.5820582,+55 32 3343-1584,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito",,,"""Venha conhecer nosso artesanato!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nofQB6NrGn3CfK0ibIcFxZXlps9f7PbbE5O_O3k7sRljUxXEsvszXycm8HirtpqDjnStyqT8s3WZ00ItbQUb09lMrq630TjJCJ-u5tKSmwZyS7hRGQghNnfffDIfOkkhypTZnQIoA=w122-h92-k-no,https://serpapi.com/images/url/LHKhk3icBcFbjoIwFADQFVUqVRGT-UB8oVFEMBJ-TNpQKpS2cOsos8FZg7vxnM-_sNbAwnGkIKNK60qWTyh7ppUtlR0x3TqVAcQAgROEvpgozZPl7NRvFQn5AT9oxDbvIpcGfO6dKV1P43tMGg8usr6-8zX8wl8-sHa-e_TWdKtapXbosjmQW4FxZGlypdiXx76bEZzV-3CPnlN7SNtXMaSeuGyTSpwU53wV8bhpxGCyQiWRDn5eY9dFwndRg5T-AsJZRrY,https://serpapi.com/search.json?data_id=0xa2331379b4e2a5%3A0xde9cedaab15bbb5e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2331379b4e2a5%3A0xde9cedaab15bbb5e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpeK0eRMzogARXrtbsartnN4,"Senhora dos Remédios, MG",lojas_presentes,2025-07-29T04:14:04.412829,COMPLETA
4,Silhueta,ChIJz1a_exMzogARb2vlIDTYVfE,0xa233137bbf56cf:0xf155d83420e56b6f,17390043254562843503,/g/11p_0g4cd7,5,16,Loja de Roupa,Loja de Roupa,clothing_store,"R. Padre José Rocha - Sra. dos Remédios, MG, 36275-000, Brasil",-21.0282298,-43.5819267,+55 32 98449-9040,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: Atendimento 24 horas; domingo: Fechado; segunda-feira: 08:00–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Melhor loja de moda feminina, de Senhora dos Remédios, MG.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noxMMVJcFdOGKBnr7j6xEIhcxKLqF7gH5EHbShdonTGX_igrVB2f1yxuUzxTzlQfBr6gZ5RBjMSVax9zHI78Cn-oqAqeysAK3nZ8djdf6lWxahVH5htHjpeRmMg-_9yJ26qqUVkqLl7sWar=w122-h92-k-no,https://serpapi.com/images/url/4bVgm3icBcFLjoIwAADQE1ViFZBJZgEGrSIx46dO3BCmlFasLf2YKdzRA3gb33u_uHO9_QoCwWcTphQT9GmpIUo6Kt2EqEfAeguIBTZIlwmfS-XLEm_Jqtmvi0yauIt8vuHEFzu9ihkKc_R35I2Sp_VvdWMGZ7CdDv55Hv1pFD9tZiJ2DQ9ZVx5x7ZMRbeLFUgKlU00HmxYzeV00XdNG4uJrjlHIHep6eniUDFTJsIWR1md81zsR20ttvv-nEAKeQHAHUn0AdUNIwA,https://serpapi.com/search.json?data_id=0xa233137bbf56cf%3A0xf155d83420e56b6f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa233137bbf56cf%3A0xf155d83420e56b6f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJz1a_exMzogARb2vlIDTYVfE,"Senhora dos Remédios, MG",lojas_presentes,2025-07-29T04:14:04.412829,COMPLETA
5,"Armazem Z | Casa, Mesa Posta, Decoração e Presentes",ChIJKfE-7IAzogARENHsHHNi7Hs,0xa23380ec3ef129:0x7bec62731cecd110,8929620407714894096,/g/11rc230mzq,5,22,Loja de presentes,"Loja de presentes, Loja de cristais, Decorador de interiores, Loja de utensílios de cozinha, Loja de artigos domésticos",novelty_store,"Praça São Sebastião, 182 - Loja - Centro, Sra. dos Remédios - MG, 36275-000, Brasil",-21.029138,-43.57982,+55 32 98477-9456,http://www.armazemz.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:30; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,"""Já efetuei algumas compras e com certeza voltarei outras vezes.""",https://lh3.googleusercontent.com/p/AF1QipMIUOcZTZc78jw6cTgcGKEZVElJeEFCphYuNJPW=w92-h92-k-no,https://serpapi.com/images/url/0yOIWXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6xnqnxwVEpVsbpFVbpYckp7s7u0aFeaa45Xq6uZckBFZ6ucVEG5bbmmkmwHE2bp5-QCDICD1,https://serpapi.com/search.json?data_id=0xa23380ec3ef129%3A0x7bec62731cecd110&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa23380ec3ef129%3A0x7bec62731cecd110&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKfE-7IAzogARENHsHHNi7Hs,"Senhora dos Remédios, MG",lojas_presentes,2025-07-29T04:14:04.412829,COMPLETA
6,Loja DuLau,ChIJUUc82m0zogARSVdEnEIzrp4,0xa2336dda3c4751:0x9eae33429c445749,11434132865122850633,/g/11h5m8ncnb,4.7,3,Loja de móveis,Loja de móveis,furniture_store,"R. João Alvim do Campo, 24-120 - Sra. dos Remédios, MG, 36275-000, Brasil",-21.0297368,-43.5821147,+55 32 3343-1259,https://www.facebook.com/lau.eletrodomesticos.3,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito",Entrega,,"""Ótimos produtos, preço, prazo e qualidade.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrv601K2jX7qnxU-sBiqaXZd4gpy7n4F7X1hWYEGZIJmwXYLjo2Pdh7wygBw56xwPBUxgld_ehLakBBkk97EMQ7AVB6GikbQ5YZUsXnYGIIgTcERNDHVRnzc978lB-Kjvc1N00G=w163-h92-k-no,https://serpapi.com/images/url/Acpy2nicBcH_EoEwAADgJ5p-SJM7fxhJxNGJ1T8uq9u0bGWxeD8P4W183-_Luq5RE8Oo2XBApaR1-VTlg0jRlaIbEHk3aKMAUUAZs7nHHPF4uaa1sSsMW9EnQKFbm-OscGjzhsJZQmyxc-oHWbi-a5xGlbT3BYP6TZEeub3eo6SndXEpWZRzhDj3oL89wNkJucGNXw-jNEsUFmkQhvRI_Hi3WJ1i8SEeHNcIbKoXsXamGUy15Q4B82zAgZB_udRDsg,https://serpapi.com/search.json?data_id=0xa2336dda3c4751%3A0x9eae33429c445749&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2336dda3c4751%3A0x9eae33429c445749&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJUUc82m0zogARSVdEnEIzrp4,"Senhora dos Remédios, MG",lojas_presentes,2025-07-29T04:14:04.412829,COMPLETA
7,Silk`s Mais,ChIJHyKu434zogAR8PCYhX_rPnw,0xa2337ee3ae221f:0x7c3eeb7f8598f0f0,8952852042193891568,/g/11fjs4clv4,5,3,Loja de roupas de designer,Loja de roupas de designer,designer_clothing_store,"Praça Nossa, Sra. dos Remédios - MG, 36275-000, Brasil",-21.028776099999998,-43.582023799999995,+55 32 98404-8464,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq20MgLUYmPKiBU14jmLcJxkUKS2QevoevUdUZMCYum9l0deF6mQDwXQhgOo8vrUg9Q4F9em06U1nGRf6gKvHBR2ZVunqqg7eWXvvU28x57p52ULhwgqKcx4n1MRfFPEqEvZQ=w80-h106-k-no,https://serpapi.com/images/url/wvbHRnicBcFBcoIwFADQE0VCigid6UKttCMwGpxvlW2MP60kIQYC9-spepu-9_erhqH3r1HUqZcFWoudHL18CmsGaYaFsDrC3hPhiY_W21wlxjFaYwVXfSy_NxAnP7oS-_kB5YlxGawMcIO23l5HnXf0JotU8_fpwhUebBaegDlPilxqmkJsPpp7imX43DSsPY_GOVzJr0sIwLJ5ueqXDCo1oSvFnJi4bu7Fced2oeVvU0aJimlKHsTYfzX-Q7o,https://serpapi.com/search.json?data_id=0xa2337ee3ae221f%3A0x7c3eeb7f8598f0f0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2337ee3ae221f%3A0x7c3eeb7f8598f0f0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHyKu434zogAR8PCYhX_rPnw,"Senhora dos Remédios, MG",lojas_presentes,2025-07-29T04:14:04.412829,COMPLETA
8,Alquimia Presentes,ChIJIZlIO82KrpQRVx6-ZvsguL0,0x94ae8acd3b489921:0xbdb820fb66be1e57,13670712933015756375,/g/11bw7dc6yt,4.6,150,Loja de presentes,"Loja de presentes, Loja de cristais, Loja de produtos esotéricos, Loja de artigos religiosos",novelty_store,"Praça Santana, 375 - Centro, Patos de Minas - MG, 38700-048, Brasil",-18.587388,-46.511612299999996,+55 34 99103-2567,https://alquimiapresentes.com.br/,Fechado ⋅ Abre às 07:30,Fechado ⋅ Abre às 07:30,terça-feira: 07:30–19:00; quarta-feira: 07:30–19:00; quinta-feira: 07:30–19:00; sexta-feira: 07:30–19:00; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 07:30–19:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Excelente atendimento e muitas opções para presentes!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noAIKhZ0yJSMrUxZwHtewc9TqNuCRH1UR2vBGRXjyxTiw-r13FWqqFg99d88yRSLBjxGRS0ZXkSSucGdZXXCE3v7fo9yIgmai1d17rdjWSntYMVOcgcg_KtLwBZ-Mtv8UKlxYJI=w80-h106-k-no,https://serpapi.com/images/url/ZNKs03icBcFRboIwAADQE1XoWIQu8UOIAiIzaWVif4wprBWxFVooHNBDeBvfe7-EMU_94zit8BZcKd7Wg657pqSppVkw9XD4UwOmgXbWERLfUq3TTFB33pG8LyZqE1Nbho7d7xDhBBb4awxjXDbzdLxZ0ENve-q6LUeoCoIZk33YTDEmLi3vhAwsrmhZRhtv9P8VmlP-uN5gBf2-ak5EmnP-d2Cc8Utm9jakIDdjUGTtdN6lKxu4QEB3Ce5Aqg_-sUU5,https://serpapi.com/search.json?data_id=0x94ae8acd3b489921%3A0xbdb820fb66be1e57&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ae8acd3b489921%3A0xbdb820fb66be1e57&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIZlIO82KrpQRVx6-ZvsguL0,"Senhora dos Remédios, MG",lojas_presentes,2025-07-29T04:14:04.412829,COMPLETA
9,LOJA DO JULIO,ChIJPTy8gxMzogAR-Gq0yfr5tjI,0xa2331383bc3c3d:0x32b6f9fac9b46af8,3654383003178920696,/g/11w2_ns35v,,0,,,,"R. do Rosário, 11 - Sra. dos Remédios, MG, 36275-000, Brasil",-21.0280602,-43.582529,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=O7Os9QVIBu9K8ie5JXE9LQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=337.1284&pitch=0&thumbfov=100,https://serpapi.com/images/url/s3ht83icHc3dCsIgGADQt_EudVuxGUgQdNEPjN1Ed-Hcl36wTZlu1tP0XL1N0Quc83nbGH3YMhbiBBAXhOTxCX1YeUWNc6YH5TFQ7Qa2ZCzaeWhHhf3Oq9FhJ-uyDqK5HvezOFcIm9PtIC4N0e1d9whjlAHUpC016SdOrqPGB5JkxYmVIicvlWRRlDTLqzXxGLWVnPyTh1tkxvkX-XY4dw,https://serpapi.com/search.json?data_id=0xa2331383bc3c3d%3A0x32b6f9fac9b46af8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2331383bc3c3d%3A0x32b6f9fac9b46af8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPTy8gxMzogAR-Gq0yfr5tjI,"Senhora dos Remédios, MG",lojas_presentes,2025-07-29T04:14:04.412829,COMPLETA
10,Mercadinho da Adriana,ChIJDwO4mxMzogARDnxqMRe4J1w,0xa233139bb8030f:0x5c27b817316a7c0e,6640478585333906446,/g/11bwflvntv,4.6,70,Supermercado,"Supermercado, Mercado de frutas e vegetais, Mercado de peixes e frutos do mar",supermarket,"R. do Rosário, 25 - loja - Centro, Sra. dos Remédios - MG, 36275-000, Brasil",-21.0279155,-43.5824572,+55 32 98438-8279,,Fechado ⋅ Abre às 07:30,Fechado ⋅ Abre às 07:30,terça-feira: 07:30–20:30; quarta-feira: 07:30–20:30; quinta-feira: 07:30–20:30; sexta-feira: 07:30–20:30; sábado: 07:30–20:30; domingo: 08:00–14:00; segunda-feira: 07:30–20:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega sem contato, Entrega, Retirada na loja",,"""Atendimento ótimo bom preço e qualidade ❤️""",https://lh3.googleusercontent.com/p/AF1QipOAMDW16k4fZ2jo_3xDgQKPBv-R56XvTgIY2huU=w163-h92-k-no,https://serpapi.com/images/url/wfYJpnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7-jrEm5olm2SFmWUlR9vXOGSHugd4FSmG2RqFlEWku4ZaZRRGmpbbmhmrJthaaSbrZuXDwCMfyCX,https://serpapi.com/search.json?data_id=0xa233139bb8030f%3A0x5c27b817316a7c0e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa233139bb8030f%3A0x5c27b817316a7c0e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDwO4mxMzogARDnxqMRe4J1w,"Senhora dos Remédios, MG",lojas_presentes,2025-07-29T04:14:04.412829,COMPLETA
