position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Artesanato Segredos de Minas,ChIJIaQ6KISloQAR_nB7ki6GqRE,0xa1a584283aa421:0x11a9862e927b70fe,1272695904293056766,/g/11gzn1c64,4.7,101,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"Av. Alfredo Penido, 394 - Our Lady of Penha, Resende Costa - MG, 36340-000, Brasil",-20.9271113,-44.2324929,+55 32 3354-1972,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–17:00; domingo: 09:30–13:30; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Lugar com muitos artesanatos bonitos e com preços variados.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npfdJuf345VXkHmjFF4PimPGZaetEBGUo4JgNYjXiNJeX5amfCeiZc_JJzjAJ7hYTrFb-pG2_F_oIB0btdYl7BKf91v1kvSIiy-xIH6NvoXhtbfOufL6GDhD_RCHv_E2mcVh7Oe=w163-h92-k-no,https://serpapi.com/images/url/quiUAXicBcFXDoIwAADQE1VkCMHED0EZ1aBxBfxppLSUUUpowXE_D-FtfO_3ZUr1cqlpLTNnpRBlS0ZJBiw6RTo1w4JrZS8BlkBqa99lVtfTAo7UtBa3tIl4HQTWseLH8P4gauuFV2HBMsnqtEogSRcPTn1S3TGC8FOvocOyyxDkoA8NFCARe_NcFVnreDvq6pPeTOe4eoNXHNnJJFKmcnoY6d4ON2yDTn40oa3B8Y05B7J66rYJmGuABnTiD87fRII,https://serpapi.com/search.json?data_id=0xa1a584283aa421%3A0x11a9862e927b70fe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1a584283aa421%3A0x11a9862e927b70fe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIaQ6KISloQAR_nB7ki6GqRE,"Seritinga, MG",lojas_artesanato,2025-07-29T04:16:39.318791,COMPLETA
2,D'corações Artesanato,ChIJn68fPj-loQARQIvCZWmB7UI,0xa1a53f3e1faf9f:0x42ed816965c28b40,4822653065662466880,/g/1ptxfsxll,4.8,502,Artesanato,"Artesanato, Loja de móveis rústicos",handicraft,"Av. Alfredo Penido, 1397 - Centro, Resende Costa - MG, 36340-000, Brasil",-20.9321394,-44.2265985,+55 32 99844-1588,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:30–17:00; segunda-feira: 09:00–18:00,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""... a todos os amantes do artesanato a comprarem neata loja.""",https://lh3.googleusercontent.com/p/AF1QipMN9NmjmlVf_QkSg29o0jVPk8kywYSj3CDxj4Tk=w163-h92-k-no,https://serpapi.com/images/url/HNPghXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng62fpl5uVmxOWFh-YHZxuZJlvkBUWkG2RXVkeGZxl7OxSkWUSkm1bbmhmrJthaaSbrZuXDwC1SyGc,https://serpapi.com/search.json?data_id=0xa1a53f3e1faf9f%3A0x42ed816965c28b40&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1a53f3e1faf9f%3A0x42ed816965c28b40&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJn68fPj-loQARQIvCZWmB7UI,"Seritinga, MG",lojas_artesanato,2025-07-29T04:16:39.318791,COMPLETA
3,Hobby & Art Produtos para Arte e Artesanato,ChIJt9RBsIiSypQRPJWJrPRLkxM,0x94ca9288b041d4b7:0x13934bf4ac89953c,1410554622535898428,/g/1v9lcx9x,4.5,854,Loja de materiais para artesanato,"Loja de materiais para artesanato, Feira de artesanato",craft_store,"Al. Otávio Marquês de Paiva, 325 - Novo Horizonte, Varginha - MG, 37006-630, Brasil",-21.5717897,-45.4467879,+55 35 2105-3333,https://www.hobbyeart.com.br/,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 08:30–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nruoUuNMx8yOOk1V-Se-QzF_OLgZricXyXX4c382EPPoXpLE47Vp7B88_6ibiOfuWoIBzruectae3T6UZVqMCz9Mk8eKp5sAwwCcdI2NAsWkLyzpQXArVQ7g0Ocr8rmWOUIujJJ=w80-h106-k-no,https://serpapi.com/images/url/L6fqfXicBcFtDoIgAADQE5GaptTWD3O1aRq5Ull_WhGhWUJ8zPR-HaLb9N7vW2st1MKynrU7YZyzJzWKSsI7TTs9IfxlMaEAUUBZYTSvvU4aXphd9oEDQq1TggMF-bg5o5SdZEPwgLFHXDhd7_cci3TtBaUIVhCe_ebaoLupeLwapaFEX6h79ItT-c6icZ61kG7FTIV9H5FbPN2FqmrTYRQ5DmWZB8xGREL5qlARm0eSLHtog9qxfdCCjv8B7T1FCg,https://serpapi.com/search.json?data_id=0x94ca9288b041d4b7%3A0x13934bf4ac89953c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ca9288b041d4b7%3A0x13934bf4ac89953c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJt9RBsIiSypQRPJWJrPRLkxM,"Seritinga, MG",lojas_artesanato,2025-07-29T04:16:39.318791,COMPLETA
4,Artesanato De Resende Costa,ChIJuSYAzXGloQARfi4XFk9t8Ps,0xa1a571cd0026b9:0xfbf06d4f16172e7e,18154130284370931326,/g/11gf9d_7bj,4.7,66,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Av. Alfredo Penido, 903 B - Asfalto, Resende Costa - MG, 36340-000, Brasil",-20.9312608,-44.2307402,+55 32 99842-3501,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Assento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""A atendente Ana Claudia é muito gentil e da boas dicas do que escolher.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noB09DJ_uRhPHAI_y39ZKOhwM2IHLYTOSe68pItYGbjktJWpjS4Yr3tV8uoK2FvL1RH-hOJLtM8bKQ9pe41dFAt_Qq81_117H0ycaSs-RlvxHDQqNlhbFbpRgAkQhHT_yLhPPFI=w80-h106-k-no,https://serpapi.com/images/url/DaGpEHicBcFbjoIwFADQFRWoECwmfjBjmPJQXmYmzE8zMA03grTai8oCXYS78ZzXExC12dj2CK7VK9WPcjby2qkJ5YRWp852rw3pDDF2-BmAN6kPJ9glYq6g4GEsFjf4TXO471cxz5pjXkuf6Ribr_Y0YPKjT7XXXF38ZrNKV9EtoxUnkCcZ7lmbloGWHv2PQhTlhVFB6Zo7S_dXG1KNtwfflZfDCG3U6qoPhxL4USwZFEUUb-_MIUAdnwxkUm9HWkNS,https://serpapi.com/search.json?data_id=0xa1a571cd0026b9%3A0xfbf06d4f16172e7e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1a571cd0026b9%3A0xfbf06d4f16172e7e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJuSYAzXGloQARfi4XFk9t8Ps,"Seritinga, MG",lojas_artesanato,2025-07-29T04:16:39.318791,COMPLETA
5,Loja Alvorada,ChIJzyq6u0lTngAREzso4aOJWyM,0x9e5349bbba2acf:0x235b89a3e1283b13,2547781351158332179,/g/11mcybwqvt,,0,Loja,Loja,store,"R. Ana Ribeiro, Seritinga - MG, 37454-000, Brasil",-21.9084844,-44.5178149,+55 35 99821-2315,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5wTxlfRRDhNJil-17UuzGg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=184.5169&pitch=0&thumbfov=100,https://serpapi.com/images/url/9botG3icHc1LCsIwFADA22TXfMRqKwQ3guDCRdG1pOlr8iBtQpM21ct4Lm-jeIGZz9umFOKBsZgmgLQg5IAruFgERY33xoEKGKn2A1sES3Ye2lGhOwY1euxkmW-r65vmZK8XdIXY3-fX2RDdPrRDGJOMoCZtqck_cfIdNSGSLCtOrKw35KmyFNWWlmJXk4BJW8nJP-n9IgXnX0haOWc,https://serpapi.com/search.json?data_id=0x9e5349bbba2acf%3A0x235b89a3e1283b13&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e5349bbba2acf%3A0x235b89a3e1283b13&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzyq6u0lTngAREzso4aOJWyM,"Seritinga, MG",lojas_artesanato,2025-07-29T04:16:39.318791,COMPLETA
6,Artesanato de Minas,ChIJC5SnqK64oQARAMSFusDBThQ,0xa1b8aea8a7940b:0x144ec1c0ba85c400,1463319962449200128,/g/1ptxf5_7n,4.2,6,Artesanato,"Artesanato, Service establishment, Loja",handicraft,,-14.4095262,-51.31668,+55 32 98874-5214,http://www.lustresdeminas.com.br/,,,,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipO2_y6VmAhmaOlquADDmFolalOqQwh7ehW1Agqg=w139-h92-k-no,https://serpapi.com/images/url/LpJT1nicBcFBCoAgEADAF5lYUBh0EKKrdKlbISFutLpaRvTUftPMt0DO8Wo5R6gKR-TQ3pc9NwrZhlxs5HnkahDjHnW5vvXkFXijMd2q7_1AaFCn8YHGwiyUS657RCUZyJIdLNAPwCEiCQ,https://serpapi.com/search.json?data_id=0xa1b8aea8a7940b%3A0x144ec1c0ba85c400&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1b8aea8a7940b%3A0x144ec1c0ba85c400&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJC5SnqK64oQARAMSFusDBThQ,"Seritinga, MG",lojas_artesanato,2025-07-29T04:16:39.318791,COMPLETA
7,Loja Marinel Comercio Varejista de Moveis e Eletro,ChIJKfLa19BSngARmnzT77EjFDY,0x9e52d0d7daf229:0x361423b1efd37c9a,3896778824722119834,/g/1ptyxyq2l,4,2,Loja de móveis,Loja de móveis,furniture_store,"R. São Sebastião, 113, Seritinga - MG, 37454-000, Brasil",-21.909999,-44.517413,+55 35 99831-1656,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:30; quarta-feira: 08:00–17:30; quinta-feira: 08:00–17:30; sexta-feira: 08:00–17:30; sábado: 08:00–11:30; domingo: Fechado; segunda-feira: 08:00–17:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipOA5Nj4qHK4n2XI_xICft_y6KwoZG0Ki7bUTXbv=w93-h92-k-no,https://serpapi.com/images/url/Xo7EpXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng72jql2VS6OFtkmcU4Rlf4emcVhJfaeZdnh_lbuCdaZ4UGhKRVGZbbmmsm2FppJutm5cPAHt4IOo,https://serpapi.com/search.json?data_id=0x9e52d0d7daf229%3A0x361423b1efd37c9a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e52d0d7daf229%3A0x361423b1efd37c9a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKfLa19BSngARmnzT77EjFDY,"Seritinga, MG",lojas_artesanato,2025-07-29T04:16:39.318791,COMPLETA
8,Artes chinelos.,ChIJYzODbDtTngARbCTFga7yyRk,0x9e533b6c833363:0x19c9f2ae81c5246c,1858283152582452332,/g/11j08c61jp,,0,Artesanato,Artesanato,handicraft,"Rua Sebastião Joaquim Ferreira, N°82 - Centro, Seritinga - MG, 37454-000, Brasil",-21.9094047,-44.5166374,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KxiBzfz1gTjZaaqsSvmStg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=352.6374&pitch=0&thumbfov=100,https://serpapi.com/images/url/cGQ4oHicHc1LDsIgEADQ27ATWus_ISZuXdaVGzOlFMbQgmWE2st4Lm-j8QLvfd6WKMSDEJFGrSmhzgEn7eIiADfeG6chYOTK9yKVguyzbwZAdwwweGzlecLT3M2ludyvAI9Yp74mw1RzUw71QDJqGJXlJv_E0bfchMiy3BXMyv2SvSDLar3km2q7YgFJWVmwf9L5JMui-AKW3zpX,https://serpapi.com/search.json?data_id=0x9e533b6c833363%3A0x19c9f2ae81c5246c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e533b6c833363%3A0x19c9f2ae81c5246c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYzODbDtTngARbCTFga7yyRk,"Seritinga, MG",lojas_artesanato,2025-07-29T04:16:39.318791,COMPLETA
9,Carvalho Presentes,ChIJuTQPi9NSngARuTUZjN946U0,0x9e52d38b0f34b9:0x4de978df8c1935b9,5614151312017536441,/g/11f3r309t_,,0,Loja de Presentes,Loja de Presentes,gift_shop,"R. Niterói, 55, Seritinga - MG, 37454-000, Brasil",-21.9069592,-44.517482699999995,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XX8oeeU4hJM4SuWrvEdznQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=284.94608&pitch=0&thumbfov=100,https://serpapi.com/images/url/xKkl3nicHc1BCgIhFADQ27hLnUHCCaRVm6BFRDS7MOengqOijlan6VrdpugC733eppSYN4TkkgBKtdCifYDLqyixDkE7kNFmrMJMakeKWeabl9Zto_TBTmIceQA4M7M_sNNySXU3vfwRqdtVOQu-iAwyKYN1-4kpTFjHjJrgFBkx9Ogpm-g5wwNbU46iLcoIiv7LPVTRUfoFjys51w,https://serpapi.com/search.json?data_id=0x9e52d38b0f34b9%3A0x4de978df8c1935b9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e52d38b0f34b9%3A0x4de978df8c1935b9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJuTQPi9NSngARuTUZjN946U0,"Seritinga, MG",lojas_artesanato,2025-07-29T04:16:39.318791,COMPLETA
2,Loja Próspera,ChIJi5uRkNdTngARxYKVKt-4ViE,0x9e53d790919b8b:0x2156b8df2a9582c5,2402310719880397509,/g/11r91sbmmh,4.8,4,Loja de materiais de construção,Loja de materiais de construção,building_materials_store,"R. Joaquim Ferreira, 72, Seritinga - MG, 37454-000, Brasil",-21.910263399999998,-44.5167377,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npq0A3zcjNxHuBVnIsKuocn_Meg0pit37-tuw26O2yifTGJydZYnmuyqJqa4pIh8-f5nVtO7UbHH5-Kxz0-WmcJdD4ABw_NfhjOqeL_vdyrn5w1Wa3WeT2fkI3KJXcsuJkeJazy_A=w122-h92-k-no,https://serpapi.com/images/url/_JlJu3icBcFBcoIwFADQE33BBGp1xgW2M4XQysZK2w1DQyCK_ASTiOGCnqG36Xt_D2mtNpsguEi66JTqLsIZceUKrUC74GoIOm2AGzBB8rKWEeoxTOjMz_t76nZHzEzuFMfqQ3ShPlm6Ausm8lQQf2oPb8w3P984OD-ysY50Jp-hjfFoi9Xnb5rGkN_nEMqBs-Y1SnZTtW_luRjFe3Vr_BXjaVnWtBQH0vYZzdkXN471gtWzr5LttCQE5JpAD6j-Adv0Rqc,https://serpapi.com/search.json?data_id=0x9e53d790919b8b%3A0x2156b8df2a9582c5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e53d790919b8b%3A0x2156b8df2a9582c5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJi5uRkNdTngARxYKVKt-4ViE,"Seritinga, MG",lojas_decoracao,2025-07-29T04:16:42.389366,COMPLETA
