position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Jm Papelaria e Variedades | Serra do Cipó,ChIJD9oflxjvpQARLxlKEKo3nJA,0xa5ef18971fda0f:0x909c37aa104a192f,10420264841385744687,/g/11vycb7_ly,4.9,46,Papelaria,"Papelaria, Gráfica, Fornecedor de produtos descartáveis, Loja de presentes, Impressões, Loja de artigos religiosos",stationery_store,"MG-010, 1222 - Serra do Cipó, Santana do Riacho - MG, 35847-000, Brasil",-19.3332174,-43.6219301,+55 31 97139-1530,https://www.instagram.com/jm_papelariaevariedades/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""Excelente Atendimento,  sempre encontro os produtos que preciso.""",https://lh3.googleusercontent.com/p/AF1QipPK8GAf4zJSjlBj_ix7e2FGGciI9HHnU3x2peyy=w80-h98-k-no,https://serpapi.com/images/url/-1-PGnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4G3h7phmUuUVnJXjlBWfWWGeauTm7p6c6Wnp4ZEXalxhVJBaWWlbbmGgm2FpoZutm5cPAH8wIQQ,https://serpapi.com/search.json?data_id=0xa5ef18971fda0f%3A0x909c37aa104a192f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5ef18971fda0f%3A0x909c37aa104a192f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJD9oflxjvpQARLxlKEKo3nJA,"Serra do Cipó – Santana do Riacho, MG",lojas_presentes,2025-07-29T04:21:56.493926,COMPLETA
2,Uai Retrô,ChIJsaaeDeXvpQARCZfvkbWlBOg,0xa5efe50d9ea6b1:0xe804a5b591ef9709,16718669915962185481,/g/11c30txdtp,4.5,10,Papelaria,Papelaria,stationery_store,"R. Santa Terezinha, 35 - Serra do Cipó, Santana do Riacho - MG, 35845-000, Brasil",-19.3359408,-43.6261162,+55 31 99213-4233,,Fechado ⋅ Abre às 13:00,Fechado ⋅ Abre às 13:00,terça-feira: 13:00–20:00; quarta-feira: 13:00–20:00; quinta-feira: 13:00–20:00; sexta-feira: 13:00–21:00; sábado: 10:00–23:00; domingo: 10:00–22:00; segunda-feira: 13:00–20:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Muita variedade de lembrancinhas.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nofHllJaO1IPLqbfoh7joNEzGZXDQ8wlh8wZwfEOsiwKQxlEHihJFA6gnKDLZ0RruS3LjsRgBiO6ws4X-Gzthx3UIUq5trbBh68qW78HlCSfJOtu3NNMsZ-WnsGByiIb2ASgi48=w163-h92-k-no,https://serpapi.com/images/url/NtdiGXicBcFbjoIwFADQFVXUItZJ_ABFHjKgEqPhTwj01um0wi2puj8XMbuZc_4-YMwDvxxHAp1wrblsR2yHRivTKjNp9K_DH0gaJOj4mxW4SnexlOmtmCWHrK87Dcu7zsN3VF23R2YlMFvZLixQ2P3xKcNYQLrzPa7226yanoaxpNkdTzwQhWfRvZLobeBJz8m5X5ihDsBj_WXJYrkpu7QwI83zb6zIRWEUvERSz_2SC5et7cyjBFZz8kOU_gcmhET4,https://serpapi.com/search.json?data_id=0xa5efe50d9ea6b1%3A0xe804a5b591ef9709&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5efe50d9ea6b1%3A0xe804a5b591ef9709&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJsaaeDeXvpQARCZfvkbWlBOg,"Serra do Cipó – Santana do Riacho, MG",lojas_presentes,2025-07-29T04:21:56.493926,COMPLETA
3,Cipório da Serra,ChIJx3FwhU7vpQARzGhYDIRjG2g,0xa5ef4e857071c7:0x681b63840c5868cc,7501699023109646540,/g/11w_rx9wr4,5,2,Loja de variedades,Loja de variedades,variety_store,"MG-010, 1259 - Centro, Santana do Riacho - MG, 35845-000, Brasil",-19.3357012,-43.62703,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npZT-mCVymQuxmj54AW4JyokL3bV284pRsATATTwIoMfwn3H4agVZ0M-3RDs838PUZeX_hFpeW7ZgLz1XxxT76qPBGPzPamLHHADy038u1MsLYOM-YhbJkUQ4mLmgNdoVaXqwnAN5Vaxms=w122-h92-k-no,https://serpapi.com/images/url/a0Z7i3icBcHdboIwGADQJ6oIrRNNvKgax0xxaGpFbgxi12bYH_dBAJ9xL-DbeM7rXzeNh3kQ3DUeKefUXbYg_ypnG2mbUeVMoDygChAEdDXTxPqCI7MSg9m3vfmdEHoi28HVDF9FFBN_AMop592XS386ixNSKlGMU4QPa4hxnB0LmV_0xsvTtFDsGeZ9z6cfj2z5mT2z0rAkoethjOM2TIGdv1N01tdtfdwTw4za3Zwo80dn6W4iyt7AogujCOlZhGpk3Rt250Zk,https://serpapi.com/search.json?data_id=0xa5ef4e857071c7%3A0x681b63840c5868cc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5ef4e857071c7%3A0x681b63840c5868cc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJx3FwhU7vpQARzGhYDIRjG2g,"Serra do Cipó – Santana do Riacho, MG",lojas_presentes,2025-07-29T04:21:56.493926,COMPLETA
4,De Paula Papelaria,ChIJw3zykfDvpQARePr2E11I_9M,0xa5eff091f27cc3:0xd3ff485d13f6fa78,15276008025668123256,/g/11h93fbzsg,3,1,Loja de presentes,Loja de presentes,novelty_store,"MG-010, 640 - Serra do Cipó, Santana do Riacho - MG, 35845-000, Brasil",-19.3367534,-43.630888899999995,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yr-zgYqUnRkwxXO8uQ0CKA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=175.41374&pitch=0&thumbfov=100,https://serpapi.com/images/url/4r3nXnicHc1dCsIgAADg2_g2f2qxFUhEjz1EQVBP4ZxTyampm1un6VrdpugC3_d5q5R83CAUUxAijVpkrydhYuEZlM5JI5jXEXLXo5GgpIa-sUybrWfW6ZbOoXjJ2_Niz488XY_1cML7ww7w5s6NFjbRKFjgCsr8E4NrofQRZFpjoOh6AWaWKalWsCTLqgReJ64oBv-lcyMlGH8BnOs53g,https://serpapi.com/search.json?data_id=0xa5eff091f27cc3%3A0xd3ff485d13f6fa78&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5eff091f27cc3%3A0xd3ff485d13f6fa78&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJw3zykfDvpQARePr2E11I_9M,"Serra do Cipó – Santana do Riacho, MG",lojas_presentes,2025-07-29T04:21:56.493926,COMPLETA
5,Mercadinho Tá Caindo Fulô,ChIJTRo6SeTvpQAR2eJQfEYN4Zk,0xa5efe4493a1a4d:0x99e10d467c50e2d9,11088158353947419353,/g/11c6zwcyq2,4.5,601,Mercado,"Mercado, Associação / organização, Feira de artesanato, Mercado de produtos agrícolas",market,"Rodovia MG 010 - Km 97 nº 1138 - Praça Central Distrito de, Centro, Santana do Riacho - MG, 35847-000, Brasil",-19.334853,-43.6244711,+55 31 99641-5636,https://linktr.ee/mercadinhotacaindofulo,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–17:00; quarta-feira: 08:30–17:00; quinta-feira: 08:30–17:00; sexta-feira: 08:30–17:00; sábado: 08:30–14:00; domingo: Fechado; segunda-feira: 08:30–17:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,"""Para quem gosta de consumir produtos locais, esse é o lugar certo.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq8r7Q2mIup2UKW-3k08t8wP0XnXCSz4CnyGdfqhmpeSfU98fXHfChRjg62DI0TWsPrOL7wmloWCECXgdgZVcXvSYbA2tl-nmCOnVRPXuOzLUFKLC3NbbtcAQcku1EDy2pItZjK=w122-h92-k-no,https://serpapi.com/images/url/UIy1qnicBcFJDoIwAADAFxWwGAUTD6RuBCIIItUjFdoAXaRFgv_zEf7Gmd-XGaP0xrZ75lpUStrXo64HIoWphbGI5DZVGhANtB0gny3FyxvWF8jDUcEiKoHbOZ7xptTBAqP8s0RiPj6bF-OqzpvC9xp8ahDLWrqCu9C5ljodkng98V6WaI8wfdLHjeB3fq8CaHogOErELUvxmHzi4hDFyD1XlSHBhXTjYr-boQrNo4220wJCwHwIOiDkH7BoRI0,https://serpapi.com/search.json?data_id=0xa5efe4493a1a4d%3A0x99e10d467c50e2d9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5efe4493a1a4d%3A0x99e10d467c50e2d9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTRo6SeTvpQAR2eJQfEYN4Zk,"Serra do Cipó – Santana do Riacho, MG",lojas_presentes,2025-07-29T04:21:56.493926,COMPLETA
6,Cipó Variedades,ChIJvVB9bRLvpQARZWXOEwC6h-I,0xa5ef126d7d50bd:0xe287ba0013ce6565,16323219883922711909,/g/11qwyynbvw,5,1,Loja de variedades,Loja de variedades,variety_store,"Restaurante Panela de Pedra, MG-010 - Serra do Cipó, Santana do Riacho - MG, 35847-000, Brasil",-19.3361067,-43.6268019,+55 31 98434-4567,,Fechado ⋅ Abre às 13:00,Fechado ⋅ Abre às 13:00,terça-feira: 13:00–18:00; quarta-feira: 13:00–18:00; quinta-feira: 13:00–18:00; sexta-feira: 13:00–22:00; sábado: 08:00–22:00; domingo: 08:00–19:00; segunda-feira: 13:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipM-PqsC1vDHHjWdNU3cDppWqHIWpMQjxqQPhGN3=w122-h92-k-no,https://serpapi.com/images/url/EbQpMnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngqxtQWOxsWObi4ZEVnuIXapzsUlAQXujhGV7gG5hVURgYkOHuZ2xbbmhkpJthaaSbrZuXDwCm8yFH,https://serpapi.com/search.json?data_id=0xa5ef126d7d50bd%3A0xe287ba0013ce6565&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5ef126d7d50bd%3A0xe287ba0013ce6565&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvVB9bRLvpQARZWXOEwC6h-I,"Serra do Cipó – Santana do Riacho, MG",lojas_presentes,2025-07-29T04:21:56.493926,COMPLETA
7,Gi Guimarães Artesanato,ChIJd-lnP-XvpQARBRFz9gd8vbM,0xa5efe53f67e977:0xb3bd7c07f6731105,12951644477028765957,/g/11h4by9m03,5,5,Loja,Loja,store,"MG-010 - Serra do Cipó, Santana do Riacho - MG, 35845-000, Brasil",-19.3357281,-43.6269808,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Também um imã de geladeira da Serra do Cipó, não pode faltar né hahahaha""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noktr6tZOpJ6oArMYsg7xk0tGaE0kRYa-YCoqqBvzp9yO0KRe7Wd3eH1qpMlCE2Y_k9SOtRMh134fEcdUG_OaEKuN5mwWAeRceTxgZyoWH9emsBToYlTfv6wkzWZOMI299W63A=w163-h92-k-no,https://serpapi.com/images/url/gJvR-nicBcFbjsIgFADQFWEfKAaT-ahN4yuVpHZC6I9pECGh7aUFrbo-NzG7mXP-viYE5zdR1Bm80AC6Uw-vJglDUENYSOgj7TySHvkoy6lZDmDDRELD3JFANpXC6_XLxmHXFrGtRItEDuO4fX4cfbP4VKk1v2G1T0ZXdnmRiqulFxaq0iR4eS_k7Xd3ZW1xepxX_cwzVUlVv3TzBr6nqvfbGkRX359kth_esPKQUsoJzn7mhGBkaIosGuAfyHZEiw,https://serpapi.com/search.json?data_id=0xa5efe53f67e977%3A0xb3bd7c07f6731105&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5efe53f67e977%3A0xb3bd7c07f6731105&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJd-lnP-XvpQARBRFz9gd8vbM,"Serra do Cipó – Santana do Riacho, MG",lojas_presentes,2025-07-29T04:21:56.493926,COMPLETA
8,ELÉTRICA E MAIS SERRA DO CIPÓ,ChIJv-ZkZATvpQARNLVpU5B_EEc,0xa5ef046464e6bf:0x47107f905369b534,5120733034171708724,/g/11n_zmh3g8,5,11,Loja de materiais elétricos,Loja de materiais elétricos,electrical_supply_store,"MG-010, KM 98 - Centro, Santana do Riacho - MG, 35847-000, Brasil",-19.3367424,-43.6308751,+55 31 99739-8641,https://www.instagram.com/eletricaemais/,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: 08:00–14:00; domingo: Fechado; segunda-feira: 07:00–17:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Loja excelente com uma variedade enorme de produtos tecnológicos.""",https://lh3.googleusercontent.com/p/AF1QipOE_xEbF9NVEI2E0np8Gyz-kRhL85zO1s1XdjBN=w122-h92-k-no,https://serpapi.com/images/url/uyQzr3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7xpf4ZrkZukX5upp5GqQV2DhXlmlmx2U4WNhWuVvWGwYkZLl5GdbbmhkpJthaaSbrZuXDwCQ-SCQ,https://serpapi.com/search.json?data_id=0xa5ef046464e6bf%3A0x47107f905369b534&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5ef046464e6bf%3A0x47107f905369b534&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJv-ZkZATvpQARNLVpU5B_EEc,"Serra do Cipó – Santana do Riacho, MG",lojas_presentes,2025-07-29T04:21:56.493926,COMPLETA
9,ESTILO CIPÓ,ChIJBQChQOXvpQARaZMpwLnaI0I,0xa5efe540a10005:0x4223dab9c0299369,4765893322015871849,/g/11b_0205df,4.9,19,Loja de Roupa,Loja de Roupa,clothing_store,"RODOVIA MG 010 - KM 97, 1093 CENTRO, Centro, Santana do Riacho - MG, 35847-000, Brasil",-19.3363042,-43.6299932,+55 31 98363-8802,http://www.facebook.com/estilocipo,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–12:00; segunda-feira: 09:00–19:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Loja com produtos de qualidade e preço justo.""",https://lh3.googleusercontent.com/p/AF1QipO9C6-XlWKgi0gjGGm96PKNfw3geOGon_zOsDOK=w103-h92-k-no,https://serpapi.com/images/url/YSFOK3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb-lsphuRE-6dnmmQnuXunmtpFuDtl1ZunJ7q756fF1_lX-zi721bbmhgrJthaaSbrZuXDwCWGCD2,https://serpapi.com/search.json?data_id=0xa5efe540a10005%3A0x4223dab9c0299369&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5efe540a10005%3A0x4223dab9c0299369&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBQChQOXvpQARaZMpwLnaI0I,"Serra do Cipó – Santana do Riacho, MG",lojas_presentes,2025-07-29T04:21:56.493926,COMPLETA
10,Super Serra MIX,ChIJY-RlMRr0pQAR--pZ9j2_VO4,0xa5f41a3165e463:0xee54bf3df659eafb,17173561551917542139,/g/11byxfyd17,4.6,46,Supermercado,"Supermercado, Loja de eletrodomésticos, Loja de celulares, Cafeteria, Loja de artigos domésticos",grocery_store,"Rodovia Km 97, 2° piso,Centro Serra do Cipó MG,35847-000 - MG-010, Centro, Santana do Riacho - MG, 35847-000, Brasil",-19.335652,-43.626539,+55 31 3718-7451,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–19:00; domingo: 07:00–12:00; segunda-feira: 07:00–19:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Bem localizada e faz entregas em toda região.""",https://lh3.googleusercontent.com/p/AF1QipMJoJqJ_IstgiOlbO-6lJ7LAQdgZvIdZWvpZ3Tq=w92-h92-k-no,https://serpapi.com/images/url/DmLWh3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng65XvVegV71lckp7pn5Pkr2uW42Xu4xiYkh5V5pkSFV5WEGUcUmhbbmmkmwHE2bp5-QCV9CGB,https://serpapi.com/search.json?data_id=0xa5f41a3165e463%3A0xee54bf3df659eafb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5f41a3165e463%3A0xee54bf3df659eafb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY-RlMRr0pQAR--pZ9j2_VO4,"Serra do Cipó – Santana do Riacho, MG",lojas_presentes,2025-07-29T04:21:56.493926,COMPLETA
