position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja Amanda,ChIJnRWSR9-snwAR25fSh64SpUM,0x9facdf4792159d:0x43a512ae87d297db,4874322712510765019,/g/11ckr9frkh,4.8,11,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Rui Barbosa, 90A - centro, Serranos - MG, 37452-000, Brasil",-21.890843399999998,-44.5113037,,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–17:00; domingo: Fechado; segunda-feira: 08:00–17:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,,,https://serpapi.com/search.json?data_id=0x9facdf4792159d%3A0x43a512ae87d297db&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9facdf4792159d%3A0x43a512ae87d297db&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJnRWSR9-snwAR25fSh64SpUM,"Serranos, MG",lojas_presentes,2025-07-29T04:24:34.216638,COMPLETA
2,doce rabisco,ChIJtbhXcUytnwAR31b5nqOwqmE,0x9fad4c7157b8b5:0x61aab0a39ef956df,7037631584513119967,/g/11lzwz_hv3,5,1,Papelaria,Papelaria,stationery_store,"R. Guimarães Rosa, Serranos - MG, 37452-000, Brasil",-21.890647899999998,-44.513601699999995,+55 35 99823-1962,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–16:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–15:30; domingo: Fechado; segunda-feira: 08:00–16:00,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipOhHPWR_OeqHg7J5QPO8bAJgDn5WW9d5B1Y7VV4=w80-h106-k-no,https://serpapi.com/images/url/SvLEnXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn-EREB4U759a6JFu7mUaGOBvkeTole6SZxoebpli6mQYaR4WZmJbbmGgm2FoYKabrZuXDwCM3iAd,https://serpapi.com/search.json?data_id=0x9fad4c7157b8b5%3A0x61aab0a39ef956df&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fad4c7157b8b5%3A0x61aab0a39ef956df&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtbhXcUytnwAR31b5nqOwqmE,"Serranos, MG",lojas_presentes,2025-07-29T04:24:34.216638,COMPLETA
3,Loja da Jandira,ChIJ01ujQCGtnwARxynz5ilVcIw,0x9fad2140a35bd3:0x8c705529e6f329c7,10119682001158220231,/g/11c2mdc9qt,4.2,11,Loja de Roupa,Loja de Roupa,clothing_store,"R. Oswaldo Cruz, Serranos - MG, 37452-000, Brasil",-21.8892977,-44.5150983,+55 35 99905-9374,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,,,https://serpapi.com/search.json?data_id=0x9fad2140a35bd3%3A0x8c705529e6f329c7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fad2140a35bd3%3A0x8c705529e6f329c7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ01ujQCGtnwARxynz5ilVcIw,"Serranos, MG",lojas_presentes,2025-07-29T04:24:34.216638,COMPLETA
4,Luciana Materiais de Construção,ChIJRYbv-B-tnwARWzXWMjCAoAY,0x9fad1ff8ef8645:0x6a0803032d6355b,477522505000957275,/g/11b6hws7qc,4.8,23,Loja de materiais de construção,Loja de materiais de construção,building_materials_store,"R. Castro Alves, 20, Serranos - MG, 37452-000, Brasil",-21.890484,-44.507106199999996,+55 35 3322-1303,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–18:00; domingo: Fechado; segunda-feira: 07:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,,,https://serpapi.com/search.json?data_id=0x9fad1ff8ef8645%3A0x6a0803032d6355b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fad1ff8ef8645%3A0x6a0803032d6355b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRYbv-B-tnwARWzXWMjCAoAY,"Serranos, MG",lojas_presentes,2025-07-29T04:24:34.216638,COMPLETA
5,CiA Papelaria,ChIJRd8TbeGtnwAR8VOd0Z8onj4,0x9fade16d13df45:0x3e9e289fd19d53f1,4512088543553475569,/g/11h38rm208,,0,Loja de produtos de papelaria,Loja de produtos de papelaria,copying_supply_store,"R. Guimarães Rosa, 128 - centro, Serranos - MG, 37452-000, Brasil",-21.8903237,-44.513526,+55 35 99823-1962,https://instagram.com/ciapapelaria.presentes?igshid=ZDdkNTZiNTM=,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,"terça-feira: 09:00–11:30, 13:30–17:30; quarta-feira: 09:00–11:30, 13:30–17:30; quinta-feira: 09:00–11:30, 13:30–17:30; sexta-feira: 09:00–11:30, 13:30–17:30; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–11:30, 13:30–17:30",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNOsNlg96vdp53jBewe7X7CdW3PIbPyf1_4Dws0=w163-h92-k-no,https://serpapi.com/images/url/NUlS9nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng51_sl5NuaVaWUmBqnOWUWp5qHmHunBJuHOCZFFCZZhhv4lJebGBbbmhmrJthaaSbrZuXDwCjziD-,https://serpapi.com/search.json?data_id=0x9fade16d13df45%3A0x3e9e289fd19d53f1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fade16d13df45%3A0x3e9e289fd19d53f1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRd8TbeGtnwAR8VOd0Z8onj4,"Serranos, MG",lojas_presentes,2025-07-29T04:24:34.216638,COMPLETA
6,Loja V.S,ChIJtwl8qiCtnwARm7Fl3VjO-w8,0x9fad20aa7c09b7:0xffbce58dd65b19b,1151741010790166939,/g/11c2j90wrg,,0,Loja de eletrônicos,Loja de eletrônicos,electronics_store,"Av. Rui Barbosa, Serranos - MG, 37452-000, Brasil",-21.8909223,-44.5126065,,,Temporarily closed,Temporarily closed,,,,,,,,,,,https://serpapi.com/search.json?data_id=0x9fad20aa7c09b7%3A0xffbce58dd65b19b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fad20aa7c09b7%3A0xffbce58dd65b19b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtwl8qiCtnwARm7Fl3VjO-w8,"Serranos, MG",lojas_presentes,2025-07-29T04:24:34.216638,COMPLETA
1,M Z Artesanato,ChIJJ94-g8bHoQARQ9aAJYoHk5M,0xa1c7c6833ede27:0x9393078a2580d643,10633851435067954755,/g/1tggvrl_,4.8,25,Artesanato,Artesanato,handicraft,"Av. Min. Gabriel Passos, 218 - Centro, Santa Cruz de Minas - MG, 36328-000, Brasil",-21.1215317,-44.232147399999995,+55 32 3372-3855,http://www.mzartesanato.com.br/,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 07:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento e produtos de muita qualidade!""",https://lh3.googleusercontent.com/p/AF1QipM1b-_T68fzIKhuIcCm4-bINnaR_qjZuw_B9hvY=w125-h92-k-no,https://serpapi.com/images/url/rguyfnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga5ikGx9iZpFW5emdUeqZ7Jxropvk6ZeXGBRfmBVVWh7vZJlRFmlbbmhkqpthaaSbrZuXDwCiAyFh,https://serpapi.com/search.json?data_id=0xa1c7c6833ede27%3A0x9393078a2580d643&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c7c6833ede27%3A0x9393078a2580d643&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJ94-g8bHoQARQ9aAJYoHk5M,"Serranos, MG",lojas_artesanato,2025-07-29T04:24:37.280278,COMPLETA
2,Loja de Artesanato,ChIJvdPOF7zHoQARRJVXt_-svcQ,0xa1c7bc17ced3bd:0xc4bdacffb7579544,14176677416324797764,/g/1vvyz9fd,,0,,,,"Av. Min. Gabriel Passos, 2034, Santa Cruz de Minas - MG, 36328-000, Brasil",-21.123077199999997,-44.211349999999996,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=65P4aA7Q2pkQPAPMSQ8dcQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=159.17278&pitch=0&thumbfov=100,https://serpapi.com/images/url/bXNZV3icHc3bDcIgFADQbfiTR2Nta0JMBzApcQBzSxGItNwULLqNa7mNxgXO-bxdzpiOjKW8GpM3bwr6pwlph0BtjDYYQJ-ojjPbBMvuMY8L-HBCWKKf5KEe9tA3qsK7GvrhfFHtpBXR41UHb5Ysk4FVO2rLT1zjRC0mUmTLiZNdRV5QpKg7KpqqaQn6rJ3k5L_c4iYF518ogDip,https://serpapi.com/search.json?data_id=0xa1c7bc17ced3bd%3A0xc4bdacffb7579544&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c7bc17ced3bd%3A0xc4bdacffb7579544&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvdPOF7zHoQARRJVXt_-svcQ,"Serranos, MG",lojas_artesanato,2025-07-29T04:24:37.280278,COMPLETA
1,Galeria de Arte Firenze,ChIJLdNosN-ZpgARNU6LVeq449A,0xa699dfb068d32d:0xd0e3b8ea558b4e35,15052077696199380533,/g/1tdc1wp_,4.8,36,Galeria de Arte,"Galeria de Arte, Arte",art_gallery,"MG 030, Rod. Januário Carneiro, 9084 - loja 08 - Vale do Sereno, Nova Lima - MG, 34006-002",-19.987289999999998,-43.942542599999996,(31) 3291-2343,https://www.galeriafirenze.com.br/,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 10:00–14:00; domingo: Fechado; segunda-feira: 10:00–19:00,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas",,,,"""Abraços Cezar""",https://lh3.googleusercontent.com/p/AF1QipNYd8tUzD6ElZEUfcIzF_M90QVKXomy-ee4vN4Y=w163-h92-k-no,https://serpapi.com/images/url/RoRJBnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF5liURJa5WLmmhPlGpqW7FnlFu9raRAY5h2Rn1upm5pqUuZnEmlbbmhmrJthaaSbrZuXDwCmsSEj,https://serpapi.com/search.json?data_id=0xa699dfb068d32d%3A0xd0e3b8ea558b4e35&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699dfb068d32d%3A0xd0e3b8ea558b4e35&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJLdNosN-ZpgARNU6LVeq449A,"Serranos, MG",galerias_arte,2025-07-29T04:24:43.358935,COMPLETA
2,AM Galeria de Arte - Arte Contemporânea,ChIJZ4X_WcCZpgAR0kTJQ7alYkM,0xa699c059ff8567:0x4362a5b643c944d2,4855625550498710738,/g/1tmcngnj,4.6,22,Galeria de Arte,Galeria de Arte,art_gallery,"R. do Ouro, 136 - Serra, Belo Horizonte - MG, 30220-000",-19.933220499999997,-43.9235513,(31) 3223-4209,http://www.amgaleria.com.br/,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 10:00–13:30; domingo: Fechado; segunda-feira: 10:00–19:00,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas",,,,"""Obras maravilhosas.""",https://lh3.googleusercontent.com/p/AF1QipOfqSUpTjC8J01F_Sfugo5JreEIC1rvBniDfsNa=w135-h92-k-no,https://serpapi.com/images/url/jk-hunicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn1YYHFoQkuVs4WVg6BYfnFaanm_qVZTq6ulsWFTmlJfpklbsl2hbbmhsqpthaaSbrZuXDwCrbiFr,https://serpapi.com/search.json?data_id=0xa699c059ff8567%3A0x4362a5b643c944d2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699c059ff8567%3A0x4362a5b643c944d2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZ4X_WcCZpgAR0kTJQ7alYkM,"Serranos, MG",galerias_arte,2025-07-29T04:24:43.358935,COMPLETA
