position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Lojas Ramires,ChIJNz7rjsubmAARDLC4ZxOaX3o,0x989bcb8eeb3e37:0x7a5f9a1367b8b00c,8817936003549933580,/g/11clvskdr3,5,2,Mercado,Mercado,market,"R. José Luís Caruso, 243 - Centro, Simão Pereira - MG, 36123-000, Brasil",-21.9635566,-43.314427099999996,+55 32 99136-8817,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–19:00; quarta-feira: 08:30–19:00; quinta-feira: 08:30–19:00; sexta-feira: 08:30–19:00; sábado: 08:30–19:00; domingo: 08:30–16:00; segunda-feira: 08:30–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipP5akz0pGNIOqJCGArYfyaDWAM9pn68fQGnrz6z=w92-h92-k-no,https://serpapi.com/images/url/bXO5PnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYJqYXWVQ4O7n6V_o5ezuWBSZVpnoEu7oa1mQZ2aRFuieV1RlVmVbbmmkmwHE2bp5-QCHiiEr,https://serpapi.com/search.json?data_id=0x989bcb8eeb3e37%3A0x7a5f9a1367b8b00c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x989bcb8eeb3e37%3A0x7a5f9a1367b8b00c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJNz7rjsubmAARDLC4ZxOaX3o,"Simão Pereira, MG",lojas_presentes,2025-07-29T04:27:03.250440,COMPLETA
2,Agro & Tudo Três Irmãos,ChIJJZEXfBaNmAARVw3xOqYJb1U,0x988d167c179125:0x556f09a63af10d57,6156149825196854615,/g/11ns7c6zmy,4.4,5,Loja de materiais de construção,"Loja de materiais de construção, Loja de suprimentos agrícolas, Pet Shop",building_materials_store,"Rua Luiz de, R. Luís Giácomo, 160 - Centro, Simão Pereira - MG, 36123-000, Brasil",-21.9650762,-43.3145759,+55 32 99831-6406,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–18:00; domingo: 08:00–12:00; segunda-feira: 07:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNJ_U6TIkREjsmeANyjWMZLyay2kTR11D9aGxit=w163-h92-k-no,https://serpapi.com/images/url/i6aefXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5xUfahbimR3kmlWcm-roV5kV7hvlU5lYaZQdEmRo6GKZ6F6RWWJbbmhmrJthaaSbrZuXDwCvXSF6,https://serpapi.com/search.json?data_id=0x988d167c179125%3A0x556f09a63af10d57&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988d167c179125%3A0x556f09a63af10d57&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJZEXfBaNmAARVw3xOqYJb1U,"Simão Pereira, MG",lojas_presentes,2025-07-29T04:27:03.250440,COMPLETA
3,Mercado Trembão,ChIJEyETFSaNmAARuiC2SVEZJ9o,0x988d2615132113:0xda27195149b620ba,15719560861279723706,/g/11q2x79xyb,4.9,28,Mercado,Mercado,market,"R. Dr. Duarte de Abreu, n° 126 - Centro, Simão Pereira - MG, 36123-000, Brasil",-21.9649106,-43.3132204,+55 32 99815-9299,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–19:00; domingo: 07:00–12:00; segunda-feira: 07:00–19:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""É bem organizado , oferta bons produtos , possui açougue e lanchonete.""",https://lh3.googleusercontent.com/p/AF1QipONDDwLcHYv8_amTjvRrTGELnnYL0c0W8dPr70M=w122-h92-k-no,https://serpapi.com/images/url/PAfu7HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7-fiUu6T7BFZZhGfmBuSVRZUFOLu6pOXF-ljkGwQbpESUGRu4GtbbmhkpJthaaSbrZuXDwCp2iEP,https://serpapi.com/search.json?data_id=0x988d2615132113%3A0xda27195149b620ba&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988d2615132113%3A0xda27195149b620ba&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEyETFSaNmAARuiC2SVEZJ9o,"Simão Pereira, MG",lojas_presentes,2025-07-29T04:27:03.250440,COMPLETA
4,Ao Lado Mercado To Com Trigo,ChIJ10giNJ6NmAARUIKQzhY-p78,0x988d9e342248d7:0xbfa73e16ce908250,13810075050030694992,/g/11fxcgc48z,4.5,4,Mercado de produtos agrícolas,Mercado de produtos agrícolas,produce_market,"R. Fernandes Filgueira, 146-270, Simão Pereira - MG, 36123-000, Brasil",-21.9646342,-43.3125967,+55 32 3272-1445,,,,,,,,Cartão de débito,,,"""Sempre realizo nossas compras,pessoal muito educado .""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qVLxwrwcXj2e9S2QIDyPAg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=160.3027&pitch=0&thumbfov=100,https://serpapi.com/images/url/vGUpr3icHc1RCsIgGADg2_iWOoNqgUTQS9BDEURv4dyfGm6a_s3tNJ2r2xRd4Ps-b4sY85qxjAkABwcluhF8nkVFTQjGg4ouUx06NlQM7atreuX8Jqo-uFY-L4expKKvDwH1WZz2u-m4NUQ3N-0d9CgzqKQtNeUnptBSEzMpcsWJlbUgkyqyWnA652JJokNtJSf_5B4GWXH-BVeDOX4,https://serpapi.com/search.json?data_id=0x988d9e342248d7%3A0xbfa73e16ce908250&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988d9e342248d7%3A0xbfa73e16ce908250&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ10giNJ6NmAARUIKQzhY-p78,"Simão Pereira, MG",lojas_presentes,2025-07-29T04:27:03.250440,COMPLETA
5,Residencial Miragem,ChIJK-cJJbONmAARKwtdGZI_6r8,0x988db32509e72b:0xbfea3f92195d0b2b,13828935502517832491,/g/11jp08f6ys,4.9,15,Complexo de condomínio,Complexo de condomínio,condominium_complex,"Balança, Rua Marieta Savino Petrosino, 48 48, Simão Pereira - MG, 36123-000, Brasil",-21.955949099999998,-43.3132151,+55 32 3272-1374,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,"terça-feira: 08:00–12:00, 13:00–17:00; quarta-feira: 08:00–12:00, 13:00–17:00; quinta-feira: 08:00–12:00, 13:00–17:00; sexta-feira: 08:00–12:00, 13:00–17:00; sábado: 08:00–14:00; domingo: Fechado; segunda-feira: 08:00–14:00",,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Excelente local parra morar ou passar o final de semana""",https://lh3.googleusercontent.com/p/AF1QipPQ9fAvLCzRXXxI0xY0-Ymqweaq5L8Pyjk_LM_E=w80-h107-k-no,https://serpapi.com/images/url/OPFdK3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEGiZ5ljm41wVFBFR4WlQEWmgG5lbWJ6aWGjqYxFQmZUd7-Mb72pbbmGgm2FoYK6brZuXDwCtjCFw,https://serpapi.com/search.json?data_id=0x988db32509e72b%3A0xbfea3f92195d0b2b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988db32509e72b%3A0xbfea3f92195d0b2b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJK-cJJbONmAARKwtdGZI_6r8,"Simão Pereira, MG",lojas_presentes,2025-07-29T04:27:03.251435,COMPLETA
6,Simão Pereira,ChIJS0SL2nONmAAR4nJRdxxZMd4,0x988d73da8b444b:0xde31591c775172e2,16010676129074606818,/m/09rx_tn,,0,,,,"Minas Gerais, Brasil",-21.9644704,-43.309214,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEoYWpuzz9l9gy_zL0p-M80FWR8UqI8ZXtOVmLdckF3JxYoTA0iLzSqnkx043Rua2KRDRvjkjstyZiR5P2J5WtDXaiDmrGEpXU7sPvkrkttspRCfep4510pTZaIdU0dqzDIfL-=w80-h106-k-no,https://serpapi.com/images/url/b2AdJXicBcHdEkJAGADQJ9psoWimCxMapanZErlpDELL7rKffvb9eojepnN-3xpAyKWmtbU-qTiv2nKU5ZBzBiWDSc47rRIS5RJJzVnbtcG4x6-xGJWyW7v63FSIBdpb2I-JFfWBlSZwuHRhkVNf376v_OzgJlSnntE3NnQyZrMdccnzQR8SPmlDzONsa8bgJlnjdsPGE0m0kMcnHSiAFGR9L4VhTrE4p1lQRLjolRvcQ7R6WRjVUzxHFDH-Byr6RYo,https://serpapi.com/search.json?data_id=0x988d73da8b444b%3A0xde31591c775172e2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988d73da8b444b%3A0xde31591c775172e2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJS0SL2nONmAAR4nJRdxxZMd4,"Simão Pereira, MG",lojas_presentes,2025-07-29T04:27:03.251435,COMPLETA
7,Cantinho king James,ChIJBcyqzP6NmAARnGa19bRATpc,0x988dfeccaacc05:0x974e40b4f5b5669c,10902722893871146652,/g/11pv5vtcr8,5,3,Salão de festas,Salão de festas,banquet_hall,"R. José Novelino, 82 - Centro, Simão Pereira - MG, 36123-000, Brasil",-21.9633705,-43.3128673,+55 32 99999-9999,,Fechado ⋅ Abre sáb. às 09:00,Fechado ⋅ Abre sáb. às 09:00,terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: Fechado; sábado: 09:00–23:00; domingo: 09:00–19:00; segunda-feira: Fechado,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipPyl6nCJoO5SrFUOs8J8RwOX0u9Mr8RZkbaBxxr=w163-h92-k-no,https://serpapi.com/images/url/8FOBtnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUJljlufsle9vGlzkFupfbOFlEVTuH2FQaulbZBEUlZ2U6FRRUWRbbmhmrJthaaSbrZuXDwCqciF0,https://serpapi.com/search.json?data_id=0x988dfeccaacc05%3A0x974e40b4f5b5669c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988dfeccaacc05%3A0x974e40b4f5b5669c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBcyqzP6NmAARnGa19bRATpc,"Simão Pereira, MG",lojas_presentes,2025-07-29T04:27:03.251435,COMPLETA
8,Congelados De Prima,ChIJYzgZrveNmAARhVx7iMTujqo,0x988df7ae193863:0xaa8eeec4887b5c85,12290022961011448965,/g/11hfpyjfgw,5,27,Fabricante de alimentos,Fabricante de alimentos,food_manufacturer,"R. Ver. Joaquim Fragata Pombo, 202 - Residencial Miragem, Simão Pereira - MG, 36123-000, Brasil",-21.957113099999997,-43.3121426,+55 32 99194-1933,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–18:00; segunda-feira: 09:00–19:00,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipOyCSAnQX2rwyZtRkJJWv6kkPm-vF2QQfPal9jV=w107-h92-k-no,https://serpapi.com/images/url/AHYpM3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX-kc7JgXGGFUVF4ZVRKU7eUVXmaWnR2Qq1vmZhQYmBaQmGOZFWZbbmhgrpthaaSbrZuXDwC67SGy,https://serpapi.com/search.json?data_id=0x988df7ae193863%3A0xaa8eeec4887b5c85&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988df7ae193863%3A0xaa8eeec4887b5c85&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYzgZrveNmAARhVx7iMTujqo,"Simão Pereira, MG",lojas_presentes,2025-07-29T04:27:03.251435,COMPLETA
9,Registro Civil das Pessoas Naturais e Notas de Simão Pereira,ChIJBVQg2J-NmAARsjRdA-o24pc,0x988d9fd8205405:0x97e236ea035d34b2,10944370423170413746,/g/11b6hf8yz6,3,2,Cartório de Registro Civil,Cartório de Registro Civil,registry_office,"R. Fernando Filgueiras, 295 - Loja 3 - Centro, Simão Pereira - MG, 36123-000, Brasil",-21.964099299999997,-43.3130507,+55 32 3771-0505,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,"terça-feira: 08:00–12:00, 13:00–16:00; quarta-feira: 08:00–12:00, 13:00–16:00; quinta-feira: 08:00–12:00, 13:00–16:00; sexta-feira: 08:00–12:00, 13:00–16:00; sábado: Fechado; domingo: Fechado; segunda-feira: 08:00–12:00, 13:00–16:00",,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqalgq1wxzJ9uo65BasnBry53esJ83Fv9j_xvKifHlNRmG9kVsLyiyklRKGuw1VxzeciULpWL3AKHRuZZlTO4KTGXlw29uTAIh1BVBJ50l4s42dEawirMtGeOunfZKc4pOP2dc=w80-h106-k-no,https://serpapi.com/images/url/hr81ynicBcHdToMwGADQJ-r4K8tq4gWYyaQohiAabhbSdRTpWsbXrrDn8yV8m53z_yeMmeDJ86SINr3WveQW-My0MlyZDdMXr58AMUDgJS9EYHXtZH8N3HLPidXbOO1ApfMaRxzyXfR6I7_H5UaH80F-VJeMjA0U67COsqKZdUGz3Dkbvorpu4gSeqhs28q6xLTOfqQLia2TNxGkTZrHvsSAw9O-c8P8bjJeWnVuKcNT-Rme2LPb-UgE_haNSOkHFI9FMQ,https://serpapi.com/search.json?data_id=0x988d9fd8205405%3A0x97e236ea035d34b2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988d9fd8205405%3A0x97e236ea035d34b2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBVQg2J-NmAARsjRdA-o24pc,"Simão Pereira, MG",lojas_presentes,2025-07-29T04:27:03.251435,COMPLETA
10,Mercado E Padaria To Com Trigo,ChIJ10giNJ6NmAARNkeB00N-DB0,0x988d9e342248d7:0x1d0c7e43d3814736,2093186756596811574,/g/11g8xkn9nj,3.6,41,Padaria,Padaria,bakery,"R. Dr. Duarte de Abreu, Simão Pereira - MG, 36123-000, Brasil",-21.964642899999998,-43.3126118,+55 32 3272-1462,,Fechado ⋅ Abre às 06:00,Fechado ⋅ Abre às 06:00,terça-feira: 06:00–18:00; quarta-feira: 06:00–18:00; quinta-feira: 06:00–18:00; sexta-feira: 06:00–18:00; sábado: 06:00–20:00; domingo: 07:00–12:00; segunda-feira: 06:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Os produtos expostos em geral sao artigos de primeira necessidade.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qVLxwrwcXj2e9S2QIDyPAg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=168.37044&pitch=0&thumbfov=100,https://serpapi.com/images/url/fkEJwnicHc1RCsIgGADg2_iWujVqCySCXoIeiiB6C2d_-oebpja323StblN0ge_7vE1KPq4YiykApAEhexzBxpmXVDunLUiPkSrXsaFgyby6tpdo1172Dm_ied6POWR1eZTQnMrjbjsdNpqo9qosQp9EBBmUoTr_xOBuVPtIsqg5MaIpySSzKBY1nS95VRGPSRnByX-5u0EUnH8BkCo5vQ,https://serpapi.com/search.json?data_id=0x988d9e342248d7%3A0x1d0c7e43d3814736&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988d9e342248d7%3A0x1d0c7e43d3814736&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ10giNJ6NmAARNkeB00N-DB0,"Simão Pereira, MG",lojas_presentes,2025-07-29T04:27:03.251435,COMPLETA
