position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Papelaria Risque e Rabisque,ChIJt35_O55Ly5QRrXPRaPB1Bwo,0x94cb4b9e3b7f7eb7:0xa0775f068d173ad,722675940627411885,/g/11h0bccgd6,4.5,2,Papelaria,Papelaria,stationery_store,"R. Manoel Guimarães, 418 - Loja, Soledade de Minas - MG, 37478-000, Brasil",-22.059159599999997,-45.0429562,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npTerCPPcubDXd8OGmxlRGgB50fxtlhCLm9-CwMuoJypLmsO3ZAqdl7HvyC7CpSdEqnCGwV5euyU8Bold9CZEJlyAjdRoY0Z16Ke5JyvNq-Pu3tAu5KySareDv9rBgDKOrqe24=w122-h92-k-no,https://serpapi.com/images/url/tF7i0XicBcHbboIwAADQLyooyLQmPkAhLKBCvGXjTWnXZpa29AL2__YT-xvP-f9j1iqzDUPO4oBKSTlxhuheCkuEDXo5hFQZ0BtgwhRBthLqQjRq29498i-8acrhxU8lzZLFz8tyhvYDBGg-OFl5tR9ME3fpiPn6c_JojdQZF6NA5XxLiPPXTSY5hqgrKu7TX3yS34tu-VGTpPLTcQSti23qktqf75rkE9QZzetGjyRa7eZlFAEGI_AEQr4B505E_g,https://serpapi.com/search.json?data_id=0x94cb4b9e3b7f7eb7%3A0xa0775f068d173ad&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b9e3b7f7eb7%3A0xa0775f068d173ad&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJt35_O55Ly5QRrXPRaPB1Bwo,"Soledade de Minas, MG",lojas_presentes,2025-07-29T04:29:15.420806,COMPLETA
2,TODA BELA,ChIJkxA8LABLy5QRw_9FTCUVeIs,0x94cb4b002c3c1093:0x8b7815254c45ffc3,10049805818414890947,/g/11x0zm7b7h,5,1,Loja,Loja,store,"R. Manoel Guimarães, 452, Soledade de Minas - MG, 37478-000, Brasil",-22.0590552,-45.0426753,+55 35 99729-1669,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento diferenciado,  muito rapido e preço justo""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npximHP8EHTw1-7SJ0SYgaRa-DNnc71YN_y1yMMg8Djb5gJA1VOGg_omp13F9q4qvmiBzxM8lB7xULi7hBNss20dsoHvFi6xzQqY1-pA6L_GczvKbk3ZhkLVCVt2TxLefmJLPg=w122-h92-k-no,https://serpapi.com/images/url/sjMhBnicBcFLcoIwAADQE0VMoALOuACtMhjwW2bohtGUJgj5YCJGzuclepu-9_dmxig9d5yOuRMqJe3qh67vRApTCzMhkjtUaUA00E60DJknlG14sg8-k_MTAv-UTk8lvRwvYJUL4sMyr17wlWU0WN2uHzSNYLHb0EpyBd112Hv9wJt4tFnQxb79wo3P4lxrNP3RMhnWzcyOh76EQEUzXG3IOGyvrfvNWlwsC4POFte_PMV7unhChAALEWiBkP8t50PA,https://serpapi.com/search.json?data_id=0x94cb4b002c3c1093%3A0x8b7815254c45ffc3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b002c3c1093%3A0x8b7815254c45ffc3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkxA8LABLy5QRw_9FTCUVeIs,"Soledade de Minas, MG",lojas_presentes,2025-07-29T04:29:15.420806,COMPLETA
3,RM Vidraçaria Marcos & Wesley,ChIJLXz3CABLy5QR8gX0NizLcSg,0x94cb4b0008f77c2d:0x2871cb2c36f405f2,2914333824646383090,/g/11xdwsntk9,5,3,Vidraçaria,Vidraçaria,glass_and_mirror_shop,"R. Manoel Guimarães, 283, Soledade de Minas - MG, 37478-000, Brasil",-22.0594645,-45.0442691,,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: Fechado; domingo: 09:00–17:00; segunda-feira: 08:00–17:00,,,,,,,"""Profissionais excelentes, pontuais e o prazo ótimo.""",https://lh3.googleusercontent.com/p/AF1QipMmM5zEM9tCtHXMFzFwEznwNRJQHwV4_DgKv2s_=w80-h106-k-no,https://serpapi.com/images/url/onul9HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm-trWuXqa1niXOIR4etW5VbuWpVX7hfkFehRHmYS75LuXWZUHG9bbmGgm2FoYKabrZuXDwCweCGD,https://serpapi.com/search.json?data_id=0x94cb4b0008f77c2d%3A0x2871cb2c36f405f2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b0008f77c2d%3A0x2871cb2c36f405f2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJLXz3CABLy5QR8gX0NizLcSg,"Soledade de Minas, MG",lojas_presentes,2025-07-29T04:29:15.420806,COMPLETA
4,Eletrocell,ChIJz1TzKI5Ly5QRguoLJjRXeDg,0x94cb4b8e28f354cf:0x38785734260bea82,4069098144817474178,/g/11mhsgw0_s,5,2,Loja de eletrônicos,Loja de eletrônicos,electronics_store,"R. Manoel Guimarães, 364 - Centro, Soledade de Minas - MG, 37478-000, Brasil",-22.0593362,-45.0436106,+55 35 99119-0402,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–16:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npCjdQV8iwuhc6IjAPQ2EE_lkCyywBWMj5_sUKllWR2Dm0IRCoKSNFgsxDp3hUFgVoLqjFfJ2G2qsNU6yFc6n0VV5_86X5yBYV8yCtnHCqlXl0PmSsFp6Dxki8JhbfONTRiYhE=w121-h92-k-no,https://serpapi.com/images/url/6js753icBcFRboIwGADgE1WwjgaX7EEL3dSNKY6qTyTrsAVKW_bXYO-3S3ibfd_jT3nv4DmKtFrMpLVSNzdofoU1vjF-JuwQSQdIAIJoRZfqyTja_Rx42k43JcimW-0POM9r3dMQpvXpo0tqqHZan0qcDfGmpHZ3LJiEe-YWqmKS2_exY9ctfsUjFBUJTBATc57UKTknYX3haaDevNFRn3W8H47AHMnufZtu1ff1s_gq24vKX6Y5niO1xKhHxv4DnJZETg,https://serpapi.com/search.json?data_id=0x94cb4b8e28f354cf%3A0x38785734260bea82&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b8e28f354cf%3A0x38785734260bea82&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJz1TzKI5Ly5QRguoLJjRXeDg,"Soledade de Minas, MG",lojas_presentes,2025-07-29T04:29:15.420806,COMPLETA
5,Fabrica de Biscoitos Temperadinhos de Minas,ChIJcaMeqh1Ly5QR9aIWjCiqBUM,0x94cb4b1daa1ea371:0x4305aa288c16a2f5,4829453266550432501,/g/11h261sjll,4.8,5,Escritório da empresa,Escritório da empresa,corporate_office,"Soledade de Minas - MG, 37478-000, Brasil",-22.0582062,-45.0422292,+55 35 3333-1791,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: Fechado; domingo: Fechado; segunda-feira: 09:00–17:00,,,,,,,,,,https://serpapi.com/search.json?data_id=0x94cb4b1daa1ea371%3A0x4305aa288c16a2f5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b1daa1ea371%3A0x4305aa288c16a2f5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJcaMeqh1Ly5QR9aIWjCiqBUM,"Soledade de Minas, MG",lojas_presentes,2025-07-29T04:29:15.420806,COMPLETA
6,Armazém do Presente,ChIJC3pD1-pFHZUR5GEEuQNb_Pc,0x951d45ead7437a0b:0xf7fc5b03b90461e4,17869257493046387172,/g/11_t55rzx,4.8,26,Loja de presentes,Loja de presentes,novelty_store,"Ao lado da CRE, R. Dr. Flôres, 136 - Centro, Soledade - RS, 99300-000, Brasil",-28.8316546,-52.509192999999996,+55 54 3381-1502,http://oarmazemdopresente.com.br/,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,"terça-feira: 08:30–12:00, 13:30–18:30; quarta-feira: 08:30–12:00, 13:30–18:30; quinta-feira: 08:30–12:00, 13:30–18:30; sexta-feira: 08:30–12:00, 13:30–18:30; sábado: 09:00–12:00, 14:00–17:00; domingo: Fechado; segunda-feira: 08:30–12:00, 13:30–18:30",,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EDcKscN-oI0k80Rwm44AuQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=42.06337&pitch=0&thumbfov=100,https://serpapi.com/images/url/Iv-Dm3icHc1hCsIgFADg2_hv-tZGreARQf2IIKgLhHOmkpuy52adpnN1m6ILfN_nbVOKtBGC0qh1mp3O0T21pyJKbkIwXsvoiKvQi7kUyU59O0jnt1EOwXV42KsTqXMRjvBo4Jr7ut5NF6bam_JODwlJy1FZbvJPHEPHTSSWsQFmcb1gL5mxXnBYVtWKRZeURWD_5B5mLAG-D2k4uA,https://serpapi.com/search.json?data_id=0x951d45ead7437a0b%3A0xf7fc5b03b90461e4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x951d45ead7437a0b%3A0xf7fc5b03b90461e4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJC3pD1-pFHZUR5GEEuQNb_Pc,"Soledade de Minas, MG",lojas_presentes,2025-07-29T04:29:15.420806,COMPLETA
7,Produtos de Minas,ChIJXSL2RwFLy5QRdiiWLfaPwD4,0x94cb4b0147f6225d:0x3ec08ff62d962876,4521772313369520246,/g/11fjtq6zj5,,0,Doceria,Doceria,candy_store,"Rua Rosina Magalhães Alves, 119 - Centro, Soledade de Minas - MG, 37478-000, Brasil",-22.0594136,-45.0439376,+55 35 99203-0172,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–17:00,,,,Cartão de débito,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tvjTAeM1_QpcNeTK1_rOmA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=183.06306&pitch=0&thumbfov=100,https://serpapi.com/images/url/ZI00PHicHc3dCsIgGADQt_EufxqMFUjsOiqC3Q_nvtRw80NN6216rd6m6AXO-bxtzpj2jKUcAXJxUNE9wacNKmpCMB4UukR1WFgRLNvHMq3K-QOqNbhZ5nIfejiJ8Yr6DMNRjPGy9ERPo_YO1iwTqKgtNfUnxjBTg4lU2XFi5W5LXqpK0TWUtw1vCbqsreTkv9xCkYLzL4ZXOaM,https://serpapi.com/search.json?data_id=0x94cb4b0147f6225d%3A0x3ec08ff62d962876&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b0147f6225d%3A0x3ec08ff62d962876&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJXSL2RwFLy5QRdiiWLfaPwD4,"Soledade de Minas, MG",lojas_presentes,2025-07-29T04:29:15.420806,COMPLETA
8,Estação do trem soledade,ChIJGzAREQBLy5QRK74gjypkNg0,0x94cb4b001111301b:0xd36642a8f20be2b,952058505188130347,/g/11xgkmrh_z,,0,Armazém,Armazém,general_store,"Soledade de Minas - MG, 37478-000, Brasil",-22.0590619,-45.04313,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RgtUBmw0PfKcCDNz4zvtbQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=5.6195083&pitch=0&thumbfov=100,https://serpapi.com/images/url/UBI2pXicHc1RCsIgGADg2_iWumqxBTKo3oKooOdwzukPbsr809ppula3KbrA933eFjHELWMRJ60xgc4BntrFRZDUeG-clgEiVX5gqWBoH0M7SnBNkKOHTlwN3nZD5uf-qPaH07yeE7YXotq7cqBHFFHLSVlq8k-cfEdNiCSLihMr6iV5ySxKuinqklcrEgCVFZz8l94nUXD-BZYZOeM,https://serpapi.com/search.json?data_id=0x94cb4b001111301b%3A0xd36642a8f20be2b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b001111301b%3A0xd36642a8f20be2b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGzAREQBLy5QRK74gjypkNg0,"Soledade de Minas, MG",lojas_presentes,2025-07-29T04:29:15.420806,COMPLETA
1,Minas de Minas,ChIJM1w_WAH_nQARs8MNk8lvCWc,0x9dff01583f5c33:0x67096fc9930dc3b3,7424588372243235763,/g/11c6087627,4.8,72,Loja,Loja,store,"R. Antônio Cardoso, 48 - Passa Quatro, MG, 37460-000, Brasil",-22.389722199999998,-44.9666667,+55 35 3371-3944,https://www.facebook.com/minasdeminasp4/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–13:00; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Ótima loja de artesanatos, boas opções e um bom atendimento.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr4w-SsbyX1vAfxwYBzxcHs2ODLpsyHPwIkoR0j1wZkjrVip9M-wDyXgSpWoUK-_cNeX_9c06oAzUc1xXl_lM-Mdy8fDwlrUZQpTFAA6lJyAtZnqeev6suzCdlQovFr8iKwk74d=w122-h92-k-no,https://serpapi.com/images/url/w1k5onicBcFRUoMwEADQE20pyNDSGT9imU5txVorivwwY0ihJWZjNiWE-3kIb-N7f7-dtZpWQSC7u1mL2EpxI2E4KiuUnXH8DlpNwAkoYOu0i5WJHZzoy5fhwM6j-3yYRr6l6JA9afLbF_fY4-v8Grqqv5r3i05zcJkv25P-wGIPNX8WZZ3yeYJsKng4lrKWOeSNX54zJ01RHfXbhrFE7jyzlfoRYkjoNq0becRhY5aXvesXcXPvwiiCLo2gB4X_j-ZG4g,https://serpapi.com/search.json?data_id=0x9dff01583f5c33%3A0x67096fc9930dc3b3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9dff01583f5c33%3A0x67096fc9930dc3b3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJM1w_WAH_nQARs8MNk8lvCWc,"Soledade de Minas, MG",lojas_artesanato,2025-07-29T04:29:18.469572,COMPLETA
2,Fábrica de Móveis São Cosme e Damião,ChIJSwwNMxVLy5QR_1AXyiBtyWU,0x94cb4b15330d0c4b:0x65c96d20ca1750ff,7334513455746470143,/g/11j7xp494k,2.5,2,Marceneiro,Marceneiro,cabinet_maker,"Rua Professora Rosina Magalhães de Ferreira N, Centro, Soledade de Minas - MG, 37478-000, Brasil",-22.0590239,-45.044655399999996,+55 35 99895-7776,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,"terça-feira: 07:00–10:30, 12:30–17:00; quarta-feira: 07:00–10:30, 12:30–17:00; quinta-feira: 07:00–10:30, 12:30–17:00; sexta-feira: 07:00–10:30, 12:30–17:00; sábado: 09:00–10:30; domingo: Fechado; segunda-feira: 07:00–10:30, 12:30–17:00",,,,Cartão de débito,,,,https://lh3.googleusercontent.com/p/AF1QipP0t1RoP1x0-j3QCPyONvOu2-eIGIA2SIHJgnbA=w80-h106-k-no,https://serpapi.com/images/url/ZpSRSXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYFBiGJQfYFhhoJtlHOgcUOnvV-ZfaqSb6unu6WgU7OnhlZ6X5GhbbmGgm2FoYKabrZuXDwCF4SA5,https://serpapi.com/search.json?data_id=0x94cb4b15330d0c4b%3A0x65c96d20ca1750ff&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b15330d0c4b%3A0x65c96d20ca1750ff&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSwwNMxVLy5QR_1AXyiBtyWU,"Soledade de Minas, MG",lojas_artesanato,2025-07-29T04:29:18.469572,COMPLETA
