position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Mimos e Cheiros Presentes,ChIJ2fingXG-pgARVtYGtbXTsVk,0xa6be7181a7f8d9:0x59b1d3b5b506d656,6463179717633037910,/g/11cly516nq,5,54,Loja de presentes,Loja de presentes,novelty_store,"R. Risolêta Fernandes, 290 - Barreiro, Belo Horizonte - MG, 30640-620, Brasil",-19.9820438,-44.0272284,+55 31 2526-9316,http://www.instagram.com/mimosecheiros/,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–17:30; quarta-feira: 10:00–17:30; quinta-feira: 10:00–17:30; sexta-feira: 10:00–17:30; sábado: 10:00–12:00; domingo: Fechado; segunda-feira: 10:00–17:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMQfEIMBkeShtRCK3jydq9tRbiOw7ov0Zg2cY5I=w122-h92-k-no,https://serpapi.com/images/url/kNJzEXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5jm6unrlJ0anFES5OxtnFWZUmhZEpSU6V9unl9mEJVulBxp6mlbbmhkpJthaaSbrZuXDwCwcyFr,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2fingXG-pgARVtYGtbXTsVk,"São Bartolomeu, MG",lojas_presentes,2025-07-29T03:11:28.535015,COMPLETA
2,Natália Vitória Cesta e Presentes,ChIJFQhfuL1EjkARouRWspNxfwA,0x408e44bdb85f0815:0x7f7193b256e4a2,35872201208423586,/g/11kpk9xg69,5,81,Loja de cestas de presente,"Loja de cestas de presente, Perfumaria",gift_basket_store,"R. Centenário, 15 - Bonsucesso, Belo Horizonte - MG, 30622-620, Brasil",-19.9923353,-43.983173,+55 31 99111-2137,https://www.ifood.com.br/delivery/belo-horizonte-mg/natalia-vitoria-cestas-e-presentes-bonsucesso-barreiro/d2592dfa-fd78-4d8e-972f-17fab2058990,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNbpKETfowFBNvV0YNN-uufdHc73WxtCZ46RucY=w80-h111-k-no,https://serpapi.com/images/url/YpOZRHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1Tg7RqSll_u5uRXFmYQ6eenW1qaluKRbG4cXlHiHGViFlSaHGlbbmGgm2FoaKibrZuXDwCuFSFM,https://serpapi.com/search.json?data_id=0x408e44bdb85f0815%3A0x7f7193b256e4a2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x408e44bdb85f0815%3A0x7f7193b256e4a2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFQhfuL1EjkARouRWspNxfwA,"São Bartolomeu, MG",lojas_presentes,2025-07-29T03:11:28.535015,COMPLETA
3,Pra' Presentes,ChIJI5n8XqO-pgARsclRSp3QVUg,0xa6bea35efc9923:0x4855d09d4a51c9b1,5212301517726534065,/g/11fn7zzkx8,5,2,Loja de presentes,Loja de presentes,novelty_store,"R. Mariza Afonso, 325 - Independência, Belo Horizonte - MG, 30666-690, Brasil",-20.0188886,-44.0284268,+55 31 98817-9905,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq3g2uBLpjMPRcueCub5MMYlHLKEIYizC3Owcf7TraAp_7JUk_z-1sPoj-0lN0RfhTWQFtW4rRdix91Qrd2lt3nlhusxVBrKKqXGikLruXqwBOZyyFNFhrJzT2KoDrFBkkOSeGIsQ=w80-h142-k-no,https://serpapi.com/images/url/XyctsXicBcFXDoIwAADQE1WmcSR-CIoDEEGcP0ZrpdjaQkcQLugZvI3v_b5YqUqODYNip1dwXlCkJRKQM4WY6kH-NopKAiiBNKb-CLusdgpbe1H1ircZ1MjX934cn-kyCuerc9n5TtLA5yAXt2l1Haz35NoBS275C5h0Y2ZPnB_TQB1dkT3Kz8hKxcOmymEUa_k5eCIM69OiJJHQp7rxkkvbBpsAi3WX2yGficAjJNmhxUqmk2ZoAmy5NiCA8T-gzUaJ,https://serpapi.com/search.json?data_id=0xa6bea35efc9923%3A0x4855d09d4a51c9b1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bea35efc9923%3A0x4855d09d4a51c9b1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI5n8XqO-pgARsclRSp3QVUg,"São Bartolomeu, MG",lojas_presentes,2025-07-29T03:11:28.535015,COMPLETA
4,Ângela Cestas,ChIJgTS5tKK-pgARbr9EBojGu4k,0xa6bea2b4b93481:0x89bbc6880644bf6e,9924744491364040558,/g/11d_tyflg8,5,144,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Profa. Dirce Maria, 231 - Vila Santa Rita, Belo Horizonte - MG, 30666-515, Brasil",-20.014977299999998,-44.0293858,+55 31 99612-7569,https://angelacestas.com.br/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–22:00; quarta-feira: 08:00–22:00; quinta-feira: 08:00–22:00; sexta-feira: 08:00–22:00; sábado: 08:00–22:00; domingo: 08:00–22:00; segunda-feira: 08:00–22:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipPoccx-2UtikMp--wvT59yFN4c4gBUvkzMHVUd9=w80-h120-k-no,https://serpapi.com/images/url/tkToAXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkJ-cXKFrFFqSme1boKtbXhZialnp5meSbJLuFFqWXeXrERaaYmlbbmGgm2FoZKCbrZuXDwCtUyE_,https://serpapi.com/search.json?data_id=0xa6bea2b4b93481%3A0x89bbc6880644bf6e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bea2b4b93481%3A0x89bbc6880644bf6e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgTS5tKK-pgARbr9EBojGu4k,"São Bartolomeu, MG",lojas_presentes,2025-07-29T03:11:28.535015,COMPLETA
5,Armazém do Presente,ChIJx-pbKN2XpgAR1J4rsQJ3cUg,0xa697dd285beac7:0x48717702b12b9ed4,5220084296545181396,/g/11b5k780q1,4,6,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Professor Mário Werneck, 1360 - Loja 313 - Estoril, Belo Horizonte - MG, 30492-015, Brasil",-19.9687235,-43.965006599999995,+55 31 3377-0116,,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–22:00; quarta-feira: 10:00–22:00; quinta-feira: 10:00–22:00; sexta-feira: 10:00–22:00; sábado: 10:00–22:00; domingo: 10:00–18:00; segunda-feira: 10:00–22:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Super recomendo!""",https://lh3.googleusercontent.com/gps-proxy/ALd4DhEaevkTPfDuEXt_EyFAfsQ-rlrXPrA1GtZuyCb1PBw6B3ND5pQ2vBLBjcvB3CZy67UQ52bwdnWr-W21MqaBCIUidReFt9jpvtlZtVws0hKnsKuK_LA0AWHmk566QmDWvLQGtBwX3j0a_DRlvrPBczlAy7Qnv6ZbsDviAb88azTKHdULRx69BOx17OmsCV8illv9ig=w122-h92-k-no,https://serpapi.com/images/url/8FxAxHicBcFJboMwAABAVep3CFvZIvVgA0kqaANRCIgLYgubwdQ2BvLUvqYzf2_vLWMzPYoiatVDg3GD6oXWpMQTqyd2KPEoNjMVZoK3XQR-9eG0bl7z4R48ncVNWObuJ_CkoUAQSQIC5DNLl90u5ACuOlR_HG0OFQ592Jccqna660YUakqxVlNMhFiRv39zaH9FXXWrT8zqZ85Qyh4rlVpvot7iZT6QQHwZB03Xw9GJuR-eGVwTtZfyzLkhTgJYvhDYjXDielpQh3egMM38dfcuVeTfNt2C1002riO1H2aHELe65nOVFUVoLUUYhAn_A0ZIWdU,https://serpapi.com/search.json?data_id=0xa697dd285beac7%3A0x48717702b12b9ed4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa697dd285beac7%3A0x48717702b12b9ed4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJx-pbKN2XpgAR1J4rsQJ3cUg,"São Bartolomeu, MG",lojas_presentes,2025-07-29T03:11:28.535015,COMPLETA
6,Loja da Cleo,ChIJBzzsgjS8pgARLqlzyZMV9dY,0xa6bc3482ec3c07:0xd6f51593c973a92e,15489310217894865198,/g/1ptyn6sg5,4.6,179,Papelaria,"Papelaria, Copiadora, Impressão digital, Loja de presentes, Impressões fotográficas, Correios, Loja de Brinquedos",stationery_store,"R. Barão de Monte Alto, 846 - Loja 02 - Cardoso, Belo Horizonte - MG, 30626-480, Brasil",-20.0045,-44.0057025,+55 31 99913-3447,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–17:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNY0Z4lb8NhIHvIvuuO4rrV3HKaq6pXW1lTz0f9=w151-h92-k-no,https://serpapi.com/images/url/VSgVz3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF2kQZZKTZOGX4elR5llWWupvUlQUZuzhnVhoVhARbpgTUmWQZmlbbmhqqJthaaSbrZuXDwCl9CEu,https://serpapi.com/search.json?data_id=0xa6bc3482ec3c07%3A0xd6f51593c973a92e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bc3482ec3c07%3A0xd6f51593c973a92e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBzzsgjS8pgARLqlzyZMV9dY,"São Bartolomeu, MG",lojas_presentes,2025-07-29T03:11:28.535015,COMPLETA
7,Personalize Já,ChIJrTj-cAC9pgARIM9lG7l_on8,0xa6bd0070fe38ad:0x7fa27fb91b65cf20,9197053822049308448,/g/11x327_twl,5,6,Loja de presentes,"Loja de presentes, Loja de Presentes",novelty_store,"Beco Sideral - Vila Ecológica, Belo Horizonte - MG, 30670-565, Brasil",-20.008100499999998,-44.0187856,+55 31 99245-1497,https://www.instagram.com/personalizeja_?igsh=MTU2M3J4amx3dXJ0Nw==&utm_source=qr,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOg7ivCVhS_6vmoz1iKBnCFJFzxctRCHhR1uZzS=w92-h92-k-no,https://serpapi.com/images/url/M7OT_HicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn26eWeYclhEcb1aWm19lmOntlOfs5uVWVZFcEuTskRFkWBpVFWxbbmmkmwHE2bp5-QCbESGo,https://serpapi.com/search.json?data_id=0xa6bd0070fe38ad%3A0x7fa27fb91b65cf20&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bd0070fe38ad%3A0x7fa27fb91b65cf20&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJrTj-cAC9pgARIM9lG7l_on8,"São Bartolomeu, MG",lojas_presentes,2025-07-29T03:11:28.535015,COMPLETA
8,Loja da Vilma,ChIJ2-Id8oC-pgARyBWHG_a6OdU,0xa6be80f21de2db:0xd539baf61b8715c8,15364517169937716680,/g/11cjj077dy,4.2,10,Papelaria,"Papelaria, Loja de produtos de beleza, Loja de produtos de papelaria, Loja de cosmético, Loja de Presentes, Loja de Brinquedos",stationery_store,"R. Antônio Almeida Júnior, 195 - Diamante, Belo Horizonte - MG, 30627-175, Brasil",-19.998757899999998,-44.0228146,+55 31 98779-1487,https://linktr.ee/lojadavilma195,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–20:00; quarta-feira: 10:00–20:00; quinta-feira: 10:00–20:00; sexta-feira: 10:00–20:00; sábado: 10:00–19:00; domingo: Fechado; segunda-feira: 10:00–20:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMBQOEdiyD4SVAeUXShrvsItibZJZEO_WoY6tQ_=w122-h92-k-no,https://serpapi.com/images/url/qlydWnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6xTo75qSWeliEhzmmBoaEZxRVFbsWZKZFOUV5eofH54faVYSGG9bbmhkpJthaaSbrZuXDwCy_SGt,https://serpapi.com/search.json?data_id=0xa6be80f21de2db%3A0xd539baf61b8715c8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be80f21de2db%3A0xd539baf61b8715c8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2-Id8oC-pgARyBWHG_a6OdU,"São Bartolomeu, MG",lojas_presentes,2025-07-29T03:11:28.535015,COMPLETA
9,Papelaria /Jóias e semi jóias . Estela Carvalho,ChIJC0Ynwqe_pgARcs5Zbf0nQrI,0xa6bfa7c227460b:0xb24227fd6d59ce72,12844873056628887154,/g/11h04m9wxy,5,63,Papelaria,"Papelaria, Loja de acessórios de informática, Impressão digital, Serviço de impressão digital, Loja de presentes, Impressões fotográficas, Loja de materiais escolares, Loja de Brinquedos, Relojoaria",stationery_store,"Av. Senador Levindo Coelho, 3371 - Loja 03 - Vale do Jatoba, Belo Horizonte - MG, 30664-247, Brasil",-20.011782099999998,-44.032405,+55 31 99703-7888,https://instagram.com/estelacarvalho_joias_papelaria?igshid=MmU2YjMzNjRlOQ==,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–17:00; domingo: 09:00–12:00; segunda-feira: 08:00–19:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPSpt4sSqSqTlZt15Zbg-9WKzXmailevtTpB92x=w122-h92-k-no,https://serpapi.com/images/url/bUpE6HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEFxQYlIcXBhcGJITVWJoGpWUrmsZ7l0VkZuYmZNaVhJS4GRpVGFbbmhkpJthaaSbrZuXDwDCPSH5,https://serpapi.com/search.json?data_id=0xa6bfa7c227460b%3A0xb24227fd6d59ce72&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bfa7c227460b%3A0xb24227fd6d59ce72&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJC0Ynwqe_pgARcs5Zbf0nQrI,"São Bartolomeu, MG",lojas_presentes,2025-07-29T03:11:28.535015,COMPLETA
10,Achadinhos de Minas,ChIJbSQGs1a_pgARtwpsKVGK8WQ,0xa6bf56b306246d:0x64f18a51296c0ab7,7273746954371992247,/g/11pkhxyd74,5,15,Loja de Presentes,Loja de Presentes,gift_shop,"R. Alfa, 1100 - Jardim Emaús, Contagem - MG, 32230-210, Brasil",-19.972743899999998,-44.0254045,+55 31 98718-8883,http://www.achadinhosdeminas.com.br/,Aberto 24 horas,Aberto 24 horas,terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Fechado; domingo: Fechado; segunda-feira: Atendimento 24 horas,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipNix8D4j3getdYdXCNalm1KFwfyPtYR8n8__Xkk=w163-h92-k-no,https://serpapi.com/images/url/FSPtznicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1lh4WKSZZyeWpISmRLh7JeYk2vo7VaeVhlQEhlkkWcRHx-RnW1bbmhmrJthaaSbrZuXDwC3xyHN,https://serpapi.com/search.json?data_id=0xa6bf56b306246d%3A0x64f18a51296c0ab7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bf56b306246d%3A0x64f18a51296c0ab7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJbSQGs1a_pgARtwpsKVGK8WQ,"São Bartolomeu, MG",lojas_presentes,2025-07-29T03:11:28.535015,COMPLETA
