position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Caixa Aqui - Vieira Papelaria e Presentes,ChIJIT7pI_iypQARVaaDleCpceQ,0xa5b2f823e93e21:0xe471a9e09583a655,16461124895062074965,/g/11b7hh6fcr,4.8,5,Papelaria,"Papelaria, Loja de eletrodomésticos, Loja de Presentes, Fornecedor de material para escritório, Loja de Brinquedos",stationery_store,"R. Augusto Pessoa, 313 - Loja 2 - Centro, São Gonçalo do Rio Abaixo - MG, 35935-000, Brasil",-19.8252719,-43.358820099999996,+55 31 99833-3223,https://www.facebook.com/papelariavieirasg,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipMIgElEUXdU6LKK2e2LUWMqiH7gr4a8P4mLfsTu=w259-h92-k-no,https://serpapi.com/images/url/mlJBCXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng65numuMaGpESaubj7W2UauQTGu5bmOlhnl5kkmgRYJLrk1YcUmpbbmRqqZthaaSbrZuXDwCWPiDf,https://serpapi.com/search.json?data_id=0xa5b2f823e93e21%3A0xe471a9e09583a655&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b2f823e93e21%3A0xe471a9e09583a655&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIT7pI_iypQARVaaDleCpceQ,"São Gonçalo do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:17:05.698806,COMPLETA
2,MR Papelaria e Presentes,ChIJ2ziutD-zpQARdSLmegJBJwk,0xa5b33fb4ae38db:0x92741027ae62275,659567349340709493,/g/11h7hp0ksh,4.7,3,Loja de produtos de papelaria,Loja de produtos de papelaria,copying_supply_store,"R. Augusto Pessoa, 191 - Centro, São Gonçalo do Rio Abaixo - MG, 35935-000, Brasil",-19.8260628,-43.359631799999995,+55 31 3380-1910,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 07:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPLcMeZxyZ-Dyt3VWu-TeDwvFSYLw_Ja99UolgQ=w122-h92-k-no,https://serpapi.com/images/url/csr0KHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4JPsmxpVURml61JZYhwWXqobkupSXuYWHOlTHu-VaGkZmp-THmhbbmhkpJthaaSbrZuXDwC4siGw,https://serpapi.com/search.json?data_id=0xa5b33fb4ae38db%3A0x92741027ae62275&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b33fb4ae38db%3A0x92741027ae62275&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2ziutD-zpQARdSLmegJBJwk,"São Gonçalo do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:17:05.698806,COMPLETA
3,Thalita Modas,ChIJe7fC1LCzpQARiVbb_BcclFU,0xa5b3b0d4c2b77b:0x55941c17fcdb5689,6166584679129110153,/g/11f9j3xf33,4.9,16,Loja,Loja,store,"R. Augusto Pessoa, 191 - Loja 1 - CENTRO, São Gonçalo do Rio Abaixo - MG, 35935-000, Brasil",-19.826072699999997,-43.3595985,+55 31 3833-5708,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–16:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipO6r0lPgLHj0y8ZmJh6_LGDTGaczhEpLy519z9R=w80-h106-k-no,https://serpapi.com/images/url/c_nODHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb1ZkkBOQ7uORZVBpEZXrlWEW7-PuEuKemFyV4VrgU2lqaFllGWRbbmGgm2FoYKabrZuXDwCdvSDj,https://serpapi.com/search.json?data_id=0xa5b3b0d4c2b77b%3A0x55941c17fcdb5689&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b3b0d4c2b77b%3A0x55941c17fcdb5689&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJe7fC1LCzpQARiVbb_BcclFU,"São Gonçalo do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:17:05.698806,COMPLETA
4,Loja da Glorinha,ChIJ6RyGt_mypQARbuAgCw0EAak,0xa5b2f9b7861ce9:0xa901040d0b20e06e,12178019321454321774,/g/11bvv4wh0x,4.5,2,Loja de Roupa,"Loja de Roupa, Loja de variedades",clothing_store,"R. do Rosário, 31 - Niterói, São Gonçalo do Rio Abaixo - MG, 35935-000, Brasil",-19.825904599999998,-43.3597259,+55 31 3833-5219,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqp0dQCzebPjW-jlOLQWlEv8NjZWjxgpyPGm35ZTEbJArfgVVQw2OKYodm1F3siJO8npBRI8Vqyrv83nHQs7rFJoUsbOUPhxkuwbcLmm_33itBVyKiNv77e1r_1mPz8ikvyh00i=w205-h92-k-no,https://serpapi.com/images/url/sBmm8nicBcFJDoIwAADAF1WWaqgmHtTggkbAKEQvJGBtC3SxrSD-z0f4G2d-X2qtMjPHaSkcESlJi18G60oKi4UdVZI7RBlQGWCcxWpKx-Kp3Hu6-uAyqXNQt_EhzduwQ8f6ltdvooZkw-Hkdg7LaKEfJMvS3o_3V3nn3hoaFsVIqOVph7LnoDsExTY1gV5H8mLK-JLQd_Pqy-rAeQEhs8ts2LNjFwTY04XHkw9iTTdQ12Xz3ncngE590AAh_0W2RhQ,https://serpapi.com/search.json?data_id=0xa5b2f9b7861ce9%3A0xa901040d0b20e06e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b2f9b7861ce9%3A0xa901040d0b20e06e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6RyGt_mypQARbuAgCw0EAak,"São Gonçalo do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:17:05.698806,COMPLETA
5,O Brasileirão,ChIJtxgGeBGzpQAR01EJqeZ2LiQ,0xa5b311780618b7:0x242e76e6a90951d3,2607151967344611795,/g/1v44rnb4,4.4,11,Loja de roupas de cama,Loja de roupas de cama,bedding_store,"R. São Manoel, 133 - Centro, São Gonçalo do Rio Abaixo - MG, 35935-000, Brasil",-19.8253186,-43.3602012,+55 31 3833-5281,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Gkt2QqUsasKa8ytnrGm4Hw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=328.88168&pitch=0&thumbfov=100,https://serpapi.com/images/url/3YjwFHicHc1BDsIgEADA33ATaDUGTYjHmnjy4NlsKRYiBWTXYn_jt_yNxg_MfN6OKONeCKRiLc3e1uxfNuAqAx9TGoOF7JGbNIm5EeSeUx_Bh0OGmPyguzu158cFAU-gFoqlmzbHykx_NcHbSBotFOP4WH9iSQMfM7KqlWRO71q2QNXrVnGlmq1i2ZNxWrL_ckuzbqT8AqpgOiI,https://serpapi.com/search.json?data_id=0xa5b311780618b7%3A0x242e76e6a90951d3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b311780618b7%3A0x242e76e6a90951d3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtxgGeBGzpQAR01EJqeZ2LiQ,"São Gonçalo do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:17:05.698806,COMPLETA
6,Encantos personalizados,ChIJST9us1FNpAARC6szmHP1qlU,0xa44d51b36e3f49:0x55aaf5739833ab0b,6173016116088253195,/g/11rfs1361f,5,4,Papelaria,Papelaria,stationery_store,"Vargem da lua, São Gonçalo do Rio Abaixo - MG, 35935-000, Brasil",-19.8775676,-43.3629576,+55 31 3380-2151,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMdyuvR7nk7Yx93h08obWuX9rVtzqqGbicDzgOW=w80-h106-k-no,https://serpapi.com/images/url/ou3q0HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm1JZWhZknpdtHllhaZxhYJGfFF4aYVkUVlJVWOielJnsUpXuH25bbmGgm2FoYKabrZuXDwDHmiI3,https://serpapi.com/search.json?data_id=0xa44d51b36e3f49%3A0x55aaf5739833ab0b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44d51b36e3f49%3A0x55aaf5739833ab0b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJST9us1FNpAARC6szmHP1qlU,"São Gonçalo do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:17:05.698806,COMPLETA
7,Lorência,ChIJn5UccmyzpQARCph2R3l1WSw,0xa5b36c721c959f:0x2c5975794776980a,3195714574346524682,/g/11mn9p5xps,5,1,Loja de Roupa,Loja de Roupa,clothing_store,"R. do Rosário, 38, São Gonçalo do Rio Abaixo - MG, 35935-000, Brasil",-19.8256963,-43.3596681,+55 31 98948-7743,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr0gjw01hq-UFZxmIvn1LrtNCBW9J9oxawkg_KfKWVHj67h36Cv-Pj7quz9WEogr5QuCMlu3Kcmx8xcv2CFZsIUcBAPh_Fu8_uJjnGcEh6DEbPcsLKPkgEebPDwecpTQH7W-CylHA=w122-h92-k-no,https://serpapi.com/images/url/kAXERnicBcHdboIwGADQJ6oITLAmu8ACQ1FTExmJN0S-dG34aZG2gHvBPcPexnP-_4Qxg945Tif8FVeKd8xqNoKShkmzAtU7fNAINNJORLD4kOOaN_PaFU9UpPelP0zSPY3mQvYlPmK1POaWV_lPXn5nTRAKPyATok34tL-4TBQfN1dLzp31c-iX7QKTR9K7PhSwj6ioUrut7LGRX5CIIE5qCvqU05YnrKbxzGC4XbOwROTVZdHn7HoeEthDLZLqDX3eRYY,https://serpapi.com/search.json?data_id=0xa5b36c721c959f%3A0x2c5975794776980a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b36c721c959f%3A0x2c5975794776980a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJn5UccmyzpQARCph2R3l1WSw,"São Gonçalo do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:17:05.698806,COMPLETA
8,Magazine Home Look ®,ChIJJYu2GFiypQARzJMLUHvN338,0xa5b25818b68b25:0x7fdfcd7b500b93cc,9214309292130931660,/g/11cr_h__jd,4.7,11,Loja de departamento,"Loja de departamento, Loja de artigos para cama, mesa e banho, Loja de moda feminina",department_store,"R. Januária, 227 - Guanabara, São Gonçalo do Rio Abaixo - MG, 35935-000, Brasil",-19.8224223,-43.3584351,,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrzSIJWw4kmb0Yu0HbYlG3ogg0TkYulQM5Fw-x8nxHpU0OWh4e8Xt909OSEx5JZb-BRr75aSL7OB84Ix7Kdj4lVB-LMvkZUWmqvL-FQp9oJqopJEVQwVhDpMb5WPusp_lElfqKk=w163-h92-k-no,https://serpapi.com/images/url/8PnweHicBcFRToMwGADgE_2jShnUxAdxzI1BEHEw9mKEYZu1tIWWQbzfDuFt_L6_O7NWmyfHEcxdUaWo6CbTja2StpN21areodpAa8A4L6-EYTn-Fvu4mjHvG1RPaNfU4s1VlKJPXk8iT73tDEsgl50-oqxiuAtOliCSFdHixecGwo_R976LxM_CAO8X_3C5YlGGkKQ3fj5W_XBLYJtrouJB6Tgq87lkG502XvU-Gf0lIvEzHPjz_LB2gZFH4CDVP4zjRDE,https://serpapi.com/search.json?data_id=0xa5b25818b68b25%3A0x7fdfcd7b500b93cc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b25818b68b25%3A0x7fdfcd7b500b93cc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJYu2GFiypQARzJMLUHvN338,"São Gonçalo do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:17:05.698806,COMPLETA
9,Mobiliadora Novo Lar São Gonçalo do Rio Abaixo,ChIJu_GfW_ezpQAR1Y55Fo4_aUM,0xa5b3f75b9ff1bb:0x43693f8e16798ed5,4857483552590761685,/g/11h0y9m7r8,3.8,4,Loja de móveis,Loja de móveis,furniture_store,"Rua Henriqueta Rubim, 98 - Centro, São Gonçalo do Rio Abaixo - MG, 35935-000, Brasil",-19.8274123,-43.3592222,+55 31 99968-2925,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipOyOgZyp_YUezxyUTyWD7PyCYv9zQmkfmw5-Sfw=w129-h92-k-no,https://serpapi.com/images/url/OOVAgnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX-mfHlVZEB8ZmlpVURkaUhnuYh5Q6RxZZlkVmJudlltuqhucVm5bbmhkqZthaaSbrZuXDwDcIyKj,https://serpapi.com/search.json?data_id=0xa5b3f75b9ff1bb%3A0x43693f8e16798ed5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b3f75b9ff1bb%3A0x43693f8e16798ed5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu_GfW_ezpQAR1Y55Fo4_aUM,"São Gonçalo do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:17:05.698806,COMPLETA
10,Boutique Zita,ChIJ_0mCzvmypQARA2PU-tfYuXw,0xa5b2f9ce8249ff:0x7cb9d8d7fad46303,8987452953532326659,/g/1tg87x01,5,3,Loja de Roupa,"Loja de Roupa, Loja de acessórios de moda",clothing_store,"R. José Pedro Barcelos, 60 - Centro, São Gonçalo do Rio Abaixo - MG, 35935-000, Brasil",-19.8253986,-43.359465199999995,+55 31 98465-2879,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–18:30; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipO5MVepMspdkPNbAEadb-m5suNcMlXRm94L-YVj=w96-h92-k-no,https://serpapi.com/images/url/0Bt0kHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb-obllrgW1yQkh3gl-TompiSpJtrWlzql-ybExGUa2nioxsZlmVbbmmmm2FppJutm5cPAJAlIS8,https://serpapi.com/search.json?data_id=0xa5b2f9ce8249ff%3A0x7cb9d8d7fad46303&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b2f9ce8249ff%3A0x7cb9d8d7fad46303&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_0mCzvmypQARA2PU-tfYuXw,"São Gonçalo do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:17:05.698806,COMPLETA
