position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,São Gonçalo do Rio das Pedras,ChIJ5xFSdnHCrgAR3GDjOhyJps4,0xaec271765211e7:0xcea6891c3ae360dc,14890739972287193308,/g/1ymvhw0g3,,0,,,,"Serro - MG, 39150-000, Brasil",-18.4160728,-43.494464699999995,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqgrHn1nuq1VVglEuAmrAxKx3A9t8zAr0uNFTvK2LkE8td13jtthYBQfa52EbAMrKLa9oCra4FIO5Xe25Cd1_wFpyYQ8y8RuuZrsl2xewMT5bPfNMrdf5FFEihmLri46ig1yxBqHw=w134-h92-k-no,https://serpapi.com/images/url/2eBH_HicBcFRboMgGADgE1EHSqNL9kCNpI3arUvTrHtZrCK4KugPTN0Fd4bdpt_3_6ecG-1zEPQq3EhjZC-8FVAb7YR2m9oMgRwtqi2yAUsTFelJwl5j7Sd8ucg-82wAtuRLyBIX_zJ48kd-_slJcc9i1-Dw2zl13Z3aipLsxkrIiyoxKVQRP7zSD0Fo2uCvmY_r9RSv8bv3n2B7soi5PNPbW3ssoWkp51mnhgK6aNtJvC67aT-_zDiMkEoIuiNtHn9RRb0,https://serpapi.com/search.json?data_id=0xaec271765211e7%3A0xcea6891c3ae360dc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaec271765211e7%3A0xcea6891c3ae360dc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5xFSdnHCrgAR3GDjOhyJps4,"São Gonçalo do Rio das Pedras, MG",lojas_presentes,2025-07-29T03:19:59.504969,COMPLETA
2,Feira Comunitária de São Gonçalo do Rio das Pedras,ChIJMQSiawDDrgARSBZnnhStlDk,0xaec3006ba20431:0x3994ad149e671648,4149131460783576648,/g/11vzlfhh78,5,2,Armazém,Armazém,general_store,"R. do Rosário, 27 - São Gonçalo do Rio das Pedras, Serro - MG, 39153-000, Brasil",-18.4181587,-43.4960222,+55 11 99915-8271,,Fechado ⋅ Abre sáb. às 09:00,Fechado ⋅ Abre sáb. às 09:00,terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: Fechado; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: Fechado,,,,,,,"""Excelente 😁😁👏😁👏""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqadQrlndcpCe8cc8qfcgVfjTaM1q5rRUZHO-DrrOjyNfUAa4O9T-e2EYfuRwonmBgNFuu6MYMK_Hgd9Z55T6NkjzQ6SYlpYo4jFE6NgFcVvI7iqDWgZ_PeaIllhLZE0cXZNfGyVw=w122-h92-k-no,https://serpapi.com/images/url/6ghoIHicBcFbcoIwFADQFUUqBRRn-mEVqtMSfCBKfhzmkocYE0hARjfoGtxNz3m_RNc1duY4UnyOuNZc0t5SA1p1VHUj0DeHNxaBRdaZL0LhqbastkaqCpoFnQJMWwY8Z3VWJuPWN7sDWaVoaUxaPzA7zEsvDTNE3ahg_W7Q6vbNcdz3QVIkv-cVr0Li-1mAr_VzG-wL2RTaq-MowDyG_L6eXNrlkZPzhpZrKcUfiT7gRDD7eeTD1zB2XSRCF12R0v--EkYc,https://serpapi.com/search.json?data_id=0xaec3006ba20431%3A0x3994ad149e671648&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaec3006ba20431%3A0x3994ad149e671648&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMQSiawDDrgARSBZnnhStlDk,"São Gonçalo do Rio das Pedras, MG",lojas_presentes,2025-07-29T03:19:59.504969,COMPLETA
3,Cachoeira do Comércio,ChIJiSwn3GXCrgAR_qrrZEozNtM,0xaec265dc272c89:0xd336334a64ebaafe,15219408385358932734,/g/11c6s_1flx,4.6,532,Atração turística,Atração turística,tourist_attraction,"São Gonçalo do Rio das Pedras, Serro - MG, 39150-000, Brasil",-18.4168359,-43.4978677,,,,,,,,,,,,"""Lugar lindo e relaxante... Fácil acesso.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqTI5kLJEWD8mNBNZlI6oNehQeAd4Wnp4t_S5SWkSaCdhOYwNk2DJGmHv6M4M9sPmoe9fkegJFrVruOSyGxsCzvKTb9t9IcQJDHxNiHPKW10jupEiEzVqfymFUw0BXx3AgetZGk=w122-h92-k-no,https://serpapi.com/images/url/gGeWV3icBcHtFoEwAADQJ5pIOeYcP1LpA8MJ4Y9DZmNtS1v6eD8P4W3c-_tSrQs1MYycDntESpLjSuEyk0JjoXuZ5AYpFMgUUIbjQmqJ9y6y2TL2U2_M0Qyd82gkEaZb7NytVBSWviR2krLk6t7p-lQjZnpxwMPPaGWtoNpwieGDYRLPy0NZrZM2aJTbfRa7G9QwyraxFzboGW4W6aD_qgr_6XeH96Pl833dnx2boUOwPgdsWg9ME1BoAgaE_APQmkUo,https://serpapi.com/search.json?data_id=0xaec265dc272c89%3A0xd336334a64ebaafe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaec265dc272c89%3A0xd336334a64ebaafe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJiSwn3GXCrgAR_qrrZEozNtM,"São Gonçalo do Rio das Pedras, MG",lojas_presentes,2025-07-29T03:19:59.504969,COMPLETA
4,Igreja Matriz de São Gonçalo,ChIJ9zESxW_CrgARLXxXBQ3iqpM,0xaec26fc51231f7:0x93aae20d05577c2d,10640565615168289837,/g/1226y7d3,4.8,127,Atração turística,"Atração turística, Igreja",tourist_attraction,"São Gonçalo do Rio das Pedras, Serro - MG, 39150-000, Brasil",-18.415092299999998,-43.4948414,+55 38 98828-3390,,,,,,,,,,,"""Local histórico e super agradável 👏""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npSvjFyYwzkQUteBfPzvY_yBkbq-N0Ug3Qbb3-c3-o5ISUspgPtgNI0gDvGWmuc0HoZHtePKEcQs2ZeRmGD0Jki-YUmYtyy7S26LEt5kGDtrRwWJdGZfLNiWKMJc5WHm0eJ6iHxcNuL9gDQ=w80-h106-k-no,https://serpapi.com/images/url/r6b_5HicBcFBjoIwFADQE32pIqiTuFBREBkCEkJgY0KtBWsp2g-Id_QAc5t57-9bIbb6xzAelTnhSvEH6zR7UdUga3BClTR4q4Fq0MZmt6rmTZv098OYDx8Rp8i2t-jT55dxK8onhCTlZlyWJlATlHVMUt3yCHl4JNzp3Ux2lHiq8JBFpz2N9axgZ-k6xBc15KnMcRwXycwO9mgJ18HXecj8q1vcgrDOTr8-tTJPEubbtfemYResuBOvhyWBakpsENCof3fuR7g,https://serpapi.com/search.json?data_id=0xaec26fc51231f7%3A0x93aae20d05577c2d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaec26fc51231f7%3A0x93aae20d05577c2d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ9zESxW_CrgARLXxXBQ3iqpM,"São Gonçalo do Rio das Pedras, MG",lojas_presentes,2025-07-29T03:19:59.504969,COMPLETA
5,Pousada do Pequi,ChIJ0SSLK3DCrgARgdJdbFvxuvI,0xaec2702b8b24d1:0xf2baf15b6c5dd281,17490557477809148545,/g/11cmj6c0w5,4.7,130,Cama e café,Cama e café,bed_and_breakfast,"R. do Jatobá, 342 - São Gonçalo do Rio das Pedras, Serro - MG, 39153-000, Brasil",-18.4159577,-43.4909847,+55 38 98813-7140,http://www.pousadadopequi.com/,,,,US$ 47,,,,,,"""Lugar para se desligar de tudo e curtir a natureza.""",https://lh3.googleusercontent.com/p/AF1QipNrZuo9sDUjtZF7rQ4rc1a06LckMH5NFi_xVlg=w138-h92-k-no,https://serpapi.com/images/url/a1zUlXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngVxRVmm9Z7BKaVRLlZl4UaFKUbJhoYOaTnO3rYernlhlfEZaTbltuaGyhm2FppJutm5cPAI8rIRo,https://serpapi.com/search.json?data_id=0xaec2702b8b24d1%3A0xf2baf15b6c5dd281&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaec2702b8b24d1%3A0xf2baf15b6c5dd281&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ0SSLK3DCrgARgdJdbFvxuvI,"São Gonçalo do Rio das Pedras, MG",lojas_presentes,2025-07-29T03:19:59.504969,COMPLETA
6,Solar da Sempre Viva - Casa de Campo -Temporada,ChIJ6QaBrXrDrgAR-XzU0bDDacY,0xaec37aad8106e9:0xc669c3b0d1d47cf9,14297173656266374393,/g/11h9pc91cy,5,13,Hospedaria,Hospedaria,guest_house,"R. das Flores, 513 - São Gonçalo do Rio das Pedras, Serro - MG, 39153-000, Brasil",-18.4277117,-43.4886395,+55 31 99410-0425,https://www.instagram.com/solardasempreviva,,,,,,,,,,"""Ambiente super agradável, conforto, limpeza e organização.""",https://lh3.googleusercontent.com/p/AF1QipNshRnisIruURxRdS8R_PP3U2xA9o-ZITdfqxA=w122-h92-k-no,https://serpapi.com/images/url/tirIrXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV5wRlJdZ7FlUGhpUEZQSbBEUHxBgHGpU4WiZrxvlGZKSVljhaFtuaGSkm2FppJutm5cPAJt1IU8,https://serpapi.com/search.json?data_id=0xaec37aad8106e9%3A0xc669c3b0d1d47cf9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaec37aad8106e9%3A0xc669c3b0d1d47cf9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6QaBrXrDrgAR-XzU0bDDacY,"São Gonçalo do Rio das Pedras, MG",lojas_presentes,2025-07-29T03:19:59.504969,COMPLETA
7,Sacolão da Família,ChIJzwI9083DrgARVN01V7ao2Ek,0xaec3cdd33d02cf:0x49d8a8b65735dd54,5321188460838903124,/g/11qr7_lrqb,4.9,15,Mercado,Mercado,market,"R. das Flores - São Gonçalo do Rio das Pedras, Serro - MG, 39150-000, Brasil",-18.4211402,-43.495889299999995,+55 38 99880-8220,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–18:00; domingo: Fechado; segunda-feira: 07:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento e bons preços!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noU0y2iLcDzeRsJTP-8nev3NQKR58fROk4Khoe5p24B-9YY3T-SJErrLTY_l1XZdeUJP1p0CAVdgeNUBvxdQVeuI2gE9zfAR4Zhhd6mLYoctk3rWu1zSQTnWTO08hJwznHy1YKb1A=w122-h92-k-no,https://serpapi.com/images/url/DusPhHicBcHdDoIgGADQJyIFrWlbF1ptpa7SsKKbtvALmgZOsB9fsGfobTrn95XWtmbqOI30RkJr0UBvoONaWVB2xPXDEa1B3CDjRPNQ-kqX7ofcM74YoDAJ3aFAwdPb5GkxDm7FtvZTqWHcEj9GIWMeRftk2XUZZZcGn84VlMkOt-48OlQCNmX8fFf5Afo1EctwuEWFf5aymjwyprmtve7Y42GfU3WkWzeQyWtQqw9m6RVHsxcmBMmQoBop_QflK0RE,https://serpapi.com/search.json?data_id=0xaec3cdd33d02cf%3A0x49d8a8b65735dd54&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaec3cdd33d02cf%3A0x49d8a8b65735dd54&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzwI9083DrgARVN01V7ao2Ek,"São Gonçalo do Rio das Pedras, MG",lojas_presentes,2025-07-29T03:19:59.504969,COMPLETA
8,Pousada Paineira,ChIJU31Sv2TCrgARZcQl8S-IqlQ,0xaec264bf527d53:0x54aa882ff125c465,6100838384717382757,/g/11c4k6n4_n,4.8,36,Cama e café,"Cama e café, Pousada",bed_and_breakfast,"Beco da Represa, 72 - São Gonçalo do Rio das Pedras, Serro - MG, 39150-000, Brasil",-18.420037999999998,-43.494276,+55 38 98836-0086,https://www.facebook.com/Pousada-Paineira-1060283374021761/?pnref=lhc,,,,US$ 73,,,,,,"""É um paraíso, sendo que cada detalhe é cuidado com as mãos.""",https://lh3.googleusercontent.com/p/AF1QipO70TnZJa6TjvkqxHH5uyhwKz0szH4XzSq-T_sj=w122-h92-k-no,https://serpapi.com/images/url/X3uzP3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb24QkhfllWgWklWWXVjh4WFaWplR7l1lUFzlYRJRFVyoGxJfnGVbbmhkpJthaaSbrZuXDwC6XiH1,https://serpapi.com/search.json?data_id=0xaec264bf527d53%3A0x54aa882ff125c465&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaec264bf527d53%3A0x54aa882ff125c465&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJU31Sv2TCrgARZcQl8S-IqlQ,"São Gonçalo do Rio das Pedras, MG",lojas_presentes,2025-07-29T03:19:59.504969,COMPLETA
9,Pousada Casa Cantos da Lua - São Gonçalo Rio das Pedras,ChIJw4YLMyzDrgAR4BFmzXm7_TQ,0xaec32c330b86c3:0x34fdbb79cd6611e0,3818414190891504096,/g/11rfpn0jyx,5,3,Casa de férias,Casa de férias,holiday_home,"Beco da Represa, 125 - São Gonçalo do Rio das Pedras, Serro - MG, 39150-000, Brasil",-18.4212477,-43.494394199999995,+55 38 99899-1445,,,,,,,,,,,"""Ambiente super agradável, aconchegante e charmosa!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqkKjT1IL-HjJwMSdQFg_VSWuNzyP_AeLkwOnCInCbbPqUT7Yk7-g8vZVFb3wC2eBhRTAOo9ZgM0BG43MNLCWI0konIeVr1_87J8kKaEPTqUaTEPNyfLgr-XuUTV7tbKuy-4KpC=w164-h92-k-no,https://serpapi.com/images/url/LxcQFXicBcHdboIwGADQJ_pEhAiY7AIacciPqAU3boiw2sZqC7SM4Pv5EHubnfP3Zlp3amMYD2YtqJT0QUZFhlYKTYRetPJp0E5Bq0AZPvKYLXoe37EZJfB530_p-ecY0ro8X8bsNee1TxI-HQSKBGqavC-w880doO5vVYaNNaEVCdgJ-wfpVTRdBjvbSrMEXaIllyIi5WDWrrN3eXzd5rgvrnibZ_MtoQN8jQUuHd3E4wx23KGPyVzbwLwVcBDyH5V-Q5I,https://serpapi.com/search.json?data_id=0xaec32c330b86c3%3A0x34fdbb79cd6611e0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaec32c330b86c3%3A0x34fdbb79cd6611e0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJw4YLMyzDrgAR4BFmzXm7_TQ,"São Gonçalo do Rio das Pedras, MG",lojas_presentes,2025-07-29T03:19:59.504969,COMPLETA
10,Pousada Refúgio 5 Amigos,ChIJtxfMk2_CrgAReLwaAdKKP18,0xaec26f93cc17b7:0x5f3f8ad2011abc78,6863356991702219896,/g/1ydntyj0c,4.6,62,Cama e café,Cama e café,bed_and_breakfast,"R. Diamantina, 43 - São Gonçalo do Rio das Pedras, Serro - MG, 39153-000, Brasil",-18.4155396,-43.4951078,+55 38 98818-7635,http://www.pousadarefugio5amigos.com.br/,,,,,,,,,,"""A sala com lareira é ótima para os dias de frio""",https://lh3.googleusercontent.com/p/AF1QipMuvPwG9SLxGrDjcfZVyo9nz9ufUGTRAAKbpNkb=w92-h92-k-no,https://serpapi.com/images/url/aNIQgHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW1oWUO5uGexT4V7kkpWcFhVWmW-ZV2VZmhbqHhLk6OidVOCXnWRbbmmkmwHE2bp5-QCk8SHb,https://serpapi.com/search.json?data_id=0xaec26f93cc17b7%3A0x5f3f8ad2011abc78&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaec26f93cc17b7%3A0x5f3f8ad2011abc78&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtxfMk2_CrgAReLwaAdKKP18,"São Gonçalo do Rio das Pedras, MG",lojas_presentes,2025-07-29T03:19:59.504969,COMPLETA
