position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Mimos e Cheiros Presentes,ChIJ2fingXG-pgARVtYGtbXTsVk,0xa6be7181a7f8d9:0x59b1d3b5b506d656,6463179717633037910,/g/11cly516nq,5,54,Loja de presentes,Loja de presentes,novelty_store,"R. Risolêta Fernandes, 290 - Barreiro, Belo Horizonte - MG, 30640-620, Brasil",-19.9820438,-44.0272284,+55 31 2526-9316,http://www.instagram.com/mimosecheiros/,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–17:30; quarta-feira: 10:00–17:30; quinta-feira: 10:00–17:30; sexta-feira: 10:00–17:30; sábado: 10:00–12:00; domingo: Fechado; segunda-feira: 10:00–17:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,"""Sou de Curitiba , fiquei apaixonada pela loja e pelo atendimento!""",https://lh3.googleusercontent.com/p/AF1QipMQfEIMBkeShtRCK3jydq9tRbiOw7ov0Zg2cY5I=w122-h92-k-no,https://serpapi.com/images/url/kNJzEXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5jm6unrlJ0anFES5OxtnFWZUmhZEpSU6V9unl9mEJVulBxp6mlbbmhkpJthaaSbrZuXDwCwcyFr,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2fingXG-pgARVtYGtbXTsVk,"São José do Barreiro, MG",lojas_presentes,2025-07-29T03:30:42.402079,COMPLETA
2,Lubelle Cestas e Presentes,ChIJeT0yqmy9pgARsMi8u36Hp5g,0xa6bd6caa323d79:0x98a7877ebbbcc8b0,10999909593261066416,/g/11ng6hrzy_,4.9,92,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Diva Taváres Arco-Verde - Indústrias I (Barreiro), Belo Horizonte - MG, 30610-430, Brasil",-19.9673905,-43.999555799999996,+55 31 98325-9916,https://www.instagram.com/cestaslubelle/,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–19:00; domingo: 08:00–11:00; segunda-feira: 07:00–19:00,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,"""Cestas ótimas, atendimento perfeito, super indico a todos.""",https://lh3.googleusercontent.com/p/AF1QipNP_hdCBnmDNxuZoKPuMkZ96a5iO0rHcbmMHmxX=w80-h106-k-no,https://serpapi.com/images/url/D5ygGXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngFxCfkeLslJfr4ldRGpXvHVDqmx1laZZomulvUOSRnJTr65FbEWFbbmGgm2FoYKabrZuXDwC40yG0,https://serpapi.com/search.json?data_id=0xa6bd6caa323d79%3A0x98a7877ebbbcc8b0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bd6caa323d79%3A0x98a7877ebbbcc8b0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJeT0yqmy9pgARsMi8u36Hp5g,"São José do Barreiro, MG",lojas_presentes,2025-07-29T03:30:42.402079,COMPLETA
3,LOJAO DO REAL - Barreiro,ChIJP1HUWeK9pgARxbl9EFVtgSA,0xa6bde259d4513f:0x20816d55107db9c5,2342273493325691333,/g/11bzwmw152,4.4,569,Loja de presentes,"Loja de presentes, Loja de artigos domésticos, Papelaria, Loja de ferramentas, Loja de Brinquedos",novelty_store,"Av. Afonso Vaz de Melo, 300 - Barreiro, Belo Horizonte - MG, 30640-070, Brasil",-19.9730718,-44.0181405,+55 31 99713-4476,https://www.lojaodoreal.com.br/,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–15:30; domingo: Fechado; segunda-feira: 08:30–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""A atendente Nalva da loja do barreiro é um amor e super atenciosa.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npPzZlPDyaNm89OGJvU0HE7ZiYb4i5zWwi5BBZz5Mfv__mpYQemVuZaKnfYKlWxwhgj7O_i7ff0NVf8kkcRaD8MVd5H468duI2ZSSyOSWn6T9LDywDgh7pArlA8RSmNWEhWT-gV3g=w80-h106-k-no,https://serpapi.com/images/url/OOSmTnicBcFZcoIwAADQE0WwsgRn-oHFqUsFK5YM-WEokgTJNgZEuKBn8Da-93qyrtNmaVmcLWZUKcrr3tS3Ssmult2sUsKi2oDKAGOFXwFzpD5OmB-jsYwFDJLv3f3P3qx93OT_TuNOaGjc1QpP7oHci0Lo_LcWWY_LvST5nqPHwOjVT4rGJ8SOMwLbtjqVETxkF3fjePDSbz9wmo5JiqR3Dn6icYgo83V44yE8pSJGa4bOgGYL-jlAG7C57YEWSPUGkgRFXg,https://serpapi.com/search.json?data_id=0xa6bde259d4513f%3A0x20816d55107db9c5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bde259d4513f%3A0x20816d55107db9c5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJP1HUWeK9pgARxbl9EFVtgSA,"São José do Barreiro, MG",lojas_presentes,2025-07-29T03:30:42.402079,COMPLETA
4,São José do Barreiro,ChIJBQGsQH5JsZQR75OMp_7vPGM,0x94b1497e40ac0105:0x633ceffea78c93ef,7150854185369244655,/g/1tzl_1mw,,0,,,,"São Roque de Minas - MG, 37928-000, Brasil",-20.344356299999998,-46.4838032,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrUnkN3E07Y3BlwvTd8UME-CCaw3uOYDv3oQy2vTXR6FyD698xulkqShfvuIM2bskqdxtMxlU-aTVES8Fi_r8Zof7qKCvNlT2slZp4KhoblLewR--H4zl6ZmnRVfWIZChqyeJTU=w122-h92-k-no,https://serpapi.com/images/url/ityBwHicBcHRboIwFADQL7qytQRhyR5mxcw5XMTiJi-LYqEL1xZoKbD_8yP8G8-536S1jXnxPJR0VmldoeiN6AqtrFB2VuirVzUGCgPGe2OR9FWXqXpL46f5kS5wcPwSZkkMjJ0G2n8dl47q3UQc_0mD1bQMonDssW73snT9OiFnU7eX0SYjZnDih3gfrv5-uzDX5bzdMLdFTgzmjb-R-oyfYkgB3v1_DPKrSg_l9zpnsp3EB89eh2dCQEYEalD6AeeSRWA,https://serpapi.com/search.json?data_id=0x94b1497e40ac0105%3A0x633ceffea78c93ef&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b1497e40ac0105%3A0x633ceffea78c93ef&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBQGsQH5JsZQR75OMp_7vPGM,"São José do Barreiro, MG",lojas_presentes,2025-07-29T03:30:42.402079,COMPLETA
5,Chalé Flor Da Serra,ChIJ09ErIipKsZQRqj1Xtj_Gp6Y,0x94b14a2a222bd1d3:0xa6a7c63fb6573daa,12008784908351126954,/g/11b73wf6hb,4.5,52,Pousada,"Pousada, Apartamento para férias",inn,"R. Bernades e Vasconcelos, 50 - São José do Barreiro, São Roque de Minas - MG, 37927-000, Brasil",-20.3428611,-46.484024,+55 16 99407-4429,,,,,,,,,,,"""Bem construído.""",https://lh3.googleusercontent.com/p/AF1QipP9S9w8DPSf7P5ykSQDYsnidZxYfIq76JN2Zfb1=w155-h92-k-no,https://serpapi.com/images/url/-8KgI3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYBlsWW7hEhCcZh5gWpkdHOgSWZyXmRJVEZnmWWhu5uVnFJWWZGhbbmhqqpthaaSbrZuXDwCc7yDy,https://serpapi.com/search.json?data_id=0x94b14a2a222bd1d3%3A0xa6a7c63fb6573daa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b14a2a222bd1d3%3A0xa6a7c63fb6573daa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ09ErIipKsZQRqj1Xtj_Gp6Y,"São José do Barreiro, MG",lojas_presentes,2025-07-29T03:30:42.402079,COMPLETA
6,Essencial Bijouterias,ChIJVQ5I4-O9pgARuBY9sAvMw6s,0xa6bde3e3480e55:0xabc3cc0bb03d16b8,12376960551517755064,/g/1ptx3fhhm,4.1,60,Loja de departamento,Loja de departamento,department_store,"Av. Visc. de Ibituruna, 370 - Barreiro, Belo Horizonte - MG, 30640-080, Brasil",-19.975796,-44.0158059,+55 31 2551-9190,https://instagram.com/loja.essencialoficial?utm_medium=copy_link,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–19:00; quarta-feira: 08:30–19:00; quinta-feira: 08:30–19:00; sexta-feira: 08:30–19:00; sábado: 08:30–16:00; domingo: Fechado; segunda-feira: 08:30–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHmXO9rfB-3AIjC1g06J5OWW_ySrRcdsvstLYHVg9PwJCa9qic1RXaWx2ghZiVEqeew9KVLy1fnaqmAz4FtdsJJ1J3a2QUeNGRbM4ERt6ryWeTrupI6ImrgHDE-IsKoPGe0orOMT-TTpC-rYtxn00bDiA6KbH5k-IuxeTYLbcEEjvcY_Ny8Yd-J5YAgR2P7L_l3XA=w122-h92-k-no,https://serpapi.com/images/url/Dfx2VHicBcFZUoMwAADQccbrpOwonfEDAcvWgogs_jAsaaAFAkko4FE9je_9PT23jE30yHF9Kx0QxqiHC4WkxiODIzvUeODQRMFE8LZzut_IZmsPWaCR6zuQdOdmCIhXXSVI02L_IlHd0Adlfm4nSAtX1yi1uauFKCvTTUTtT5dYM4Sr5iX-LlzHch70X_mDNdR1BVcqxc9veDlF1Vm2IqaSPYUxWSZHdQaCbNMCDvVweII8JsE5BnE8GYDkbBt5vjI7XfUqW7kDZ9lgnPtVbVm3R50Xl_01b4Cr5DqKxPDFL3op099WQRRBq4ngDkb8D_ZOWJ0,https://serpapi.com/search.json?data_id=0xa6bde3e3480e55%3A0xabc3cc0bb03d16b8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bde3e3480e55%3A0xabc3cc0bb03d16b8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVQ5I4-O9pgARuBY9sAvMw6s,"São José do Barreiro, MG",lojas_presentes,2025-07-29T03:30:42.402079,COMPLETA
7,Scalena Presentes,ChIJUc8pC-O9pgAR26xC-icz8QI,0xa6bde30b29cf51:0x2f13327fa42acdb,212006904258538715,/g/11k52b6myg,2.7,3,Loja de presentes,Loja de presentes,novelty_store,"Av. Visc. de Ibituruna, 90 - Barreiro, Belo Horizonte - MG, 30640-080, Brasil",-19.973250099999998,-44.016401699999996,,,Fechado ⋅ Abre às 06:00,Fechado ⋅ Abre às 06:00,terça-feira: 06:00–17:00; quarta-feira: 06:00–17:00; quinta-feira: 06:00–17:00; sexta-feira: 06:00–17:00; sábado: 06:00–17:00; domingo: 06:00–17:00; segunda-feira: 06:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Produto danificado""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jwNMNrVfhWUG6nTlYzob-w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=285.8744&pitch=0&thumbfov=100,https://serpapi.com/images/url/qfR_G3icHc3NDcIgGADQbbgVaFO1mhCPnuzJn3gylH4FDAUCCOoyzuU2Ghd47_NWKfm4ISSmAJCyhuL1A0ysPMfSOWmAex2xcDPJNUnqPg-Wa7P13Do9slvp9304Tep83C3twVxebqgKEsNVGA02sQg8CIVl-YnBjVj6iArrKFJs3aAnL6zpFrhbtS3yOgnFKPonk8uspvQLbbQ53A,https://serpapi.com/search.json?data_id=0xa6bde30b29cf51%3A0x2f13327fa42acdb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bde30b29cf51%3A0x2f13327fa42acdb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJUc8pC-O9pgAR26xC-icz8QI,"São José do Barreiro, MG",lojas_presentes,2025-07-29T03:30:42.402079,COMPLETA
8,Pousada Irmão Sol,ChIJax8Sig82sZQRoPNye83YGFs,0x94b1360f8a121f6b:0x5b18d8cd7b72f3a0,6564234833943524256,/g/1tgwnssm,4.8,209,Pousada,"Pousada, Hospedaria, Hotel",inn,"R. Belo Horizonte, 189 - São José do Barreiro, São Roque de Minas - MG, 37927-000, Brasil",-20.3436941,-46.4833765,+55 37 99114-1864,https://pousadairmaosol.com.br/,,,,,,,,,,"""A área externa com uma paisagem divina e tudo sempre muito limpo.""",https://lh3.googleusercontent.com/p/AF1QipMiwdS1jVwbc8Wnyew5LuIHe8nREjDJHlHjjO6h=w163-h92-k-no,https://serpapi.com/images/url/lzj0u3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm1meEmyYFVaelGwRnleZWm7qU-rpkWqRF-Sa5eLlkeORleVvlmFbbmhmrJthaaSbrZuXDwC_QiG9,https://serpapi.com/search.json?data_id=0x94b1360f8a121f6b%3A0x5b18d8cd7b72f3a0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b1360f8a121f6b%3A0x5b18d8cd7b72f3a0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJax8Sig82sZQRoPNye83YGFs,"São José do Barreiro, MG",lojas_presentes,2025-07-29T03:30:42.402079,COMPLETA
9,Pousada Baloeiro,ChIJN1XSCSFLsZQR7PHg8Q7V09U,0x94b14b2109d25537:0xd5d3d50ef1e0f1ec,15407893010328908268,/g/11fm3vxlcn,4.9,19,Pousada,"Pousada, Hospedagem",inn,"R. Casca Danta, n° 270 - Sao Jose Do Barreiro, São Roque de Minas - MG, 37927-000, Brasil",-20.3452232,-46.4833551,+55 37 99962-6455,,,,,,,,,,,"""excelente,  aconchegante e ótimo atendimento""",https://lh3.googleusercontent.com/gps-proxy/ALd4DhF2Of4FqH9MmC3bZBMmmoVd9se8hfQ3dZ4RZuc1U60yDI52lsdZ3k2XdZjUVqbvFbLIhKhGfIODDEdP8xBVarznPnTHxD0OVuGcxeEX-4mIEZET6azBcsvzLTQsRJXFXLRTJSk5_v5FQLL0v3C4DQtSR8bQqsEK2IcmX6vZwh4-wgIGone8_ng=w92-h92-k-no,https://serpapi.com/images/url/Kh8ryXicDcNdboIwAADgEyEMCoElexgWEMUgiIT0xUhbaAa0QPnTm3qPHWD7ku_9y6apl5-q2jJjVwtRt3SWdMSCT5RPOyw6te6l0o9ie6rfEQGQ-XpcAX84OOdub5TIPXedyIkjqc2qxCAIpGjGHzdLe8LQ1FtJkNHoBUE_t3woF7-MQnZiQRXGEHrkYm9u_hhf_MKzwwa1OJ8DvFGvUEAXesjLrMfLxXJ5RVki02PhF1GaHa-NeV9MP4kibTH2ACbTNbXLZJDeSQ9xV1gLWhlQ1joMBKf2nddfq6Mr7H-jcPEHCSFUSg,https://serpapi.com/search.json?data_id=0x94b14b2109d25537%3A0xd5d3d50ef1e0f1ec&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b14b2109d25537%3A0xd5d3d50ef1e0f1ec&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJN1XSCSFLsZQR7PHg8Q7V09U,"São José do Barreiro, MG",lojas_presentes,2025-07-29T03:30:42.402079,COMPLETA
10,Ester Gonçalez Presentes,ChIJRSgqGCaXpgARR6gDnQVoWUY,0xa69726182a2845:0x465968059d03a847,5069197228900591687,/g/11s8h_fmgw,5,1,Loja de presentes,"Loja de presentes, Service establishment",novelty_store,,-14.4095262,-51.31668,+55 31 98623-5595,http://www.shopee.com.br/estergoncalezpresentes,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito",Entrega,,"""Várias opções de presentes a preços acessíveis.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no9Zyz8yJlLOAVrWJrkA8JfC3JBE2srdLGzupXYhQNmJ-J9mE_4uvfKR8KJMZsGL9IV4YZFRWn6uuOsTKd2yOrp3vWKtmq1FTRhvs5cpbPSoMI_nye08EZ7cF0qALdbjBq5-R3uXg=w80-h106-k-no,https://serpapi.com/images/url/nozNM3icBcHxEoEwHADgJ5qisNz5I66cFZFO9I87K-2obe235fKCnsHb-L7fl2ktYWFZDXNGtRB1UxmoFBVcV1yPqGitWgKigMDy1x5zufCK4YMH0sSJf1Y5US8fk8faIatgAqqMNx8jL1d23LcEEa8Nbq7pH1GKI7IrYBN727N7LcI05zNjEsiicjIkSjp9Hum2G4dZynqYUnk_nMRue-NDZeOgmNPQ7vy4vD9X3RSljrnUyze2ERvbM_RCXPwBXsxFIA,https://serpapi.com/search.json?data_id=0xa69726182a2845%3A0x465968059d03a847&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69726182a2845%3A0x465968059d03a847&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRSgqGCaXpgARR6gDnQVoWUY,"São José do Barreiro, MG",lojas_presentes,2025-07-29T03:30:42.402079,COMPLETA
