position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,"Encanto Cestas São João Del Rei, MG",ChIJ528q6YnHoQARd1IZwH6RUnM,0xa1c789e92a6fe7:0x7352917ec0195277,8309864236026778231,/g/11vjjm8m4t,5,76,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"Av. Trinta e Um de Março, 1485 - sala 02 - São Francisco (Colônia do Marçal), São João del Rei - MG, 36302-016, Brasil",-21.1059689,-44.2299625,+55 32 99803-4167,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–17:00; domingo: 08:00–12:00; segunda-feira: 07:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Amamos a cesta, muito caprichosa, as coisas uma delicia e tudo frequento!""",https://lh3.googleusercontent.com/p/AF1QipPnWhOog4cXQKiSL7i66jRZuoum_MRxTuSYhZnD=w80-h92-k-no,https://serpapi.com/images/url/-0mdwXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkBee4Z-fbpIcEeidGexjnmlmlhUUVZpfmhvvG1QRUhocmRGV52JbbmGgm2FppJutm5cPAJvdIcU,https://serpapi.com/search.json?data_id=0xa1c789e92a6fe7%3A0x7352917ec0195277&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c789e92a6fe7%3A0x7352917ec0195277&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ528q6YnHoQARd1IZwH6RUnM,"São João del-Rei, MG",lojas_presentes,2025-07-29T03:26:46.470487,COMPLETA
2,Mimo Criativo | Cestas e Presentes Personalizados,ChIJldftEDbHoQARGvVHgtGnTt8,0xa1c73610edd795:0xdf4ea7d18247f51a,16090983036917118234,/g/11x71kwwxj,5,11,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Luís Passarini, 6 - São Judas Tadeu, São João del Rei - MG, 36307-064, Brasil",-21.1351487,-44.2463744,+55 32 99816-5182,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–12:00; segunda-feira: 09:00–18:00,,,,,,,"""Ótima a cesta super completa, entrega pontual, só tenho a agradecer!""",https://lh3.googleusercontent.com/p/AF1QipMzIOi44ueWVD4bje1kAMu-A-A9vSsCjxscIvUZ=w163-h92-k-no,https://serpapi.com/images/url/Lve_8HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW-Xpn2liUpoaHuZikpSVapjt6Fuq66jraFkWXOycVVGc7FkWGmVbbmhmrJthaaSbrZuXDwCiKCE1,https://serpapi.com/search.json?data_id=0xa1c73610edd795%3A0xdf4ea7d18247f51a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c73610edd795%3A0xdf4ea7d18247f51a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJldftEDbHoQARGvVHgtGnTt8,"São João del-Rei, MG",lojas_presentes,2025-07-29T03:26:46.470487,COMPLETA
3,Ivete Universo de Presentes,ChIJdacIK5DIoQARTjlArYV7DL8,0xa1c8902b08a775:0xbf0c7b85ad40394e,13766513975032297806,/g/1tj4cqbw,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Sebastião Sete, 91 - Centro, São João del Rei - MG, 36300-072, Brasil",-21.1341924,-44.2604026,+55 32 3373-0197,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IFGQ1RapAgL0PTbWSHqN6w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=197.62485&pitch=0&thumbfov=100,https://serpapi.com/images/url/fop3OXicHc3bCsIgGADgt_EuD6PWFkh00wEiOkGXoc5UcPNv2qy36bV6m6IX-L7P26YEcUZITL3WaXA6g3tqH0cgsAnBeC3ARaxCSwZGkn20shPOz0F0wTV8s1wd2FHAwmzp_iwvp_V9V2ak5FV5p7vEoxa9stjkn9iHBhuIKPOKIsvrAr1E5qye4rIYVxMELinLKfovtzBwRukXTcA5FQ,https://serpapi.com/search.json?data_id=0xa1c8902b08a775%3A0xbf0c7b85ad40394e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c8902b08a775%3A0xbf0c7b85ad40394e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdacIK5DIoQARTjlArYV7DL8,"São João del-Rei, MG",lojas_presentes,2025-07-29T03:26:46.470487,COMPLETA
4,O Mundo Do Real,ChIJsU5uio_IoQARfv1M3ctMte8,0xa1c88f8a6e4eb1:0xefb54ccbdd4cfd7e,17272796384324287870,/g/11bzwn69bb,4.4,94,Loja de variedades,Loja de variedades,variety_store,"R. Quintino Bocaiúva, 50 - Centro, São João del Rei - MG, 36307-302, Brasil",-21.1338446,-44.2574019,+55 32 3371-8954,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–13:30; domingo: Fechado; segunda-feira: 08:30–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Muita variedade, muitas coisas lindas e fofas para decorar o lar""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nokljei5ZllUllUzAo93RmfrfT9Kd3PLvBvCOM-hjyDohkPogtt1yazhcyP-stNSURAZw3NyfvuHRaxrokRTPvrRfFwwzKE8M5tcUVWFzlGmTXlJFWBOcEe-GfsEDPGRDM_IKL8YA=w80-h142-k-no,https://serpapi.com/images/url/_Y9GqnicDcJLDoIwFADAExVUNAETFygfFdGmgr-NIbWlSuEZWkG4oGfwNjqZ70do_VRT05TCMnKAXLKXYjWFSrNKGxRKM38qRBVSprtwxLiCQj7YfXKRMv3vXXAsUvKaJ050s_CmmTeLXYzEo_NAFBhyrYdd1gvaYaT0dp8S99Ja2443ryXJ3jUUJMFNTXjQtn3k2_FE0_RwDHoZlslJroPjfEd9hkKufA-HxIuvq2hjn91Zaw-QGI5HqEAV_ABXQ0c1,https://serpapi.com/search.json?data_id=0xa1c88f8a6e4eb1%3A0xefb54ccbdd4cfd7e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c88f8a6e4eb1%3A0xefb54ccbdd4cfd7e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJsU5uio_IoQARfv1M3ctMte8,"São João del-Rei, MG",lojas_presentes,2025-07-29T03:26:46.470487,COMPLETA
5,Brinkaderia Presentes,ChIJtaiY8m7JoQARGSJglrQKBSU,0xa1c96ef298a8b5:0x25050ab496602219,2667550125020160537,/g/11ghpt4lpq,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Pres. Tancredo Neves, 217 - Centro, São João del Rei - MG, 36300-001, Brasil",-21.133858999999998,-44.259164999999996,+55 32 99981-5824,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPG5o-QWbo8euVYKMExGXfuk-L3TFVb55QhklNv=w165-h92-k-no,https://serpapi.com/images/url/V6CV83icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4G6arxsYnpRvkVoaFunt61rhHpFWmq3rYxziFpZkahqYkZ3jV2ZbbmhmqpthaaSbrZuXDwCfsiEW,https://serpapi.com/search.json?data_id=0xa1c96ef298a8b5%3A0x25050ab496602219&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c96ef298a8b5%3A0x25050ab496602219&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtaiY8m7JoQARGSJglrQKBSU,"São João del-Rei, MG",lojas_presentes,2025-07-29T03:26:46.470487,COMPLETA
6,Loja Lune | Canecas Personalizadas,ChIJ2xoEIVPHoQARAa8OkU0o_pI,0xa1c75321041adb:0x92fe284d910eaf01,10591947687233236737,/g/11h_tcgzpj,5,11,Loja,Loja,store,"R. Ver. Emídio de Morais - Vila Santo Antonio (Matozinhos), São João del Rei - MG, 36305-124, Brasil",-21.125664099999998,-44.2382658,+55 32 99984-0148,https://lojalune2.lojavirtualnuvem.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–21:00; quarta-feira: 09:00–21:00; quinta-feira: 09:00–21:00; sexta-feira: 09:00–21:00; sábado: 09:00–18:00; domingo: 09:00–17:00; segunda-feira: 09:00–21:00,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Eu sou completamente apaixonada por essa loja.""",https://lh3.googleusercontent.com/p/AF1QipMCL0lk81FrHkCB8FQ4qBJZjzt8s7-l2o9hhphy=w80-h106-k-no,https://serpapi.com/images/url/SJrZ1HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6-xjkJNtYehW5JHt7GThFmhS6OQVlVVVYlFsrptjlG-ZkVGQUWlbbmGgm2FoYKabrZuXDwCQNSDa,https://serpapi.com/search.json?data_id=0xa1c75321041adb%3A0x92fe284d910eaf01&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c75321041adb%3A0x92fe284d910eaf01&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2xoEIVPHoQARAa8OkU0o_pI,"São João del-Rei, MG",lojas_presentes,2025-07-29T03:26:46.470487,COMPLETA
7,Soluções Presentes,ChIJ_eWrzI_IoQARNZp-YjP2pm0,0xa1c88fccabe5fd:0x6da6f633627e9a35,7901273296824343093,/g/11csrg5fsy,5,2,Loja de presentes,Loja de presentes,novelty_store,"Rod. Miguel Batista, 400 - Centro, São João del Rei - MG, 36300-068, Brasil",-21.1492625,-44.2436717,+55 32 98817-3476,https://www.instagram.com/solucoespresentescarvalho/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 13:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:10; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOtEWpGS_uOuVoaz66q2iGT-oXJ9ypPB3aCnGdh=w80-h106-k-no,https://serpapi.com/images/url/fiRxAHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX-IaXuAeHF_qXxqWn1hlZlZolOkeopsf4WVZWRDgZJzonOeekmFbbmGgm2FoYKabrZuXDwC1ACF0,https://serpapi.com/search.json?data_id=0xa1c88fccabe5fd%3A0x6da6f633627e9a35&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c88fccabe5fd%3A0x6da6f633627e9a35&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_eWrzI_IoQARNZp-YjP2pm0,"São João del-Rei, MG",lojas_presentes,2025-07-29T03:26:46.470487,COMPLETA
8,Arte Final Presentes e Decoração,ChIJFY0cm5HIoQAR2nM2qGEsIl4,0xa1c8919b1c8d15:0x5e222c61a83673da,6783032786718979034,/g/1td0zq1w,4.8,5,Loja de presentes,"Loja de presentes, Loja de Presentes",novelty_store,"R. Mal. Deodoro, 37 - Centro, São João del Rei - MG, 36300-074, Brasil",-21.1356003,-44.261318499999994,+55 32 3371-1818,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nruX-aHKZiCz7AulwP2yT29o6DDr7NCwJk-h-5pNa0njqfAm5BpXv9WHPB8Qfq6fB0R7HSxyG8qzaLzik5oMvkrvgjgMSbIE3MsWE5RWXIl-dIPC7npRGxHzbMpr8o5Qxx2HuUO=w80-h142-k-no,https://serpapi.com/images/url/g9oCV3icBcFbcoIwFADQFV1BNALO-AHIEFpRxDow_iFComASEl6yvy6iu-k5f7-064TaalpDVwvCOWnKXpWy4KwrWbco-FsjQkGhQGmOZ9M1k30GOf6-Pb3ZdPpmjI3Pj2HzzX4vzaM3ftVAAYljrrNXWzlv5IpssFMcu9a5ajeVqycmvkyfwGrn_DA_a8SjoZYDeZHocg_9VaRSHyVpFjbwCGPPZCIJJjzfIyEtjs7TZOD-etqNlg50uTagBsb_AavRRHg,https://serpapi.com/search.json?data_id=0xa1c8919b1c8d15%3A0x5e222c61a83673da&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c8919b1c8d15%3A0x5e222c61a83673da&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFY0cm5HIoQAR2nM2qGEsIl4,"São João del-Rei, MG",lojas_presentes,2025-07-29T03:26:46.470487,COMPLETA
9,Lojinha e Compania,ChIJFQ_PD87HoQARj6h_UwSBauo,0xa1c7ce0fcf0f15:0xea6a8104537fa88f,16891455207987193999,/g/1thxm96r,4.3,8,Loja de Presentes,"Loja de Presentes, Fornecedor de Brindes",gift_shop,"R. Ver. Eli Araújo, 145 - Fábricas, São João del Rei - MG, 36301-202, Brasil",-21.1266973,-44.2475405,+55 32 99989-4156,https://www.instagram.com/lojinhaecia/,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–13:00; domingo: Fechado; segunda-feira: 08:30–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nouc1ik24GP0aO8U2UW_pE8SYQy2CdBMM1CYpjwrO6-FxBN8V-llMBAMcH2jbt7b1PXRdVEl_uuPItNN1Umw5v6RntinxmRSz-t9j0gwrfTcLB3MOywFr4D5aXf0IhfTWepBCI=w163-h92-k-no,https://serpapi.com/images/url/RIi5AXicBcFdboIwAADgE1VoQQZL9mDxj2QFhqLyRLQCFUvb0LKq5_MSu82-7-_NjFH603E482adlB1vJt2MVArTCDOjcnA6pQHVQDuLOGK-kBOFtzvyN7l7zsISlcdarcJd9fNE8RUTAuNK9XbMArB-4DQ8AM4JXhC6Rf3FfFxgfiquhxWvpylPTJrCcrDz36AQ5iYeQ7F7ARP1bmfHdk-_sUeyp12P_nJ-PrVuwtr9sVE4Tr4sDDzAIgTuQMh_FbhDbg,https://serpapi.com/search.json?data_id=0xa1c7ce0fcf0f15%3A0xea6a8104537fa88f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c7ce0fcf0f15%3A0xea6a8104537fa88f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFQ_PD87HoQARj6h_UwSBauo,"São João del-Rei, MG",lojas_presentes,2025-07-29T03:26:46.470487,COMPLETA
10,CASTELINHO,ChIJs-jOuo_IoQARCvs3dcqXki0,0xa1c88fbacee8b3:0x2d9297ca7537fb0a,3283853974112303882,/g/11t832ccqv,5,1,Loja de presentes,Loja de presentes,novelty_store,"R. João Jacobe, 36 - Centro, São João del Rei - MG, 36300-064, Brasil",-21.1329331,-44.259055599999996,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TbbVrqS2sToovi4CRaFHNA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=74.56075&pitch=0&thumbfov=100,https://serpapi.com/images/url/SATPSXicHc1RCsIgGADg2_iWurG1CiQiiJ56qNFrqJn-4PbbNK3TdK5uU3SB7_u8XUohrhiLaTImZTAlwNP4OAuSWkTrjQwQqcaB5Yol9xjUKMGvgxwRrqJX6jzdT3XsETM026Pc7Q8botVFezBjEtHISTtqy0-c8EptiKSIBSdOLGvykkV0DW3nvGtJgKSd4OSf3DCLivMvUgY5eg,https://serpapi.com/search.json?data_id=0xa1c88fbacee8b3%3A0x2d9297ca7537fb0a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c88fbacee8b3%3A0x2d9297ca7537fb0a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs-jOuo_IoQARCvs3dcqXki0,"São João del-Rei, MG",lojas_presentes,2025-07-29T03:26:46.470487,COMPLETA
