position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Paloma Presentes,ChIJ8YD__5VLy5QR3_epMW6m-eM,0x94cb4b95ffff80f1:0xe3f9a66e31a9f7df,16427344108020430815,/g/1v6l8l_5,5,59,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Dr. Olávo Gomes Pinto, 160 - ljs 14 e 16 - Centro, São Lourenço - MG, 37470-000, Brasil",-22.1161231,-45.053543499999996,+55 35 3331-8675,https://app.jotform.com/243607648656670,Fechado ⋅ Abre às 09:30,Fechado ⋅ Abre às 09:30,terça-feira: 09:30–18:30; quarta-feira: 09:30–18:30; quinta-feira: 09:30–18:30; sexta-feira: 09:30–18:30; sábado: 09:30–18:30; domingo: Fechado; segunda-feira: 09:30–18:30,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNgDK7PlxccU3bTnAjuRfb_Euu9fYKUyWrY4H9S=w122-h92-k-no,https://serpapi.com/images/url/RoPJwXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-7ibR6QU5GcHGqcFJLnmFUalJYU71paapkW6R1aGV4UaeJhGWxbbmhkpJthaaSbrZuXDwC29iGb,https://serpapi.com/search.json?data_id=0x94cb4b95ffff80f1%3A0xe3f9a66e31a9f7df&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b95ffff80f1%3A0xe3f9a66e31a9f7df&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8YD__5VLy5QR3_epMW6m-eM,"São Lourenço, MG",lojas_presentes,2025-07-29T03:35:08.373839,COMPLETA
2,Aladdin Presentes,ChIJrzziEpRLy5QR751NMzaMZ0w,0x94cb4b9412e23caf:0x4c678c36334d9def,5505523233900568047,/g/11csq5cx49,4.5,167,Loja de presentes,"Loja de presentes, Loja de artigos natalinos, Loja de utensílios de cozinha, Loja de artigos para festas, Papelaria, Loja de Brinquedos",novelty_store,"Av Dom Pedro II, 140 - Centro, São Lourenço - MG, 37470-000, Brasil",-22.115373599999998,-45.0520913,+55 35 3332-6084,http://www.lojasaladdin.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–18:30; domingo: Fechado; segunda-feira: 09:00–18:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOSOOiUGeRC2O6DQ5FWIM2UYIh_oaAVwMZUEdJk=w92-h92-k-no,https://serpapi.com/images/url/4HV9WnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH-zvnxnqnhrkbORv5hJo6hbu6WsUGumZEZ-f6BhW7hsV6prilW1bbmmkmwHE2bp5-QBsIiBn,https://serpapi.com/search.json?data_id=0x94cb4b9412e23caf%3A0x4c678c36334d9def&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b9412e23caf%3A0x4c678c36334d9def&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJrzziEpRLy5QR751NMzaMZ0w,"São Lourenço, MG",lojas_presentes,2025-07-29T03:35:08.373839,COMPLETA
3,Lojão Central,ChIJBUYxx5NLy5QRLtntSO8Ertw,0x94cb4b93c7314605:0xdcae04ef48edd92e,15901652760059042094,/g/11c30tx8h8,4.5,467,Loja,Loja,store,"Av. Antônio Junqueira de Souza, 301, São Lourenço - MG, 37470-000, Brasil",-22.117679199999998,-45.0523923,+55 35 3332-1040,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–18:30; domingo: Fechado; segunda-feira: 08:30–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""tem de tudo nesse lugar, com variedade de opções e preços acessíveis.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrWdjhDe7xhPHhAQN-ABnKTklsE2vdZWd-eVkKaP6JXQvaBirkhDlbrDRQi3k2q2GlYcvIwaIUJrrxBa_5VPExSdMmUwCILAJaB-h2s8rqCVPfzdlbI7Z0EE0mpDAdagGwp3kwBeQ=w122-h92-k-no,https://serpapi.com/images/url/oTsBL3icBcFbcoIwFADQFUU0tPUx40cCjILaAVux9acTSeRqQoIJEsYNdg3dTc_5-4Wua90iCBSEo9qYWomHE7YyuhO6G1WmCerWocohF5BoDi_aHvkNYjEdIF8DKd4RoXrzKZVLcM9PR45EKTcsf8u-ip7Rq5UQq7ON98U1lPiOV-q76lPP0kNm7UDZz2uZJ8MH3zUHH6VbkjGKALuZvUdlfnlydU6np3GSjJs2JpzVK9-G0lNRLP0EYwRzjCTS5h-cWUXY,https://serpapi.com/search.json?data_id=0x94cb4b93c7314605%3A0xdcae04ef48edd92e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b93c7314605%3A0xdcae04ef48edd92e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBUYxx5NLy5QRLtntSO8Ertw,"São Lourenço, MG",lojas_presentes,2025-07-29T03:35:08.373839,COMPLETA
4,Cestas Rainha - Cesta de Café da Manhã São Lourenço,ChIJhV1BY5hLy5QRD08bRG61GY8,0x94cb4b9863415d85:0x8f19b56e441b4f0f,10311472307035131663,/g/11qn8pc_w6,5,30,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. dos Andradas, 123, São Lourenço - MG, 37470-000, Brasil",-22.1184415,-45.049776099999995,+55 35 3331-4676,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–17:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipPm8l7FTSkKlJwHajgV6rs_t_9IruCzDw_cE8zM=w80-h106-k-no,https://serpapi.com/images/url/nJtlX3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkGuRY-4WEpztneNV7pGYlR5mVlQcXxJv6VlU6lzlUh6f7GpR5WtbbmGgm2FoYKabrZuXDwC7hCHi,https://serpapi.com/search.json?data_id=0x94cb4b9863415d85%3A0x8f19b56e441b4f0f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b9863415d85%3A0x8f19b56e441b4f0f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhV1BY5hLy5QRD08bRG61GY8,"São Lourenço, MG",lojas_presentes,2025-07-29T03:35:08.373839,COMPLETA
5,Mundo dos Presentes,ChIJESoqdZNLy5QRd_jT04BoYpk,0x94cb4b93752a2a11:0x99626880d3d3f877,11052511338039605367,/g/1tj1nmvc,4.7,7,Loja de presentes,"Loja de presentes, Serviço de informática, Papelaria",novelty_store,"Av. Antônio Junqueira de Souza, 254, São Lourenço - MG, 37470-000, Brasil",-22.1176548,-45.0522449,+55 35 3331-1305,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,"terça-feira: 09:00–12:00, 13:30–18:00; quarta-feira: 09:00–12:00, 13:30–18:00; quinta-feira: 09:00–12:00, 13:30–18:00; sexta-feira: 09:00–12:00, 13:30–18:00; sábado: 09:00–12:00, 13:30–18:00; domingo: Fechado; segunda-feira: 09:00–12:00, 13:30–18:00",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npmQaEogb-a1L6j8gY_SvAt3mNXLDbKTNmre_c6FIwaATf28nS2ezjdwleXnu9Kwtk13V-x1vHVdlnaEUdj-CguGELj_KTn5q4Bx9XZ5Qmedf8_-5uvQUMkKifGy6sk4H8QO8sZcQ=w80-h101-k-no,https://serpapi.com/images/url/Tmr4U3icBcFbjoIwFADQFV2x8kgx8QMdRiegphEN-kOwlDJAW7QF1A26BnfjOZ93ZUyn55bVVvaEK8Vb1mt2p0oaJs2EKmHxTgPVoK1g5VeO7ATJQ8WvkKPYqzE_Z4chMLbYpfHPNUp24s4y6v3-jXmQlDMsDzP2qouxZans_Wg0DbJP8EDD5lS0Mg-PRQ0r3q_DuM6iRLo3Z_nw04tLBCtKnIHbD-S4baL_cv30dONsMNljfaFkMeIpVGiKoAGpvoQoRXU,https://serpapi.com/search.json?data_id=0x94cb4b93752a2a11%3A0x99626880d3d3f877&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b93752a2a11%3A0x99626880d3d3f877&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJESoqdZNLy5QRd_jT04BoYpk,"São Lourenço, MG",lojas_presentes,2025-07-29T03:35:08.373839,COMPLETA
6,Universo Dos Presentes,ChIJu-1Xl5FLy5QR80akDIICZHs,0x94cb4b919757edbb:0x7b6402820ca446f3,8891234321917298419,/g/1tg5w52y,4.7,30,Computadores,Computadores,computers,"R. Cel. José Costa Soares, 330, São Lourenço - MG, 37470-000, Brasil",-22.1182578,-45.050533099999996,+55 35 3331-2788,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,"terça-feira: 08:30–12:00, 13:30–18:00; quarta-feira: 08:30–12:00, 13:30–18:00; quinta-feira: 08:30–12:00, 13:30–18:00; sexta-feira: 08:30–12:00, 13:30–18:00; sábado: 08:30–12:00; domingo: Fechado; segunda-feira: 08:30–12:00, 13:30–18:00",,,,,,,"""Atendimento ótimo""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DT6xW6Fx99Ac_Bs81PFDww&cb_client=search.gws-prod.gps&w=80&h=92&yaw=269.52252&pitch=0&thumbfov=100,https://serpapi.com/images/url/427HYXicHc1RCsIgGADg2_iWOmFjBhLF2HMPQY_DOVPBzZ_9Ntdtula3KbrA933ePmfAI2OYV2vzFmyBsNuIB9DUpeSi1RCQmjSzrWLZP-dx0SGeQC8pTKq7Nfu96Xcpz2a4YFtd-64UYsbBxGCXrNDq1Xjqyk9c00QdICmq5cQrKchLFyUaSWshakEgZOMVJ__lkTZVcf4FRbA49Q,https://serpapi.com/search.json?data_id=0x94cb4b919757edbb%3A0x7b6402820ca446f3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b919757edbb%3A0x7b6402820ca446f3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu-1Xl5FLy5QR80akDIICZHs,"São Lourenço, MG",lojas_presentes,2025-07-29T03:35:08.373839,COMPLETA
7,Bijoux Presentes,ChIJN8j9zetLy5QR_xg1vecqyc0,0x94cb4bebcdfdc837:0xcdc92ae7bd3518ff,14828430422894254335,/g/11sfdkbbmb,4.8,4,Loja de Presentes,Loja de Presentes,gift_shop,"Av Dom Pedro II, Nº204, São Lourenço - MG, 37470-000, Brasil",-22.116155199999998,-45.0569511,+55 35 3332-6466,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–19:00; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Bom atendimento.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EqL2_LjgBzihbiG09Mj4hw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=181.73964&pitch=0&thumbfov=100,https://serpapi.com/images/url/Wu6NSXicHc3bDYIwFADQbfpnH0gUTBoSE-MPzkBKqe0lhVZ6peo0ruU2Ghc45_N2iDEdGEu4GIMrmBzhYXzaREVtCNYbFSFRHSa2CobuPvWzAt9ENQcY5OnWFl072uMLXA9nXl_G0mWi-057MDPKZNSiHbX5Jy5hoDYmkmXFiZN1QZ4qS1EJut_Wu5JEQO0kJ__lGlYpOP8CeoQ5kQ,https://serpapi.com/search.json?data_id=0x94cb4bebcdfdc837%3A0xcdc92ae7bd3518ff&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4bebcdfdc837%3A0xcdc92ae7bd3518ff&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJN8j9zetLy5QR_xg1vecqyc0,"São Lourenço, MG",lojas_presentes,2025-07-29T03:35:08.373839,COMPLETA
8,Cestas Laço e Fita,ChIJRejuDpRLy5QRMZHNkGx4_k8,0x94cb4b940eeee845:0x4ffe786c90cd9131,5764176980762005809,/g/11b62xrn41,4.8,11,Loja de cestas de presente,"Loja de cestas de presente, Loja de presentes",gift_basket_store,"R. Dr. Olávo Gomes Pinto, 128 - Centro, São Lourenço - MG, 37470-000, Brasil",-22.115753299999998,-45.053178599999995,+55 35 3331-1481,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipP_p3qNnWGlP3KvbHbgVUqbzzOjYHabOrwDqTZj=w80-h142-k-no,https://serpapi.com/images/url/YzBtJnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEF9gXOiXF-6eE2DsXZbkkZQeFlqYVFXlnxXpkZjkX1TuUhgSlWVbbmGgm2FoYqSbrZuXDwDHUCJK,https://serpapi.com/search.json?data_id=0x94cb4b940eeee845%3A0x4ffe786c90cd9131&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b940eeee845%3A0x4ffe786c90cd9131&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRejuDpRLy5QRMZHNkGx4_k8,"São Lourenço, MG",lojas_presentes,2025-07-29T03:35:08.373839,COMPLETA
9,Art Gerais,ChIJ87CYCFBLy5QRGiq3RFpRJns,0x94cb4b500898b0f3:0x7b26515a44b72a1a,8873869563921902106,/g/11fq7q5kjg,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Comendador Costa, 691, São Lourenço - MG, 37470-000, Brasil",-22.115336,-45.0586589,+55 35 98848-1344,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótima loja, excelente atendimento!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrQB9noIZqeDEggiX2NnODfR-uI7MSOOcOPlUINp9CZUGr_MNZcKPfwdq90WKEYWKBOBiKhCO7q91I_2225Aj6i_5bpPi06Ofpt47nfzNCfag7n5d0GIDsVtMowY0EdDA8qFAd_=w89-h92-k-no,https://serpapi.com/images/url/u6EjVnicBcHbDoIgAADQLyKNMqOtB2815hSrdfPFFQpYBig0t76vn-hvOuf3FdZqs3KcTswmXCneNW_TDFRJ20g7oerlcG0ANcA4QYTEXA67EEmFy76JE87bC8wlidkevLGfHQihpOiOONcoKo_bocrykqYFG-seuec0uZ7TkIRtKiLi92iKKwihFzwWbeXdddG6C8K0nfuSffKI3bgvvdrd4ticbKbGq5vUcbDsN0FdrcclAgJB8ARS_QEPQ0Kf,https://serpapi.com/search.json?data_id=0x94cb4b500898b0f3%3A0x7b26515a44b72a1a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b500898b0f3%3A0x7b26515a44b72a1a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ87CYCFBLy5QRGiq3RFpRJns,"São Lourenço, MG",lojas_presentes,2025-07-29T03:35:08.373839,COMPLETA
10,Arco Íris Presentes,ChIJKQgU-upLy5QR9t4PwLooc4U,0x94cb4beafa140829:0x857328bac00fdef6,9616074411917434614,/g/1tf5ls20,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Comend Costa, 677, São Lourenço - MG, 37470-000, Brasil",-22.1154835,-45.0598469,+55 35 3331-1961,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AERw1g5EhNlnPN6rxGQvfw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=234.2369&pitch=0&thumbfov=100,https://serpapi.com/images/url/UbDbfXicHc1RDoIgGADg2_AWoJbLtn-uB9ebqy7QEBHYEBgQ2Gk6V7epdYHv-7xVSj6eCIkpCJGyFsXrTZi48wxL56QRzOuIuVtJrkhSz3WyTJveM-v0DOfhXip5GNRo7HVsw3a55aUgPj240cImiIIFrrAsPzG4GUsfUYEjRQq6Gr1YgbrZ47ppO-R14goo-ieLy1BR-gVF5jlu,https://serpapi.com/search.json?data_id=0x94cb4beafa140829%3A0x857328bac00fdef6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4beafa140829%3A0x857328bac00fdef6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKQgU-upLy5QR9t4PwLooc4U,"São Lourenço, MG",lojas_presentes,2025-07-29T03:35:08.373839,COMPLETA
