position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Center Tudo Mega Store São Luiz do Paraitinga,ChIJs3q5IucXzZQR8-_qA_g5PIU,0x94cd17e722b97ab3:0x853c39f803eaeff3,9600612243027455987,/g/11stvgd5sq,5,6,Loja de variedades,Loja de variedades,variety_store,"R. Cel. Manoel Bento, 219 - São Luiz do Paraitinga, SP, 12140-000, Brasil",-23.2246994,-45.3095984,+55 12 99170-0018,https://www.centertudo.com/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 08:00–16:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Loja maravilhosa
Tudo que são Luís precisava
Ótimos produtos""",https://lh3.googleusercontent.com/p/AF1QipM96iTU4gtUHAllZLXevfrMnMe5PjhQGlDT5yog=w138-h92-k-no,https://serpapi.com/images/url/X1eTAXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga2mWGRJqkl4S6uGYkxPlE5Fallbkm-ebahqQlRHonuMSYlqZn25bbmhsoZthaaSbrZuXDwCvziGm,https://serpapi.com/search.json?data_id=0x94cd17e722b97ab3%3A0x853c39f803eaeff3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cd17e722b97ab3%3A0x853c39f803eaeff3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs3q5IucXzZQR8-_qA_g5PIU,"São Luiz do Paraitinga, MG",lojas_presentes,2025-07-29T03:38:23.447973,COMPLETA
2,Risi Papelaria - Pesca E Utilidades,ChIJK7FwDsUXzZQRNX79qEJcino,0x94cd17c50e70b12b:0x7a8a5c42a8fd7e35,8829971460786060853,/g/11fqbp4ls3,5,1,Loja de presentes,Loja de presentes,novelty_store,"R. Cel. Domingues de Castro, 141 - São Luiz do Paraitinga, SP, 12140-000, Brasil",-23.223340999999998,-45.3106612,+55 12 99683-5942,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipPw8H6hdmteSQerK59nuXiwUKwvUuDRU-rZLhYR=w80-h106-k-no,https://serpapi.com/images/url/6hLWTHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUG7hYZaRkluSGhyYWuRtaplXGpFZHupdXhZa6hIUqlsU5ZMRGWRbbmGgm2FoYKabrZuXDwDAfyHu,https://serpapi.com/search.json?data_id=0x94cd17c50e70b12b%3A0x7a8a5c42a8fd7e35&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cd17c50e70b12b%3A0x7a8a5c42a8fd7e35&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJK7FwDsUXzZQRNX79qEJcino,"São Luiz do Paraitinga, MG",lojas_presentes,2025-07-29T03:38:23.447973,COMPLETA
3,02 - Turazzi Magazine,ChIJ-5UdZcQXzZQRPz8O85bdHm4,0x94cd17c4651d95fb:0x6e1edd96f30e3f3f,7935023233866022719,/g/11gf9qlmjc,4.8,42,Loja de móveis,Loja de móveis,furniture_store,"Via de Acesso João Roman, 74 - Centro, São Luiz do Paraitinga - SP, 12140-000, Brasil",-23.2201271,-45.3115952,+55 12 99612-5003,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipNhwdLqf4-T15Aq1AjAi27mhpGqr3raAc4cQCmW=w138-h92-k-no,https://serpapi.com/images/url/D28h6XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1Ge4lOYZqIbYmjqWGjomOWYaWSem1HgXlhkXJTomGySHOicG25bbmhsoZthaaSbrZuXDwCdciD2,https://serpapi.com/search.json?data_id=0x94cd17c4651d95fb%3A0x6e1edd96f30e3f3f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cd17c4651d95fb%3A0x6e1edd96f30e3f3f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-5UdZcQXzZQRPz8O85bdHm4,"São Luiz do Paraitinga, MG",lojas_presentes,2025-07-29T03:38:23.447973,COMPLETA
4,Artesanato Da Vovó,ChIJH2K4ZcUXzZQRfqt8y5zecgM,0x94cd17c565b8621f:0x372de9ccb7cab7e,248505694469008254,/g/11h9cwt74t,4,1,Loja,Loja,store,"R. Monsenhor Ignácio Gioia - São Luiz do Paraitinga, SP, 12140-000, Brasil",-23.223243099999998,-45.3103169,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrbKC2e0wB7nCkeCfSHR-ba8Jx9Qpw97OBN0AAncXc-MUbOQEsEW4P4OPQAjTd7LuNSLj9DJkKcPZU3tnjom2JOXvIyix3amSVsJldeiiTHqFR813cOuVhri8pSiF3yA_1ha-Ey=w122-h92-k-no,https://serpapi.com/images/url/yA1q3HicBcFdboIwAADgE1WkJYEu2UNlGEVnQcQZXwzUSstPy2gZcsAdwtv4fa9_YW1vPhynFWhRaV21fDR8YFpZruyC6c6pegOYAcYhIRaeGspdCPlyWvkqbHj4yDZHUBZB_MRpP2Gfrg5LQhS7MPCdlzSNTPTjJR5NUlKf7v5-PGT7Gn_FzY4l1xxZVesOxvTyt53lExVddjZxe-dSnja_62PgIkbHsxhk0GdyjWZyc0UBovlzciEEAkPQAKXfSj9Dlw,https://serpapi.com/search.json?data_id=0x94cd17c565b8621f%3A0x372de9ccb7cab7e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cd17c565b8621f%3A0x372de9ccb7cab7e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJH2K4ZcUXzZQRfqt8y5zecgM,"São Luiz do Paraitinga, MG",lojas_presentes,2025-07-29T03:38:23.447973,COMPLETA
5,Smidi Móveis e Decorações São Luiz do Paraitinga,ChIJqWE0WuUXzZQRbZuZNfQc9G4,0x94cd17e55a3461a9:0x6ef41cf435999b6d,7995047073686330221,/g/11t3g8qd1k,5,1,Loja de móveis,Loja de móveis,furniture_store,"R. Cel. Manoel Bento, 136 - Centro, São Luiz do Paraitinga - SP, 12240-000, Brasil",-23.2245608,-45.310406099999994,+55 12 99213-0908,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipOQcQbRk4hh3Wl4Sb1fXvWeJd0J6ILjxZsCOOAr=w92-h92-k-no,https://serpapi.com/images/url/CxskAnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH5gcmBSUbZKRYRyeYxKcZJgWURae6pVi4GXm6ZNVEVXs7O_vWGRbbmmkmwHE2bp5-QCFNSD5,https://serpapi.com/search.json?data_id=0x94cd17e55a3461a9%3A0x6ef41cf435999b6d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cd17e55a3461a9%3A0x6ef41cf435999b6d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqWE0WuUXzZQRbZuZNfQc9G4,"São Luiz do Paraitinga, MG",lojas_presentes,2025-07-29T03:38:23.448974,COMPLETA
6,Pétala Rosê,ChIJ474dTxcXzZQRMa7K2b9GmwQ,0x94cd17174f1dbee3:0x49b46bfd9caae31,331936787348500017,/g/11xfpxn3xm,5,14,Loja de moda feminina,Loja de moda feminina,womens_clothing_store,"R. Barão do Paraitinga - Centro, São Luiz do Paraitinga - SP, 12140-000, Brasil",-23.2223638,-45.311393699999996,+55 12 99205-7588,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,,,,"""Eu amo a atendente da loja, muito educada e atenciosa!""",https://lh3.googleusercontent.com/p/AF1QipNRa3fyRKkl7RsXtiUM9K2zK4JUEiDKg7dnd57z=w80-h102-k-no,https://serpapi.com/images/url/swtYZnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF5RonFYZ5J2dYx5UHFGSGepr6W1U5W3iFeqa6eKdbp6Sl2JqXmVbbmGgm2FoYKSbrZuXDwCnfSER,https://serpapi.com/search.json?data_id=0x94cd17174f1dbee3%3A0x49b46bfd9caae31&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cd17174f1dbee3%3A0x49b46bfd9caae31&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ474dTxcXzZQRMa7K2b9GmwQ,"São Luiz do Paraitinga, MG",lojas_presentes,2025-07-29T03:38:23.448974,COMPLETA
7,Tag Emboaba Papelaria personalizada,ChIJcVRYfqEXzZQRt7OwWaEoIIQ,0x94cd17a17e585471:0x842028a159b0b3b7,9520654285720826807,/g/11hdy42rlv,5,2,Papelaria,"Papelaria, Encadernador, Gráfica de etiquetas personalizadas, Fabricante de artigos de papelaria",stationery_store,"R. Cap. Benedito Sobrinho, 385 - Centro, São Luiz do Paraitinga - SP, 12140-000, Brasil",-23.2257805,-45.3101579,+55 12 99758-4552,,Fechado ⋅ Abre às 13:00,Fechado ⋅ Abre às 13:00,terça-feira: 13:00–17:00; quarta-feira: 13:00–17:00; quinta-feira: 13:00–17:00; sexta-feira: 13:00–22:00; sábado: 13:00–22:00; domingo: 09:00–22:00; segunda-feira: 13:00–17:00,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipNqQbEAEsrpx7oJ1nYs3plTYSlK4sP8ogx8emM=w113-h92-k-no,https://serpapi.com/images/url/369fE3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngVxiY5OroWlxUUGGe72WYF1lsXJATEhmc421SHGCRn15hkZrra1tuaGism2FppJutm5cPAJj8IXU,https://serpapi.com/search.json?data_id=0x94cd17a17e585471%3A0x842028a159b0b3b7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cd17a17e585471%3A0x842028a159b0b3b7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJcVRYfqEXzZQRt7OwWaEoIIQ,"São Luiz do Paraitinga, MG",lojas_presentes,2025-07-29T03:38:23.448974,COMPLETA
8,Tabacaria Paraitinga,ChIJXWS9gC8XzZQRKikxGCdKKqQ,0x94cd172f80bd645d:0xa42a4a271831292a,11829348903012084010,/g/11swrszrpp,5,2,Tabacaria,"Tabacaria, Loja de body piercing",tobacco_shop,"Mercado Municipal de, Centro, São Luiz do Paraitinga - SP, 12140-000, Brasil",-23.224593,-45.3109646,+55 12 99150-8134,https://www.instagram.com/tabacaria.paraitinga.oficial?igsh=MW92NzJsYTVjMTB6dg==,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–21:00; domingo: 10:00–16:00; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipNhpBsO4g2t5WbHhFlNhiXUIwQ3k2eKrapQkzhP=w92-h92-k-no,https://serpapi.com/images/url/gvszLnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1HgVOxvkm5UYhqe5JHhluOXkRkR6lkeaJxtlOpdlFgQmF2VEWBbbmmkmwHE2bp5-QCTriGV,https://serpapi.com/search.json?data_id=0x94cd172f80bd645d%3A0xa42a4a271831292a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cd172f80bd645d%3A0xa42a4a271831292a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJXWS9gC8XzZQRKikxGCdKKqQ,"São Luiz do Paraitinga, MG",lojas_presentes,2025-07-29T03:38:23.448974,COMPLETA
9,São Luiz Country,ChIJySXU8vAXzZQRqeussASImNE,0x94cd17f0f2d425c9:0xd1988804b0aceba9,15102970904112327593,/g/11rk8hzn65,4,1,Loja,Loja,store,"Praça de, R. Dr. Oswaldo Cruz, 142 - Centro, São Luiz do Paraitinga - SP, 12140-000, Brasil",-23.2225796,-45.308994299999995,+55 12 99190-2910,http://web.facebook.com/saoluizcountry,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–17:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNnLFRI1lwjXQZRwNGGjHNVzpbAH77qbrR2hLD_=w163-h92-k-no,https://serpapi.com/images/url/ngRUlXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-fjFuRpmFOeFREYFVTu5-6e5eEXVlWQ5Ohhbl6YVBRklOHjEm9bbmhmrJthaaSbrZuXDwCrKyFE,https://serpapi.com/search.json?data_id=0x94cd17f0f2d425c9%3A0xd1988804b0aceba9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cd17f0f2d425c9%3A0xd1988804b0aceba9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJySXU8vAXzZQRqeussASImNE,"São Luiz do Paraitinga, MG",lojas_presentes,2025-07-29T03:38:23.448974,COMPLETA
10,Bazar Salles,ChIJ_QWXMaYXzZQRBr5ASWEOXyk,0x94cd17a6319705fd:0x295f0e614940be06,2981117289346153990,/g/11hynf3lbj,,0,Loja de eletrônicos,Loja de eletrônicos,electronics_store,"Praça Dr. Oswaldo Cruz, 20 - São Luiz do Paraitinga, SP, 12140-000, Brasil",-23.2217199,-45.3107604,+55 12 3671-1435,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–18:30; domingo: Fechado; segunda-feira: 08:00–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipP50tXo1iwsGfxrWjAhpDjHWsr8yt2fRHisZkpT=w80-h106-k-no,https://serpapi.com/images/url/Y4plnHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYGpQEpFvmFle7J5WURSe5ZhR4JLlEV5cZFFZYpQW5JFZHJVdEGJbbmGgm2FoYKabrZuXDwDHXSJJ,https://serpapi.com/search.json?data_id=0x94cd17a6319705fd%3A0x295f0e614940be06&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cd17a6319705fd%3A0x295f0e614940be06&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_QWXMaYXzZQRBr5ASWEOXyk,"São Luiz do Paraitinga, MG",lojas_presentes,2025-07-29T03:38:23.448974,COMPLETA
