position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,BARUQUE MODA E PRESENTES,ChIJ07GM0g4Xt5QR5-qDwLNh3OI,0x94b7170ed28cb1d3:0xe2dc61b3c083eae7,16347048172104968935,/g/11hhv0z7wf,5,2,Loja de presentes,Loja de presentes,novelty_store,"R. Pimenta de Pádua, 1671 - Centro, São Sebastião do Paraíso - MG, 37950-000, Brasil",-20.918439499999998,-46.986045499999996,+55 35 99817-1056,https://baruquepresentess.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNUXQDMCkBeTBFpaRCkL8wG8GelSHIExTfmb-Bo=w122-h92-k-no,https://serpapi.com/images/url/FC_9oHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngFxoR6OLrnO2UGuLkVpAY5JztY1HubuGemhPs4elaEZKWm6TrlG9bbmhkpJthaaSbrZuXDwCbqiDw,https://serpapi.com/search.json?data_id=0x94b7170ed28cb1d3%3A0xe2dc61b3c083eae7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b7170ed28cb1d3%3A0xe2dc61b3c083eae7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ07GM0g4Xt5QR5-qDwLNh3OI,"São Sebastião do Rio Preto, MG",lojas_presentes,2025-07-29T03:43:58.603740,COMPLETA
2,"Vai Que Cola Papelaria, Personalizados e Presentes Criativos",ChIJMRjnf-m_uZQRy5aYrcq9so4,0x94b9bfe97fe71831:0x8eb2bdcaad9896cb,10282489577433765579,/g/11lfbh3cdc,5,72,Papelaria,"Papelaria, Copiadora, Gráfica de etiquetas personalizadas, Impressões",stationery_store,"Av. Wenceslau Braz, 1055c - Lagoinha, São Sebastião do Paraíso - MG, 37950-000, Brasil",-20.920911,-46.9775688,+55 16 98138-8915,,Fechado ⋅ Abre às 10:30,Fechado ⋅ Abre às 10:30,terça-feira: 10:30–19:30; quarta-feira: 10:30–19:30; quinta-feira: 10:30–19:30; sexta-feira: 10:30–18:00; sábado: Fechado; domingo: Fechado; segunda-feira: 10:30–19:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMju0fa1N8flkwXW2ZATdqioUUxgS5diNKHQpnL=w138-h92-k-no,https://serpapi.com/images/url/_lO5a3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm1VqkJZo6GeRlpNdHhFuFOUYklKYmR8aWpEebJqS6eftEViQ52NbbmhsoZthaaSbrZuXDwC4TSHD,https://serpapi.com/search.json?data_id=0x94b9bfe97fe71831%3A0x8eb2bdcaad9896cb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b9bfe97fe71831%3A0x8eb2bdcaad9896cb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMRjnf-m_uZQRy5aYrcq9so4,"São Sebastião do Rio Preto, MG",lojas_presentes,2025-07-29T03:43:58.603740,COMPLETA
3,Criativa Papelaria e Presentes,ChIJQdSnPn8Xt5QRY-KyROxzMqk,0x94b7177f3ea7d441:0xa93273ec44b2e263,12191934599847404131,/g/11hyz_bmfr,4.7,210,Papelaria,Papelaria,stationery_store,"Av. Ângelo Calafiori, 153 - Centro, São Sebastião do Paraíso - MG, 37950-000, Brasil",-20.917830499999997,-46.9844374,+55 35 3531-2757,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqF0FeEWRdO9CBDXnWVs03QsMpcdbrVVPvQ4zcrYH3oyIXvrd2STXbf8--w8G1Pw8uoPfkBehF6P9jiJSDbe_qZmP85T4Ct7EOoz7pZi5lkyZp2XhlMW8hJPf8DsX3OO2JVPJbuYQ=w80-h142-k-no,https://serpapi.com/images/url/M1PDuHicBcFtDoIgAADQE6GmVtjWj_yq3JpYTck_bSJKaUCCubpgZ-g2vff7Mq2lWplmzxyjFaLt6ajoQATXlGuDiIfZSgWIAsrcBB5z-TO2YhoVxzr1Aj_EvMiV5WTqIEldDXmOXpn7IcNl54j3Hr-G2j6dcdVAACa4naEJjgI1nU9ZvEDe_Zacwopen-UDwfnZDfQySsVnKcvbvO_epbQx6w8FZAlqYKiwk6Z2kqOkGi_ZeoIWYDPXBh3g4g82F0S2,https://serpapi.com/search.json?data_id=0x94b7177f3ea7d441%3A0xa93273ec44b2e263&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b7177f3ea7d441%3A0xa93273ec44b2e263&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQdSnPn8Xt5QRY-KyROxzMqk,"São Sebastião do Rio Preto, MG",lojas_presentes,2025-07-29T03:43:58.603740,COMPLETA
4,D' Presentes e Cestas,ChIJCdMhmh2tvZQRLJ_mYJs8GVA,0x94bdad1d9a21d309:0x50193c9b60e69f2c,5771711035495325484,/g/11ckqnb3qr,4.6,44,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Mirassolândia, 658 - Jardim Itapema, São José do Rio Preto - SP, 15045-000, Brasil",-20.783992299999998,-49.3926744,+55 17 3219-7441,https://www.facebook.com/DircePresentes/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–16:00; domingo: 08:00–12:00; segunda-feira: 08:00–19:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMC-U5P3rnjcCKLXbBce24e0qBXKTJ7_DO8IzD_=w80-h106-k-no,https://serpapi.com/images/url/FEoi_3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng66wbahpgXJSXlezs7ROR5JScamSSalDoFOEd4mUe7-Jv4VnlEm9bbmGgm2FoYKabrZuXDwCG4iBB,https://serpapi.com/search.json?data_id=0x94bdad1d9a21d309%3A0x50193c9b60e69f2c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94bdad1d9a21d309%3A0x50193c9b60e69f2c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCdMhmh2tvZQRLJ_mYJs8GVA,"São Sebastião do Rio Preto, MG",lojas_presentes,2025-07-29T03:43:58.603740,COMPLETA
5,Santa Presentes - Presentes Finos,ChIJ6_lPLXutvZQRHU-F3oPQa5M,0x94bdad7b2d4ff9eb:0x936bd083de854f1d,10622813410876018461,/g/11bzwn20k5,4.6,32,Loja de Presentes,"Loja de Presentes, Loja de artigos domésticos",gift_shop,"R. Orsini Dias Águiar, 501 - Jardim Alvorada, São José do Rio Preto - SP, 15020-070, Brasil",-20.816267,-49.3956947,+55 17 99286-3768,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nomeyx6Xr-1vNTOmOiIKqRHri7vrPN5EgXrk-gAn93-yH2_Zkx5mr3sIk1nuXP_R9nwVbZ3AFwL7ZtIJjRo-VZIaNxeF_ej0rRuB55w1-iJ3jrDS34nBP27XNyBxwWWUfwSifY1=w80-h106-k-no,https://serpapi.com/images/url/BjJ0sHicBcFLDoIwFADAEz2gVkRMXIBKRA0S_CEboqSWj7TaFgsH9BDexpnft1TqJWem-SyxQTmnT9JJIgrOFGHKKHhr0peEQoI0vYVbjhlvydBPUgHoEx337b4Kt-9kLSrnI-LIXtFUNEA95mIY1qM8a3q7FViGDWJdGueJy_T5nmEv0DsnU-GmTjics_AW9STISW2JpPNtWyOoNrgWywMeMz8eOWk0-L2-XE4PfageVzTXUwtKZE2gAcb_6x5Ecw,https://serpapi.com/search.json?data_id=0x94bdad7b2d4ff9eb%3A0x936bd083de854f1d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94bdad7b2d4ff9eb%3A0x936bd083de854f1d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6_lPLXutvZQRHU-F3oPQa5M,"São Sebastião do Rio Preto, MG",lojas_presentes,2025-07-29T03:43:58.603740,COMPLETA
6,Alexander Presentes,ChIJ00hCkk9TvJQRrkV0mD9WZTI,0x94bc534f924248d3:0x3265563f987445ae,3631403505684858286,/g/11t2rcffzf,4.4,41,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Lino José de Seixas, 181 - Jardim dos Seixas, São José do Rio Preto - SP, 15061-050, Brasil",-20.808528199999998,-49.3717864,+55 17 3223-1199,https://linklist.bio/alexanderpresentes,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipO4gQ7yWhkg2h3a6o9T6f7G6toXgSEslTUy8l2F=w122-h92-k-no,https://serpapi.com/images/url/XHG1B3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb5IeaF4ZnpGdbpRhnGiWbxlilmbublaSH5Ee7FqcExJaaZFj5GZbbmhkpJthaaSbrZuXDwCe5yD6,https://serpapi.com/search.json?data_id=0x94bc534f924248d3%3A0x3265563f987445ae&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94bc534f924248d3%3A0x3265563f987445ae&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ00hCkk9TvJQRrkV0mD9WZTI,"São Sebastião do Rio Preto, MG",lojas_presentes,2025-07-29T03:43:58.603740,COMPLETA
7,Prefeitura de São Sebastião do Rio Preto,ChIJBR3LjbB_rwARc4hz0BX2DcY,0xaf7fb08dcb1d05:0xc60df615d0738873,14271333367758948467,/g/11g0zp2zhy,4.8,5,Prefeitura,Prefeitura,city_district_office,"Praca São Sebastião, 37, São Sebastião do Rio Preto - MG, 35815-000, Brasil",-19.2920564,-43.1754647,+55 31 3867-5126,http://www.saosebastiaodoriopreto.mg.gov.br/,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: Fechado; domingo: Fechado; segunda-feira: 07:00–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Pagamento em dias e uma administração exemplar!!!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npl3PZAXojNOEPOwCIQ486CVD31oQL9seaSpbcNfxoZvxOoI4qeUfP3e5iaq2xT1ghNAMrbbpYB0_MVOfRcffEW0_EBSXmebr9ojGomt6UzKSHu_URyP84FrnnDND0XUm5UdW4=w122-h92-k-no,https://serpapi.com/images/url/n2DO_XicBcFbcoIwFADQFUVe0ZHO9AMBH2MFlAbRH0ZiQqqQG0ms2PW5ie7Gc_5fwhilPyyrFd6oAWhadtespyANk2ZEobMapRHVSFtB6AssVetlx6CES5LGWfoIV1s8nYRF5Dmw_fI1O-Wqpgkf4Pg7pLDCN0Z45rHxz-nmDt9OI5Jg09e1OszsalOkfEc5j_d2Fc_ysmN178NlAZ2ZkL91vrxXZPfMpnjeSxklkV2SbkzOe_z5cFwXCd9FVyThDXv1RCY,https://serpapi.com/search.json?data_id=0xaf7fb08dcb1d05%3A0xc60df615d0738873&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf7fb08dcb1d05%3A0xc60df615d0738873&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBR3LjbB_rwARc4hz0BX2DcY,"São Sebastião do Rio Preto, MG",lojas_presentes,2025-07-29T03:43:58.603740,COMPLETA
8,D'PRESENTES GABI,ChIJ27__hx8epAARUE9X8zJiROc,0xa41e1f87ffbfdb:0xe7446232f3574f50,16664552492148150096,/g/11f1039027,4.7,13,Loja de presentes,Loja de presentes,novelty_store,"Praça Paulo Teixeira, 25 - Centro, Rio Acima - MG, 34300-000, Brasil",-20.088582799999998,-43.7890616,+55 31 98884-5215,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 09:30–12:00; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr5Dm_kChHDEmNicqf9cxAFv-fqbiUGOxbtf4yUv1-lABMvC0itxJ3dAxgWltWScDIzuqKcqM6_hvPpEyPhkAEL6llulQwyTKB3TYNLPBis2BL1x3Jn1kQoGcDz2F1beMTwAR4dxg=w169-h92-k-no,https://serpapi.com/images/url/5YATL3icBcHbDoIgAADQLyJDzc22HvCSXbSsbK2nNlHBiaCBiv1g39DfdM7vS5Xq5NowGLUWRAjCykGWbyy4KrlaYNEapJMASyAN5LvU5u9V0L4an-6CsD3VuK9crNF2BFWf1_forHNV2fN9hIAhLxn9Za30wSqQJg-mHjcc7D9Df8R94rzomHbhnNIGhbHD2MAu05wdPSt7nuLUq6XpxVBbBw6bi4hw8DG3MC-TbEJXu9BkM0HHBdQ1QQO4-APTM0Y_,https://serpapi.com/search.json?data_id=0xa41e1f87ffbfdb%3A0xe7446232f3574f50&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa41e1f87ffbfdb%3A0xe7446232f3574f50&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ27__hx8epAARUE9X8zJiROc,"São Sebastião do Rio Preto, MG",lojas_presentes,2025-07-29T03:43:58.603740,COMPLETA
9,LoveLiz Boutique e Cestas Presentes Personalizados,ChIJKyxQ4SggWpMROH2_3etthf8,0x935a2028e1502c2b:0xff856debddbf7d38,18412243511379197240,/g/11c54dnyw8,4.4,12,Loja de cestas de presente,"Loja de cestas de presente, Loja de presentes",gift_basket_store,"CEP : 71691086 - Ao Lado do PET SHOP Terra e dá Marmoraria MCunha. (Lote De esquina) entrando na, Av. São Sebastião, Rua da Gameleira, 271 - Loja 03 - Centro, Brasília - DF, 71691-086, Brasil",-15.9064827,-47.7710381,+55 61 99356-6917,,,,,,,Estacionamento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMqKnso_luanl-qcb14cJobSu29pBNnDg8FtoM3=w122-h92-k-no,https://serpapi.com/images/url/TYJ5V3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW-idV5wfn1OamJejW5icZGiS7JWfFFxqZFng5Jfnkm7hVpLva2xbbmhkpJthaaSbrZuXDwDFMyG-,https://serpapi.com/search.json?data_id=0x935a2028e1502c2b%3A0xff856debddbf7d38&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x935a2028e1502c2b%3A0xff856debddbf7d38&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKyxQ4SggWpMROH2_3etthf8,"São Sebastião do Rio Preto, MG",lojas_presentes,2025-07-29T03:43:58.603740,COMPLETA
10,Novidades.Com Presentes e Papelaria,ChIJVZoqu6dSvJQRHH4elBTkF2w,0x94bc52a7bb2a9a55:0x6c17e414941e7e1c,7788944857596067356,/g/11hbln7rb4,4.9,36,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Nadima Damha, 2045 - Jardim Yolanda, São José do Rio Preto - SP, 15061-759, Brasil",-20.8093203,-49.3532655,+55 17 3223-0689,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–20:00; quarta-feira: 09:00–20:00; quinta-feira: 09:00–20:00; sexta-feira: 09:00–20:00; sábado: 09:00–19:00; domingo: Fechado; segunda-feira: 09:00–20:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrbglrnLY74pZbC1vQJ1tXH05i1rlmDlvUnHmYvtC4l--m_IV1zRpWNKmOnuOUWHTlgvlyaccwE6ELW2Admha-PEGUIyNwtrZWLOZVyQyEKmZL-6PG9iNG9fdde79myhuN7_uMDOQ=w80-h92-k-no,https://serpapi.com/images/url/-fNEeXicBcHdboIwGADQJ_oEHIo12YVBAk4EWQZMbogWbM36Q9oCqQ-4d_BtPOf1T40Z9NZxGP1YECkJ60fdKyyF6YVZYMkdMmjAGrSzCxH1hboRpkR6CfyhuYXeVHx55jdxVw9PMb5nUykSfplM6DMA3h4q7_k91NmR52LMyzr5YWRi9orxHK2jtF7uOk6vcI7i8mCz2aimTvOmsoWNjrxJYX2O0SOL0b3r-gBxS8csaMfTPi8-540LFC3hD4R8A2CmRao,https://serpapi.com/search.json?data_id=0x94bc52a7bb2a9a55%3A0x6c17e414941e7e1c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94bc52a7bb2a9a55%3A0x6c17e414941e7e1c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVZoqu6dSvJQRHH4elBTkF2w,"São Sebastião do Rio Preto, MG",lojas_presentes,2025-07-29T03:43:58.603740,COMPLETA
