position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Mercadinho São Sebastião da Angely,ChIJSX0-mqYDngARwwVzFd4rupM,0x9e03a69a3e7d49:0x93ba2bde157305c3,10644868902086182339,/g/11qpxvsncs,4.9,12,Mercado,Mercado,market,"Rua Mauricio de, Brasil",-22.218436999999998,-44.978595299999995,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Bom atendimento, preços bons, ambiente limpo, recomendo""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=63-uoHFOTbYkmV9NsJxPkw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=158.91998&pitch=0&thumbfov=100,https://serpapi.com/images/url/UygVGHicHc1LCsIwFADA22TXfBSlEYI7ERfqQgRXksaYhKbNo3lt6m28lrdRvMDM5-0RIW8YyzhYi1OwBcJsY65AU5eSi1ZDyNSkjk2CoR-7ptchbkH3KTzUelmNab87XZpb213lMR_mc1uIae4mBtujylYPxlNXfuKQHtRBJkXVnHglF-SlixKrmkohZU0goPGKk__yTJMSnH8Bdho5nA,https://serpapi.com/search.json?data_id=0x9e03a69a3e7d49%3A0x93ba2bde157305c3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e03a69a3e7d49%3A0x93ba2bde157305c3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSX0-mqYDngARwwVzFd4rupM,"São Sebastião do Rio Verde, MG",lojas_presentes,2025-07-29T03:46:47.382264,COMPLETA
2,Felipe RiCar - Estética Avançada,ChIJ_5nphF4DngARIFWgeEmgOfE,0x9e035e84e999ff:0xf139a04978a05520,17382100474229970208,/g/11rty54slr,5,5,Centro de saúde e beleza,Centro de saúde e beleza,health_and_beauty_shop,"Rua Doutor, R. André Sarmento, 423 - Centro, São Sebastião do Rio Verde - MG, 37467-000, Brasil",-22.219365099999997,-44.978061499999995,+55 35 99777-1702,https://www.instagram.com/drfelipericar?igsh=MXI2eXNoZHdiM3A4aw==,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 10:00–16:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento perfeito, lugar aconchegante e profissional muito atencioso.""",https://lh3.googleusercontent.com/p/AF1QipPygsEI4D2uY7aZAZ0Vq0uBuycT8BwU7GyhW974=w80-h142-k-no,https://serpapi.com/images/url/YsRkSXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUJle7Opp4mJUGmmeGOUYZRBWaFDqVFqZHGLhVB5q7l6ZEW5pbmJbbmGgm2FoYqSbrZuXDwCfbSDP,https://serpapi.com/search.json?data_id=0x9e035e84e999ff%3A0xf139a04978a05520&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e035e84e999ff%3A0xf139a04978a05520&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_5nphF4DngARIFWgeEmgOfE,"São Sebastião do Rio Verde, MG",lojas_presentes,2025-07-29T03:46:47.382264,COMPLETA
3,Prefeitura Municipal São Sebastião do Rio Verde,ChIJUddXC-wCngARrmMNqrMfk7Q,0x9e02ec0b57d751:0xb4931fb3aa0d63ae,13011778604916106158,/g/11bwymg2b7,4.4,45,Prefeitura,Prefeitura,city_hall,"77, R. Sebastião Guimarães, 1, São Sebastião do Rio Verde - MG, 37467-000, Brasil",-22.2180717,-44.9778629,,,,,,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Minha cidadezinha querida .""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no7QDWkYuPIVhDI7UCKaRafFq9LhSWgWjNHo5nlYfrAH8hc9XDYURw-wy5YI20v3piH2xCjEf-y6PcmaYdVq1Ps5QgiKOMZI0ve8VnBHAUcEFqSXaNLXb-oLGCRt7WOw685eoXVnQ=w80-h106-k-no,https://serpapi.com/images/url/e5MlAXicBcFbFoFAGADgFY1y6eYcDynUESqny3jLmGaQ-csMaYXWYDe-7_flSrVyrmkNn44YAGvoS9InAaGoUCMCD421EhGJpOZ6Dp8JsBK_uONXHObcD63M21ZpVa87J-LHghW3fQCGaHD9dAObE6f0cZb2qB8MHE7097S9BpOPd1vVaDBj8qjwJe_GsTQSdt0edqdQf1M7F8vAzchq3R3Lah-VZwTRxkuVVRx60zYolLlIFr2tIz7WTXRHAv4cYERE,https://serpapi.com/search.json?data_id=0x9e02ec0b57d751%3A0xb4931fb3aa0d63ae&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e02ec0b57d751%3A0xb4931fb3aa0d63ae&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJUddXC-wCngARrmMNqrMfk7Q,"São Sebastião do Rio Verde, MG",lojas_presentes,2025-07-29T03:46:47.382264,COMPLETA
4,Mercadinho Brasil,ChIJKbwsLuwCngARCS-BuW7sqAU,0x9e02ec2e2cbc29:0x5a8ec6eb9812f09,407835726579838729,/g/11clzhbltv,4.4,49,Supermercado,Supermercado,supermarket,"MG-350, 411, São Sebastião do Rio Verde - MG, 37467-000, Brasil",-22.2199085,-44.977241899999996,+55 35 3365-1240,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:30; domingo: Fechado; segunda-feira: 08:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npgUE7Ps1bGfgrBhGpS2ma7jw0XGynquH2PwhkqBGF_CuFn_48Wv8cEjiROTHLoofmbm6Pv_d9yR9OVQQ41Ju86k_yNxKgevvOI8kRdLLX9aHTxpjKuG8PcATuLxAyrKUCAjcI=w80-h106-k-no,https://serpapi.com/images/url/4MjXrHicBcFZEoIgAADQE-FSjmEzfZhjWDppZsufY2SQC5CIy_26RLfpvd-X9r2Qa11v6FIjnJOmVLLsMGd9yXoN81YnQgIsgdRdz6EWE-TirxJpPtCLdFuKxHnRFqtqNO5oZh8VLJKR1p8t2uWe2rHcgrcBYr96p3EWRJy_2kdrJ0P-dObUia-nk2UeFLTrfD5OISmHId7DOn1G0d0pgmwSVagQTLCbqWhy5y68eG6F95sRGoCahg1qwPgf0R9FDQ,https://serpapi.com/search.json?data_id=0x9e02ec2e2cbc29%3A0x5a8ec6eb9812f09&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e02ec2e2cbc29%3A0x5a8ec6eb9812f09&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKbwsLuwCngARCS-BuW7sqAU,"São Sebastião do Rio Verde, MG",lojas_presentes,2025-07-29T03:46:47.382264,COMPLETA
5,Uailine Brechó,ChIJXa5T0FYDngARpokyngJzJW0,0x9e0356d053ae5d:0x6d2573029e3289a6,7864818779353680294,/g/11lb6gf0hh,,0,Brechó,Brechó,thrift_store,"R. José Victor da Fonseca, 229 - Centro, São Sebastião do Rio Verde - MG, 37467-000, Brasil",-22.2175193,-44.978854899999995,+55 35 99269-8673,,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–20:00; quarta-feira: 10:00–20:00; quinta-feira: 10:00–20:00; sexta-feira: 10:00–20:00; sábado: 10:00–17:00; domingo: Fechado; segunda-feira: 10:00–20:00,,,,Cartão de débito,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cq1Tx4S36owfY6VhatKiqQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=96.778656&pitch=0&thumbfov=100,https://serpapi.com/images/url/jh2ob3icHc3bDcIgFADQbfgTqA_ampAO4JfRmPhlKKVwE1pouZa6jWu5jcYFzvm8HWJMR8YSzsbgAiZHWI1Pm6ioDcF6oyIkqsPAloKhew7tqMA3UY0BOqmn4rruLzsRcn8XN6fwBNOZ6PahPZgRZTJq1o7a_BPn0FEbE8my4sTJekteKsta0LKsxEGQCKid5OS_9GGRBedfhgg5ww,https://serpapi.com/search.json?data_id=0x9e0356d053ae5d%3A0x6d2573029e3289a6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e0356d053ae5d%3A0x6d2573029e3289a6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJXa5T0FYDngARpokyngJzJW0,"São Sebastião do Rio Verde, MG",lojas_presentes,2025-07-29T03:46:47.382264,COMPLETA
6,Igreja de São Sebastião,ChIJkXMeG-wCngAR9zYI4LgDhsI,0x9e02ec1b1e7391:0xc28603b8e00836f7,14016894982804748023,/g/1ydntnqfg,4.7,15,Igreja católica,Igreja católica,catholic_church,"São Sebastião do Rio Verde - MG, 37467-000, Brasil",-22.2185773,-44.9775413,,,,,,,,Entrada com acessibilidade para pessoas em cadeira de rodas,,,,"""bonita igreja e a praça muito limpa,cidade super agradavel""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqtaoZLJbkhodZdc4_fIdkIqTtgXWMItPuDAFxVzfQcepiNPVT4jAy2Yn3bGOl1x7mhik-PiAeM0SzU_elUXf5S7sUT10l9Lf6S6hr7f0Cjem2hNRzZFV6IDEVYrnclIDKofKTN=w80-h106-k-no,https://serpapi.com/images/url/7yKEkHicBcHtFoEwAADQJ1otUjjHj47kzEeiD_THYW0trS1tDno_D-Ft3Pv7Mq1bNTVNzoZGKWXJyVORDkuhidAGlo1ZtgpgBZTpzSfMFg99lflmdauZLPIC2xeKiho9El2ejluko6fvBe-sp3tM2iqMssS-e5_BWQxvyx233m7DqhpElUe2MO7TC-HpiY5iV6WJBflkQ53YYZ1L4fxOmgELD30eZA7yF9m5E5gjfy3pOglnrzEEzIIOqIGQf1djRTk,https://serpapi.com/search.json?data_id=0x9e02ec1b1e7391%3A0xc28603b8e00836f7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e02ec1b1e7391%3A0xc28603b8e00836f7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkXMeG-wCngAR9zYI4LgDhsI,"São Sebastião do Rio Verde, MG",lojas_presentes,2025-07-29T03:46:47.382264,COMPLETA
7,São Sebastião do Rio Verde,ChIJWQgr3ZRSy5QRBVmsl4oITM0,0x94cb5294dd2b0859:0xcd4c088a97ac5905,14793208267348400389,/m/09rsb4_,,0,,,,"Minas Gerais, Brasil",-22.218027199999998,-44.977498399999995,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrFbiyW9tbL378UDUEvPlicZfQqiXKa2BVBhR4W0JmrTqtPeQHIuh84OafWAQocD_6fTdPV7E4g8uJ3uZC8vGqcdl4lRRCIxmOkiQ0hmD6ptUtdYiI0mIjAVliMnEN2SBqHD2Dyaw=w80-h177-k-no,https://serpapi.com/images/url/FCZN8XicBcFZcoIwAADQE0UoZCR2ph9AULGLgALqj4NhSWoWIEHrCXsGb-N7z39qTK_fLYtTd9Yp1fFm0s1IlDSNNDOihNX1GhANtOWHCwrluLywR7kwly_XQznOo1vCGTm16cAOn5UTFAHNYGlvxLgfTNKk63iiCG6rtvRTRfB53u7rpPAi2KFp406nEN1WA6k55FkWxn9ie2WpTQWe9yY39ZHFtoh__YKzbxn9OLtgWGMHP6r7xx3ZgL55HrgCqV5UiUUv,https://serpapi.com/search.json?data_id=0x94cb5294dd2b0859%3A0xcd4c088a97ac5905&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb5294dd2b0859%3A0xcd4c088a97ac5905&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJWQgr3ZRSy5QRBVmsl4oITM0,"São Sebastião do Rio Verde, MG",lojas_presentes,2025-07-29T03:46:47.382264,COMPLETA
8,Drogaria São Sebastião,ChIJkctjqO4CngAR_zpW7QishkU,0x9e02eea863cb91:0x4586ac08ed563aff,5009880789837822719,/g/11b6hpgq6b,5,1,Drogaria,"Drogaria, Farmácia",drugstore,"R. Tomás Constâncio, 483, São Sebastião do Rio Verde - MG, 37467-000, Brasil",-22.218670799999998,-44.977131899999996,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bJy1ON7bc6DJ-LiMqG5k2A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=139.7732&pitch=0&thumbfov=100,https://serpapi.com/images/url/oKb5DHicHc1tCsIgGADg2_hvfmzUWiAjCILRxxFCnelLbtq02U7TubpN0QWe5_O2KYW4JSSmSes0g84BXtrFIghsvDdOiwARKz-QmZFkn4McBbg2iNFDz2W3sMu5lmq974ojnB6H1b3cISWvyoEeE49aTMpik3_i5HtsQkSZbyiyvCnRIjJnVYPruipRgKQsp-if3PzMGaVf_f44hA,https://serpapi.com/search.json?data_id=0x9e02eea863cb91%3A0x4586ac08ed563aff&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e02eea863cb91%3A0x4586ac08ed563aff&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkctjqO4CngAR_zpW7QishkU,"São Sebastião do Rio Verde, MG",lojas_presentes,2025-07-29T03:46:47.382264,COMPLETA
9,São Sebastião do Rio Verde,ChIJte8ImZQCngARMGd0wkyrDhw,0x9e02949908efb5:0x1c0eab4cc2746730,2021741628904204080,/g/11bxfw9b0c,,0,,,,"MG, 37467-000, Brasil",-22.218018,-44.9774988,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrFbiyW9tbL378UDUEvPlicZfQqiXKa2BVBhR4W0JmrTqtPeQHIuh84OafWAQocD_6fTdPV7E4g8uJ3uZC8vGqcdl4lRRCIxmOkiQ0hmD6ptUtdYiI0mIjAVliMnEN2SBqHD2Dyaw=w80-h177-k-no,https://serpapi.com/images/url/FCZN8XicBcFZcoIwAADQE0UoZCR2ph9AULGLgALqj4NhSWoWIEHrCXsGb-N7z39qTK_fLYtTd9Yp1fFm0s1IlDSNNDOihNX1GhANtOWHCwrluLywR7kwly_XQznOo1vCGTm16cAOn5UTFAHNYGlvxLgfTNKk63iiCG6rtvRTRfB53u7rpPAi2KFp406nEN1WA6k55FkWxn9ie2WpTQWe9yY39ZHFtoh__YKzbxn9OLtgWGMHP6r7xx3ZgL55HrgCqV5UiUUv,https://serpapi.com/search.json?data_id=0x9e02949908efb5%3A0x1c0eab4cc2746730&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e02949908efb5%3A0x1c0eab4cc2746730&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJte8ImZQCngARMGd0wkyrDhw,"São Sebastião do Rio Verde, MG",lojas_presentes,2025-07-29T03:46:47.382264,COMPLETA
10,Dai's Casa e Presentes,ChIJw5qscwAvy5QRYHxl0gpGSCU,0x94cb2f0073ac9ac3:0x2548460ad2657c60,2686474190019984480,/g/11vrvhl5tl,5,12,Loja de presentes,"Loja de presentes, Loja de Presentes",novelty_store,"Avenida Prefeito Dilermando de Oliveira, 16 - Conceição do Rio Verde, MG, 37430-000, Brasil",-21.8810047,-45.0865666,+55 35 99768-5977,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–17:00; domingo: Fechado; segunda-feira: 09:00–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Uma empresa com excelência em produtos e atendimento impecável.""",https://lh3.googleusercontent.com/p/AF1QipM7zbE90C28I6tYknhFCuRwGsdlhVjjmEu6vhop=w122-h92-k-no,https://serpapi.com/images/url/yHgTzHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga16V5Gpp4Gxk4WlWEpmdl-HmXBpU7l6ckpMRlpWV61pqVpaRX2BbbmhkpJthaaSbrZuXDwCoSiG8,https://serpapi.com/search.json?data_id=0x94cb2f0073ac9ac3%3A0x2548460ad2657c60&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2f0073ac9ac3%3A0x2548460ad2657c60&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJw5qscwAvy5QRYHxl0gpGSCU,"São Sebastião do Rio Verde, MG",lojas_presentes,2025-07-29T03:46:47.382264,COMPLETA
