position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja Natal,ChIJLUhv4_BOoAARKiDMRCqqw3g,0xa04ef0e36f482d:0x78c3aa2a44cc202a,8701986003529506858,/g/1vn19rmk,4.8,11,Armarinho,Armarinho,notions_store,"R. Dr. Augusto Viégas, 65 - São Tiago, MG, 36350-000, Brasil",-20.9137915,-44.5081135,+55 32 98702-0338,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Bom atendimento, qualidade, simpatia, variedade muito bom ‼️""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bEDdh_EMKwRXjQ-FKfBpHA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=15.453603&pitch=0&thumbfov=100,https://serpapi.com/images/url/zvLKr3icHc1RCsIgGADg2_g2da1FBT9RtAhGD_XUWzjn1HDzZ9qs23StblN0ge_7vE2MGNaMhTgqFSerEtqnciFDQbX32imBNlDpezblLJpH3wzCug2KwdsWmmrfmlt1qtPlej9nh7rb4XFLZHOTzqohQlBilIbq9BNH31KNgSRYcmJgNSMvkSAv6bwsFrwgaKM0wMl_6fwEOedfXyY5MQ,https://serpapi.com/search.json?data_id=0xa04ef0e36f482d%3A0x78c3aa2a44cc202a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa04ef0e36f482d%3A0x78c3aa2a44cc202a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJLUhv4_BOoAARKiDMRCqqw3g,"São Tiago, MG",lojas_presentes,2025-07-29T03:53:09.272692,COMPLETA
2,Willian Presentes,ChIJLUhv4_BOoAARI5EiStJy6ig,0xa04ef0e36f482d:0x28ea72d24a229123,2948295153579888931,/g/1tfc_13d,,0,Loja de Presentes,Loja de Presentes,gift_shop,"R. Prof. Vanderlei Lara, 426-504 - São Tiago, MG, 36350-000, Brasil",-20.9137916,-44.509137599999995,+55 32 3376-1544,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T4s5NJlfaVo0n2n4yHFlFQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=214.66713&pitch=0&thumbfov=100,https://serpapi.com/images/url/k7_9QHicHc1LCsIwFADA22RnPrXWDwR3RVwIgriVNH1NAmnyaGJjb-O1vI3iBWY-b5szpgNjKU8AeXZQ0L3ApxUqamI0HhS6RHUc2SxYts-xC8r5I6oQXS9vddpczn5Q98hDFerl1Pr2SnT30N5ByDKBmrSlpvzEKfbUYCJF7jixcl-RRRVZiZo2zVasCbqsreTkvwxxloLzL2IcOUI,https://serpapi.com/search.json?data_id=0xa04ef0e36f482d%3A0x28ea72d24a229123&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa04ef0e36f482d%3A0x28ea72d24a229123&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJLUhv4_BOoAARI5EiStJy6ig,"São Tiago, MG",lojas_presentes,2025-07-29T03:53:09.272692,COMPLETA
1,Esquindô Lelê Artesanato e Adornos,ChIJS0k1BrRPoAAR4vVHjGWubXs,0xa04fb40635494b:0x7b6dae658c47f5e2,8893956590295053794,/g/11h79k_9mw,5,1,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Cel. Benjamin Guimarães, 80 - São Tiago, MG, 36350-000, Brasil",-20.9145756,-44.5090831,+55 32 99942-6827,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–17:00,,,,"Cartão de crédito, Cartão de débito",,,"""Loja linda e atendimento perfeito.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nquLa41pbq54W0siCV_yuefxjXUotLvGFL8nQG3rYadyKtzwwaBXULe8KJ2uc4PwpgwukfBV82uWAr45kwZVbnwbiu7DXSFoBYSQmrahibF5jb_v9deZNUf7yvm3md7Uy-nSr6a=w80-h142-k-no,https://serpapi.com/images/url/7xIcfHicBcFtDoIgAADQE5GmmNbWj7TZVq7VnGb9aaAoZoLxIdn9OkS36b3flyo1yJVlPak7azhvnkRLIkrOFGFqVvLeagYJSgmktYmWFLKXThCcD_jlwYst2yi_T5rU70eRcZWMuzgJ2HnniiuqpoP6GIPCIktIcNg7uoQnMzRGd3WYB46-bAT0OnPLMTO41f62SGMeXtNzLxBtcew98H1cVuR2zGp_Gnu3r_xsAiwVC7Q2gQ3oHDqgA4z_AYOvRrA,https://serpapi.com/search.json?data_id=0xa04fb40635494b%3A0x7b6dae658c47f5e2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa04fb40635494b%3A0x7b6dae658c47f5e2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJS0k1BrRPoAAR4vVHjGWubXs,"São Tiago, MG",lojas_artesanato,2025-07-29T03:53:12.329687,COMPLETA
3,Daiane Cristine Ateliê Criativo,ChIJE1lpMSZPoAAR5HqX1dcpRdU,0xa04f2631695913:0xd54529d7d5977ae4,15367735310449867492,/g/11svll5g_v,,0,Artesanato,Artesanato,handicraft,"R. José Gaudêncio Júnior, 801 - cerrado, São Tiago - MG, 36250-000, Brasil",-20.9020354,-44.5064567,+55 32 99974-2762,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: Fechado; domingo: Fechado; segunda-feira: 09:00–17:00,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=o4wACmqCyrBR8sd0LUsOTg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=109.337135&pitch=0&thumbfov=100,https://serpapi.com/images/url/uUuwhXicHc3RCsIgFIDht_Euda1oC2TUboMg6jqcMxXcNM9ptsfpsXqbRtc_fP_3YxEj7BkDTFrj5HSO7q09rKKkJgTjtYwOqAoDmwqG9jV0o3S-iXIMrhdhkw_t8GzndLxU0PPTDc5XQ1R3V97pEQVomZSlJi9iCj01EUgWFSdW1GsyyywKXtOy3BXllkSHygpO_ptHmJbGf7pcOdQ,https://serpapi.com/search.json?data_id=0xa04f2631695913%3A0xd54529d7d5977ae4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa04f2631695913%3A0xd54529d7d5977ae4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJE1lpMSZPoAAR5HqX1dcpRdU,"São Tiago, MG",lojas_artesanato,2025-07-29T03:53:12.329687,COMPLETA
4,Padaria Mineirisse - São Tiago - Café • Biscoitos • Cestas • Produtos Mineiros,ChIJLUhv4_BOoAAR_uHv-C20tWs,0xa04ef0e36f482d:0x6bb5b42df8efe1fe,7761307642385916414,/g/1td_jg_z,4.7,248,Padaria,"Padaria, Loja de biscoitos, Café, Loja de sucos, Lanchonete",bakery,"R. Henrique Pereira, 23 - Cerrado, São Tiago - MG, 36350-000, Brasil",-20.9094338,-44.507066699999996,+55 32 99815-1577,,Fechado ⋅ Abre às 06:00,Fechado ⋅ Abre às 06:00,terça-feira: 06:00–20:30; quarta-feira: 06:00–20:30; quinta-feira: 06:00–20:30; sexta-feira: 06:00–20:30; sábado: 06:30–16:00; domingo: 07:30–12:00; segunda-feira: 06:00–20:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Para viagem, Refeição no local",,"""Excelente atendimento e produtos de qualidade ímpar.""",https://lh3.googleusercontent.com/p/AF1QipM8ejMa0l2FQI8MmNJIPdgRp7lT738aMES_q_ln=w163-h92-k-no,https://serpapi.com/images/url/n-Q0BHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga5Ga5ZtokGPkFuhp4Zvr5-UZkJIeVGCeE2JubJHo6xocXxifk2dbbmhmrJthaaSbrZuXDwCSEiDE,https://serpapi.com/search.json?data_id=0xa04ef0e36f482d%3A0x6bb5b42df8efe1fe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa04ef0e36f482d%3A0x6bb5b42df8efe1fe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJLUhv4_BOoAAR_uHv-C20tWs,"São Tiago, MG",lojas_artesanato,2025-07-29T03:53:12.329687,COMPLETA
5,Loja do Alexandre,ChIJLUhv4_BOoAARea_HmXAQKVs,0xa04ef0e36f482d:0x5b29107099c7af79,6568799607298961273,/g/1tzgkwgj,2.8,6,Serviços gráficos,"Serviços gráficos, Papelaria",drafting_service,"R. São José, 175 - Centro, São Tiago - MG, 36350-000, Brasil",-20.911766,-44.5069617,+55 32 99945-0702,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–17:00; quarta-feira: 08:30–17:00; quinta-feira: 08:30–17:00; sexta-feira: 08:30–17:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:30–17:00,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipNRM2KaK6cBkfP1-0L_6r5pAD2BXjgrB1Gj9I7n=w110-h92-k-no,https://serpapi.com/images/url/QWlRS3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF-Rr5J3obZbslJ0WYKhr4BNvVmRa4Ohi5BSRlV7kZOieZelpnmdbbmhooJthaaSbrZuXDwB6_h_r,https://serpapi.com/search.json?data_id=0xa04ef0e36f482d%3A0x5b29107099c7af79&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa04ef0e36f482d%3A0x5b29107099c7af79&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJLUhv4_BOoAARea_HmXAQKVs,"São Tiago, MG",lojas_artesanato,2025-07-29T03:53:12.329687,COMPLETA
6,São Tiago Decor,ChIJ1cRHojtPoAARvs13CYkTOfg,0xa04f3ba247c4d5:0xf83913890977cdbe,17886348874368929214,/g/11gy7z7pdc,5,2,Loja de móveis,Loja de móveis,furniture_store,"Praça Ministro Gabriel Passos, 32 - Centro, São Tiago - MG, 36350-000, Brasil",-20.9109656,-44.508842,+55 32 99925-6993,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrI5Ug1QrqmMLkEkuwAoA-sc78hw8i6zaRwt_lg5aaLwG1USM40gQgD6hv_XHgeCyRolKIwCyZdHPhphDIaK8zG7CiUnTHTaA5_ce07-0qEVR0kjHppUX8MiT35j6AxdtMUWjd-=w80-h106-k-no,https://serpapi.com/images/url/KntrvHicBcFtDoIgAADQE5G4UqmtH8xaunIrk2r9cQwZ-BGQUFT36xDdpvd-X-mcsYsgGOR0IrQWA39YPjKtHFduwvQtEMYCZoENcDqXMzXmERHhYbzfil2_7h8eawwsS5D0qI0_tPSuHkRE6c5vQnIsZlAcxCqWz_qSCZ6-Sz1sc5--r022l0aucrpFn02StkRVWUVxVDMOEwDv61MJ-y4zhlxQ0VbTqIvxq3EFOXcNWHoEgQxhDHqg9B_yuERk,https://serpapi.com/search.json?data_id=0xa04f3ba247c4d5%3A0xf83913890977cdbe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa04f3ba247c4d5%3A0xf83913890977cdbe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ1cRHojtPoAARvs13CYkTOfg,"São Tiago, MG",lojas_artesanato,2025-07-29T03:53:12.329687,COMPLETA
7,Mercearia São Tiago,ChIJr6mfoOZOoAAREoWWjOXa3N4,0xa04ee6a09fa9af:0xdedcdae58c968512,16058951050737386770,/g/11c48bmndt,4.6,169,Supermercado,Supermercado,supermarket,"R. Henrique Pereira, 175 - Serrado, São Tiago - MG, 36350-000, Brasil",-20.9079902,-44.506907899999995,+55 32 3376-1152,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–14:00; domingo: 08:00–12:00; segunda-feira: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega sem contato, Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npnghRGrx0W7F5t0bX98q5zd5-Oto0i9Qw3nYnaqGlALr-GN-KMKhguXLN5x1uqYNmZgCUXRJ_vTSlQHrMrv3wl1mCUnefkdS5ZisWa6E0GVphLB8Fze2HBUAbx_T32TCPhzWSr=w80-h142-k-no,https://serpapi.com/images/url/SnNa8XicBcFtDoIgAADQE5GoUdrWD3VlK7MPNa0_rYyghaCA6bxfh-g2vff7Uq1rNTMMRu0REYIw3CosS8E15npUisogtQKlAsrwApeOec0JPYayh_l0iTS8F67ToOGBwE4L-HIPnc3P_NaEzIskCGOw2W4oaYsoRr3ZNue4upAgK47r6ydN2GElt_Jjd8ysgozj5_uRoMtL5bfJAoanmka-sxywtfIz795fU9tKgz0d8kTOOwcCao4t8AZc_AHDBURo,https://serpapi.com/search.json?data_id=0xa04ee6a09fa9af%3A0xdedcdae58c968512&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa04ee6a09fa9af%3A0xdedcdae58c968512&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJr6mfoOZOoAAREoWWjOXa3N4,"São Tiago, MG",lojas_artesanato,2025-07-29T03:53:12.329687,COMPLETA
8,Festival do Café com Biscoito,ChIJY5AwTFdPoAARtztxoB_Vks8,0xa04f574c309063:0xcf92d51fa0713bb7,14957251644263316407,/g/11vbpbl7zq,4.6,22,Festival,Festival,festival,"São Tiago, MG, 36350-000, Brasil",-20.911070499999997,-44.5085712,,,,,,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Muita variedade de biscoitos e atrações no festival.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq_UbyvyBTPhD62yNSkWiw3sTW0F__lgDigwN_3k0DAd8VgHNHEOl0uq9qe5cRWRzw-O_g7tSsEz5XAMJmcisEQHCHSfr1WdTofGG8Vr8qppjAQOEhh51viAgmIB1xCUzFhEii-=w163-h92-k-no,https://serpapi.com/images/url/eJ8X93icBcFtDoIgAADQE5GaWdrWD1LK2tJKzf6xhQrkByqU6f06RLfpvd-XKdXKtaZVzJxRIWiVv2TeE9GovFEzImqNthIQCaQGXYctmg4nj_E9buMz85bzMYjKlA-mjFN9h3FFPU6HAJul7sHMvlE_8FFY6a_O6XKLXNPrNIAQ05WKJJqsOzwda8IluviuHxW9kWaxKPZ7-9bbXds-4SVEjFnGm0NaH7bGx02mHUOcg81gLE3AnDkoQSP-A2JE4g,https://serpapi.com/search.json?data_id=0xa04f574c309063%3A0xcf92d51fa0713bb7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa04f574c309063%3A0xcf92d51fa0713bb7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY5AwTFdPoAARtztxoB_Vks8,"São Tiago, MG",lojas_artesanato,2025-07-29T03:53:12.329687,COMPLETA
9,Loja Róbia,ChIJ04F4R95OoAARuAWt0DXya5c,0xa04ede477881d3:0x976bf235d0ad05b8,10911080835183347128,/g/11n__bddgz,5,5,Loja de Roupa,Loja de Roupa,clothing_store,"Praça Ministro Gabriel Passos, 270, São Tiago, MG, 36350-000, Brasil",-20.913008599999998,-44.5093908,+55 32 99907-2673,https://linktr.ee/lojarobia,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipM0w_Kps5uzAiGkp2FufMCpn7tjw5Bl0yd4HqGV=w80-h120-k-no,https://serpapi.com/images/url/3UiHZHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga1Ae711QbFpa5Zjpnl1g5Faa5utckGdeklVu6pRjUJli4lHoHmZbbmGgm2FoZKCbrZuXDwC7SCGq,https://serpapi.com/search.json?data_id=0xa04ede477881d3%3A0x976bf235d0ad05b8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa04ede477881d3%3A0x976bf235d0ad05b8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ04F4R95OoAARuAWt0DXya5c,"São Tiago, MG",lojas_artesanato,2025-07-29T03:53:12.329687,COMPLETA
