position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Anauê Presentes,ChIJT4XIzCuhnwARcnDpRahFaeo,0x9fa12bccc8854f:0xea6945a845e97072,16891108466459504754,/g/11h9w1z4t8,4.8,11,Loja de Presentes,Loja de Presentes,gift_shop,"R. Mal. Floriano Peixoto - Centro, São Vicente de Minas - MG, 37370-000, Brasil",-21.7024178,-44.4414296,+55 35 3323-1997,https://www.facebook.com/Anau%C3%AA-Presentes-264557843621138/,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 09:00–17:00; domingo: Fechado; segunda-feira: 08:30–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nomIzYUM_YNYuACEm0wFRnApnEROwICUXKTOV3XrnyEZcIcCCEUsfbqV91yO9ho7Jav6iamGMmAMHuxC7M4IKyKcR47I_e3gAlbnJAfLzvsOKxQ1Kfv4Jp2fwJHj75dVcwCEnJh=w163-h92-k-no,https://serpapi.com/images/url/FPQd93icBcFRboIwGADgE1VEUIKJD03TzbZDIhEiezHaAZ3Sv8wCFe_nIbzNvu_9Un3f2bXntSqYNcY0bTXY6i4N9BX0M2m013QWSYush0msQjCaPcs8OZW7csCE6rn7yAB3QLPUMZIfxSEtguMdJvotmSSE5ra-_BWxP6WxMhE_j6vfs_5MNE62w4NEScjEJGQWRuxUBQ1uL8Bx_fUcbSoee1_UY8i7Re349hotfwrpCAWuNs5fBUjFC3RDYP4B4gtEoQ,https://serpapi.com/search.json?data_id=0x9fa12bccc8854f%3A0xea6945a845e97072&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fa12bccc8854f%3A0xea6945a845e97072&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJT4XIzCuhnwARcnDpRahFaeo,"São Vicente de Minas, MG",lojas_presentes,2025-07-29T03:55:56.000172,COMPLETA
2,Inspiração Flores,ChIJpRJkFjShnwAROmT3YQS4IIA,0x9fa134166412a5:0x8020b80461f7643a,9232581565072499770,/g/11h0wjr467,4.9,67,Loja de cestas de presente,"Loja de cestas de presente, Loja de presentes",gift_basket_store,"R. Arne Paulsen, 40 - Rosário, São Vicente de Minas - MG, 37370-000, Brasil",-21.7012192,-44.4496608,+55 35 99839-6119,https://www.instagram.com/inspiracaoflores/,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–19:00; domingo: 07:00–18:00; segunda-feira: 07:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipM8jT_w4QbK4RwoNYRyjmj8P0ymibX6vsuE6NWN=w92-h92-k-no,https://serpapi.com/images/url/DAdgj3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga5EVEl9uEpjkbRJUnu8XGVSZlZtlEWBQmZuZFGFWVlzqauYX7mdbbmmkmwHE2bp5-QCUaiF5,https://serpapi.com/search.json?data_id=0x9fa134166412a5%3A0x8020b80461f7643a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fa134166412a5%3A0x8020b80461f7643a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpRJkFjShnwAROmT3YQS4IIA,"São Vicente de Minas, MG",lojas_presentes,2025-07-29T03:55:56.000172,COMPLETA
3,Casa De Queijos e Cafeteria Cantinho de Minas,ChIJH920MiqhnwARQrFg3SrQGw0,0x9fa12a32b4dd1f:0xd1bd02add60b142,944577429385556290,/g/11c2p_nn48,4.6,965,Loja de queijos,Loja de queijos,cheese_shop,"R. Mal. Floriano Peixoto - Estação, São Vicente de Minas - MG, 37370-000, Brasil",-21.7004657,-44.4395078,+55 35 99929-8306,https://www.facebook.com/queijoscantinhodeminas/,Fechado ⋅ Abre às 06:00,Fechado ⋅ Abre às 06:00,terça-feira: 06:00–20:30; quarta-feira: 06:00–20:30; quinta-feira: 06:00–20:30; sexta-feira: 06:00–20:30; sábado: 06:00–20:30; domingo: 06:00–20:30; segunda-feira: 06:00–20:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq6lCOLSkDVZfkWtcB0eVgcbaNPcXPRCcKGCOWIiTfTEuFPXsehDElehgK7fbE2EW4PepzADWnGo15E2zEDtLFPSBXVqj6aqI_ZSRM283oSavQLcx5C4IEUwKc-Evehs5YPLZkQ=w163-h92-k-no,https://serpapi.com/images/url/mOmQwHicBcFJDoIwFADQE1WUySFxoaUaAmoVBWRj8Ke0CrZg6xDv5yG8je_9vsKYVk8sqxFOjyvFG_bQ7A5KGiZND9TN4q1GoJG2ZngsXNn5Dd7ESR2kRVVnBuZ9lnI4l2sKOd1hiJZ4k4WXfbUnjwXNNRMBaZjg0bA6E5tkLmXtZxZkcqkGHrE_JDDxgibzPO2uftmFpyLZreyRo5LyuY3h7WE3JIdXBIg8mdDekcZFvZ2-Br6DxNhGNZLqD6xLQ9g,https://serpapi.com/search.json?data_id=0x9fa12a32b4dd1f%3A0xd1bd02add60b142&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fa12a32b4dd1f%3A0xd1bd02add60b142&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJH920MiqhnwARQrFg3SrQGw0,"São Vicente de Minas, MG",lojas_presentes,2025-07-29T03:55:56.000172,COMPLETA
4,Casa De Queijos Empório Mineiro,ChIJtSbJoymhnwARBKIPWT9C38Q,0x9fa129a3c926b5:0xc4df423f590fa204,14186130191084921348,/g/11gc_1c1_h,4.4,261,Loja de queijos,Loja de queijos,cheese_shop,"Praça Henrique de Oliveira, 183 - Estação, São Vicente de Minas - MG, 37370-000, Brasil",-21.6984602,-44.4391235,,,Fechado ⋅ Abre às 07:30,Fechado ⋅ Abre às 07:30,terça-feira: 07:30–20:30; quarta-feira: 07:30–20:30; quinta-feira: 07:30–20:30; sexta-feira: 07:30–20:30; sábado: 07:30–20:30; domingo: 08:00–20:00; segunda-feira: 07:30–20:30,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqEm0aMEONsMjHV2TLvRkPQLXbk1WlzYXbspHj-waGVPGKHE97L8jH0dAARMqSMeF5o1uVglRkoFWBKD7KKU4P3-5Z-98DTFJkNj2XffsaRqP0FrGVXRj_gBRMckCaVS4mi4q0=w163-h92-k-no,https://serpapi.com/images/url/EIKaVHicBcHbEoFAAADQL9ruITMeii6jlqxs8WKSbHarrbaY8X1-wt845_etxrETS1muK10inJO6nEQ5FLwdy3aUCt7IpBOgEEDI9tqqjLZ3GyWH7n4nIA2wlkQvxOJDlN2Ymtafc3YTXUDBO_dx7IeBa82jBQ2Uu20j2B9h6ZlcnTCpEeNe6oSbeRiejFgH5gVYi03ibdmOatnjIXLUx4o3-DhD9EocBAu2zvHRaJ5Gr6ze6kwHlaUBBlr-BwHKQkY,https://serpapi.com/search.json?data_id=0x9fa129a3c926b5%3A0xc4df423f590fa204&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fa129a3c926b5%3A0xc4df423f590fa204&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtSbJoymhnwARBKIPWT9C38Q,"São Vicente de Minas, MG",lojas_presentes,2025-07-29T03:55:56.000172,COMPLETA
5,Grafite Papelaria e Presentes,ChIJJejTMauhnwARX3M2ePKi8_s,0x9fa1ab31d3e825:0xfbf3a2f27836735f,18155033685143221087,/g/1vknqmjk,4,7,Papelaria,"Papelaria, Loja de presentes",stationery_store,"R. Mal. Floriano Peixoto, 111 - Centro, São Vicente de Minas - MG, 37370-000, Brasil",-21.7023933,-44.442074999999996,+55 35 99736-4972,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 09:00–16:00; domingo: Fechado; segunda-feira: 08:30–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipMbTNKUB-bj-APMzLhqsXD872D_L61qDU5kmN3b=w80-h177-k-no,https://serpapi.com/images/url/OVbTInicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngmxTi5x3qpJuUpesY4Fvlk1FYHOFiYW7kEu9jZljoEmqanetnnGRbbmGgm2Fobq6brZuXDwCLhCBU,https://serpapi.com/search.json?data_id=0x9fa1ab31d3e825%3A0xfbf3a2f27836735f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fa1ab31d3e825%3A0xfbf3a2f27836735f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJejTMauhnwARX3M2ePKi8_s,"São Vicente de Minas, MG",lojas_presentes,2025-07-29T03:55:56.000172,COMPLETA
1,Arte mineira,ChIJ9VR_4hynnwAR_Eb0FfAijBI,0x9fa71ce27f54f5:0x128c22f015f446fc,1336481603978020604,/g/11p9wblvc6,,0,Artesanato,Artesanato,handicraft,"R. Tuniquinho Araújo, 122 - Centro, São Vicente de Minas - MG, 37370-000, Brasil",-21.704092799999998,-44.4457656,+55 32 99841-4086,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipMfApZVRIgpkinqEgLMUNe3SYJcCmzU9FZW25By=w80-h142-k-no,https://serpapi.com/images/url/udnstXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm-ZYEBUW5JlekJ2ZV-ia7uMb6pdqHBzpleycWxVq6RYVbmTqVGlbbmGgm2FoYqSbrZuXDwC1AyFZ,https://serpapi.com/search.json?data_id=0x9fa71ce27f54f5%3A0x128c22f015f446fc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fa71ce27f54f5%3A0x128c22f015f446fc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ9VR_4hynnwAR_Eb0FfAijBI,"São Vicente de Minas, MG",lojas_artesanato,2025-07-29T03:55:59.055165,COMPLETA
3,Estação das Artes - Artesanato de São Vicente de Minas,ChIJ65yYKSqhnwARrQ8QGHMSzZo,0x9fa12a29989ceb:0x9acd127318100fad,11154592137600831405,/g/11hbbwbxvk,,0,Artesanato,Artesanato,handicraft,"São Vicente de Minas - MG, 37370-000, Brasil",-21.7000924,-44.4390524,,https://www.facebook.com/estacaodasartessvminas/,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wUfGOLKK6SUV4m9fFBmMuA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=133.18196&pitch=0&thumbfov=100,https://serpapi.com/images/url/AMoKmXicHc3NDcIgGADQbbjJjzVNa0KMHvRQjQdTr4ZSCl8ChRRadBvXchuNC7z3eZuUQtwSEtOkVFpA5QBPZeMqCKy911aJABFL78jCSDKz60YBdhfE6KHnuR1O13PTlLf2vnH1cDy4y7xHsntIC2pMPCoxSYN1_omT77EOEWVeUWR4vUYvkTkrCswqVpcoQJKGU_RfBr9wRukXVlc5Hg,https://serpapi.com/search.json?data_id=0x9fa12a29989ceb%3A0x9acd127318100fad&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fa12a29989ceb%3A0x9acd127318100fad&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ65yYKSqhnwARrQ8QGHMSzZo,"São Vicente de Minas, MG",lojas_artesanato,2025-07-29T03:55:59.055165,COMPLETA
4,Arte Ferrer,ChIJgyBloDyhnwARLUL_R0oqbh8,0x9fa13ca0652083:0x1f6e2a4a47ff422d,2264794161137795629,/g/11g0g_1xps,5,4,Loja,Loja,store,"R. Ver. Alaor Reis, 245, São Vicente de Minas - MG, 37370-000, Brasil",-21.697115699999998,-44.4411634,+55 35 99880-6466,,Permanently closed,Permanently closed,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no5TGmuY-eaE2e46Nd7oRtuLXJxErpyAcdWDvaXzR8B30ZUVEfvlsKdiSKCO-zmIySSaFeewGKrL5qE3L1hK6LjXiBKIbbBT8qXljM7jp1GcDr38cnxSpc5djeeBjYFXyXiaLgz=w163-h92-k-no,https://serpapi.com/images/url/30soonicBcFBcoIwFADQE0XECGJnuhBFxibaGbE1usPwJaSQRBJUuJ-H6G187_8lnDP2w_NqgUel1mUNnYWWa-VAuRHXjVcai7hF1lss52KqdHBIm-6EIE8mMA13xUzvXUfZ1zNpTb_gxXF1z9mwj2I8Pv_8Jtd7bUlRZWT5jYZm02dZvgZ4pKSlwS3B1BckpJJVMdlcLvEhurFabmfS-ClftTji6pkZHhQSIJanNetZldNy-Hz4IUZiPkF_SOk32xVFEA,https://serpapi.com/search.json?data_id=0x9fa13ca0652083%3A0x1f6e2a4a47ff422d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fa13ca0652083%3A0x1f6e2a4a47ff422d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgyBloDyhnwARLUL_R0oqbh8,"São Vicente de Minas, MG",lojas_artesanato,2025-07-29T03:55:59.055165,COMPLETA
4,Loja do Rogério,ChIJfSub0CyhnwARGlbgpLjO1C4,0x9fa12cd09b2b7d:0x2ed4ceb8a4e0561a,3374549313242813978,/g/11b8zkqn_7,4,12,Loja,Loja,store,"R. Mal. Floriano Peixoto, 34, São Vicente de Minas - MG, 37370-000, Brasil",-21.7025695,-44.4434343,,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noeVzJQ6IV6RsEFUyymXCD4jckbMJGwfhbokItwzTjp5ifOcyHV0bi79NVRBvyS1u_XGIR-EJ-V0NM0j1BlrOovsBlfmUJbvcULtheURxpqJnZxd5dCMYegytA_iiBMPX2WlPt5yw=w80-h106-k-no,https://serpapi.com/images/url/L3lhEnicBcFRboIwAADQExWKCptL_AB0jmaoQ6m4HxNqoUBp0VagXtAzeBvfez2Z1p36sm3OplYpZcnpXdEbkUJToS0iW7vsFCAKKNsP52wmJMUP9OdF2EvU6js1ps3C5awmTR6j9VCwXDaRHh6HunOrYkvMD4Z59THf4CTozd65n7N1lIAVAhhuYlg7Ab9tZa8CXrQpynuS_mpG02Tsrkj8jxf3EsYnWhrtn6sqiHfZ5Mh32jXDYviEgDnQAw0Q8g3T_Ubx,https://serpapi.com/search.json?data_id=0x9fa12cd09b2b7d%3A0x2ed4ceb8a4e0561a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fa12cd09b2b7d%3A0x2ed4ceb8a4e0561a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfSub0CyhnwARGlbgpLjO1C4,"São Vicente de Minas, MG",lojas_decoracao,2025-07-29T03:56:02.101160,COMPLETA
6,Dm Decor.,ChIJERU2fwGnnwARBSGkG4BpEfs,0x9fa7017f361511:0xfb1169801ba42105,18091357177064464645,/g/11grvk34cc,,0,Marceneiro,Marceneiro,woodworker,"R. Osvaldo Cruz, 176 - Rosário, São Vicente de Minas - MG, 37370-000, Brasil",-21.6995723,-44.4466456,+55 35 99993-5638,,,,,,,,,Agendamento on-line,,,https://lh3.googleusercontent.com/p/AF1QipPyBO7C61XMvlZNRlTFOPeL0JUq1dqsC7vWwJr6=w122-h92-k-no,https://serpapi.com/images/url/SY94CnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUOnkb-5sZhjhW5YT5ReUE-LmH5DqY-AVWmiYUljsbF4WXu5VZGZbbmhkpJthaaSbrZuXDwCZjyDy,https://serpapi.com/search.json?data_id=0x9fa7017f361511%3A0xfb1169801ba42105&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fa7017f361511%3A0xfb1169801ba42105&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJERU2fwGnnwARBSGkG4BpEfs,"São Vicente de Minas, MG",lojas_decoracao,2025-07-29T03:56:02.101160,COMPLETA
