position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Jian Presentes Taubaté,ChIJh0GpCF74zJQRAowEfpj3ogs,0x94ccf85e08a94187:0xba2f7987e048c02,838504714965650434,/g/11c5kpmyhg,4.1,112,Loja de Presentes,"Loja de Presentes, Loja de acessórios para dispositivos móveis, Loja de artigos domésticos, Loja de Brinquedos",gift_shop,"Taubate Shopping, Av. Charles Schnneider, 1700 - Vila Costa, Taubaté - SP, 12050-181, Brasil",-23.023744999999998,-45.581658999999995,+55 12 3426-8329,,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–22:00; quarta-feira: 10:00–22:00; quinta-feira: 10:00–22:00; sexta-feira: 10:00–22:00; sábado: 10:00–22:00; domingo: 13:00–20:00; segunda-feira: 10:00–22:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noiLY5euCJRT_xZgc7u9d9LsvREgA9YYC7Uyk29NUV9VlzEuN86PJI0-oOfA6oQlwNnHrt6fszMDMj8HYuVsLAYaZlCWk-AYj7-Mx5coQCTrpeiaXPUr8GSrrIonF606WbGCBl3=w163-h92-k-no,https://serpapi.com/images/url/OBs6L3icBcFZcoIwGADgE0VUaiCd6UNMXQdwqWDjS0djDErMz2Spy_16iN7G7_v_q71v3XsU6TruKAClZXDSCjBeGt8RcI1U65BwyEWUkfrNwDnjAxnYfL35ue-USAI5ksz9rkeKEs5ZUj6aPinKilT6OQpFipfzWRfB4kQxrPStMFPr8ck988_8kk55qFxG-X6n2bZBlF8SlN8HAlZsY1t53n8vS5tOvqydgRnjLt4eJmyo449bD8eoJn3UIAMvrKRD7w,https://serpapi.com/search.json?data_id=0x94ccf85e08a94187%3A0xba2f7987e048c02&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf85e08a94187%3A0xba2f7987e048c02&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJh0GpCF74zJQRAowEfpj3ogs,"Taubaté, MG",lojas_presentes,2025-07-29T04:36:08.375808,COMPLETA
2,Mi Presentes | Cestas de café da manhã | Presentes criativos | Brinquedos | Papelaria,ChIJ-3Qj9shXzJQRKUtczNTqGyw,0x94cc57c8f62374fb:0x2c1bead4cc5c4b29,3178392161722583849,/g/11t6gf026s,5,35,Loja de presentes,Loja de presentes,novelty_store,"R. Santo Amaro, 255 - Parque Sr. do Bonfim, Taubaté - SP, 12040-540, Brasil",-23.030597699999998,-45.6013197,+55 12 99708-0699,https://wa.link/j1laxw,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,"terça-feira: 09:00–12:00, 13:30–18:00; quarta-feira: 09:00–12:00, 13:30–18:00; quinta-feira: 09:00–12:00, 13:30–18:00; sexta-feira: 09:00–12:00, 13:30–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–12:00, 13:00–18:00",,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,"""Muito boa ☺️ e atenciosos esta loja tem quase tudo pra algum precisa 😁😁😁😁""",https://lh3.googleusercontent.com/p/AF1QipPxkXQ2kGOONxeXPcUpWXrjHUzCp32kzY4BnsMU=w95-h92-k-no,https://serpapi.com/images/url/iz_TPXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUJEdEWiU7e7v71eRGhGQHFoQHlGU5RFa5VxgbJRdFWnilFfsG2pbbmmqm2FppJutm5cPAJsdIZk,https://serpapi.com/search.json?data_id=0x94cc57c8f62374fb%3A0x2c1bead4cc5c4b29&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cc57c8f62374fb%3A0x2c1bead4cc5c4b29&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-3Qj9shXzJQRKUtczNTqGyw,"Taubaté, MG",lojas_presentes,2025-07-29T04:36:08.375808,COMPLETA
3,Ana Cestas e floricultura | Cesta de Café da Manhã | Cesta de chocolates | flores,ChIJufYYmqlXzJQRCN7QqgIEtNU,0x94cc57a99a18f6b9:0xd5b40402aad0de08,15398937435388829192,/g/11q1gskjsc,5,209,Loja de cestas de presente,"Loja de cestas de presente, Floricultura",gift_basket_store,"R. Dr. Emílio Winther, 1513 - Jardim das Nações, Taubaté - SP, 12030-000, Brasil",-23.035725199999998,-45.5711934,+55 12 99167-8933,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,"""Produtos de qualidade e ganhei vários mimos para minha aniversariante.""",https://lh3.googleusercontent.com/p/AF1QipOe4py5Nr0bYsKv8sYj29rSuR0fTPoqJbztZDlI=w85-h92-k-no,https://serpapi.com/images/url/L52rfXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn2pSUGnqV2SQFFnsXWZRHJllZFkUXBpkkBYSkF_olVRVEuWS42lbbmGqm2FppJutm5cPAJbBIZ8,https://serpapi.com/search.json?data_id=0x94cc57a99a18f6b9%3A0xd5b40402aad0de08&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cc57a99a18f6b9%3A0xd5b40402aad0de08&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJufYYmqlXzJQRCN7QqgIEtNU,"Taubaté, MG",lojas_presentes,2025-07-29T04:36:08.375808,COMPLETA
4,Emboava Presentes,ChIJW5vlRwX5zJQRtZ6GL0w31QY,0x94ccf90547e59b5b:0x6d5374c2f869eb5,492360534621331125,/g/11b7rtws4r,4.6,107,Loja de Presentes,Loja de Presentes,gift_shop,"R. Dr. Jorge Winther, 65 - Centro, Taubaté - SP, 12010-150, Brasil",-23.0280477,-45.554633599999995,+55 12 3632-2898,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Ótimas opções de presentes para casa.""",https://lh3.googleusercontent.com/gps-proxy/ALd4DhEf09l3sgQekHpF0ix9aoETSJZ-0ufPJuJv27nP9cIj2QnSXV87nXdpeewsumNQowVrfc6-vEr2C43a7Zmg65HNoP5dRw1k1ohuZpw28CirYCaqF6UW5DzGlTyk--R7VqLf8ztJ_RDA-1WIuWe2OmY11kb3e51DUze5CRlaYhgo_5mhU_B2wxDml1Ugr1qXW-RjiY4=w122-h92-k-no,https://serpapi.com/images/url/CHECyHicBcFLcoIwAADQ6aLHiZDw70wXFrDKOFZQvhuGQkiQTyCAIEftafre39s7naZ-_BCEhko7whhp8DxinrNuwt20y1krkH4EPWfrS9ifC9midikajTQSF9fH_iBWq5Ex-35zEiDO5dWZnSfSuquRnx7I7W5RoGtdVPQYL-PcXly2BLzMVfC0OTJlKdOSlqjK8cKuSuEtsIaMzkm_IN2seGxmw0H1Q8Xavpv7qwbA04LhXOrb5KSetQcwPM0hRj9tDGH9K2EFWv6GFdNrspgSliot9dMvtKxW20CfcDhEIfAeVSx_LhAhQA0EatCxfyzYWPM,https://serpapi.com/search.json?data_id=0x94ccf90547e59b5b%3A0x6d5374c2f869eb5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf90547e59b5b%3A0x6d5374c2f869eb5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW5vlRwX5zJQRtZ6GL0w31QY,"Taubaté, MG",lojas_presentes,2025-07-29T04:36:08.376807,COMPLETA
5,Cestas Personalizadas Taubaté,ChIJpzBrOm35zJQRGD4DQzsmtSQ,0x94ccf96d3a6b30a7:0x24b5263b43033e18,2645062392119246360,/g/11jmpp0kzh,4.9,64,Loja de presentes,"Loja de presentes, Floricultura, Loja de cestas de presente",novelty_store,"Av. Brg. de Faria Lima, 816 - Jardim Maria Augusta, Taubaté - SP, 12070-100, Brasil",-23.02189,-45.540693,+55 12 99786-7364,https://www.facebook.com/By.Thaylyne.Emboava/,Aberto 24 horas,Aberto 24 horas,terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas; segunda-feira: Atendimento 24 horas,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,"""Um excelente atendimento, e preço nem se fala super barato.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrxt2VWRJOIjkVLvvUXA5KR9iuJOKcFfVSOD1fjojdgx3l25bW1ifHaS2StvZ-8-fmfFVyNJMq8qmg-_ByiuHPiLsZPc5qVvrlp-I5xc9u19T5gEQrw4xXGVuy6UDOZcyJbbChdKA=w80-h106-k-no,https://serpapi.com/images/url/SgZPIXicBcFBjoIwFADQE30RtAZMXKCOo6CioNWwmQyVtiBQoC3CCT2Dt_G9z5srVcu5YRR8MmJCsCLVMm2JqFRaqRERpcFqCUSCNNyVw6dV2ysL30Iv2OVPvO-6691Ffuhk2gt8sqE4CtYmzUX-YP2ksFByMzO6_Y-sSHUx2EBLusHD0Ts0dlMy-FsOmd6esr2MTwQ1uGuLGnaoJ442nQtiP-f2Ne3vv1gPs-s6iMngJcmKP3x38bLHwM3xDJ5QiS-DlUW6,https://serpapi.com/search.json?data_id=0x94ccf96d3a6b30a7%3A0x24b5263b43033e18&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf96d3a6b30a7%3A0x24b5263b43033e18&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpzBrOm35zJQRGD4DQzsmtSQ,"Taubaté, MG",lojas_presentes,2025-07-29T04:36:08.376807,COMPLETA
6,"Cestas Tudo de Bom - Cesta de Café da Manhã, Chocolate, Buquê de Flores e Presentes",ChIJH9r4Stz4zJQRfDGZK3krxvw,0x94ccf8dc4af8da1f:0xfcc62b792b99317c,18214293542369046908,/g/1v26n6rk,5,156,Loja de cestas de presente,"Loja de cestas de presente, Loja de bolos, Loja de chocolates, Café, Floricultura, Loja de presentes, Cesta básica",gift_basket_store,"R. Carolina Naressi, 37 - Centro, Taubaté - SP, 12010-420, Brasil",-23.0288076,-45.5528329,+55 12 98815-8676,https://www.cestastudodebom.com/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:30; quarta-feira: 09:00–17:30; quinta-feira: 09:00–17:30; sexta-feira: 09:00–17:30; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 09:00–17:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Fez tudo do jeitinho que pedi e a cesta ficou perfeita!""",https://lh3.googleusercontent.com/p/AF1QipMdNJen0Al8NvAeqkTMA4rT6h-DNBIgiY6-waxE=w122-h92-k-no,https://serpapi.com/images/url/7xlBwXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm-LnlZpn4Jhj4VfmmFqYHeLraFIUYpah6-Ln5JmeGWmmW55Y4WpbbmhkpJthaaSbrZuXDwCb_SDT,https://serpapi.com/search.json?data_id=0x94ccf8dc4af8da1f%3A0xfcc62b792b99317c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf8dc4af8da1f%3A0xfcc62b792b99317c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJH9r4Stz4zJQRfDGZK3krxvw,"Taubaté, MG",lojas_presentes,2025-07-29T04:36:08.376807,COMPLETA
7,Mg Presentes Personalizados,ChIJHYza4Fb4zJQRCrAasKdSFpo,0x94ccf856e0da8c1d:0x9a1652a7b01ab00a,11103152811496091658,/g/11f3r1msb7,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Pindamonhangaba, 290 - Chacara do Visc., Taubaté - SP, 12050-810, Brasil",-23.0211148,-45.569770999999996,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=39_vmcbLhqYLc0aGwLmBkQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=357.37927&pitch=0&thumbfov=100,https://serpapi.com/images/url/RHS0gXicHc09DsIgGADQ27AJtI2pNSEmLi5dHJ2arxSByM9nQdDbeC1vo_EC733eJmdMe8ZSXpXKxaqK9qlc2iBQHaN2CtAmKqNnpWHZPPwcwLoDQoh2Ed0wFS_n0dwvo-RwqqM_3s5EzpN0VoUskoJVGqrrT1zjQjUmUsWOEyOGlrygim7b064f2p6gzdIITv7LNRbRcP4Fhvs5uQ,https://serpapi.com/search.json?data_id=0x94ccf856e0da8c1d%3A0x9a1652a7b01ab00a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf856e0da8c1d%3A0x9a1652a7b01ab00a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHYza4Fb4zJQRCrAasKdSFpo,"Taubaté, MG",lojas_presentes,2025-07-29T04:36:08.376807,COMPLETA
8,Léo Presentes Taubaté,ChIJ9S3C-tRXzJQRibea_JkAdsc,0x94cc57d4fac22df5:0xc7760099fc9ab789,14372675922167510921,/g/11fl88k3kp,4.5,11,Papelaria,"Papelaria, Bazar, Copiadora, Armarinho, Loja de presentes, Loja de artigos para festas, Perfumaria, Loja de Brinquedos, Loja de variedades",stationery_store,"Rua leonilda lucia alves ,180 Cecap 2, Taubaté - SP, 12043-101, Brasil",-23.0369898,-45.6180496,+55 12 99602-3582,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Ótimo atendimento
Bom preço e produtos de qualidade.""",https://lh3.googleusercontent.com/p/AF1QipNY1-W6DL7DD41zicIquDmqQ8w2dt-yoMiDE5A=w80-h106-k-no,https://serpapi.com/images/url/H3ZojXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF2moG27m4mPu4mJiWJWZ7FlY6pJbGGhRbpRSoluZ75vp4mrqaFtuYaCbYWhgpputm5cPAGarICY,https://serpapi.com/search.json?data_id=0x94cc57d4fac22df5%3A0xc7760099fc9ab789&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cc57d4fac22df5%3A0xc7760099fc9ab789&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ9S3C-tRXzJQRibea_JkAdsc,"Taubaté, MG",lojas_presentes,2025-07-29T04:36:08.376807,COMPLETA
9,Presentes,ChIJJQoE9QT5zJQRR7vXV2IWbCA,0x94ccf904f5040a25:0x206c166257d7bb47,2336266918334806855,/g/11c3k4_ql3,5,14,Loja de presentes,"Loja de presentes, Loja de artigos de aromaterapia",novelty_store,"R. Sacramento, 260 - Centro, Taubaté - SP, 12010-010, Brasil",-23.025205099999997,-45.5526507,+55 12 3629-2468,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–13:30; domingo: Fechado; segunda-feira: 09:00–18:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqHctrkUsmSfEC6akOGXgrQ7eGiAVZYVHQ4L0hFEgxJlnhWmGojgsLyqKtP3sczwWXLuIKMzqIaVh7VIryfbkuGO7llUYvLYZXUDmuJM-EfCinmRh7MFcxx1iy9JPkmhgz1TbBx=w122-h92-k-no,https://serpapi.com/images/url/_ip7iXicBcHdEkJAGADQJ9pETUYzXZQkYvoluqsd9tP-xa7C-_UQvU3n_L6g9UvNDYPBZESkJKxoVdFgKXQh9AhLbpCXQlghZSxdB6ai3mLd0ETxc-m5szvd-xlpjnbhV8v0lqfb4zQaw8YjXcgEXLkvn0RFfb3Th4nCw-eaRW2wi4c6uKdgp0HTlw_a-nubsSR_R_ktS9a8DWPklW4l-AnseIO7zqx6JzxQDmQwL49Vt_iYloXAsRBFQv4BjtxG6g,https://serpapi.com/search.json?data_id=0x94ccf904f5040a25%3A0x206c166257d7bb47&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf904f5040a25%3A0x206c166257d7bb47&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJQoE9QT5zJQRR7vXV2IWbCA,"Taubaté, MG",lojas_presentes,2025-07-29T04:36:08.376807,COMPLETA
10,Achei Presentes,ChIJQ_mx8QT5zJQRYLUiChhCg8Y,0x94ccf904f1b1f943:0xc68342180a22b560,14304349512475522400,/g/11c3k2t6z1,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Rua Anizio Ortiz Monteiro, 587 - Loja 4 - Centro, Taubaté - SP, 12010-000, Brasil",-23.027497,-45.5566174,+55 12 3621-5579,https://www.facebook.com/acheipresentestaubate,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEI-O2rH2iw5Tt9AnvEvih0AVc62AIHdXAjmcKHoUpezl9alvytnalkGcFvx6QfLc_mUZHDXVff6uXLZGeOYdvg8SSu54hS9K7jMTVLwL3HFSpD2j9IV-Xv_ammFxBSkbLogrwqCzbQ4V6Ou7XWUAnxC4jYxQeEXFiz4i8zxcpd6RD3pK6WMiTjBjvvK8pIUlTSAGg=w122-h92-k-no,https://serpapi.com/images/url/m6YedHicBcHJcoIwAADQ6aGfE2kDInSmhyjrgMPYAKIXB8O-JClLQD61X9P3_t7eq2ni45ckdZW8Kxkru3we84EwOuV02hHWSyUfAR_Y-pKQnylGZboggIMD62UfTjqiwhR19YFiokLkOlmCmp54Dot4vnV62onXRNOutYklVvVS-OTRR3fHSOKiUOfEv9t5cMtEqWE875UK696hOYexv_iyY2FuwEZ3Y5CIR9r31nrE7dNn5bD8nrbnRYnVYD4k1wjR9aQ0t_WSm4lVb0qtbSvhmfpjyNxTr-c6bI6NEJ7G3agLMbLL7-UTQlDpELSAsn_PrFqz,https://serpapi.com/search.json?data_id=0x94ccf904f1b1f943%3A0xc68342180a22b560&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf904f1b1f943%3A0xc68342180a22b560&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQ_mx8QT5zJQRYLUiChhCg8Y,"Taubaté, MG",lojas_presentes,2025-07-29T04:36:08.376807,COMPLETA
