position,title,place_id,rating,reviews,type,address,phone,website,hours,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo,latitude,longitude
1,Entre Minas Loja Colaborativa,ChIJ18cMJ5mPpgARyMgpuU0HbJs,5,231,Artesanato,"R. Direita, 7 - Tiradentes, MG, 36325-000, Brasil",,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.109225,-44.1770413
2,Santoficio Decoração Criativa,ChIJGyxCt__HoQAR7XmshrImcfY,5,265,Decorador de interiores,"R. Min. Gabriel Passos, 260 - centro, Tiradentes - MG, 36325-000, Brasil",+55 32 99194-5201,http://www.santoficio.art.br/,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1085834,-44.1763857
3,Marcas Mineiras Loja e Café,ChIJGdAawqy4oQAR5MBYc-4jk7s,4.8,986,Café,"R. Sra. das Mercês, 49 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 3355-1682,http://www.marcasmineiras.com.br/,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.109391,-44.173316299999996
4,Solino Artesanato,ChIJs88aCRG_oQARPPojpFXKzjI,4.5,187,Loja de artigos domésticos,"Unnamed Road, 36325-000, Tiradentes - MG, Brasil",,,Fechado ⋅ Abre qua. às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.0994304,-44.146104
5,MeLeva Tiradentes,ChIJO7QNtuy5oQARfVIIdS-w2fM,4.3,15,Loja de souvenires,"R. Resende Costa, 67A - Centro, Tiradentes - MG, 36325-000, Brasil",+55 31 99200-2956,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1105566,-44.174493399999996
6,Criativa Papelaria,ChIJmTmeq1O_oQAR78WhN_wPZus,4.8,88,Papelaria,"R. Alberto Paoluci, nº67 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 98868-6975,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.109317,-44.1704338
7,Detalhe Mineiro,ChIJH7DP7Ku5oQAR_TJNmvl0gEQ,4.4,8,Loja de souvenires,"R. Resende Costa, 76 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 99821-2271,,Fechado ⋅ Abre às 09:30,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1107677,-44.174323799999996
8,Romer Resende,ChIJHU7zza24oQARnhTWjGqwQ0s,4.9,18,Loja,"R. Santíssima Trindade, 332 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 99906-3332,,Aberto 24 horas,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.112587299999998,-44.1830559
9,Casa das Latas Tiradentes - Loja modelo,ChIJzY3n_lW5oQARemDITn3d9jQ,3.9,87,Loja de presentes,"Largo das Forras, 4 - Centro histórico, Tiradentes - MG, 36325-000, Brasil",+55 32 99831-6509,http://www.casadaslatasoficial.com/,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.110634899999997,-44.1741088
10,Faemam Estanhos - Loja Tiradentes,ChIJl-kQhay4oQARYAPTX7sDJes,4.9,14,Galeria de Arte,"R. Direita, 64 - Tiradentes, MG, 36325-000, Brasil",+55 32 3371-8292,http://faemam.com.br/,,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1097856,-44.1760885
