position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Entre Minas Loja Colaborativa,ChIJ18cMJ5mPpgARyMgpuU0HbJs,0xa68f99270cc7d7:0x9b6c074db929c8c8,11199334403763980488,/g/11flc01bk1,5,231,Artesanato,"Artesanato, Ateliê de arte, Loja de bordados",handicraft,"R. Direita, 7 - Tiradentes, MG, 36325-000, Brasil",-21.109225,-44.1770413,,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–16:00; quarta-feira: 10:00–17:00; quinta-feira: 10:00–18:00; sexta-feira: 10:00–19:00; sábado: 10:00–19:00; domingo: 09:00–13:00; segunda-feira: 10:00–17:00,,,,"Cartão de crédito, Cartão de débito",,,"""Uma variedade de produtos artesanais que fica até difícil escolher.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrPxm5W3gzj7UISm-3PtChFTun0ec7gxpBG7P_vcm2_4cDri61WaEyYFOlgQvaUyi0lKBEm9hmJKH9e22ddzlt_F8QtRCOwq7vM73YuDt4wB3DGcFT0Y4hxvStY2TBK1nS_IVe2iVpC5bk=w83-h92-k-no,https://serpapi.com/images/url/Osp0wXicBcFbcoIwFADQFUUwwUY6048C4oPpiAV1-GJszCRoHkguD91iV9Dd9Jy_XwnQunfPU5LMhLVC8d7xjlkD3MCMWe2J1iHmkPM-41AGpssnvTgT8brR47bQiOQQy7Tsjc8ZFVMbrWleD0zjOmBJ17zNz5fVs0r3ShyGy_HZ-CqLVjqUepdtQo7x9fpSUKfLA3zH-_FBhy9Kqj6BYIxIsmZp6VeBnIYCKlxG2dwU9fbEcXNq48XP_WNcEiRDjO7I2H91jkZQ,https://serpapi.com/search.json?data_id=0xa68f99270cc7d7%3A0x9b6c074db929c8c8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa68f99270cc7d7%3A0x9b6c074db929c8c8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ18cMJ5mPpgARyMgpuU0HbJs,"Tiradentes, MG",lojas_presentes,2025-07-29T06:03:45.454976,COMPLETA
2,Marcas Mineiras Loja e Café,ChIJGdAawqy4oQAR5MBYc-4jk7s,0xa1b8acc21ad019:0xbb9323ee7358c0e4,13516186413713375460,/g/11b7hjbyz5,4.8,986,Café,"Café, Cafeteria",cafe,"R. Sra. das Mercês, 49 - Centro, Tiradentes - MG, 36325-000, Brasil",-21.109391,-44.173316299999996,+55 32 3355-1682,http://www.marcasmineiras.com.br/,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 10:00–19:00; domingo: 09:00–18:00; segunda-feira: 10:00–19:00,$$,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Mesas externas, Serviços no local, Para viagem, Refeição no local",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no58Pnp0-Tg70YCzBm21OgPPhBLmmvCzL6XAMWo7E4pe4jn4Nr4VUH2QoRvDjK_XGaK3UC5vc8t_yV97K-tFhEq_aEnDexjmAYAymOCFrU3zgyu-gCoHNDGHsLzNT-CDjZxiIkO-A=w122-h92-k-no,https://serpapi.com/images/url/RIG6Q3icBcHRboIwFADQL7qipYos2UMtKAsM2CJO90IMaVrR9jJamfCD-wb_Zuc8_5RznX3xvJvyZxJR3sTdir5B44Rxswa1JzsLjQXrMR4qanC5Lk03h70M5ic-bTRZFLIs1SbTeuBTtjqy9y8MYtoJ2hqa9_RQJeQDP4eoTevj7pz6FV8OzdrV4yEMUnBbFf_U59hE4tFqdmKjLvi2r_xJjneQHJM82iU2m_I98Kj9flzergWw198FIaBCAlcw-A_S90QX,https://serpapi.com/search.json?data_id=0xa1b8acc21ad019%3A0xbb9323ee7358c0e4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1b8acc21ad019%3A0xbb9323ee7358c0e4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGdAawqy4oQAR5MBYc-4jk7s,"Tiradentes, MG",lojas_presentes,2025-07-29T06:03:45.454976,COMPLETA
3,Santoficio Decoração Criativa,ChIJGyxCt__HoQAR7XmshrImcfY,0xa1c7ffb7422c1b:0xf67126b286ac79ed,17758017353904060909,/g/11s4r6frbt,5,265,Decorador de interiores,"Decorador de interiores, Designer de interiores, Fornecedor de molduras, Loja de molduras",interior_decorator,"R. Min. Gabriel Passos, 260 - centro, Tiradentes - MG, 36325-000, Brasil",-21.1085834,-44.1763857,+55 32 99194-5201,http://www.santoficio.art.br/,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–17:00; quarta-feira: 10:00–17:00; quinta-feira: 10:00–17:00; sexta-feira: 10:00–21:00; sábado: 10:00–22:00; domingo: 10:00–16:00; segunda-feira: 10:00–17:00,,,,,,,"""Gente atenciosa, e loja com boas lembrancinhas de Tiradentes👍🏼""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr-2kOpl51EqNhwgu9BVbI06FkGXPhxLXJ0spqE9QcVYWzYI-J6W8EZuYrobF_UJHK9sjRl9zMCvNsMZQzzqzjGs8k9EvyBx8Z-7vgcjg2HwobFdsvZigd8V4RGgWeb5ShYX07HDA=w80-h106-k-no,https://serpapi.com/images/url/pm1fCnicDctJDoIwFADQE1XqhK2JC1EEcdbItDGhklZACnwG7QU9g7fRt3_fj6jrAqaalolhj0vJs7iBuGIyr-O87jH51HgBiAECbb6gYpRXaJAeimzcN8u96HhDDTdaY32VWv5RvLa-g6EoTXpibuCpYI0c3SNm2ASVjFa3q2NvKCTnjKrdot3DLjwpVarEApJSs30bLxKiSctZwgd29x93aMMHvxN3dLa4F0fjiwh8PLGX81lHMBJ9rKMU5fIHX-9Fag,https://serpapi.com/search.json?data_id=0xa1c7ffb7422c1b%3A0xf67126b286ac79ed&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c7ffb7422c1b%3A0xf67126b286ac79ed&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGyxCt__HoQAR7XmshrImcfY,"Tiradentes, MG",lojas_presentes,2025-07-29T06:03:45.454976,COMPLETA
4,Casa das Latas Tiradentes - Loja modelo,ChIJzY3n_lW5oQARemDITn3d9jQ,0xa1b955fee78dcd:0x34f6dd7d4ec8607a,3816481264505479290,/g/11j0s275sc,3.9,87,Loja de presentes,"Loja de presentes, Doceria",novelty_store,"Largo das Forras, 4 - Centro histórico, Tiradentes - MG, 36325-000, Brasil",-21.110634899999997,-44.1741088,+55 32 99831-6509,http://www.casadaslatasoficial.com/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–22:00; quarta-feira: 09:00–22:00; quinta-feira: 09:00–22:00; sexta-feira: 09:00–00:00; sábado: 09:00–00:00; domingo: 09:00–22:00; segunda-feira: 09:00–22:00,,,Assento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOLC6wlqiihGH59y_-kTu81vE51CcoEiHydzYoD=w138-h92-k-no,https://serpapi.com/images/url/NoM9OXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7-NsVp5TmJmZ4e5halkZr5sdUmphWOZqauicnO-a6VGZUhWZ72JbbmhsoZthaaSbrZuXDwCnkiFO,https://serpapi.com/search.json?data_id=0xa1b955fee78dcd%3A0x34f6dd7d4ec8607a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1b955fee78dcd%3A0x34f6dd7d4ec8607a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzY3n_lW5oQARemDITn3d9jQ,"Tiradentes, MG",lojas_presentes,2025-07-29T06:03:45.454976,COMPLETA
5,Solino Artesanato,ChIJs88aCRG_oQARPPojpFXKzjI,0xa1bf11091acfb3:0x32ceca55a423fa3c,3661086016273644092,/g/11c6vyq3c2,4.5,187,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Unnamed Road, 36325-000, Tiradentes - MG, Brasil",-21.0994304,-44.146104,,,Fechado ⋅ Abre qua. às 09:00,Fechado ⋅ Abre qua. às 09:00,terça-feira: Fechado; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–17:00; domingo: 09:09–17:00; segunda-feira: 09:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo atendimento e produtos super exclusivos...""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4np-ys8_q3rInXZyqWYrbKEwXgt2xEGHEO7DLlSwO1jSOxP8nF6NWNnUJeDygGPOSepSXyIvHLirPjlIZmh6zJtoFmdT_qiuAWNkddSW84TMurI9uOG2QVKT_fsY6yZb2__4MgXI=w122-h92-k-no,https://serpapi.com/images/url/hSI1B3icBcFdboIwAADgE1ViJQyW7MFMxPpDMUVBXpoIXatCC20ZdvfbIbyN3_f6F9b25tPzWrGYcaV4y0bDdK2kZdLOatV5vDegNsB4y-9I-LIHzoR0WGgky8oNxUVfd_FUcgufcbKJ8cdq35IJz-8EP7NQroO0SOVpy1aOJxkmrCelQ7-b_U1n9xZVnQj-tlatuyanw21cFumjaUgR-vlh1CgacQKP511Of8wlcNUVUuofeIm-pjmEQEQQPIBUb0b7Rbo,https://serpapi.com/search.json?data_id=0xa1bf11091acfb3%3A0x32ceca55a423fa3c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1bf11091acfb3%3A0x32ceca55a423fa3c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs88aCRG_oQARPPojpFXKzjI,"Tiradentes, MG",lojas_presentes,2025-07-29T06:03:45.454976,COMPLETA
6,Criativa Papelaria,ChIJmTmeq1O_oQAR78WhN_wPZus,0xa1bf53ab9e3999:0xeb660ffc37a1c5ef,16962262622477075951,/g/11bytn265n,4.8,88,Papelaria,Papelaria,stationery_store,"R. Alberto Paoluci, nº67 - Centro, Tiradentes - MG, 36325-000, Brasil",-21.109317,-44.1704338,+55 32 98868-6975,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:30; quarta-feira: 09:00–17:30; quinta-feira: 09:00–17:30; sexta-feira: 09:00–17:30; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–17:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPObovr3qGrcXdXG-fVwq1wpj-74eFUfiBLWRSY=w163-h92-k-no,https://serpapi.com/images/url/I0ZaSXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4J-UX1ZkXOhelByREuGumxZWXmhYXpCla26S6haalunkEx4UHGlbbmhmrJthaaSbrZuXDwC6LSGM,https://serpapi.com/search.json?data_id=0xa1bf53ab9e3999%3A0xeb660ffc37a1c5ef&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1bf53ab9e3999%3A0xeb660ffc37a1c5ef&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmTmeq1O_oQAR78WhN_wPZus,"Tiradentes, MG",lojas_presentes,2025-07-29T06:03:45.454976,COMPLETA
7,MeLeva Tiradentes,ChIJO7QNtuy5oQARfVIIdS-w2fM,0xa1b9ecb60db43b:0xf3d9b02f7508527d,17571269139036131965,/g/11qt1rbm8c,4.3,15,Loja de souvenires,Loja de souvenires,souvenir_store,"R. Resende Costa, 67A - Centro, Tiradentes - MG, 36325-000, Brasil",-21.1105566,-44.174493399999996,+55 31 99200-2956,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–20:00; quarta-feira: 09:00–20:00; quinta-feira: 09:00–20:00; sexta-feira: 09:00–21:00; sábado: 09:00–22:00; domingo: 09:00–20:00; segunda-feira: 09:00–20:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótima loja para souvenires de Tiradentes.""",https://lh3.googleusercontent.com/p/AF1QipPr6w0O4KqQGQb7WzSvyvB0tluk5TsdKETVDyZ4=w122-h92-k-no,https://serpapi.com/images/url/hcoBNHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUGRWbuBv4l0Y6B6YZB5eFVxWWeZkUJJTmm0aUpzi7RoS5lIZZWJbbmhkpJthaaSbrZuXDwCujSF3,https://serpapi.com/search.json?data_id=0xa1b9ecb60db43b%3A0xf3d9b02f7508527d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1b9ecb60db43b%3A0xf3d9b02f7508527d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJO7QNtuy5oQARfVIIdS-w2fM,"Tiradentes, MG",lojas_presentes,2025-07-29T06:03:45.454976,COMPLETA
8,Casa das Latas - Tiradentes,ChIJJUMQmJ-5oQARwn4IWX9s4LA,0xa1b99f98104325:0xb0e06c7f59087ec2,12745306239668879042,/g/11qqvq17jz,3.8,107,Loja de presentes,"Loja de presentes, Sorveteria",novelty_store,"R. Min. Gabriel Passos, 225 - Centro, Tiradentes - MG, 36325-000, Brasil",-21.1090396,-44.1760075,+55 32 99848-9517,http://www.casadaslatasoficial.com/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–22:00; quarta-feira: 09:00–22:00; quinta-feira: 09:00–22:00; sexta-feira: 09:00–00:00; sábado: 09:00–00:00; domingo: 09:00–22:00; segunda-feira: 09:00–22:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""achei super doce kk
o motivo de ter dado nota 3 é pelo preço.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq1EOt3JMW4T2ZKYT1_Y6gjOZcP34q2nAVQ5VBPew1iWjN2LarvVQgy7j-PkbJljEZQ2RrITSkGKC-dMJUqcvWiuPKQiJmGVFTiG54s47iC0ZnN25ese5tdxKAOQvgEYmXRVkOm=w163-h92-k-no,https://serpapi.com/images/url/McnAJHicBcFdboIwAADgE1VGKRiX-ICEEUGFMiyDl0VLU8pPK7SCO-AOsdvs-_5-W2Me-t2yhtbZcKX4wJ6azVRJw6TZUDVa_KEB1UBbfrBrkZzsMDVOfC5RAeukKuzvyuNdWtPMQROUPsEuOWRstUXZXeDpNi8E859tB7L-Hg9dWGOYz8fis4-SADTn-DrRpRTPLMEiHiPyUYjIRRptRfBWywt0mWauaV6Jn-KFh9X4lZM-Hfer7Tmg3UHQA6n-ATm5Q2U,https://serpapi.com/search.json?data_id=0xa1b99f98104325%3A0xb0e06c7f59087ec2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1b99f98104325%3A0xb0e06c7f59087ec2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJUMQmJ-5oQARwn4IWX9s4LA,"Tiradentes, MG",lojas_presentes,2025-07-29T06:03:45.454976,COMPLETA
9,Maria Fumaça Brinquedos Educativos,ChIJ53wKd6y4oQARcxoU3kSFgVc,0xa1b8ac770a7ce7:0x57818544de141a73,6305467484125534835,/g/1tfsd24f,4.6,51,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Direita, 266 A - Centro, Tiradentes - MG, 36325-000, Brasil",-21.110574,-44.175582,+55 32 3355-1622,,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–17:00; quarta-feira: 10:00–17:00; quinta-feira: 10:00–17:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–15:00; segunda-feira: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Não consegui sair sem comprar uma marionete linda.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noAu-fkkFUzUySMiiw_NcKnwBMybqZCw8tDEzDZvDQ6vS6HmZYWOvsrnurKQepZuSOHo6ATAFwMfasnb6Yo9xtmoE9DizRkz792NSdMyU10bHdGlEx48-ozOVdgVRZuXTGUnh8_=w163-h92-k-no,https://serpapi.com/images/url/mZYm1nicBcFJDoIwFADQE1WcUqmJCxSUxCBRxKEbI4OUAP1IWyq9n4fwNr73-zIpW7G0rJrNRgVAUedK5F0KXOZcjlJorKIVKBVIWM6GsDkHR6FXVW1jEw9RUJb6cUj3XK-DIXnTjbal6xmX9u4R9xH2G3q_hr3ouOr2x7ylKgp9wM7Z2erg9RQ8wXcgH9mAR9zSnCqzINNDlAVDPBknfrarvc_cRmDCS1ZcTlTdzruYM_ux0hM8Q4xMUYU4_AGdR0Zs,https://serpapi.com/search.json?data_id=0xa1b8ac770a7ce7%3A0x57818544de141a73&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1b8ac770a7ce7%3A0x57818544de141a73&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ53wKd6y4oQARcxoU3kSFgVc,"Tiradentes, MG",lojas_presentes,2025-07-29T06:03:45.454976,COMPLETA
10,Loja Ave Maria,ChIJoeetl6y4oQARRSoWBRVv64s,0xa1b8ac97ade7a1:0x8beb6f1505162a45,10082274326869322309,/g/1tq8ksd5,4.6,46,Loja de vestidos,"Loja de vestidos, Loja de Roupa, Loja de moda feminina",dress_shop,"R. Min. Gabriel Passos, 175 - Centro, Tiradentes - MG, 36325-000, Brasil",-21.109249,-44.175748999999996,+55 32 3355-1598,http://www.avemaria.store/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 14:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–21:00; sábado: 09:00–21:00; domingo: 09:00–17:00; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOq0WtCx1E4KPK33SyvZ4K69O17bqx46J5VLCKa=w194-h92-k-no,https://serpapi.com/images/url/IhLe_XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX2gQXuJcYehq4h3gbWwcXFkWZeJtZulvaJ5UWGFi5mUa5uPsnWhbbmhpopthaaSbrZuXDwCALB_y,https://serpapi.com/search.json?data_id=0xa1b8ac97ade7a1%3A0x8beb6f1505162a45&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1b8ac97ade7a1%3A0x8beb6f1505162a45&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoeetl6y4oQARRSoWBRVv64s,"Tiradentes, MG",lojas_presentes,2025-07-29T06:03:45.454976,COMPLETA
