position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Del' Tudo Presentes,ChIJH-lglcX_tZQRzAVBiM42zfQ,0x94b5ffc59560e91f:0xf4cd36ce884105cc,17639815576157226444,/g/11bw1shn3y,4.7,18,Loja de Presentes,Loja de Presentes,gift_shop,"Praça Governados Valadares, 75 - Centro, Divisa Nova - MG, 37134-000, Brasil",-21.511274999999998,-46.1960828,+55 35 3286-1169,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–18:30; domingo: Fechado; segunda-feira: 09:00–18:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Shopping de Divisa Nova, tudo que vc procura lá tem""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZRji-q16wpz4bdkr4hm7MQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=7.8113036&pitch=0&thumbfov=100,https://serpapi.com/images/url/Mm-sgnicHc3NDcIgGADQbbiVH9u01YQ4gQc9ejGUInxKyydgUadxLbfRuMB7n7fLGdOGsZSjMXkBUxAexqcKFbUhWG8UQqI6TGwRLLv7NMwK_BbVHGCUx8MFqptoC76aYbzGxk3dbk_0cNIezJxlMipqR235iTGM1GIiRfacOLlekacqsqO9EDWvW4KQtZOc_JdzWKTg_AuCrzmf,https://serpapi.com/search.json?data_id=0x94b5ffc59560e91f%3A0xf4cd36ce884105cc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b5ffc59560e91f%3A0xf4cd36ce884105cc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJH-lglcX_tZQRzAVBiM42zfQ,"Tráituba, MG",lojas_presentes,2025-07-29T04:58:38.663956,COMPLETA
2,Presentes & Utilidades do Lar,ChIJkVYKDhX1tZQR2GytYkgymTM,0x94b5f5150e0a5691:0x3399324862ad6cd8,3718058253845621976,/g/11fjzw47rz,4.8,31,Loja de Presentes,Loja de Presentes,gift_shop,"R. Plínio Leite da Silva, n. 658 - Jardim Boa Esperanca, Alfenas - MG, 37135-196, Brasil",-21.4228646,-45.9626121,+55 35 99876-4818,https://www.instagram.com/presentesutilidadesalfenas/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipMvZsQx5yZSLvyg4EPXM20gL9OGNHP3xGSz5K68=w163-h92-k-no,https://serpapi.com/images/url/ZjbtQXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngWxZVHFhhWhkV7FNWmW7iGhDha2SQ7mPp7-7nEWBc4R5cZeptZmFbbmhmrJthaaSbrZuXDwClayC3,https://serpapi.com/search.json?data_id=0x94b5f5150e0a5691%3A0x3399324862ad6cd8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b5f5150e0a5691%3A0x3399324862ad6cd8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkVYKDhX1tZQR2GytYkgymTM,"Tráituba, MG",lojas_presentes,2025-07-29T04:58:38.663956,COMPLETA
3,Arte Presentes,ChIJEQRHP4j9nwARx24-8OCg_wk,0x9ffd883f470411:0x9ffa0e0f03e6ec7,720471353366310599,/g/1tfl1fv3,4.9,75,Loja de presentes,"Loja de presentes, Loja de produtos de papelaria, Casa lar, Loja de artigos domésticos, Decorador de interiores, Loja de utensílios de cozinha, Papelaria, Loja de Brinquedos, Loja de variedades",novelty_store,"R. Dr. Francisco Sales, 284 - Centro, Lavras - MG, 37200-068, Brasil",-21.245998,-45.0007844,+55 35 98824-5786,https://www.artepresentes.com.br/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 08:00–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipO2te8icYgq5ZkONpfv_xB-QDY-rF7mW6nRKAg5=w204-h92-k-no,https://serpapi.com/images/url/QcfdV3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb1SSapGZHJleaBqV7e9XkFYWX-GkG-gSqVvkZp4bbpYX5O2YbmpbbmRgopthaaSbrZuXDwCr-iEc,https://serpapi.com/search.json?data_id=0x9ffd883f470411%3A0x9ffa0e0f03e6ec7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9ffd883f470411%3A0x9ffa0e0f03e6ec7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEQRHP4j9nwARx24-8OCg_wk,"Tráituba, MG",lojas_presentes,2025-07-29T04:58:38.663956,COMPLETA
4,D Tudo Presentes,ChIJW7cFoK_BsZQRDmo7Ljr8RHs,0x94b1c1afa005b75b:0x7b44fc3a2e3b6a0e,8882501691895409166,/g/1tf6hr8b,4.5,83,Loja de Presentes,Loja de Presentes,gift_shop,"Av. José Cambraia, 82 - Ibiá, MG, 38950-000, Brasil",-19.4848718,-46.543230099999995,+55 34 3631-1661,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento exelente""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noCaxtqQhT7izLN44OleL0Rz-0yXtN0_pfQha_e6cwVEy6nTxNB-dkYTMlEbHtgorVNhkzayekNPzBTntTAaAy6DM_0gD_hyB3d_D58uuTqvPCYSaldQFTvviiYGhccre4oru59Jg=w163-h92-k-no,https://serpapi.com/images/url/M8t0KHicBcHdboIwGADQJ6qwgWws2QU_umXRTmZj5KqppfYjdC3SgpYX9Bl8G8953MG53n4EgYJoIY2RSoxWDNxoJ7RbcPMfyN4ibpENsiKFWJuC3dylAvLWzhscx79KbMK_GYX-6HBI-3MFjIqEXw8rn2hywzlqupps1er07aQZDhi6mXnR4d2cE-1IxjKflFsaypKCz6OGlsv3cSSXaVfUe6aaak2mqW3rL-B8ELEZxmX6Iz-vL0mEIH1FHdLmCfLhRz0,https://serpapi.com/search.json?data_id=0x94b1c1afa005b75b%3A0x7b44fc3a2e3b6a0e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b1c1afa005b75b%3A0x7b44fc3a2e3b6a0e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW7cFoK_BsZQRDmo7Ljr8RHs,"Tráituba, MG",lojas_presentes,2025-07-29T04:58:38.663956,COMPLETA
5,Splendour Presentes,ChIJgb8vpah8y5QRb9w6_ZleoRM,0x94cb7ca8a52fbf81:0x13a15e99fd3adc6f,1414515773442546799,/g/11ckr796fr,4.7,49,Loja de Presentes,"Loja de Presentes, Loja de cestas de presente, Loja de artigos domésticos, Loja de prateleiras, Loja de noivas",gift_shop,"R. Maj. Belo Lisboa, 52 - Centro, Itajubá - MG, 37500-016, Brasil",-22.4251523,-45.4546031,+55 35 3622-0495,https://www.instagram.com/splendourpresentes/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–17:30; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipNVBPcw34mjvX97acl8gS5AtX5ESU0PRT3A1a3F=w136-h92-k-no,https://serpapi.com/images/url/TF4AynicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF-YUkFxubJKbVRZhaZ6YnGORHmzqWBJh6hocahAQFGLsaJho7GZbbmhsppthaaSbrZuXDwCQLCAz,https://serpapi.com/search.json?data_id=0x94cb7ca8a52fbf81%3A0x13a15e99fd3adc6f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb7ca8a52fbf81%3A0x13a15e99fd3adc6f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgb8vpah8y5QRb9w6_ZleoRM,"Tráituba, MG",lojas_presentes,2025-07-29T04:58:38.663956,COMPLETA
6,"Mabel Presentes BH | Cestas, Lembranças, Presentes e Mimos personalizados",ChIJ39vZNaWFpgARvu2nrN-vqaA,0xa685a535d9dbdf:0xa0a9afdfaca7edbe,11576977692341824958,/g/11ydkj0tjq,5,17,Loja de presentes,Loja de presentes,novelty_store,"Rua dos Borges, 1019 - Jardim Vitoria, Belo Horizonte - MG, 31975-270, Brasil",-19.845205099999998,-43.884222,+55 31 97171-7696,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–20:00; quarta-feira: 08:30–20:00; quinta-feira: 08:30–20:00; sexta-feira: 08:30–20:00; sábado: 08:30–20:00; domingo: 08:30–13:00; segunda-feira: 08:30–20:00,,,,,,,"""Melhor loja, tudo que eu precisei eu encontrei.""",https://lh3.googleusercontent.com/p/AF1QipNNlPnYZa-mb4M1n2OhdoYpWP5MYudfQz86wk9d=w92-h92-k-no,https://serpapi.com/images/url/uGKO9nicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng55cTkBcZlaibm2Tia5hn5J-Rkh9ZEB5g6htZmpIWWGVhVp5tmWJbbmmkmwHE2bp5-QCMVyFA,https://serpapi.com/search.json?data_id=0xa685a535d9dbdf%3A0xa0a9afdfaca7edbe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa685a535d9dbdf%3A0xa0a9afdfaca7edbe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ39vZNaWFpgARvu2nrN-vqaA,"Tráituba, MG",lojas_presentes,2025-07-29T04:58:38.663956,COMPLETA
7,Tetris Presentes,ChIJ5zSSSDmRpgARasDGkTD7hZE,0xa69139489234e7:0x9185fb3091c6c06a,10486063493424791658,/g/12lsd7fj0,4.6,45,Loja de Presentes,Loja de Presentes,gift_shop,"R. Monteiro Lobato, 380 - Loja 23 - Ouro Preto, Belo Horizonte - MG, 31310-530, Brasil",-19.8727063,-43.985257,+55 31 98844-8855,https://www.instagram.com/tetrispresentes/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipMO-J0_MMEEbDB6QBXDl9IuI2kj6_43MnoD1Ec3=w80-h106-k-no,https://serpapi.com/images/url/hOHgOnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng66_rZRDv6-vqmuTiZBboFOGSY-lZ6mmUnWUWb2Lsm5fvYuiabGxbbmGgm2FoYKabrZuXDwBy2h-y,https://serpapi.com/search.json?data_id=0xa69139489234e7%3A0x9185fb3091c6c06a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69139489234e7%3A0x9185fb3091c6c06a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5zSSSDmRpgARasDGkTD7hZE,"Tráituba, MG",lojas_presentes,2025-07-29T04:58:38.663956,COMPLETA
8,Mania Presentes e Utilidades,ChIJ5cCWguPxo5QRoySbMIgKuY0,0x94a3f1e38296c0e5:0x8db90a88309b24a3,10212205210086614179,/g/11g8bbkx58,4.8,168,Loja,Loja,store,"R. Tupaciguara, 101 - Flamengo, Monte Alegre de Minas - MG, 38475-000, Brasil",-18.8771556,-48.8754363,+55 34 3283-0075,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npzJKHy65cAokEIBRxEcmFSBmRpGKwYe8LlxruS7fUVFSxpuv5QIipN1oHBrnjaZCrpd90VQ4q0cDQkrBhFbseMFYtzQbGwLe6pP1Qerg51Yhb5qAxzY-gbESufeacpy8xySySAYw=w80-h92-k-no-pi-0-ya240-ro0-fo100,https://serpapi.com/images/url/YLdYznicBcHdToMwGADQJ_pGmTDBxAuYsM1NY9e4pN5BLe0E2q4t8vOmZi_jOX936b1xT0HQyYeV0Fp0fHDcMq08V37FdB8I44A5cEG2TWWkzPJ63M-bmGW6LQ75eSpYX5K8P5vdcaQ8OXWTHchj83kpyWSG3xgfruY91Pvcqp_qa2vNd4ouOLoh9oJbm8uydvytpH7B9W488Y35CDG3Ig6prONbNi0URF2QoeEVM3MyzWQmGR2fxwSBTNfQgtJgroBgrtYRAqsRNDpE6B-wEkzM,https://serpapi.com/search.json?data_id=0x94a3f1e38296c0e5%3A0x8db90a88309b24a3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94a3f1e38296c0e5%3A0x8db90a88309b24a3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5cCWguPxo5QRoySbMIgKuY0,"Tráituba, MG",lojas_presentes,2025-07-29T04:58:38.663956,COMPLETA
9,"LOJA CASA DAS CESTAS, PRESENTES E DECORAÇÃO",ChIJwxtU2TwfVQcRB3mPokY6A4k,0x7551f3cd9541bc3:0x89033a46a28f7907,9872798883175692551,/g/11ghp1j6c8,5,5,Loja de artigos domésticos,"Loja de artigos domésticos, Loja de cestas de presente, Loja de Presentes, Papelaria",home_goods_store,"R. Júlia Veloso, 37 - centro, Brasília de Minas - MG, 39330-000, Brasil",-16.2100982,-44.430468999999995,+55 38 99976-8304,http://www.facebook.com/DiskEmocaoDecoracaoPresentes/?ref=bookmarks,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 08:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noD0tL3pB_wxQAujeEnhyQ3oWNo3QYv5Evc-dwUwixefRfjN5ZjTE7lEyM_KJmdgSC0n3VihIfxfIJ4WsoRoon0Ze6DDxJ8wbmF4DyPBN_B1A_Vv81Jsm6BynlGyzhAgcIXFYub=w122-h92-k-no,https://serpapi.com/images/url/NyL9DXicBcFbcoIwFADQFUUeQavO-AECHWjLiM_KDzOEkEghl2kCId1fF-FuPOf5z5Ua5NayOo4XDIB1dJT0l4BQVKgFgd5ig0REImn5-w33BIS2-sRDUOo598eWRoKbHMMtA5zfp2U0EVTri37MtDk2bbYs2nP01kXmq_xI-5qd9rbA1wdPmrlJUu8m4Qgg7IKuwnBO17rqYy80hyArA8cvr9PaSWW_Cozo3s0f9xlJvuP7WO2047qIb1z0gwS8ADs4RaY,https://serpapi.com/search.json?data_id=0x7551f3cd9541bc3%3A0x89033a46a28f7907&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x7551f3cd9541bc3%3A0x89033a46a28f7907&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwxtU2TwfVQcRB3mPokY6A4k,"Tráituba, MG",lojas_presentes,2025-07-29T04:58:38.663956,COMPLETA
10,Ester Presentes,ChIJIZZ0lWlBypQRLjejAT5BvRQ,0x94ca416995749621:0x14bd413e01a3372e,1494422385928124206,/g/11tdqz7gwp,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Carvalhópolis - MG, 37760-000, Brasil",-21.7785968,-45.8410961,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=grhclFo936O-JIYojz92IQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=237.77351&pitch=0&thumbfov=100,https://serpapi.com/images/url/jJcFrHicHc3BDcIgFADQbbgVaButNSHeTOrFePRkKEX4hvYTQFCncS230bjAe5-3TcnHLWMxBa1TBl08PLSLlZfUIBqnpYdIFc4s1yzZ-zwuEtzOywVhEiZY5fbYt-tjdRjOeHv1zXAiarwoB3pJImoZlKWm_MSAEzU-kiI2nFjRN-Qpi2jajnZdu6qJh6Ss4OS_XDGLmvMvX4w5Mg,https://serpapi.com/search.json?data_id=0x94ca416995749621%3A0x14bd413e01a3372e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ca416995749621%3A0x14bd413e01a3372e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIZZ0lWlBypQRLjejAT5BvRQ,"Tráituba, MG",lojas_presentes,2025-07-29T04:58:38.663956,COMPLETA
