position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Papelaria AK,ChIJfYbVLRqVpgARySQbDN1SgTU,0xa6951a2dd5867d:0x358152dd0c1b24c9,3855453865350210761,/g/11bxdycgr8,3.5,4,Papelaria,Papelaria,stationery_store,"R. Natal Veronez, 327 - Tres Barras, Contagem - MG, 32041-090, Brasil",-19.914396099999998,-44.0717735,+55 31 3150-7945,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: Fechado; segunda-feira: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr47kKN8ZMYaN5i0iA-1z15tx7_TX7ovK4qRHWaY_0hBJXmLuHmpCZA2wRbyR6079NPRX2-f47UmaReKFXD1Qb8eCZHZyHtG5Xx7EPB2jMamG9KAfM5bC2ZHCxC09KEqA_IlAwC=w80-h142-k-no,https://serpapi.com/images/url/81GGQHicBcFdboMgAADgE1GR4dAle6D0h81pOrJllBejhkpXEVvotLtfD7Hb7Pv-7iaE0T9FUW8eFp1zXa-vXl9aNwQ9hEXrbNSNHrQe-IiyzODhgskpL1NV7OsyOcIjBfFvnISZVB-SuJ8cnwX_qvcVNMtXad-u3I5MUTSJ5iYeIcnKnZAIHDD5tLXQ-Uau4vcm1UxxdeNhm8iZrHdL9F3Udpvl9FAkDUOKs5nBLF-fafXS04k9TykEJsYInMDg_gHZYEFW,https://serpapi.com/search.json?data_id=0xa6951a2dd5867d%3A0x358152dd0c1b24c9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6951a2dd5867d%3A0x358152dd0c1b24c9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfYbVLRqVpgARySQbDN1SgTU,"Três Barras, MG",lojas_presentes,2025-07-29T04:42:17.208345,COMPLETA
2,Monte Sinai Presentes,ChIJ4y27xRmVpgARtvZoVHuqqo4,0xa69519c5bb2de3:0x8eaaaa7b5468f6b6,10280216546100442806,/g/11hz1p60gp,,0,Loja de Presentes,Loja de Presentes,gift_shop,"R. Geraldo Januário de Araújo, 15 - Tres Barras, Contagem - MG, 32040-500, Brasil",-19.9149194,-44.0739412,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lQ2ZIvgTpf6SaNJaBZga7A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=70.39008&pitch=0&thumbfov=100,https://serpapi.com/images/url/30I-OnicHc3BDcIgFADQbbgJtCa2NSFGb3owMXrqxfxSCiQUfgqCTuNcbqNxgfc-b5MSxi1jMS1KpWxVQftULq4QqA5BOwVoI5VhZrliyTzmwYN1OwQf7Cjcpe6PWd9w2lzhfIJDr6HZEzncpbPKJxEVLNJQXX7iEkaqMZIiWk6M6GrygiIaTtcd5y1Bm6QRnPyTKWRRcf4FNtc5Kg,https://serpapi.com/search.json?data_id=0xa69519c5bb2de3%3A0x8eaaaa7b5468f6b6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69519c5bb2de3%3A0x8eaaaa7b5468f6b6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4y27xRmVpgARtvZoVHuqqo4,"Três Barras, MG",lojas_presentes,2025-07-29T04:42:17.208345,COMPLETA
3,Fábio & Junior Presentes e Papelaria,ChIJH-wFZ4Vz55QR5s2qa1si9bs,0x94e773856705ec1f:0xbbf5225b6baacde6,13543769230430359014,/g/11j01dt52s,4.9,28,Loja de presentes,"Loja de presentes, Loja de produtos de papelaria, Loja de Brinquedos",novelty_store,"Av. Rigesa, 1824 - Km 2 - João Paulo II, Três Barras - SC, 89490-000, Brasil",-26.1200062,-50.3075652,+55 47 3623-0568,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,"terça-feira: 08:30–12:00, 13:00–18:30; quarta-feira: 08:30–12:00, 13:00–18:30; quinta-feira: 08:30–12:00, 13:00–18:30; sexta-feira: 08:30–12:00, 13:00–18:30; sábado: 08:30–12:30; domingo: Fechado; segunda-feira: 08:30–12:00, 13:00–18:30",,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_fsrJ56AEOgxbnXx0WUx-A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=280.9583&pitch=0&thumbfov=100,https://serpapi.com/images/url/PvnIwXicHc0xDsIgFADQ27AVaE1Na_JjOnRxcTK6NZRSIKFAAAuexnN5G40XeO_zVin5eCIkpiBE2rXIXhdhYuUZls5JI5jXEXO3kb0mST232TJtzp5ZpxeY1hgu7XEYr7LM9lHo_VaqAfF54kYLmyAKFrjCMv_E4BYsfUQZOooU9A16sQxNR3HfdgfkdeIKKPonq9uhpvQLQRA5Tw,https://serpapi.com/search.json?data_id=0x94e773856705ec1f%3A0xbbf5225b6baacde6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94e773856705ec1f%3A0xbbf5225b6baacde6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJH-wFZ4Vz55QR5s2qa1si9bs,"Três Barras, MG",lojas_presentes,2025-07-29T04:42:17.208345,COMPLETA
4,By Ousadas Presentes,ChIJddNnvS5DrwARKwrAoPypD9k,0xaf432ebd67d375:0xd90fa9fca0c00a2b,15640906933374814763,/g/11nnnjtbgx,3.7,3,Loja de Presentes,Loja de Presentes,gift_shop,"R. São José, 293 - Itacolomi, Conceição do Mato Dentro - MG, 35861-000, Brasil",-19.0003883,-43.5193278,+55 31 98248-9597,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–18:30; domingo: Fechado; segunda-feira: 08:30–18:30,,,,Cartão de débito,Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noBjQ3xt3VO8KeipQvDkP5bl6M-LEnARUn7bZ3a9djFBqwDwz6aSZA0pME7FatAsXpg-ICMXQ_90E-FeKhBnzzWOWBQ5IPKflF83NnmolnBoziksaBn1NxF9OWRK-uOAv4axSJ4qw=w122-h92-k-no,https://serpapi.com/images/url/3NkbnnicBcHdboIwGADQJ_pEKf50yS5apYljiGg2jDdLZR1V6te6ViG84J7Bt9k5zz8dgvMvUWQ0GTXWNkbdvfqtLQaFYVTba9Q4D7UHH7El1QlafilJH8hnscjU2ZWPVbudnswsh_cU2e4D56cjkfT7IvitW3XDTO6PbOzydC5kYP7gGlgv80P5RccpCJVpjsNQFRUvp-tt9mPEgmzwag1yO5xbLzlONr2gRbXL4F6wRyL7_Vty6167SRyDpjG0gPYfDO5Ehg,https://serpapi.com/search.json?data_id=0xaf432ebd67d375%3A0xd90fa9fca0c00a2b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf432ebd67d375%3A0xd90fa9fca0c00a2b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJddNnvS5DrwARKwrAoPypD9k,"Três Barras, MG",lojas_presentes,2025-07-29T04:42:17.208345,COMPLETA
5,Loja DoisBox,ChIJiafDSZEDz5QRlCZFMsLpvtY,0x94cf039149c3a789:0xd6bee9c232452694,15474062389967922836,/g/11rvjp7ylt,5,2,Loja de presentes,"Loja de presentes, Loja de acessórios para banheiros, Loja infantil, Árvores de Natal, Service establishment, Loja de acessórios de moda, Importadora, Ciclismo de estrada, Loja, Loja de moda feminina",novelty_store,,-23.9921364,-48.752654199999995,+55 11 91463-3849,,Aberto 24 horas,Aberto 24 horas,terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas; segunda-feira: Atendimento 24 horas,,,,Cartão de crédito,,,,https://lh3.googleusercontent.com/p/AF1QipNaL91-ZxJS6bPj4HMQaCd6_zPKFyHPLjvuP5jC=w92-h92-k-no,https://serpapi.com/images/url/BYpesHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-hjaagbVeEVbJYUkGXi4RuY6JxiFl8V4O1W6RHgk1VWGmCa5WxbbmmkmwHE2bp5-QBw4yCV,https://serpapi.com/search.json?data_id=0x94cf039149c3a789%3A0xd6bee9c232452694&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cf039149c3a789%3A0xd6bee9c232452694&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJiafDSZEDz5QRlCZFMsLpvtY,"Três Barras, MG",lojas_presentes,2025-07-29T04:42:17.208345,COMPLETA
6,Tetris Presentes,ChIJ5zSSSDmRpgARasDGkTD7hZE,0xa69139489234e7:0x9185fb3091c6c06a,10486063493424791658,/g/12lsd7fj0,4.6,45,Loja de Presentes,Loja de Presentes,gift_shop,"R. Monteiro Lobato, 380 - Loja 23 - Ouro Preto, Belo Horizonte - MG, 31310-530, Brasil",-19.8727063,-43.985257,+55 31 98844-8855,https://www.instagram.com/tetrispresentes/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipMO-J0_MMEEbDB6QBXDl9IuI2kj6_43MnoD1Ec3=w80-h106-k-no,https://serpapi.com/images/url/hOHgOnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng66_rZRDv6-vqmuTiZBboFOGSY-lZ6mmUnWUWb2Lsm5fvYuiabGxbbmGgm2FoYKabrZuXDwBy2h-y,https://serpapi.com/search.json?data_id=0xa69139489234e7%3A0x9185fb3091c6c06a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69139489234e7%3A0x9185fb3091c6c06a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5zSSSDmRpgARasDGkTD7hZE,"Três Barras, MG",lojas_presentes,2025-07-29T04:42:17.208345,COMPLETA
7,Cestas de café da manhã Serro Ateliê Apolinário,ChIJoewMapjjrgARFZ1XYvzy19A,0xaee3986a0ceca1:0xd0d7f2fc62579d15,15048763845677391125,/g/11w1lt4621,5,26,Loja de cestas de presente,"Loja de cestas de presente, Service establishment",gift_basket_store,,-14.4095262,-51.31668,+55 31 98215-1673,https://www.instagram.com/apolinariodealmeida/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–19:00; segunda-feira: 08:00–19:00,,,,,,,"""Cestas muito bem preparadas, produtos ótimos e frescos.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQq2PzSCuMWhxTw0FieWiWYZkwsZHhBCijg-7KPr68Ttch_-OHiPXg_EDiYLsez5t0_rcwmd0iGP-lP37FKpiE-MRYQTTugLkUWRfvlqaDZEt2b8jN-tw2qi2GhMZq0RcXu-TgWg=w163-h92-k-no,https://serpapi.com/images/url/nAPRVHicBcFRboIwGADgE_2AZRNdsgeHCImildVUeCGz1raCFGhZFy-4M-w2-76_X2ltb958v5WhJ7QWLZ8MH5nuLO-sx_TDF70BZsD4q3gpXzp9HBB-fsZTTuUPccFGcapoWTXOVJn8iNVdQLTF43xBLJM1HDKFz6JO1qrcGf58tUE9Mve4BirF0OIw2mx7lUBelEdCJrFrTrS4fbfD17pKLLos7nuwDg0KpTKvhqBg5wmIoOLdzeYhyCWCBjr9D7AKRe8,https://serpapi.com/search.json?data_id=0xaee3986a0ceca1%3A0xd0d7f2fc62579d15&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaee3986a0ceca1%3A0xd0d7f2fc62579d15&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoewMapjjrgARFZ1XYvzy19A,"Três Barras, MG",lojas_presentes,2025-07-29T04:42:17.208345,COMPLETA
8,Stylus Presentes,ChIJN5JemJotrAAR8IyN2zFG8yg,0xac2d9a985e9237:0x28f34631db8d8cf0,2950779360808635632,/g/11fy4sy25n,5,4,Loja de Presentes,Loja de Presentes,gift_shop,"Avenida Nossa Senhora das Mercês, 306 - Centro, Sen. Modestino Gonçalves - MG, 39190-000, Brasil",-17.9475749,-43.2236257,+55 31 99991-5139,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:30; quarta-feira: 08:00–17:30; quinta-feira: 08:00–17:30; sexta-feira: 08:00–17:30; sábado: 08:00–15:00; domingo: Fechado; segunda-feira: 08:00–17:30,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nob-c8hZT9FW9Vibc3AABURk-xl-ERwRbzfkhGIPP6jwQDt2iCJf4PR40KhMtduXzL-_9pdtXwUrt6oSI9SFH2xPkIhipPx1HZ9r-QgE4DZtE1dGrtARkXY4clF2xmKFayxNro=w80-h106-k-no,https://serpapi.com/images/url/BOQmqnicBcHdboIwGADQJ_rkx4ZYk10ggjLnUqtujJtlFKSsSEn7GarPt5fY23jO_59EHO3S83o5n7Vat31zs40ResBmwJnQV68dLQgL1osTKsmgKxALWZ5o9kk_ukrM43h15gpcDymfePW4KLnJGYt-p8Mawy55vRDGib-Te6xvxeMNvulYYzGdDUb6mNNjtg0dU7nsRuaCbUkNHNqUrEtMg3pjMOaq-CKiz0J33WU_d_du9Mu08EEGfgQKBv0ETO1D_g,https://serpapi.com/search.json?data_id=0xac2d9a985e9237%3A0x28f34631db8d8cf0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xac2d9a985e9237%3A0x28f34631db8d8cf0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJN5JemJotrAAR8IyN2zFG8yg,"Três Barras, MG",lojas_presentes,2025-07-29T04:42:17.208345,COMPLETA
9,Roque Presentes,ChIJV_cL7ieapgARrOyE8hCNoTI,0xa69a27ee0bf757:0x32a18d10f284ecac,3648352277074603180,/g/1tj47412,4.5,168,Loja de Presentes,Loja de Presentes,gift_shop,"R. Mármore, 696 - Santa Tereza, Belo Horizonte - MG, 31010-220, Brasil",-19.9169804,-43.916125199999996,+55 31 3467-5430,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 09:00–17:00; domingo: Fechado; segunda-feira: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE57yaW8p0MXJZeTChlYYfZvZtISza5ry-wnm6PUagTlj8HZ5mFy9fNyRB-NjJLrNU_PIQNFb82TodmroH_I3XFShKamCWxMc4fKlXL9WG1fKwhXKFrPV6IN2pbfe3MxbyLH43zTfb7vy4tFwEt-8u8MKFJUpkVH0n9RjWwsUuqZoCURmql82JriwyN9gG-NfvGCdE=w122-h92-k-no,https://serpapi.com/images/url/N3XFJHicBcFLcoIwAADQ6aLHiSighs500VL-kEEFQTYOICHVQDAEMR61p-l7f2_vRIhh_FAUSrRFy1hLm2lseM160fRiUbNOaYcRDJw9pfIVXvQfYq23sszgsIxyv2gSk9DTCRePQniHV7nmEsx9t4nTsk3oFbrFurOlgZHcfwN09UOO0nPs7ZBdQTVhl44z9-xpuX0gQdmZ2TOqdRzQPDQyZ4WDmeSBzePjxkPqUOFGi56VDF1deyW42j6kLuzZEgBOMApsPx1uR3fZG_trNo_pdC-Yme67O4Wqz39niYzWAQg_HPNifc4rVQXEUMEN9OwfnHBaIg,https://serpapi.com/search.json?data_id=0xa69a27ee0bf757%3A0x32a18d10f284ecac&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69a27ee0bf757%3A0x32a18d10f284ecac&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJV_cL7ieapgARrOyE8hCNoTI,"Três Barras, MG",lojas_presentes,2025-07-29T04:42:17.208345,COMPLETA
10,Artesanato Valmir Divino Espirito Santo Madeira,ChIJ397r1XnRrgAR5NIxhDTXIMU,0xaed179d5ebdedf:0xc520d7348431d2e4,14204589845282673380,/g/11qpxqgj6q,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"R. Cristais, 133, Datas - MG, 39130-000, Brasil",-18.4546377,-43.6565083,,,,,,,,,Cartão de crédito,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr2q59zG3NqgBKVw7eUXT0kv-2MRYYN4LtAAlRzvLxJLH2yK2SaI3TAHXOC_7wSI6fE3rk1BxvpLTKQ6tKnV-oIelmjDbuKCkeG5UWPi8rlIj9QYm0_LFbmAkN8ooVHpRcsv-8F=w80-h142-k-no,https://serpapi.com/images/url/nWX6zXicBcHtFoEwAADQJ5qyQjnHj8lH2YQk-uXQmWJrS5uK9_MQ3sa9v2-hdaXGhsELq5dLmXP6UrTOpNBU6F4mSyOvFMgUUAby3MIWNXwO3M_SCp_5FCftiB5OsckaANdRmoY20Qjx6NOQbkV8-MZwfwmsGPmnjXcetftgeJtbNetPu6YiMd4NNRYJkAHl5WN2fWGP0eXgcNzenZoHD3eXluaZLK4lYqEjZeJXUaYa4CwmrWOCom9DwICQf1YaQ34,https://serpapi.com/search.json?data_id=0xaed179d5ebdedf%3A0xc520d7348431d2e4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed179d5ebdedf%3A0xc520d7348431d2e4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ397r1XnRrgAR5NIxhDTXIMU,"Três Barras, MG",lojas_presentes,2025-07-29T04:42:17.208345,COMPLETA
