position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Bitar Presentes,ChIJoSP4_ebcypQRBS5qZNz3bkI,0x94cadce6fdf823a1:0x426ef7dc646a2e05,4787035979890961925,/g/11h3bhzspc,4.8,11,Loja de presentes,Loja de presentes,novelty_store,"Av, R. Des. Alberto Luz, 64 - Centro, Três Corações - MG, 37410-111, Brasil",-21.6970511,-45.2550021,+55 35 99833-0852,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipPWqp7xAjhAagM-mf3bYDDR0k0QhEZtRsktIWCy=w122-h92-k-no,https://serpapi.com/images/url/pQe253icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEF5YYF7hmJXhmJjuq5ubZpwU6eISZJBtEJjhGlUSVJxd4hnuXGlbbmhkpJthaaSbrZuXDwCvFCF2,https://serpapi.com/search.json?data_id=0x94cadce6fdf823a1%3A0x426ef7dc646a2e05&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cadce6fdf823a1%3A0x426ef7dc646a2e05&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoSP4_ebcypQRBS5qZNz3bkI,"Três Corações, MG",lojas_presentes,2025-07-29T04:46:25.207860,COMPLETA
2,Pequenos Carinhos Presentes e Decorações,ChIJURfJXebcypQRfROccRHJqZY,0x94cadce65dc91751:0x96a9c911719c137d,10856429453510972285,/g/11c45c82t_,5,3,Loja de presentes,"Loja de presentes, Loja de cestas de presente, Perfumaria",novelty_store,"R. Sagrado Coração de Jesus, 85 - Centro, Três Corações - MG, 37410-000, Brasil",-21.697944,-45.2546914,+55 35 98834-8184,https://www.instagram.com/pequenoscarinhos/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: Fechado; domingo: Fechado; segunda-feira: 09:00–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNApxLC4p-W4Znx289RWogezSemhw3EVzmb3UmY=w122-h92-k-no,https://serpapi.com/images/url/lgQWo3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng51hQ4eNsUqAbbhKVV2FkYRkUnp-eWhWcmptRbuwaVpWbZByaG2lbbmhkpJthaaSbrZuXDwCq8SGD,https://serpapi.com/search.json?data_id=0x94cadce65dc91751%3A0x96a9c911719c137d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cadce65dc91751%3A0x96a9c911719c137d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJURfJXebcypQRfROccRHJqZY,"Três Corações, MG",lojas_presentes,2025-07-29T04:46:25.207860,COMPLETA
3,BemdeCasa.com - Utilidades Domésticas e Presentes,ChIJfakjai3dypQRhPfsRsBkHao,0x94cadd2d6a23a97d:0xaa1d64c046ecf784,12258064537758791556,/g/11g0lcjr8p,4.9,31,Loja de artigos domésticos,"Loja de artigos domésticos, Loja de produtos acrílicos, Loja de Presentes, Loja especializada em lembranças de casamento, Armarinho",home_goods_store,"R. Des. Alberto Luz, 177 - Centro, Três Corações - MG, 37410-111, Brasil",-21.6964276,-45.256023899999995,+55 35 98844-1559,http://www.bemdecasa.com/,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOQ2gL_fwdBpQ1aUWhZJxP47vTQDy-EtcE8HyUk=w92-h92-k-no,https://serpapi.com/images/url/fpReMXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH2iU7hOfVp7iVBBomBganhHlVRFgYl4WEuhSqetakuxq4VEZmm1bbmmkmwHE2bp5-QCIZCEQ,https://serpapi.com/search.json?data_id=0x94cadd2d6a23a97d%3A0xaa1d64c046ecf784&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cadd2d6a23a97d%3A0xaa1d64c046ecf784&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfakjai3dypQRhPfsRsBkHao,"Três Corações, MG",lojas_presentes,2025-07-29T04:46:25.207860,COMPLETA
4,Presente Perfeito,ChIJqchKvObcypQRVy9HuB5xf34,0x94cadce6bc4ac8a9:0x7e7f711eb8472f57,9115128547575803735,/g/1vq75zjz,4.8,4,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Pres. Getúlio Vargas, 291 - Centro, Três Corações - MG, 37410-000, Brasil",-21.6986961,-45.2558545,+55 35 3232-4636,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noLTB_D_uXFoHpjYM3-7OUfGFXW9_EeNmkM-zykT3z86vR4zouHxFpZr-oFdJR4tyEV8G4p971vGNNvgSk0KFYrVsr_8M84rxarzGWQD7OUnXZsWhmpInoa2M1Q4CjDVZcpkldG=w80-h142-k-no,https://serpapi.com/images/url/W4nG1XicDcxRboIwGADgE1VEmllMfJhiq25gdArICyHAaCz0b9rClPt5CG_jvgN8rye3VpmF47TcmzQATVv3ptYlSFtLOymhcxplUGmQcT7XPscSvs-rPMj7lMJW3a6hh-aHyy-jaeLnmzrqRIjGhzh7I_kYTniEfnunKtMIaLU_YfvYxIRh5c_dgUXR0PyI6Re96tjonIQE63uhR5Ycg_9UpplJeKd2EopZ6B7x-hbEWalEW7HlH5ki7uIZEkjCG7sQRJc,https://serpapi.com/search.json?data_id=0x94cadce6bc4ac8a9%3A0x7e7f711eb8472f57&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cadce6bc4ac8a9%3A0x7e7f711eb8472f57&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqchKvObcypQRVy9HuB5xf34,"Três Corações, MG",lojas_presentes,2025-07-29T04:46:25.207860,COMPLETA
5,Mini Loja Artesanatos,ChIJZwL-CN7cypQRDFZPs0ZxiS4,0x94cadcde08fe0267:0x2e897146b34f560c,3353335946024015372,/g/11fxf7ng93,4.4,103,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"Avenida, R. Dep. Carlos Luz, 12 - Centro, Três Corações - MG, 37410-001, Brasil",-21.694817399999998,-45.257435799999996,+55 35 3231-1164,https://www.facebook.com/mini.loja.artesanatos.tc,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 08:30–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Boas ofertas e variedade.""",https://lh3.googleusercontent.com/p/AF1QipNWVn3Ln16PBvLmbL61Sk9R7zAFM4DuFAww5OVp=w164-h92-k-no,https://serpapi.com/images/url/VI7V0XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngFx6WZ-yTZ2gW4FTmk5vkY2YYnG0ZZF7l6OZr4lLq5lhebuofVmBbbmhmopthaaSbrZuXDwCOHyCK,https://serpapi.com/search.json?data_id=0x94cadcde08fe0267%3A0x2e897146b34f560c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cadcde08fe0267%3A0x2e897146b34f560c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZwL-CN7cypQRDFZPs0ZxiS4,"Três Corações, MG",lojas_presentes,2025-07-29T04:46:25.207860,COMPLETA
6,Loja Zuza Brinquedos em Três Corações,ChIJ4bRwpefcypQRk82ZC2yQspo,0x94cadce7a570b4e1:0x9ab2906c0b99cd93,11147130821420895635,/g/1tggvmsc,4.7,19,Loja de Brinquedos,"Loja de Brinquedos, Loja para Bebê, Papelaria",toy_store,"R. Luciano Pereira Penha, 87 - Centro, Três Corações - MG, 37410-133, Brasil",-21.698031,-45.2556142,+55 35 99901-1751,https://www.lojazuza.com.br/,Fechado ⋅ Abre às 07:30,Fechado ⋅ Abre às 07:30,terça-feira: 07:30–21:45; quarta-feira: 07:30–21:45; quinta-feira: 07:30–21:45; sexta-feira: 07:30–21:45; sábado: 07:30–18:25; domingo: Fechado; segunda-feira: 07:30–21:45,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npmf_5jpNnay-FLumfzGHJVgYpdnYG_nccuqQQa1EPrUCXI8EVkcvdiSroqovLRjCNxh852IiRk51z2czcW_X7B5ezJ2KsDeSQlz4z1Z1mI4-LYyDofBq_5UQ38pxFV93DTkg8e=w122-h92-k-no,https://serpapi.com/images/url/DkkrvnicBcHbDoIgAADQLyIHytK2HkqzLNeyi2UvzhFCqYCiXfi_PqK_6Zzfl_e90hPLqrk9YlKymg6adkSKnop-RGRjMaUB0UBbM9_jjlBNmeOH2oriA8J4aEqzXK1TlqmbyJa5IGRok6SAi1138i-Ru0gr8rzdD51s5TPeP_ztm7sYRfd9haFBxJBzfhnPMTVrtNEBPSS1cQy8wiZyQJx9AlnO2xyfEttV7zD17OBYMZdOXxAhwD0EKiDkH1t_RRw,https://serpapi.com/search.json?data_id=0x94cadce7a570b4e1%3A0x9ab2906c0b99cd93&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cadce7a570b4e1%3A0x9ab2906c0b99cd93&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4bRwpefcypQRk82ZC2yQspo,"Três Corações, MG",lojas_presentes,2025-07-29T04:46:25.207860,COMPLETA
7,LETS PRESENTES,ChIJScp6PwDdypQR3i7jsOjE_Xk,0x94cadd003f7aca49:0x79fdc4e8b0e32ede,8790398551376211678,/g/11wfr24hpl,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Des. José Alberto Weiss de Andrade - Jardim America, Três Corações - MG, 37410-734, Brasil",-21.679693099999998,-45.2630184,+55 35 99753-5953,,Fechado ⋅ Abre às 13:30,Fechado ⋅ Abre às 13:30,terça-feira: 13:30–18:30; quarta-feira: 13:30–18:30; quinta-feira: 13:30–18:30; sexta-feira: 13:30–18:30; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 13:30–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrDwOXRc9VzF05jxCeQPBTAuK4xCHlxOC_bbpI6W7FS_f2JrR9ACPsI32MwSGH30zhxyDZrhXogNcgsTTOrO9PgXWKNWf5usnSc2KYoh-uPR3WZf4gN7A3HGNkzIQPvKAkZzIQ=w166-h92-k-no,https://serpapi.com/images/url/XvVFAHicDcZRDoIgAADQE5ElZqOtD6KV5lJSl-ZPW0xhaeBA0zxfl-g29b7e9yO6rjVry2oEnHGleFP2ptRMya6U3Yypp8VbA5gBxsIECUfq3RDlMUOXaT9fPkZSnuk2xX3gjMRrxojc7vfWd7PVPrlV9lHHCBNqfGifhuTgwfkkxveu0CJXPGTcpGmkI0R5ngVhVi17IxNmB1clQE9jmBWVw8MVht4hrCf_TF8Brot_NsPCdYFANqiBVD9WD0Ow,https://serpapi.com/search.json?data_id=0x94cadd003f7aca49%3A0x79fdc4e8b0e32ede&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cadd003f7aca49%3A0x79fdc4e8b0e32ede&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJScp6PwDdypQR3i7jsOjE_Xk,"Três Corações, MG",lojas_presentes,2025-07-29T04:46:25.207860,COMPLETA
8,Caixa de Presentes,ChIJWeyx8FLdypQR83IiP84GjTY,0x94cadd52f0b1ec59:0x368d06ce3f2272f3,3930805532656562931,/g/11wxvzxkml,5,2,Loja de variedades,Loja de variedades,variety_store,"R. Casemiro Avelar Filho, 37 - Centro, Três Corações - MG, 37410-135, Brasil",-21.6984751,-45.255248599999994,+55 35 98858-8729,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipM3vUIgAW5bdO9cXcvhOuUWn19Wrn25vsDGQo8v=w94-h92-k-no,https://serpapi.com/images/url/RDx1YXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga1wW6pnuGG6alOJvmRyRXJbhXxoanmdoGV6UZ2RaVuziHphvUWZbbmmim2FppJutm5cPAIh-ISg,https://serpapi.com/search.json?data_id=0x94cadd52f0b1ec59%3A0x368d06ce3f2272f3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cadd52f0b1ec59%3A0x368d06ce3f2272f3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJWeyx8FLdypQR83IiP84GjTY,"Três Corações, MG",lojas_presentes,2025-07-29T04:46:25.207860,COMPLETA
9,Logos Papelaria,ChIJP-tPIuTcypQR2sqeOF9cL_0,0x94cadce4224feb3f:0xfd2f5c5f389ecada,18243902179542747866,/g/1tzvxp93,4.3,167,Papelaria,Papelaria,stationery_store,"R. Nelson Rezende Fonseca, 260 - Centro, Três Corações - MG, 37410-000, Brasil",-21.6999787,-45.2555287,+55 35 3231-2208,https://www.instagram.com/papelarialogos/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:30–12:30; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqt3WBs3LgmAWZYaxwIGC6AfxEEAnEdHlE3RxiVFK_kU_x3ZaW4svGPPgAhtWEnQExtFkHJBqV1V5MmzIunUzbVTzPkWX3IjjpH5Zns5Mbjvy_EvEY4cqCx-9rOkelblZYWRSg5pg=w80-h142-k-no,https://serpapi.com/images/url/VaKx_XicBcFbsoIgAADQFZG30Kaa6YMcSntM9pKrP056DRIEDTJyg62h3dxzvh9mTKNnjiMYHFClqCifunwUSppSmkGhaoc2GhQaaAf5U-bK1kCy0HBLa0TS5Gpf4cofo5vFGEn8FwgMj_YeLzcZv2QWplfi6m4VRRQxQ7A8YGuWPFgv2ngYe7u6D5_y0ufxuY84-YVhVTWBl0rt7fKqe2e4w4lbtL4F08eelyIXaUKOJ-o1dP6a_AA2dEeAA6n-AakQRpw,https://serpapi.com/search.json?data_id=0x94cadce4224feb3f%3A0xfd2f5c5f389ecada&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cadce4224feb3f%3A0xfd2f5c5f389ecada&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJP-tPIuTcypQR2sqeOF9cL_0,"Três Corações, MG",lojas_presentes,2025-07-29T04:46:25.207860,COMPLETA
10,Dom Ferrao Brinquedos - Presentes - Papelaria,ChIJAyj4yp3dypQR7GrDzBADd3s,0x94cadd9dcaf82803:0x7b770310ccc36aec,8896582959583423212,/g/11gxmthmh8,4.2,13,Loja de Brinquedos,"Loja de Brinquedos, Papelaria",toy_store,"Praça Cel. José Martins, 44 - Centro, Três Corações - MG, 33410-127, Brasil",-21.697671399999997,-45.255924,+55 35 3232-6914,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–13:30; domingo: Fechado; segunda-feira: 09:00–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no4s-QfGZ5KVE5Mya8APGTs_FVXkP8T2gRUZqYFm0OMmZwvm04ONxrX5SJtiprk0oZFgBX2JCV7F5d7qA-AaZRzChtPR-WTkZ1dW89CadOEJ7Cb2xgdTIXIbUCa0DlVAop9SQz_=w163-h92-k-no,https://serpapi.com/images/url/AjY0b3icBcFJDoIwAADAF1V2ARMPtQoBoywCYi8GAVvDUqR1438-wt848_tSIQa-kKSWajPCGGnrB6_HkvWi7sWsZJ1EBg5KDrgEkU31nukcRFcXG9tsY-w-hQVDN-FnJ8ub0EpUEqf4fnI6Odh1-PXsZD3Yv8fcOPjiNoyNzLBDVrnqo8x0jMq8QwALHE-IijAGx6TBSnW0bFRUwcY30UV9kyrxcu-SokJetxlkg32IpvPypcw1QG0VNKBnf0QgQus,https://serpapi.com/search.json?data_id=0x94cadd9dcaf82803%3A0x7b770310ccc36aec&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cadd9dcaf82803%3A0x7b770310ccc36aec&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAyj4yp3dypQR7GrDzBADd3s,"Três Corações, MG",lojas_presentes,2025-07-29T04:46:25.207860,COMPLETA
