position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Comercial Trirriense,ChIJK2ozSdb1mAARy9R9xiUmLJ0,0x98f5d649336a2b:0x9d2c2625c67dd4cb,11325469106615735499,/g/1thxm8td,4.4,49,Loja de Presentes,"Loja de Presentes, Bazar",gift_shop,"R. Dr. Valmir Peçanha, 174 / 176 - Três Rios, RJ, 25802-180, Brasil",-22.1149792,-43.2092941,+55 24 2252-0065,https://www.facebook.com/ctrirriense,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–14:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMDZ9AOodPKXYCG79VpfrwqSts8Iawc8dad8wz2=w163-h92-k-no,https://serpapi.com/images/url/TBY5ZnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6xJl6eifnxLgHRHp7G5uGVaQVlReGFxSbOGZWJ5skZKYYlFeZWRbbmhmrJthaaSbrZuXDwCpIiGB,https://serpapi.com/search.json?data_id=0x98f5d649336a2b%3A0x9d2c2625c67dd4cb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f5d649336a2b%3A0x9d2c2625c67dd4cb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJK2ozSdb1mAARy9R9xiUmLJ0,"Três Rios, MG",lojas_presentes,2025-07-29T04:51:46.424690,COMPLETA
2,Cleide Presentes,ChIJ9QbEO3_2mAARSmjmP7TP8T8,0x98f67f3bc406f5:0x3ff1cfb43fe6684a,4607692266849855562,/g/11csb39d44,4.6,8,Loja de presentes,"Loja de presentes, Loja de eletrônicos",novelty_store,"R. Rita Cerqueira, 30 - Três Rios, RJ, 25804-210, Brasil",-22.1147897,-43.2094206,+55 24 2255-2552,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–13:30; domingo: Fechado; segunda-feira: 08:00–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento qualidade nos produtos, preços justos""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noK8dYUezUVVyCjq81g2cSvG2esbfFowy4tt_1RPiZIL4u9lbCh_gzvMrUYfKyqItdb9IArgYmP_BOwSW077N0I22GSxaceuu3pg39d6ggB432ZcwcnJFMeV3xFoBdvVmlnELor=w80-h92-k-no-pi-10-ya340-ro0-fo100,https://serpapi.com/images/url/jX9ewHicBcHdboMgGADQJ6IikFaW7KKa2difrZnRxd6YigjdlM8Kau2bbk-zc37_tHO9ffG8VtOVAlCtHK0cBBgnjVsJ6DzVWyQsst424poZOAR1kclnludL9H0PfEVEOu2ItFUTw7ww50r_83y7JEc28raKdKme02nIiuaw3BNXVzzZDqrozmX4MadfeLN5xwkhu_RxFXIcaa8or9dKhYySi5iF2ccnmdNHDGE95V1r3o4wvM4BRpoT9IMMoP6GfIyWK2UYDYBRAz7G_zgtS2Y,https://serpapi.com/search.json?data_id=0x98f67f3bc406f5%3A0x3ff1cfb43fe6684a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f67f3bc406f5%3A0x3ff1cfb43fe6684a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ9QbEO3_2mAARSmjmP7TP8T8,"Três Rios, MG",lojas_presentes,2025-07-29T04:51:46.424690,COMPLETA
3,Alfamara Presentes Com de Materiais de Informatic,ChIJY0FTGXz2mAAR9w5lbKw8L8Q,0x98f67c19534163:0xc42f3cac6c650ef7,14136584466589880055,/g/1tdcn5f1,4.9,12,Loja de Informática,Loja de Informática,computer_store,"R. Rita Cerqueira, 48 - Centro, Três Rios - RJ, 25804-210, Brasil",-22.1145875,-43.2096612,+55 24 2252-3266,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l-x6dw9jKI789t1xFuwpLQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=354.7848&pitch=0&thumbfov=100,https://serpapi.com/images/url/pBpXUnicHc3BDcIgFADQbbgVqFZLTYg3E6MXJzCUImBo-Sm_UKdxLrfRuMB7n7dDhHRgLOFsDGZvCvjVhFSBojZGG4wCn6iOI8s1Q7eM_aR8OIKaoh9kqNb9ULrn5dyKDuv1tBS43oju7zp4M6FMRs3aUVt-4hwHaiGRIgUnTnYb8lJFbncNbUUjCHjUTnLyTx4xy5rzLzXtOTs,https://serpapi.com/search.json?data_id=0x98f67c19534163%3A0xc42f3cac6c650ef7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f67c19534163%3A0xc42f3cac6c650ef7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY0FTGXz2mAAR9w5lbKw8L8Q,"Três Rios, MG",lojas_presentes,2025-07-29T04:51:46.424690,COMPLETA
4,CESTAS ESPECIAIS TR,ChIJM8I5TJsvtAsRsB_YB9Vw7TI,0xbb42f9b4c39c233:0x32ed70d507d81fb0,3669713331638771632,/g/11t0rjsgj7,5,10,Loja de cestas de presente,"Loja de cestas de presente, Loja de chocolates, Service establishment, Loja de presentes",gift_basket_store,,-22.121993099999997,-43.0496039,+55 24 98826-1916,https://instagram.com/cestasespeciastr?igshid=ZDdkNTZiNTM=,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:30; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipMWjTimkhIxE1rFsWeDV-LNJ54Hkc5sE5BrBJtG=w80-h177-k-no,https://serpapi.com/images/url/i4xY_HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG54VkpmbneFZ4WpY5FYcnuoSpuvj52Vq4pGdbFrsaupU5ORV4m5bbmGgm2Fobq6brZuXDwCnIyDu,https://serpapi.com/search.json?data_id=0xbb42f9b4c39c233%3A0x32ed70d507d81fb0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xbb42f9b4c39c233%3A0x32ed70d507d81fb0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJM8I5TJsvtAsRsB_YB9Vw7TI,"Três Rios, MG",lojas_presentes,2025-07-29T04:51:46.424690,COMPLETA
5,LC PRESENTES,ChIJDT0hq5f3mAARAyoFPEy52ZA,0x98f797ab213d0d:0x90d9b94c3c052a03,10437577348483459587,/g/11s8h6xrdp,5,2,Loja,Loja,store,"R. Dr. Valmir Peçanha, 54 - Três Rios, RJ, 25802-180, Brasil",-22.1151549,-43.208025899999996,+55 24 2029-4541,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq-53DsghXVHBCpvhJOKiC7oK2NT3qyuWwnzNhQ7nXQS5ARz3ENTINQClVtPiW9OB88aemTWaO1Ph3WH1wT6cZDwlv2crE-hGI_jLromoy7-ycHyF78OqvtbChvQJTt1hwhdfz4RQ=w80-h177-k-no,https://serpapi.com/images/url/eOw-FnicBcFbEoIgFADQFZEZFdZMH0UPe4xGMdr00xSZt1JQIRndYGtoN53z-4IxhR47Tga4kyqVZslHJ5VQ0iTSdITKnbTQSGiknSkdQV-WaIDnOoVT5M9oUcMm3D4pUdtewHHZfGIr2wAYkSd2HEwPLV4EfB0wmkVm_4xH4czzrknO42vo7gHHvmv5UJznNqt7ologWK0vr12lctUQ1Ai_WRIvLGtzo1CzDTcuWLg_2v6BTazXReASgt5Iqj8s3EVU,https://serpapi.com/search.json?data_id=0x98f797ab213d0d%3A0x90d9b94c3c052a03&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f797ab213d0d%3A0x90d9b94c3c052a03&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDT0hq5f3mAARAyoFPEy52ZA,"Três Rios, MG",lojas_presentes,2025-07-29T04:51:46.424690,COMPLETA
6,Loja Natura Bela do Rio,ChIJA9WZVFL3mAARPhhgHWj0lI4,0x98f7525499d503:0x8e94f4681d60183e,10274105377945557054,/g/11h598wrwy,4.7,10,Loja de cosmético,"Loja de cosmético, Fornecedor de produtos de beleza, Loja de produtos de beleza, Loja de Presentes, Perfumaria",cosmetics_store,"R. Gomes Pôrto, 60 - Loja 07 e 08 - Três Rios, RJ, 25804-070, Brasil",-22.116211,-43.210346,+55 24 99216-7115,http://www.natura.com.br/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–20:00; quarta-feira: 08:00–20:00; quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–16:00; domingo: Fechado; segunda-feira: 08:00–20:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipOUU-Vb09WaNnDSv8dx9YA7ix6KisSs5ySM6yzE=w154-h92-k-no,https://serpapi.com/images/url/bKVLdXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngHxqqG5ZkYBme6JfnElxmkVJhGelonllh5p1ZHFxsWhnsa1ZZ5WpbbmhqopthaaSbrZuXDwCdTSEi,https://serpapi.com/search.json?data_id=0x98f7525499d503%3A0x8e94f4681d60183e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f7525499d503%3A0x8e94f4681d60183e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJA9WZVFL3mAARPhhgHWj0lI4,"Três Rios, MG",lojas_presentes,2025-07-29T04:51:46.424690,COMPLETA
7,Papelito Papelaria,ChIJY0FTGXz2mAAR_fCL9ctkfNE,0x98f67c19534163:0xd17c64cbf58bf0fd,15095050878199787773,/g/1w0j0tm8,4.6,123,Papelaria,Papelaria,stationery_store,"R. Dr. Valmir Peçanha, 40 - Três Rios, RJ, 25802-180, Brasil",-22.1151338,-43.208,+55 24 3311-5092,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipNQb9N5UBxw7hQxKS2pdnXnw0Kt4COrCSEMSxik=w80-h106-k-no,https://serpapi.com/images/url/hZ652nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF5hk6Wca6lRRbp4RWOEdbFSQkheRV27gXWLi7F_kHOzqG1yRmW1bbmGgm2FoYKabrZuXDwCo_yFe,https://serpapi.com/search.json?data_id=0x98f67c19534163%3A0xd17c64cbf58bf0fd&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f67c19534163%3A0xd17c64cbf58bf0fd&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY0FTGXz2mAAR_fCL9ctkfNE,"Três Rios, MG",lojas_presentes,2025-07-29T04:51:46.425686,COMPLETA
8,Mimos em Papel - Papelaria e Presentes,ChIJneheKb73mAARPHMAQfcjxiI,0x98f7be295ee89d:0x22c623f74100733c,2505729787532702524,/g/11y3jjhrhp,5,3,Papelaria,Papelaria,stationery_store,"Rua Rita Cerqueira, Beco do Peru, 58, Três Rios - RJ, 25804-210, Brasil",-22.1145523,-43.2096926,+55 24 2030-0399,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento, muita calma das atendentes.""",https://lh3.googleusercontent.com/p/AF1QipMmZhSe6EkoLnx4wnjw1AwHRMjQkc7YzmJNMPid=w80-h106-k-no,https://serpapi.com/images/url/NR7bHnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngmxuVEZxq5pqd75NXYVKel1Vu6FjuEeSbFZidbB5Zlevl5xuQmWJbbmGgm2FoYKabrZuXDwDDvSH9,https://serpapi.com/search.json?data_id=0x98f7be295ee89d%3A0x22c623f74100733c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f7be295ee89d%3A0x22c623f74100733c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJneheKb73mAARPHMAQfcjxiI,"Três Rios, MG",lojas_presentes,2025-07-29T04:51:46.425686,COMPLETA
9,"Caçula Três Rios - Papelaria, Bazar, Artesanato e Tecidos",ChIJLf2mC3j3mAARZO8h2w5OxYM,0x98f7780ba6fd2d:0x83c54e0edb21ef64,9495081215093501796,/g/11v9hzzn8g,4.4,67,Loja de variedades,Loja de variedades,variety_store,"R. Barão de Entre Rios, 544 - Três Rios, RJ, 25802-315, Brasil",-22.1155175,-43.2057384,+55 21 4020-0220,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–17:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Loja ampla, climatizada, ótimos preços e variedade de itens""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npdcq17DHwrsnzzzAG6XcrratsqqMR9ki7PrTrsoCLSzqL49pF7u_V0MsZyMvR_gSec7CkNpksecm4oxvxSh_EBbUIIl4HO0Azlb5AYuPFMUD87Tq2_2C8S2QqAh_KliS1ek_1w=w154-h92-k-no,https://serpapi.com/images/url/EWdkW3icBcHdTsIwGADQJypjs1hm4kUdIkSmSMGAN43UZiUt_fs6hn0_HsK38Zy_m0rJw0NRGHU36pzrjOxBRuFskjaNhDsXnQckAEFBm1ph639EKMlsMUSwOWf6cr8XMX4nCKHd1PpE1nEbwTUrlsMK135Oev45buHrt71seMekII1-8xqkOGN3vVyZ4s9Px91yafDifUyzOU7ooV_P291sSrah4lUzZdVHoIq_mhMrpebl8DiUE4xUXSGNrPsHme1F2A,https://serpapi.com/search.json?data_id=0x98f7780ba6fd2d%3A0x83c54e0edb21ef64&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f7780ba6fd2d%3A0x83c54e0edb21ef64&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJLf2mC3j3mAARZO8h2w5OxYM,"Três Rios, MG",lojas_presentes,2025-07-29T04:51:46.425686,COMPLETA
10,CL PRIME STORE,ChIJB1Sd1Uz0mAARoY_zLByot3g,0x98f44cd59d5407:0x78b7a81c2cf38fa1,8698606044256112545,/g/1q5gqny5c,4.5,41,Livraria,"Livraria, Livraria infantil, Loja de Brinquedos",book_store,"Praça São Sebastião, 330 - lj 32B - Três Rios, RJ, 25804-080, Brasil",-22.116414,-43.20997,+55 24 2252-6420,https://instagram.com/clprimetr?igshid=YmMyMTA2M2Y=,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–20:00; quarta-feira: 10:00–20:00; quinta-feira: 10:00–20:00; sexta-feira: 10:00–20:00; sábado: 10:00–20:00; domingo: 14:00–19:30; segunda-feira: 10:00–20:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipOe-8I93xpgHq6oeuX3E4s27MEsTiiA3ca3VYii=w138-h92-k-no,https://serpapi.com/images/url/DP5XSHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn6pr4WlpXFGQ7lFolp9aGmHsalJsZO7rWhySmelonJxoHBaZmWlbbmhsoZthaaSbrZuXDwCU-CDK,https://serpapi.com/search.json?data_id=0x98f44cd59d5407%3A0x78b7a81c2cf38fa1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f44cd59d5407%3A0x78b7a81c2cf38fa1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJB1Sd1Uz0mAARoY_zLByot3g,"Três Rios, MG",lojas_presentes,2025-07-29T04:51:46.425686,COMPLETA
