position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Vila Valentina presentes,ChIJ76ivs7w7pwARbnpXDb2tAfA,0xa73bbcb3afa8ef:0xf001adbd0d577a6e,17294295071563676270,/g/11h71j_1xx,4.9,29,Loja de Presentes,Loja de Presentes,gift_shop,"R. Inocêncio III, 225 - São Francisco, Pará de Minas - MG, 35661-181, Brasil",-19.8655394,-44.5935256,+55 37 99911-2916,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–13:00; domingo: Fechado; segunda-feira: 08:30–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOOvLaV40z6ZxLLMCJyuUux5pUezZv3iILEXwZ5=w80-h99-k-no,https://serpapi.com/images/url/dq_bUnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng71_mkxhmYlBlFlXh4-Pr7FVZGlpaYVoQmloVVWac6enjGlEeZWpbbmGgm2FpqZutm5cPAJGcIWw,https://serpapi.com/search.json?data_id=0xa73bbcb3afa8ef%3A0xf001adbd0d577a6e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa73bbcb3afa8ef%3A0xf001adbd0d577a6e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ76ivs7w7pwARbnpXDb2tAfA,"Vila Embaú, MG",lojas_presentes,2025-07-29T05:08:37.988899,COMPLETA
2,Piticas Cestas e Presentes,ChIJzSL1NcNB0EsRGrIQVd8TitA,0x4bd041c335f522cd:0xd08a13df5510b21a,15026844956600873498,/g/11xh98jr2d,5,5,Loja de presentes,"Loja de presentes, Service establishment",novelty_store,,-22.646517799999998,-44.955796899999996,+55 12 98213-8362,,Aberto 24 horas,Aberto 24 horas,terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas; segunda-feira: Atendimento 24 horas,,,,,,,"""Amor em forma de cesta.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no7JJtm0crj_Ub4liaRqxzFehfJ8dYaGcPQoA4-pO-gL618RZ0MVQqgYZkNIey2Mr0aQQ0ckkFKNUgnJFg50hOmyrNNPs6BVcezXnzbOefU4qTATID18o0IcFA-iHJoXtHOwmIZjatcDPwL=w80-h106-k-no,https://serpapi.com/images/url/JjBvPnicBcFbjoIwFADQFVWKIoMmfjAaRqryMGKUH4PX2irQC7QGZY-zgNnNnPP3K41p9NyyKjkZCURR8ZfmHaAyXJkRYG2JRhPQRFv-ciYdhV-MmZpC97xkV6d6FPv2PQRc3pl3Oxc_kKToO6SJidi6trfP6e6YtuKcl1HIP-NdR4s0pVCWwSbKhGKBmFIZ158uihLtfh-BDyc1XGN-z5z24B_Cle0hDSHwyWPN8GTWcV-H-bMwsEr67aL3KJE2dUlJFP4DD-9HRQ,https://serpapi.com/search.json?data_id=0x4bd041c335f522cd%3A0xd08a13df5510b21a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x4bd041c335f522cd%3A0xd08a13df5510b21a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzSL1NcNB0EsRGrIQVd8TitA,"Vila Embaú, MG",lojas_presentes,2025-07-29T05:08:37.988899,COMPLETA
3,Lovegifts Shopping Estação BH,ChIJSZ1Qrx2PpgAR-NVQqdXJZvw,0xa68f1daf509d49:0xfc66c9d5a950d5f8,18187446064688190968,/g/11f6lc6d_0,4.2,57,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Cristiano Machado, 11833 - Venda Nova, Belo Horizonte - MG, 31744-007, Brasil",-19.820802999999998,-43.9476383,+55 31 2523-8900,,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–22:00; quarta-feira: 10:00–22:00; quinta-feira: 10:00–22:00; sexta-feira: 10:00–22:00; sábado: 10:00–22:00; domingo: 14:00–20:00; segunda-feira: 10:00–22:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipPtlJMqo-DrH24g8p43jQ05UW-5g-UDn8WrfEu_=w122-h92-k-no,https://serpapi.com/images/url/MR7Tj3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUJLj5VuYr-tS5GFkkm5RYGKcFWhgGhqua5quG-qSZxFelOZaGm9bbmhkpJthaaSbrZuXDwCOcyBu,https://serpapi.com/search.json?data_id=0xa68f1daf509d49%3A0xfc66c9d5a950d5f8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa68f1daf509d49%3A0xfc66c9d5a950d5f8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSZ1Qrx2PpgAR-NVQqdXJZvw,"Vila Embaú, MG",lojas_presentes,2025-07-29T05:08:37.988899,COMPLETA
4,Villa Presentes,ChIJeRpaFdGhtJQR_3liwXpvp0s,0x94b4a1d1155a1a79:0x4ba76f7ac16279ff,5451448446976424447,/g/1q67s8y7n,4.7,23,Loja de presentes,"Loja de presentes, Livraria, Loja de artigos domésticos, Serviços para casamento",novelty_store,"R. Expedicionário Geraldo Resende, 75 - Santo Antônio do Monte, MG, 35560-000, Brasil",-20.0878537,-45.2942517,+55 37 3281-7048,https://www.facebook.com/Villa-Presentes-227089754116746/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrz9c_ocLQbfzascj9709pom6q8PuxiLM9AaawHfc7G7J9Xt_Vo17I9jx-5Kf2j8FzOAVqXXOoQ0BuscWJoEq_3m4p9vUUX2CW5tcMjqfNysg68S8f-dexdlxlDDg_Gw4R4kOg=w80-h92-k-no-pi2.4207428-ya160.08376-ro-2.150253-fo100,https://serpapi.com/images/url/R4m0q3icBcHRVoIwGADgJ_phjMG2zumCtCzTyDoqdxyaMETgBzYSedMewnfo-_7upbWdeXDduvQdjajrfDT5oLC1eWsdhY2rOwPKgHGjhSxZO8xSpag2u59izoyqJCeywybsxec4nTdbGWXZ9bVQfMXXMrHpAT3-JqsJgveCVuJljqNDnyQx7sjTaNRxjc996jesk7_7fUIXx8CqbdUXHzejQ_EtCjjl06me6uVSp6sr-2KXWD9eBYFSUrhAi9CdqcMo4YwKuGVeSBwifB7CgEAdLyA08KFAj5B_mAFOdQ,https://serpapi.com/search.json?data_id=0x94b4a1d1155a1a79%3A0x4ba76f7ac16279ff&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b4a1d1155a1a79%3A0x4ba76f7ac16279ff&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJeRpaFdGhtJQR_3liwXpvp0s,"Vila Embaú, MG",lojas_presentes,2025-07-29T05:08:37.988899,COMPLETA
5,Eri Presentes,ChIJy36BNEz0tZQRStmDjP6ihg4,0x94b5f44c34817ecb:0xe86a2fe8c83d94a,1046703177573062986,/g/11b807_fx_,4.6,10,Loja de Presentes,Loja de Presentes,gift_shop,"R. João de Souza Sobrinho, 524 - Vila Betânia, Alfenas - MG, 37137-086, Brasil",-21.4174446,-45.9538784,+55 35 3292-2175,https://www.cliqueiachei.com.br/telefone/alfenas/mg/eri-presentes-4,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPSGrEsLoFS8F6CBwOYCkUdDCmNRh6T4W_VL1Vw=w122-h92-k-no,https://serpapi.com/images/url/bQxYrnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEOxe5Frsk-8WbOFm5uxU7h_pnB2a4uKc6xeUYRZiEh4f5mMYVm5bbmhkpJthaaSbrZuXDwCW9iCu,https://serpapi.com/search.json?data_id=0x94b5f44c34817ecb%3A0xe86a2fe8c83d94a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b5f44c34817ecb%3A0xe86a2fe8c83d94a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJy36BNEz0tZQRStmDjP6ihg4,"Vila Embaú, MG",lojas_presentes,2025-07-29T05:08:37.988899,COMPLETA
6,Presentes Uai BH,ChIJAbwX1rOc5WkRhmm_kvSpvNs,0x69e59cb3d617bc01:0xdbbca9f492bf6986,15833717257826953606,/g/11yd6j4m58,5,4,Loja de presentes,"Loja de presentes, Loja de porcelanas, Loja de camisetas personalizadas, Service establishment, Artesanato, Fornecedor de Brindes",novelty_store,,-14.4095262,-51.31668,+55 31 92005-1113,https://presentesuaibh.com.br/,Aberto 24 horas,Aberto 24 horas,terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas; segunda-feira: Atendimento 24 horas,,,,,,,"""La é top demais, podem ir e fazer a sua compra.""",https://lh3.googleusercontent.com/p/AF1QipPr0zuyTLVuPTgWmH-dxOa9fBBe7wcfesZvcIWz=w80-h106-k-no,https://serpapi.com/images/url/h950jHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUGRQVVoZ4hNWGhCSHp7roZtS4Z9omebklGpenpyWWhxVluwZXmVbbmGgm2FoYKabrZuXDwDHSSIv,https://serpapi.com/search.json?data_id=0x69e59cb3d617bc01%3A0xdbbca9f492bf6986&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x69e59cb3d617bc01%3A0xdbbca9f492bf6986&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAbwX1rOc5WkRhmm_kvSpvNs,"Vila Embaú, MG",lojas_presentes,2025-07-29T05:08:37.989900,COMPLETA
7,Vila Ibitipoca,ChIJtwf2xJRPnwARjZqhHwTqVdc,0x9f4f94c4f607b7:0xd755ea041fa19a8d,15516565394606365325,/g/11rsf5lrvk,5,68,Loja de Presentes,Loja de Presentes,gift_shop,"Rua Olga da Silva de Oliveira - Loja 13 - Shopping Portal da Serra, Conceição da Ibitipoca, Lima Duarte - MG, 36144-000, Brasil",-21.721171899999998,-43.924531599999995,+55 32 98433-9922,https://www.instagram.com/vilaibitipoca/,Fechado ⋅ Abre sex. às 12:00,Fechado ⋅ Abre sex. às 12:00,terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: 12:00–00:00; sábado: 12:00–00:00; domingo: 12:00–00:00; segunda-feira: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Artesanatos que trazem juntos de cada peça muita história  e delicadeza.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrOwHWn70tjHx90QfCS87ghDWzz5tTjqu6ffs3fIu2W8MyREcjAHWkoyWYr0P-FTBox693kPfXyrbH9wRxTtvLYQZA4gpsNQQRJPBjUumlNJOb8qobUWeYWVv9jBHXAAFSe1uoQ=w142-h92-k-no,https://serpapi.com/images/url/Zun90nicDc1RboIwGADgE1UQmNIleyhupjObUsRV9ghpaQr2V9oKeL8dYrfZvgt8vz_Kuat9DoJexYsWoO2Ft2JowDhh3KKBS9BeLWossgHZYJWY4TBSbtah03TCIZObY7pu1St_PJ5cqW9-JaWN5buPePo5F2-NJpR3MPNqCHO0LTOYVjjucnmeh5risZhKd_-o2DdJ_qM9Y8Uuz_TJX_r97lCnN6hPXFT86451Rs-EbI9i6YG9jMskQgpHqEMG_gAEtEU1,https://serpapi.com/search.json?data_id=0x9f4f94c4f607b7%3A0xd755ea041fa19a8d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f94c4f607b7%3A0xd755ea041fa19a8d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtwf2xJRPnwARjZqhHwTqVdc,"Vila Embaú, MG",lojas_presentes,2025-07-29T05:08:37.989900,COMPLETA
8,Canal Biblias E Presentes,ChIJY3eUMa24pgARx4FGA3TXByc,0xa6b8ad31947763:0x2707d774034681c7,2812453385587294663,/g/11hd1w2cdp,4.8,6,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Avelino Pinheiro, 181 - Jaçanã, Ibirité - MG, 32415-286, Brasil",-20.0161943,-44.0893368,+55 31 98928-9918,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–12:00; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Recepção  maravilhosa,  e o preço  é o melhor da região.""",https://lh3.googleusercontent.com/p/AF1QipNalZM-zNoAsXkNy-NdKGn6RbyjY3WIZ56SQVBd=w122-h92-k-no,https://serpapi.com/images/url/WsGxknicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl5gT5atb5ZfvWByR7Vep65fi7Z5nFpRUmRVpHO4ZZWoWHBjmlGJbbmhkpJthaaSbrZuXDwCq_yEY,https://serpapi.com/search.json?data_id=0xa6b8ad31947763%3A0x2707d774034681c7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6b8ad31947763%3A0x2707d774034681c7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY3eUMa24pgARx4FGA3TXByc,"Vila Embaú, MG",lojas_presentes,2025-07-29T05:08:37.989900,COMPLETA
9,Via Presentes Ltda,ChIJ3ypwhXo-s5QRfpL31BMF1hs,0x94b33e7a85702adf:0x1bd60513d4f7927e,2005796266775646846,/g/1tkl4dv0,4.7,30,Loja de Presentes,Loja de Presentes,gift_shop,"Praça da Matriz, 482 - Bom Despacho, MG, 35600-000, Brasil",-19.7367649,-45.251839,+55 37 98825-2297,http://www.instagram.com/viapresentes,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–13:00; domingo: Fechado; segunda-feira: 08:30–18:30,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nranNwEfYWN1s2HT3KSyXBHjdocJfXbGSMZsNTdxowKy-cyJzfb3dBvkcg_vkI25_d5USNXq5fbTx2Vt0pc1DgxJ4tI0OxqxBXfuaxHvAaKOFgtlv4khKLaUHtyx-mxkj1Su0ii2A=w92-h92-k-no,https://serpapi.com/images/url/4mOEnHicDcNLEoIgAADQE5GKuqiZFtrPtGyhlbVxFAUKAwtU7IDdodvUm3nfD1WqlTPDaKg9IUKQpu5k_UKCq5qrCRIPg7QSIAmk4S2m1OGvgsfDCl_OsSVhkNpRMmZ-cK8ECnFWbpL9VcZppcUQjQCN4RuXduX3DJG8Z1vo5pV7TOLs6eIy1fCkzBZZS6JDR23Ng35qP8NdoYPeK6LDmqimdxiNdsUxUKMGD83uVtKZtxv05sMUAvrPABc_pe9G4g,https://serpapi.com/search.json?data_id=0x94b33e7a85702adf%3A0x1bd60513d4f7927e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b33e7a85702adf%3A0x1bd60513d4f7927e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3ypwhXo-s5QRfpL31BMF1hs,"Vila Embaú, MG",lojas_presentes,2025-07-29T05:08:37.989900,COMPLETA
10,M&A Presentes,ChIJjev1L5yDogARyujmOTG7h1g,0xa2839c2ff5eb8d:0x5887bb3139e6e8ca,6379273217292822730,/g/11fps8jlhm,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Cel. Souza, 108 - Centro, Bicas - MG, 36600-000, Brasil",-21.7170819,-43.0613672,+55 32 3271-3846,https://instagram.com/m_e_a_presentes?utm_medium=copy_link,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrap0IvxFM0WFFRi_WKVKvF_9upbC4P2kv2HXLbZX0IMuXo3MwdFckbi0eKgyYaLM2l1pWNnLjPeQkFhoFM7ZNtpGdRThEeHy3qrhyIqyggYaqUMjgbj4JiyAb4Q5oGcleu-f7rIA=w115-h92-k-no,https://serpapi.com/images/url/qt3f5nicDc5LjoIwAADQE1W-xmDigpipMlCjRgXcGFo7LZ9pCy1oT-gZvI2-E7z3ixuj9NJxOh7MmJSso6OmA5HCUGFmRP47TGlANNBOvI54KIZKucn0hMjNITzWtzy9pBO8RaPC63Dvt5O_LTJ8LdwEjYUM0OMOSYtrl6bMllWG_M5T-U5kzZ4eWsglRIvrzqjN_XjiP3Rrg37gNuktY2XVn1HDcBP-1jbG4WEuN-T7A3-LIYlXD8-bAx75oAVCfgCL8EY7,https://serpapi.com/search.json?data_id=0xa2839c2ff5eb8d%3A0x5887bb3139e6e8ca&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2839c2ff5eb8d%3A0x5887bb3139e6e8ca&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJjev1L5yDogARyujmOTG7h1g,"Vila Embaú, MG",lojas_presentes,2025-07-29T05:08:37.989900,COMPLETA
