position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Mercearia Santa Rita,ChIJV1XLLXl9y5QRxdR4huA5PSc,0x94cb7d792dcb5557:0x273d39e08678d4c5,2827479777550062789,/g/11ft0_yhx2,4.6,22,Mercado,"Mercado, Açougue",market,"R. Oswaldo Reynaldo, 195 - Centro, Wenceslau Braz - MG, 37512-000, Brasil",-22.534996,-45.360451,+55 35 99890-6963,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–20:00; quarta-feira: 07:00–20:00; quinta-feira: 07:00–20:00; sexta-feira: 07:00–20:00; sábado: 07:00–20:00; domingo: 07:00–13:00; segunda-feira: 07:00–20:00,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,"""Aqui eu encontro de tudo, lugar top!""",https://lh3.googleusercontent.com/p/AF1QipMD_qFpLodm57YVT90R7kxmyMOr4mePVlW0tSK7=w163-h92-k-no,https://serpapi.com/images/url/yAybj3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6xJf6Fbgk5-Sa2oeGRZiaRBknl2RW-nrX2SSmxoQlhNuUBLsbW5bbmhmrJthaaSbrZuXDwCqJSE_,https://serpapi.com/search.json?data_id=0x94cb7d792dcb5557%3A0x273d39e08678d4c5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb7d792dcb5557%3A0x273d39e08678d4c5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJV1XLLXl9y5QRxdR4huA5PSc,"Wenceslau Braz, MG",lojas_presentes,2025-07-29T05:14:37.913072,COMPLETA
2,Gilberto Presentes,ChIJF91Cq9z2wZQRGCZIron8myw,0x94c1f6dcab42dd17:0x2c9bfc89ae482618,3214440427323663896,/g/1tdgwhkq,4.8,4,Loja de Presentes,Loja de Presentes,gift_shop,"R. Sete de Setembro, 141 - Centro, Wenceslau Braz - PR, 84950-000, Brasil",-23.8774274,-49.803217,+55 43 3528-1411,http://gilbertopresentes.com.br/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipO74UVc1tQuAmq-tHuwV1ZmgIXBEB83d3hdNNqs=w80-h106-k-no,https://serpapi.com/images/url/RIsuOHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb24SGpZsWBJY6phbqFviUVoeZhiVm-4Z4eTqZGGcYpyR4udXWGxbbmGgm2FoYKabrZuXDwCgUSEK,https://serpapi.com/search.json?data_id=0x94c1f6dcab42dd17%3A0x2c9bfc89ae482618&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94c1f6dcab42dd17%3A0x2c9bfc89ae482618&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJF91Cq9z2wZQRGCZIron8myw,"Wenceslau Braz, MG",lojas_presentes,2025-07-29T05:14:37.913072,COMPLETA
3,Closet All Store,ChIJY72PjK2fzJQRfj-3fVQY1sk,0x94cc9fad8c8fbd63:0xc9d618547db73f7e,14543838797805076350,/g/11vc0ypnt6,5,1,Loja de moda feminina,Loja de moda feminina,womens_clothing_store,"R. Oswaldo Reynaldo - centro, Wenceslau Braz - MG, 37512-000, Brasil",-22.5351602,-45.3622571,+55 35 99740-4111,https://wa.me/message/VLR4XCIZXGQLL1,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 09:00–17:30; domingo: Fechado; segunda-feira: 08:30–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipMXCJzDFVGy1eo9wlx6W8ZcTZgSBeYXF4Udwi_4=w80-h106-k-no,https://serpapi.com/images/url/qEEZ2nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG-HsVeXiFuZeaZiab1meU2EWbhGVHBKVHuyUGhnhZhKaUp4Zb2JbbmGgm2FoYKabrZuXDwCo-yFD,https://serpapi.com/search.json?data_id=0x94cc9fad8c8fbd63%3A0xc9d618547db73f7e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cc9fad8c8fbd63%3A0xc9d618547db73f7e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY72PjK2fzJQRfj-3fVQY1sk,"Wenceslau Braz, MG",lojas_presentes,2025-07-29T05:14:37.913072,COMPLETA
4,Mercadinho Aliança,ChIJr_7zrrOezJQR-tbJC9uWnxc,0x94cc9eb3aef3feaf:0x179f96db0bc9d6fa,1702245051709118202,/g/11ggw3xk9g,4.3,47,Supermercado,Supermercado,supermarket,"R. Oswaldo Reynaldo, n14 - Wenceslau Braz, MG, 37512-000, Brasil",-22.5350891,-45.361004,+55 35 3626-1115,https://www.facebook.com/MercadinhoAliancaWB/,Fechado ⋅ Abre às 07:30,Fechado ⋅ Abre às 07:30,terça-feira: 07:30–18:30; quarta-feira: 07:30–18:30; quinta-feira: 07:30–18:30; sexta-feira: 07:30–18:30; sábado: 07:30–18:30; domingo: 07:30–12:00; segunda-feira: 07:30–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee","Entrega sem contato, Entrega",,"""Ali tem de tudo um pouquinho.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrnNYnoWFQoD_NS_EI6sqO66YuSY6XFuuPbVbkWgrzu_sGUDYCGRIIy8a_bZvjj6WEXc0CnHNbTIezY1_tuqiGTkD_NMuGb3r4bSFz4UKXBwXQ-0Z0hKGOH5A-J8xvLw3pWyXtu1g=w122-h92-k-no,https://serpapi.com/images/url/wQiDF3icDcxLcoIwAADQE0W-ZrQzXViEiB_UoiVhkzEMkyiaIElEuaBn6G3ad4D3-xbGtPrDca4iGHGl-LW2uu4qJU0tzahSN4e3GlQaaGcWTUUoO5kRqYpkr-Y0y2mcQn3fQkhsTiBOrN2xH9YUvBss1eg4JxH6TtPX5ERZ-bhcYBHjyo3kImOHtB6IR429n9Gh-c82FrGgC1meDOFxhb96vAdu6YoV2i7GM7CcPB_rPmiLFzbW45-95_tATH3QAKn-AKUNRYs,https://serpapi.com/search.json?data_id=0x94cc9eb3aef3feaf%3A0x179f96db0bc9d6fa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cc9eb3aef3feaf%3A0x179f96db0bc9d6fa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJr_7zrrOezJQR-tbJC9uWnxc,"Wenceslau Braz, MG",lojas_presentes,2025-07-29T05:14:37.913072,COMPLETA
5,Rei dos Presentes,ChIJ14BspNH3wZQRNMzT2eL_yx0,0x94c1f7d1a46c80d7:0x1dcbffe2d9d3cc34,2147090997154401332,/g/11hpyp77zq,5,1,Loja de Brinquedos,Loja de Brinquedos,toy_store,"Wenceslau Braz - PR, 84950-000, Brasil",-23.875249099999998,-49.803430299999995,,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IVVJ0AWHpRqRF6izgPq82Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=294.23996&pitch=0&thumbfov=100,https://serpapi.com/images/url/kID2IXicHc3BDcIgFADQbbgJFE1TTIjxYtST9lCPhlKEn9BCCxZ1GtdyG40LvPd525RCXBMS06R1mkHnAA_t4iJIbLw3TssAESvfk7kgyd77dpDgNkEOHjpxaJoj3V72oR7rXQkvcxordkaqvSoHekgiajkpi03-iZPvsAkRZVFRZAVn6CmzYHyF2ZLzEgVIygqK_svNz6Kg9AtV2zkq,https://serpapi.com/search.json?data_id=0x94c1f7d1a46c80d7%3A0x1dcbffe2d9d3cc34&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94c1f7d1a46c80d7%3A0x1dcbffe2d9d3cc34&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ14BspNH3wZQRNMzT2eL_yx0,"Wenceslau Braz, MG",lojas_presentes,2025-07-29T05:14:37.913072,COMPLETA
6,TKE Confecções,ChIJB_C3HTOfzJQRsXMBh4qbL04,0x94cc9f331db7f007:0x4e2f9b8a870173b1,5633892678136591281,/g/11vdq5fdqx,5,1,Loja de Roupa,Loja de Roupa,clothing_store,"R. Joao Teodoro Da Silva, 18 - Wenceslau Braz, MG, 37512-000, Brasil",-22.5249702,-45.3546145,,,,,,,,,Cartão de débito,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bV9-hbJYfjQ1MNvW_gbplA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=148.71843&pitch=0&thumbfov=100,https://serpapi.com/images/url/CVBoAnicHc1fCsIgHADg2_g2_9SgLZDoNSjopehpqHNqOP0xTes2XavbFF3g-z5vmzOkLSEpL1rn4nQF99Q-NSCwidF4LcAlrOJMCiPZPmYZhPM7ECG6kctL31h5uE33MzueynUwEvweKTko73TIPGmxKItN_YlLHLGBhCrvKLK8X6GXqJy1Hd6wrl0jcFlZTtF_mWLhjNIveos5lg,https://serpapi.com/search.json?data_id=0x94cc9f331db7f007%3A0x4e2f9b8a870173b1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cc9f331db7f007%3A0x4e2f9b8a870173b1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJB_C3HTOfzJQRsXMBh4qbL04,"Wenceslau Braz, MG",lojas_presentes,2025-07-29T05:14:37.913072,COMPLETA
7,D'Minas Confecção,ChIJTxLgQgCfzJQR1U3qp2HpP_4,0x94cc9f0042e0124f:0xfe3fe961a7ea4dd5,18320618414804717013,/g/11y2z455pz,4.5,2,Loja de Roupa,Loja de Roupa,clothing_store,"R. Oswaldo Reynaldo - Wenceslau Braz, MG, 37512-000, Brasil",-22.5352419,-45.3610495,,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–17:30; quarta-feira: 07:00–17:30; quinta-feira: 07:00–17:30; sexta-feira: 07:00–17:30; sábado: 07:00–12:00; domingo: Fechado; segunda-feira: 07:00–17:30,,,,Cartão de débito,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qig40pXmRg5VsKLh8Y2Tpw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=167.3808&pitch=0&thumbfov=100,https://serpapi.com/images/url/Adl_rHicHc1LDsIgEADQ27ATaP2hCekBdGWM0ZWhdIRJaBkLFj2N5_I2Gi_w3uftc6a0FSLlESBPCIXwCSHNyHAXowtgCBO3sRdTJbJ_9O1gMDRkhoidvqNbSDr3B7c8pd3eq0t9pMJse7UBYcg6gRmt5678xDF23FFiRSvJvN7U7GWKrlZrPldSMcJsvZbsn9zipCspv0fjOWY,https://serpapi.com/search.json?data_id=0x94cc9f0042e0124f%3A0xfe3fe961a7ea4dd5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cc9f0042e0124f%3A0xfe3fe961a7ea4dd5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTxLgQgCfzJQR1U3qp2HpP_4,"Wenceslau Braz, MG",lojas_presentes,2025-07-29T05:14:37.913072,COMPLETA
8,Daniel Presentes,ChIJP14-hej2wZQRTAElme0MbtQ,0x94c1f6e8853e5e3f:0xd46e0ced9925014c,15307186398095016268,/g/11cs1cmbty,4.1,13,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Barão do Rio Branco, 197 A - Centro, Wenceslau Braz - PR, 84950-000, Brasil",-23.8771204,-49.8047176,,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–14:00; domingo: Fechado; segunda-feira: 08:30–18:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipO9Md_cQlKpRSoVrW9kMqFpKTJoSiEPHFwDfwv7=w122-h92-k-no,https://serpapi.com/images/url/nHzys3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb-mbEp8cmONdEBScH1YUbpntW-hW4B3ilR-c6Rrg4VbuklZeZm5bbmhkpJthaaSbrZuXDwC3CiGx,https://serpapi.com/search.json?data_id=0x94c1f6e8853e5e3f%3A0xd46e0ced9925014c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94c1f6e8853e5e3f%3A0xd46e0ced9925014c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJP14-hej2wZQRTAElme0MbtQ,"Wenceslau Braz, MG",lojas_presentes,2025-07-29T05:14:37.913072,COMPLETA
9,Carlinhos Luthier - Instrumentos Musicais Artesanais de Corda,ChIJV0QDkseezJQRb5Kt3pbQhzg,0x94cc9ec792034457:0x3887d096dead926f,4073453734379491951,/g/11bxg38cty,4.4,62,Loja de Instrumentos Musicais,"Loja de Instrumentos Musicais, Artesanato, Fabricante de instrumentos musicais",musical_instrument_store,"R. Adolfo Martins de Freitas, 43 - Quincas, Wenceslau Braz - MG, 37512-000, Brasil",-22.5249784,-45.3549668,+55 35 99767-6167,http://www.carlinhosluthier.com.br/,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: Fechado; domingo: Fechado; segunda-feira: 07:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPrMjgdODVG5Y44ylUnlrzKjORFpehYgreZKLA2=w80-h106-k-no,https://serpapi.com/images/url/k_UBonicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUOSblZ7i7xLmbhppYlKZE5qXU1TlneUf5FaQmhGZXpQa5e3jaGRbbmGgm2FoYKabrZuXDwC6MCG0,https://serpapi.com/search.json?data_id=0x94cc9ec792034457%3A0x3887d096dead926f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cc9ec792034457%3A0x3887d096dead926f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJV0QDkseezJQRb5Kt3pbQhzg,"Wenceslau Braz, MG",lojas_presentes,2025-07-29T05:14:37.913072,COMPLETA
10,Prefeitura de Wenceslau Braz,ChIJkSN53rKezJQR8YYBhgJzUXs,0x94cc9eb2de792391:0x7b517302860186f1,8886009994454075121,/g/1ydkd2k8k,4.6,36,Prefeitura,Prefeitura,city_hall,"R. Oswaldo Reynaldo, 56 - Centro, Wenceslau Braz - MG, 37512-000, Brasil",-22.535235099999998,-45.3615213,+55 35 99971-1768,https://www.wenceslaubraz.mg.gov.br/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: Fechado; domingo: Fechado; segunda-feira: 08:00–17:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Amo essa cidade e parabéns ao prefeito edivaldo""",https://lh3.googleusercontent.com/p/AF1QipNJ0nrDkZRYrrYj9NkyqxNmDHuD56cVeCIVOPsN=w138-h92-k-no,https://serpapi.com/images/url/YRQYq3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng52WQV-SSHRUUWVQUmWXpl11ZWOGX6-JR6mJqlhyW6uwZ5h9Q7GdbbmhsoZthaaSbrZuXDwC5DSGg,https://serpapi.com/search.json?data_id=0x94cc9eb2de792391%3A0x7b517302860186f1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cc9eb2de792391%3A0x7b517302860186f1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkSN53rKezJQR8YYBhgJzUXs,"Wenceslau Braz, MG",lojas_presentes,2025-07-29T05:14:37.913072,COMPLETA
